"Step","pb_wo_evaluation_expandfromactive_seed1 - 2cover_rate_5step"
"180000","0.029"
"360000","0.033"
"540000","0.036"
"720000","0.033"
"900000","0.029"
"1080000","0.029"
"1260000","0.032"
"1440000","0.038"
"1620000","0.029"
"1800000","0.032"
"1980000","0.034"
"2160000","0.033"
"2340000","0.021"
"2520000","0.034"
"2700000","0.043"
"2880000","0.038"
"3060000","0.047"
"3240000","0.025"
"3420000","0.045"
"3600000","0.0396"
"3780000","0.029"
"3960000","0.044"
"4140000","0.043"
"4320000","0.047"
"4500000","0.0584"
"4680000","0.074"
"4860000","0.0714"
"5040000","0.0682"
"5220000","0.099"
"5400000","0.0946"
"5580000","0.1186"
"5760000","0.1124"
"5940000","0.1378"
"6120000","0.12719999999999998"
"6300000","0.1286"
"6480000","0.16839999999999997"
"6660000","0.1926"
"6840000","0.1708"
"7020000","0.1858"
"7200000","0.174"
"7380000","0.1998"
"7560000","0.2256"
"7740000","0.2176"
"7920000","0.2208"
"8100000","0.25139999999999996"
"8280000","0.2386"
"8460000","0.26520000000000005"
"8640000","0.2826"
"8820000","0.2874"
"9000000","0.26380000000000003"
"9180000","0.2776"
"9360000","0.2826"
"9540000","0.29660000000000003"
"9720000","0.2852"
"9900000","0.28880000000000006"
"10080000","0.2958"
"10260000","0.2836"
"10440000","0.32920000000000005"
"10620000","0.323"
"10800000","0.3262"
"10980000","0.3632"
"11160000","0.33579999999999993"
"11340000","0.3432"
"11520000","0.33"
"11700000","0.352"
"11880000","0.33059999999999995"
"12060000","0.34379999999999994"
"12240000","0.3508"
"12420000","0.351"
"12600000","0.3958"
"12780000","0.3716"
"12960000","0.336"
"13140000","0.33620000000000005"
"13320000","0.3514"
"13500000","0.3358"
"13680000","0.3632"
"13860000","0.377"
"14040000","0.369"
"14220000","0.3672"
"14400000","0.3898"
"14580000","0.3676"
"14760000","0.349"
"14940000","0.3738"
"15120000","0.3744"
"15300000","0.376"
"15480000","0.3674"
"15660000","0.39820000000000005"
"15840000","0.3924"
"16020000","0.3874"
"16200000","0.3892000000000001"
"16380000","0.3764"
"16560000","0.403"
"16740000","0.4066"
