"Step","gan_sl_seed2 - 2cover_rate_1step"
"14000","0.06"
"28000","0.12"
"42000","0.13"
"56000","0.27"
"70000","0.17"
"84000","0.25"
"98000","0.25"
"112000","0.19"
"126000","0.24"
"140000","0.18"
"154000","0.17"
"168000","0.18"
"182000","0.31"
"196000","0.2"
"210000","0.14"
"224000","0.17"
"238000","0.19"
"252000","0.23"
"266000","0.2"
"280000","0.19"
"294000","0.31"
"308000","0.2"
"322000","0.19"
"336000","0.16"
"350000","0.19"
"364000","0.21"
"378000","0.1"
"392000","0.2"
"406000","0.21"
"420000","0.18"
"434000","0.13"
"448000","0.22"
"462000","0.22"
"476000","0.14"
"490000","0.22"
"504000","0.24"
"518000","0.26"
"532000","0.15"
"546000","0.15"
"560000","0.2"
"574000","0.16"
"588000","0.19"
"602000","0.22"
"616000","0.17"
"630000","0.13"
"644000","0.15"
"658000","0.14"
"672000","0.18"
"686000","0.2"
"700000","0.15"
"714000","0.23"
"728000","0.16"
"742000","0.19"
"756000","0.21"
"770000","0.14"
"784000","0.17"
"798000","0.14"
"812000","0.2"
"826000","0.2"
"840000","0.19"
"854000","0.16"
"868000","0.19"
"882000","0.21"
"896000","0.16"
"910000","0.18"
"924000","0.19"
"938000","0.13"
"952000","0.11"
"966000","0.11"
"980000","0.16"
"994000","0.14"
"1008000","0.19"
"1022000","0.17"
"1036000","0.1"
"1050000","0.24"
"1064000","0.12"
"1078000","0.27"
"1092000","0.17"
"1106000","0.14"
"1120000","0.24"
"1134000","0.21"
"1148000","0.2"
"1162000","0.14"
"1176000","0.18"
"1190000","0.16"
"1204000","0.19"
"1218000","0.15"
"1232000","0.2"
"1246000","0.13"
"1260000","0.2"
"1274000","0.16"
"1288000","0.16"
"1302000","0.2"
"1316000","0.21"
"1330000","0.19"
"1344000","0.18"
"1358000","0.13"
"1372000","0.18"
"1386000","0.16"
"1400000","0.19"
"1414000","0.24"
"1428000","0.19"
"1442000","0.15"
"1456000","0.17"
"1470000","0.17"
"1484000","0.2"
"1498000","0.19"
"1512000","0.16"
"1526000","0.18"
"1540000","0.14"
"1554000","0.18"
"1568000","0.19"
"1582000","0.26"
"1596000","0.11"
"1610000","0.25"
"1624000","0.23"
"1638000","0.18"
"1652000","0.24"
"1666000","0.19"
"1680000","0.1"
"1694000","0.11"
"1708000","0.12"
"1722000","0.17"
"1736000","0.14"
"1750000","0.17"
"1764000","0.18"
"1778000","0.11"
"1792000","0.2"
"1806000","0.2"
"1820000","0.17"
"1834000","0.2"
"1848000","0.19"
"1862000","0.27"
"1876000","0.13"
