"Step","mix37_nostop_seed1 - 8cover_rate"
"136500","0.8298"
"273000","0.8355"
"404040","0.80315"
"535080","0.78815"
"661080","0.78115"
"787080","0.7743999999999999"
"908040","0.78225"
"1029000","0.75915"
"1144290","0.77"
"1259580","0.783"
"1370040","0.778"
"1480500","0.79385"
"1585500","0.7951999999999999"
"1690500","0.778"
"1795500","0.7865"
"1900500","0.7933499999999999"
"2005500","0.7901499999999999"
"2110500","0.8026"
"2215500","0.7921499999999999"
"2320500","0.7871999999999999"
"2425500","0.7791500000000001"
"2530500","0.7905999999999999"
"2635500","0.7905"
"2740500","0.78675"
"2845500","0.7959499999999999"
"2950500","0.81755"
"3055500","0.8341"
"3160500","0.82655"
"3265500","0.83235"
"3370500","0.83605"
"3475500","0.8339999999999999"
"3580500","0.8144999999999999"
"3685500","0.8305500000000001"
"3790500","0.80155"
"3895500","0.8175"
"4000500","0.81735"
"4105500","0.8155"
"4210500","0.8247000000000001"
"4315500","0.8319"
"4420500","0.82905"
"4525500","0.7968"
"4630500","0.7995"
"4735500","0.7972"
"4840500","0.8020999999999999"
"4945500","0.8095500000000001"
"5050500","0.8152999999999999"
"5155500","0.8131499999999999"
"5260500","0.8264"
"5365500","0.8283999999999999"
"5470500","0.8325"
"5575500","0.82775"
"5680500","0.8329"
"5785500","0.8363499999999999"
"5890500","0.8377"
"5995500","0.8385499999999999"
"6100500","0.8411"
"6205500","0.8299500000000001"
"6310500","0.848"
"6415500","0.8368499999999999"
"6520500","0.8415499999999999"
"6625500","0.8499500000000001"
"6730500","0.8713"
"6835500","0.8609499999999999"
"6940500","0.8545999999999999"
"7045500","0.8684499999999999"
"7150500","0.8534999999999999"
"7255500","0.8523"
"7360500","0.83675"
"7465500","0.8314000000000001"
"7570500","0.824"
"7675500","0.8488499999999999"
"7780500","0.8686499999999999"
"7885500","0.8631"
"7990500","0.8745999999999999"
"8095500","0.88995"
"8200500","0.88995"
"8305500","0.86805"
"8410500","0.855"
"8515500","0.8568499999999999"
"8620500","0.8623"
"8725500","0.86925"
"8830500","0.8540999999999999"
"8935500","0.8596999999999999"
"9040500","0.85925"
"9145500","0.8352999999999999"
"9250500","0.8569500000000001"
"9355500","0.86525"
"9460500","0.8534499999999999"
"9565500","0.85625"
"9670500","0.8495"
"9775500","0.88005"
"9880500","0.88615"
"9985500","0.9000499999999999"
"10090500","0.8853"
"10195500","0.8629499999999999"
"10300500","0.86575"
"10405500","0.89235"
"10510500","0.8735"
"10615500","0.8655"
"10720500","0.8632000000000001"
"10825500","0.86825"
"10930500","0.8954"
"11035500","0.91265"
"11140500","0.9195"
"11245500","0.91035"
"11350500","0.91685"
"11455500","0.9112"
"11560500","0.8814999999999998"
"11665500","0.9014"
"11770500","0.9122"
"11875500","0.90685"
"11980500","0.8964"
"12085500","0.8750999999999999"
"12190500","0.88505"
"12295500","0.90065"
"12400500","0.9055"
"12505500","0.8946999999999999"
"12610500","0.9115"
"12715500","0.91825"
"12820500","0.9224"
"12925500","0.93795"
