"Step","amigo_map66_teacherhorizon20_seed1 - training_cover_rate"
"0","0.0085"
"35000","0.0056"
"70000","0.005"
"105000","0.0055"
"140000","0.0016"
"175000","0.002099999999999999"
"210000","0.0008999999999999999"
"245000","0.0033000000000000004"
"280000","0.001"
"315000","0.0025"
"350000","0.0016"
"385000","0.0010000000000000002"
"420000","0.001"
"455000","0.0027"
"490000","0.0021000000000000003"
"525000","0.0007"
"560000","0.0026000000000000007"
"595000","0.0008999999999999999"
"630000","0.0025"
"665000","0.0029"
"700000","0.0009"
"735000","0.0035999999999999995"
"770000","0.0016"
"805000","0.0023000000000000004"
"840000","0.0036"
"875000","0.0009999999999999998"
"910000","0.0018"
"945000","0.0014"
"980000","0.0015"
"1015000","0.0021000000000000003"
"1050000","0.0017"
"1085000","0.0005"
"1120000","0.0006000000000000001"
"1155000","0.0017"
"1190000","0.0011"
"1225000","0.0006"
"1260000","0.001"
"1295000","0.003"
"1330000","0.0011"
"1365000","0.0007"
"1400000","0.0007"
"1435000","0.0007000000000000001"
"1470000","0.0004"
"1505000","0.0005"
"1540000","0.0002"
"1575000","0.00030000000000000003"
"1610000","0"
"1645000","0.0002"
"1680000","0.0004"
"1715000","0.0004"
"1750000","0.0001"
"1785000","0"
"1820000","0.0004"
"1855000","0.0001"
"1890000","0"
"1925000","0.0001"
"1960000","0.0004"
"1995000","0"
"2030000","0.0002"
"2065000","0"
"2100000","0"
"2135000","0"
"2170000","0"
"2205000","0"
"2240000","0.0005"
"2275000","0"
"2310000","0"
"2345000","0"
"2380000","0"
"2415000","0.0002"
"2450000","0"
"2485000","0"
"2520000","0.0001"
"2555000","0"
"2590000","0.0001"
"2625000","0.0005"
"2660000","0"
"2695000","0.0002"
"2730000","0"
"2765000","0"
"2800000","0"
"2835000","0"
"2870000","0"
"2905000","0.0001"
"2940000","0"
"2975000","0"
"3010000","0.00030000000000000003"
"3045000","0.0003"
"3080000","0.001"
"3115000","0"
"3150000","0.0001"
"3185000","0"
"3220000","0.0011"
"3255000","0"
"3290000","0.0004"
"3325000","0.0007"
"3360000","0.00030000000000000003"
"3395000","0.0002"
"3430000","0.0002"
"3465000","0.0005"
"3500000","0.0001"
"3535000","0.0004"
"3570000","0.0002"
"3605000","0.0001"
"3640000","0.0002"
"3675000","0.0005"
"3710000","0.0002"
"3745000","0.0001"
"3780000","0.0004"
"3815000","0"
"3850000","0.0004"
"3885000","0"
"3920000","0.0001"
"3955000","0.0002"
"3990000","0"
"4025000","0.0001"
"4060000","0.0006000000000000001"
"4095000","0.0004"
"4130000","0.0001"
"4165000","0"
"4200000","0.0002"
"4235000","0"
"4270000","0.0002"
"4305000","0"
"4340000","0"
"4375000","0"
"4410000","0.0002"
"4445000","0.00030000000000000003"
"4480000","0"
"4515000","0.0001"
"4550000","0"
"4585000","0"
"4620000","0"
"4655000","0"
"4690000","0.0002"
"4725000","0.0002"
"4760000","0"
"4795000","0.0002"
"4830000","0"
"4865000","0"
"4900000","0"
"4935000","0"
"4970000","0"
"5005000","0"
"5040000","0.0001"
"5075000","0"
"5110000","0"
"5145000","0"
"5180000","0.0001"
"5215000","0.0002"
"5250000","0.0001"
"5285000","0"
"5320000","0"
"5355000","0.0001"
"5390000","0.0002"
"5425000","0.0001"
"5460000","0.0002"
"5495000","0.0004"
"5530000","0.0002"
"5565000","0.0002"
"5600000","0.00030000000000000003"
"5635000","0"
"5670000","0"
"5705000","0.0003"
"5740000","0.0003"
"5775000","0.0001"
"5810000","0"
"5845000","0"
"5880000","0.0002"
"5915000","0"
"5950000","0"
"5985000","0.0002"
"6020000","0.0002"
"6055000","0"
"6090000","0.0002"
"6125000","0"
"6160000","0.0002"
"6195000","0.00030000000000000003"
"6230000","0.0001"
"6265000","0"
"6300000","0"
"6335000","0"
"6370000","0.0008"
"6405000","0"
"6440000","0"
"6475000","0"
"6510000","0"
"6545000","0.0002"
"6580000","0"
"6615000","0.0001"
"6650000","0.0002"
"6685000","0.0005"
"6720000","0"
"6755000","0"
"6790000","0"
"6825000","0.0001"
"6860000","0"
"6895000","0"
"6930000","0"
"6965000","0"
"7000000","0"
"7035000","0.0011"
"7070000","0"
"7105000","0.0002"
"7140000","0"
"7175000","0"
