"Step","diversified_novelty_sp3_leftup_rightdown_seed4 - cover_rate_5step"
"105000","0.0032"
"210000","0.0025"
"315000","0.0105"
"420000","0.0095"
"525000","0.0102"
"630000","0.008199999999999999"
"735000","0.0086"
"840000","0.0101"
"945000","0.01"
"1050000","0.0101"
"1155000","0.0113"
"1260000","0.0154"
"1365000","0.0137"
"1470000","0.0179"
"1575000","0.0155"
"1663200","0.0227"
"1746570","0.0546"
"1829730","0.0678"
"1934730","0.07429999999999999"
"2025240","0.0676"
"2130240","0.0923"
"2235240","0.1007"
"2340240","0.1009"
"2445240","0.11079999999999998"
"2550240","0.1175"
"2655240","0.1308"
"2760240","0.1282"
"2865240","0.1478"
"2970240","0.15170000000000003"
"3075240","0.1384"
"3180240","0.1411"
"3285240","0.1372"
"3390240","0.17189999999999997"
"3495240","0.15910000000000002"
"3600240","0.16110000000000002"
"3705240","0.1715"
"3810240","0.1697"
"3915240","0.17980000000000002"
"4020240","0.1713"
"4125240","0.1845"
"4230240","0.1672"
"4335240","0.183"
"4440240","0.1715"
"4545240","0.1829"
"4650240","0.17870000000000005"
"4755240","0.20110000000000003"
"4860240","0.183"
"4965240","0.2073"
"5070240","0.1973"
"5175240","0.2004"
"5280240","0.209"
"5385240","0.2065"
"5490240","0.2304"
"5595240","0.2115"
"5700240","0.2142"
"5805240","0.2065"
"5910240","0.2088"
"6015240","0.2118"
"6120240","0.2307"
"6225240","0.2166"
"6330240","0.2302"
"6435240","0.22839999999999996"
"6540240","0.2212"
"6645240","0.2145"
"6750240","0.2254"
"6855240","0.237"
"6960240","0.2192"
"7065240","0.2071"
"7170240","0.2423"
"7275240","0.2232"
"7380240","0.2443"
"7485240","0.2088"
"7590240","0.2164"
"7695240","0.23489999999999997"
"7800240","0.23310000000000003"
"7905240","0.22860000000000005"
"8010240","0.2324"
"8115240","0.2196"
"8220240","0.23239999999999997"
"8325240","0.2114"
"8430240","0.2274"
"8535240","0.2267"
"8640240","0.236"
"8745240","0.2129"
"8850240","0.23089999999999997"
"8955240","0.2325"
"9060240","0.2159"
"9165240","0.2164"
"9270240","0.2199"
"9375240","0.2292"
"9480240","0.2372"
"9585240","0.2316"
"9690240","0.213"
"9795240","0.217"
"9900240","0.2275"
"10005240","0.2198"
"10110240","0.2269"
"10215240","0.2321"
"10320240","0.2109"
"10425240","0.2241"
"10530240","0.2204"
"10635240","0.236"
"10740240","0.2216"
"10845240","0.2205"
"10950240","0.25370000000000004"
"11055240","0.23860000000000003"
"11160240","0.2299"
"11265240","0.2318"
"11370240","0.2338"
"11475240","0.2245"
"11580240","0.2316"
"11685240","0.2172"
"11790240","0.2169"
"11895240","0.2279"
"12000240","0.2493"
"12105240","0.2502"
"12210240","0.2231"
"12315240","0.21809999999999996"
"12420240","0.2214"
"12525240","0.2385"
"12630240","0.2172"
"12735240","0.241"
"12840240","0.2231"
"12945240","0.2201"
"13050240","0.2357"
"13155240","0.2378"
"13260240","0.2416"
"13365240","0.2602"
"13470240","0.2238"
"13575240","0.247"
"13680240","0.2441"
"13785240","0.2266"
"13890240","0.222"
"13995240","0.241"
"14100240","0.2354"
"14205240","0.2256"
"14310240","0.244"
"14415240","0.2272"
"14520240","0.2305"
"14625240","0.23339999999999997"
"14730240","0.213"
"14835240","0.2254"
"14940240","0.2287"
"15045240","0.2446"
"15150240","0.2375"
"15255240","0.2389"
"15360240","0.26730000000000004"
"15465240","0.23310000000000003"
"15570240","0.2308"
"15675240","0.2438"
"15780240","0.2231"
"15885240","0.2248"
"15990240","0.2307"
"16095240","0.215"
"16200240","0.2441"
"16305240","0.2029"
"16410240","0.2186"
"16515240","0.2116"
"16620240","0.233"
"16725240","0.2197"
"16830240","0.2074"
"16935240","0.20489999999999997"
"17040240","0.2288"
"17145240","0.23540000000000005"
"17250240","0.2155"
"17355240","0.2221"
"17460240","0.2327"
"17565240","0.2357"
"17670240","0.2378"
"17775240","0.2249"
"17880240","0.247"
"17985240","0.2326"
"18090240","0.24"
"18195240","0.2276"
"18300240","0.2296"
"18405240","0.2438"
"18510240","0.2585"
"18615240","0.2417"
"18720240","0.2358"
"18825240","0.23160000000000003"
"18930240","0.2278"
"19035240","0.2321"
"19140240","0.2367"
"19245240","0.2362"
"19350240","0.22279999999999997"
"19455240","0.2178"
"19560240","0.2288"
"19665240","0.2338"
"19770240","0.2258"
"19875240","0.23310000000000003"
"19980240","0.2458"
"20085240","0.2392"
"20190240","0.2559"
"20295240","0.2582"
"20400240","0.26539999999999997"
