"Step","ours_seed1 - test_success_rate","ours_seed1 - test_success_rate__MIN","ours_seed1 - test_success_rate__MAX"
"17128800","0.306","0.306","0.306"
"17222400","0.267","0.267","0.267"
"17316000","0.29","0.29","0.29"
"17409600","0.25","0.25","0.25"
"17503200","0.232","0.232","0.232"
"17596800","0.25","0.25","0.25"
"17690400","0.287","0.287","0.287"
"17784000","0.252","0.252","0.252"
"17877600","0.269","0.269","0.269"
"17971200","0.295","0.295","0.295"
"18064800","0.275","0.275","0.275"
"18158400","0.394","0.394","0.394"
"18252000","0.272","0.272","0.272"
"18345600","0.344","0.344","0.344"
"18439200","0.312","0.312","0.312"
"18532800","0.309","0.309","0.309"
"18626400","0.377","0.377","0.377"
"18720000","0.288","0.288","0.288"
"18813600","0.397","0.397","0.397"
"18907200","0.444","0.444","0.444"
"19000800","0.375","0.375","0.375"
"19094400","0.407","0.407","0.407"
"19188000","0.306","0.306","0.306"
"19281600","0.431","0.431","0.431"
"19375200","0.415","0.415","0.415"
"19468800","0.428","0.428","0.428"
"19562400","0.385","0.385","0.385"
"19656000","0.452","0.452","0.452"
"19749600","0.351","0.351","0.351"
"19843200","0.427","0.427","0.427"
"19936800","0.414","0.414","0.414"
"20030400","0.436","0.436","0.436"
"20124000","0.483","0.483","0.483"
"20217600","0.482","0.482","0.482"
"20311200","0.452","0.452","0.452"
"20404800","0.557","0.557","0.557"
"20498400","0.501","0.501","0.501"
"20592000","0.458","0.458","0.458"
"20685600","0.466","0.466","0.466"
"20779200","0.482","0.482","0.482"
"20872800","0.447","0.447","0.447"
"20966400","0.535","0.535","0.535"
"21060000","0.56","0.56","0.56"
"21153600","0.554","0.554","0.554"
"21247200","0.618","0.618","0.618"
"21340800","0.523","0.523","0.523"
"21434400","0.606","0.606","0.606"
"21528000","0.576","0.576","0.576"
"21621600","0.633","0.633","0.633"
"21715200","0.584","0.584","0.584"
"21808800","0.555","0.555","0.555"
"21902400","0.715","0.715","0.715"
"21996000","0.608","0.608","0.608"
"22089600","0.755","0.755","0.755"
"22183200","0.783","0.783","0.783"
"22276800","0.783","0.783","0.783"
"22370400","0.844","0.844","0.844"
"22464000","0.805","0.805","0.805"
"22557600","0.755","0.755","0.755"
"22651200","0.845","0.845","0.845"
"22744800","0.836","0.836","0.836"
"22838400","0.826","0.826","0.826"
"22932000","0.829","0.829","0.829"
"23025600","0.829","0.829","0.829"
"23119200","0.866","0.866","0.866"
"23212800","0.857","0.857","0.857"
"23306400","0.927","0.927","0.927"
"23400000","0.877","0.877","0.877"
"23493600","0.869","0.869","0.869"
"23587200","0.914","0.914","0.914"
"23680800","0.953","0.953","0.953"
"23774400","0.925","0.925","0.925"
"23868000","0.908","0.908","0.908"
"23961600","0.907","0.907","0.907"
"24055200","0.94","0.94","0.94"
"24148800","0.923","0.923","0.923"
"24242400","0.925","0.925","0.925"
"24336000","0.932","0.932","0.932"
"24429600","0.955","0.955","0.955"
"24523200","0.96","0.96","0.96"
"24616800","0.947","0.947","0.947"
"24710400","0.932","0.932","0.932"
"24804000","0.957","0.957","0.957"
"24897600","0.964","0.964","0.964"
"24991200","0.956","0.956","0.956"
"25084800","0.983","0.983","0.983"
"25178400","0.967","0.967","0.967"
"25272000","0.971","0.971","0.971"
"25365600","0.984","0.984","0.984"
"25459200","0.978","0.978","0.978"
"25552800","0.983","0.983","0.983"
"25646400","0.937","0.937","0.937"
"25740000","0.983","0.983","0.983"
"25833600","0.963","0.963","0.963"
"25927200","0.957","0.957","0.957"
"26020800","0.963","0.963","0.963"
"26114400","0.955","0.955","0.955"
"26208000","0.987","0.987","0.987"
"26301600","0.954","0.954","0.954"
"26395200","0.983","0.983","0.983"
"26488800","0.974","0.974","0.974"
"26582400","0.939","0.939","0.939"
"26676000","0.979","0.979","0.979"
"26769600","0.965","0.965","0.965"
"26863200","0.977","0.977","0.977"
"26956800","0.971","0.971","0.971"
"27050400","0.967","0.967","0.967"
"27144000","0.983","0.983","0.983"
"27237600","0.972","0.972","0.972"
"27331200","0.981","0.981","0.981"
"27424800","0.958","0.958","0.958"
"27518400","0.956","0.956","0.956"
"27612000","0.976","0.976","0.976"
"27705600","0.967","0.967","0.967"
"27799200","0.992","0.992","0.992"
"27892800","0.967","0.967","0.967"
"27986400","0.96","0.96","0.96"
"28080000","0.922","0.922","0.922"
"28173600","0.959","0.959","0.959"
"28267200","0.973","0.973","0.973"
"28360800","0.94","0.94","0.94"
"28454400","0.962","0.962","0.962"
"28548000","0.972","0.972","0.972"
"28641600","0.978","0.978","0.978"
"28735200","0.958","0.958","0.958"
"28828800","0.991","0.991","0.991"
"28922400","0.968","0.968","0.968"
"29016000","0.977","0.977","0.977"
"29109600","0.979","0.979","0.979"
"29203200","0.986","0.986","0.986"
"29296800","0.994","0.994","0.994"
"29390400","0.98","0.98","0.98"
"29484000","0.964","0.964","0.964"
"29577600","0.966","0.966","0.966"
"29671200","0.981","0.981","0.981"
"29764800","0.974","0.974","0.974"
"29858400","0.979","0.979","0.979"
"29952000","0.984","0.984","0.984"
"30045600","0.984","0.984","0.984"
"30139200","0.99","0.99","0.99"
"30232800","0.963","0.963","0.963"
"30326400","0.975","0.975","0.975"
"30420000","0.976","0.976","0.976"
"30513600","0.986","0.986","0.986"
"30607200","0.976","0.976","0.976"
"30700800","0.984","0.984","0.984"
"30794400","0.972","0.972","0.972"
"30888000","0.948","0.948","0.948"
"30981600","0.966","0.966","0.966"
"31075200","0.985","0.985","0.985"
"31168800","0.991","0.991","0.991"
"31262400","0.978","0.978","0.978"
"31356000","0.99","0.99","0.99"
"31449600","0.991","0.991","0.991"
"31543200","0.977","0.977","0.977"
"31636800","0.977","0.977","0.977"
"31730400","0.982","0.982","0.982"
"31824000","0.977","0.977","0.977"
"31917600","0.976","0.976","0.976"
"32011200","0.996","0.996","0.996"
"32104800","0.981","0.981","0.981"
"32198400","0.98","0.98","0.98"
"32292000","0.984","0.984","0.984"
"32385600","0.985","0.985","0.985"
"32479200","0.975","0.975","0.975"
"32572800","0.961","0.961","0.961"
"32666400","0.985","0.985","0.985"
"32760000","0.971","0.971","0.971"
"32853600","0.961","0.961","0.961"
"32947200","0.974","0.974","0.974"
"33040800","0.975","0.975","0.975"
"33134400","0.985","0.985","0.985"
"33228000","0.989","0.989","0.989"
"33321600","0.942","0.942","0.942"
"33415200","0.965","0.965","0.965"
"33508800","0.999","0.999","0.999"
"33602400","0.989","0.989","0.989"
"33696000","0.989","0.989","0.989"
"33789600","0.981","0.981","0.981"
"33883200","0.973","0.973","0.973"
"33976800","0.999","0.999","0.999"
"34070400","0.997","0.997","0.997"
"34164000","0.987","0.987","0.987"
"34257600","0.993","0.993","0.993"
"34351200","0.993","0.993","0.993"
"34444800","0.999","0.999","0.999"
"34538400","0.976","0.976","0.976"
"34632000","0.987","0.987","0.987"
"34725600","0.994","0.994","0.994"
"34819200","0.985","0.985","0.985"
"34912800","0.973","0.973","0.973"
"35006400","0.999","0.999","0.999"
"35100000","0.998","0.998","0.998"
"35193600","0.999","0.999","0.999"
"35287200","0.979","0.979","0.979"
"35380800","0.989","0.989","0.989"
"35474400","0.967","0.967","0.967"
"35568000","0.986","0.986","0.986"
"35661600","0.986","0.986","0.986"
"35755200","0.986","0.986","0.986"
"35848800","0.976","0.976","0.976"
"35942400","0.971","0.971","0.971"
"36036000","0.977","0.977","0.977"
"36129600","0.962","0.962","0.962"
"36223200","0.998","0.998","0.998"
"36316800","0.986","0.986","0.986"
"36410400","0.974","0.974","0.974"
"36504000","0.971","0.971","0.971"
"36597600","0.973","0.973","0.973"
"36691200","0.979","0.979","0.979"
"36784800","0.985","0.985","0.985"
"36878400","0.959","0.959","0.959"
"36972000","0.987","0.987","0.987"
"37065600","0.987","0.987","0.987"
"37159200","0.99","0.99","0.99"
"37252800","0.994","0.994","0.994"
"37346400","0.987","0.987","0.987"
"37440000","0.991","0.991","0.991"
"37533600","0.987","0.987","0.987"
"37627200","1","1","1"
"37720800","0.994","0.994","0.994"
"37814400","0.987","0.987","0.987"
"37908000","0.995","0.995","0.995"
"38001600","1","1","1"
"38095200","0.988","0.988","0.988"
"38188800","1","1","1"
"38282400","0.995","0.995","0.995"
"38376000","0.988","0.988","0.988"
"38469600","0.953","0.953","0.953"
"38563200","0.988","0.988","0.988"
"38656800","0.999","0.999","0.999"
"38750400","0.992","0.992","0.992"
"38844000","0.96","0.96","0.96"
"38937600","0.994","0.994","0.994"
"39031200","0.939","0.939","0.939"
"39124800","0.977","0.977","0.977"
"39218400","0.937","0.937","0.937"
"39312000","0.944","0.944","0.944"
"39405600","0.956","0.956","0.956"
"39499200","0.977","0.977","0.977"
