"Step","sp_wo_evaluation_seed3 - cover_rate_1step"
"105000","0"
"210000","0"
"315000","0.0005"
"420000","0.002"
"525000","0.0025"
"630000","0.004"
"735000","0.0055"
"840000","0.0095"
"945000","0.0095"
"1050000","0.0155"
"1155000","0.0905"
"1260000","0.125"
"1365000","0.173"
"1470000","0.259"
"1575000","0.3215"
"1680000","0.3205"
"1785000","0.3395"
"1890000","0.3495"
"1995000","0.3355"
"2100000","0.2975"
"2205000","0.338"
"2310000","0.2995"
"2415000","0.3195"
"2520000","0.363"
"2625000","0.378"
"2730000","0.374"
"2835000","0.369"
"2940000","0.356"
"3045000","0.3715"
"3150000","0.4015"
"3255000","0.4205"
"3360000","0.403"
"3465000","0.442"
"3570000","0.4385"
"3675000","0.4225"
"3780000","0.426"
"3885000","0.4455"
"3990000","0.429"
"4095000","0.4425"
"4200000","0.462"
"4305000","0.469"
"4410000","0.4865"
"4515000","0.4955"
"4620000","0.518"
"4725000","0.5265"
"4830000","0.5285"
"4935000","0.537"
"5040000","0.5525"
"5145000","0.551"
"5250000","0.5755"
"5355000","0.5665"
"5460000","0.5775"
"5565000","0.598"
"5670000","0.593"
"5775000","0.5805"
"5880000","0.597"
"5985000","0.6115"
"6090000","0.604"
"6195000","0.6135"
"6300000","0.636"
"6405000","0.65"
"6510000","0.661"
"6615000","0.647"
"6720000","0.6415"
"6825000","0.6855"
"6930000","0.6665"
"7035000","0.6925"
"7140000","0.695"
"7245000","0.6965"
"7350000","0.6855"
"7455000","0.6795"
"7560000","0.6845"
"7665000","0.698"
"7770000","0.714"
"7875000","0.6985"
"7980000","0.7005"
"8085000","0.6965"
"8190000","0.7045"
"8295000","0.6995"
"8400000","0.7175"
"8505000","0.7245"
"8610000","0.7115"
"8715000","0.732"
"8820000","0.727"
"8925000","0.7315"
"9030000","0.7365"
"9135000","0.7465"
"9240000","0.7535"
"9345000","0.7385"
"9450000","0.7345"
"9555000","0.76"
"9660000","0.758"
"9765000","0.7585"
"9870000","0.745"
"9975000","0.7595"
"10080000","0.778"
"10185000","0.7765"
"10290000","0.7665"
"10395000","0.777"
"10500000","0.784"
"10605000","0.792"
"10710000","0.758"
"10815000","0.7635"
"10920000","0.763"
"11025000","0.7715"
"11130000","0.779"
"11235000","0.783"
"11340000","0.8035"
"11445000","0.7905"
"11550000","0.7965"
"11655000","0.8025"
"11760000","0.808"
"11865000","0.8015"
"11970000","0.8015"
"12075000","0.781"
"12180000","0.8025"
"12285000","0.8005"
"12390000","0.8025"
"12495000","0.8235"
"12600000","0.7925"
"12705000","0.798"
"12810000","0.8045"
"12915000","0.8115"
"13020000","0.8075"
"13125000","0.8085"
"13230000","0.8005"
"13335000","0.82"
"13440000","0.844"
"13545000","0.8165"
"13650000","0.817"
"13755000","0.8315"
"13860000","0.8305"
"13965000","0.835"
"14070000","0.833"
"14175000","0.82"
"14280000","0.8225"
"14385000","0.8545"
"14490000","0.8525"
"14595000","0.843"
"14700000","0.832"
"14805000","0.832"
"14910000","0.83"
"15015000","0.8335"
"15120000","0.8325"
"15225000","0.85"
"15330000","0.831"
"15435000","0.856"
"15540000","0.857"
"15645000","0.858"
"15750000","0.8545"
"15855000","0.8535"
"15960000","0.86"
"16065000","0.8505"
"16170000","0.867"
"16275000","0.854"
"16380000","0.861"
"16485000","0.8515"
"16590000","0.8555"
"16695000","0.8435"
"16800000","0.8585"
"16905000","0.8725"
"17010000","0.8645"
"17115000","0.8595"
"17220000","0.8475"
"17325000","0.8435"
"17430000","0.858"
"17535000","0.8505"
"17640000","0.8625"
"17745000","0.8565"
"17850000","0.862"
"17955000","0.878"
"18060000","0.8485"
"18165000","0.851"
"18270000","0.873"
"18375000","0.867"
"18480000","0.871"
"18585000","0.872"
"18690000","0.8755"
"18795000","0.896"
"18900000","0.876"
"19005000","0.8755"
"19110000","0.865"
"19215000","0.88"
"19320000","0.8805"
"19425000","0.8765"
"19530000","0.887"
"19635000","0.8825"
"19740000","0.8875"
"19845000","0.8835"
"19950000","0.872"
"20055000","0.893"
"20160000","0.8935"
"20265000","0.8865"
"20370000","0.8795"
"20475000","0.9035"
"20580000","0.8925"
"20685000","0.8885"
"20790000","0.893"
"20895000","0.8805"
"21000000","0.8945"
"21105000","0.892"
"21210000","0.8865"
"21315000","0.894"
"21420000","0.904"
"21525000","0.903"
"21630000","0.8905"
