"Step","mixdecay4n8_finalversion_seed2 - 8cover_rate"
"27919290","0.89045"
"28118580","0.881575"
"28317870","0.887675"
"28517160","0.8874000000000001"
"28716450","0.8862249999999999"
"28915740","0.881125"
"29115030","0.8874749999999999"
"29314320","0.8734749999999999"
"29513610","0.8684"
"29712900","0.894025"
"29907150","0.8918499999999999"
"30101400","0.88875"
"30295650","0.9011"
"30489900","0.903125"
"30684150","0.8842749999999999"
"30878400","0.8759499999999999"
"31072650","0.883775"
"31266900","0.8741"
"31461150","0.8782000000000001"
"31655400","0.8959749999999999"
"31844400","0.875375"
"32033400","0.86445"
"32222400","0.8763500000000001"
"32411400","0.87325"
"32600400","0.8856499999999999"
"32789400","0.900225"
"32978400","0.912625"
"33167400","0.912525"
"33356400","0.91475"
"33545400","0.91345"
"33728940","0.9176"
"33912480","0.921275"
"34096020","0.913825"
"34279560","0.912575"
"34463100","0.9245"
"34646640","0.927325"
"34830180","0.919175"
"35013720","0.925625"
"35197260","0.9231"
"35380800","0.9063"
"35559510","0.908425"
"35738220","0.901525"
"35916930","0.9067"
"36095640","0.8912749999999999"
"36274350","0.8839499999999999"
"36453060","0.8935"
"36631770","0.914875"
"36810480","0.901025"
"36989190","0.872675"
"37167900","0.880775"
"37341150","0.904925"
"37514400","0.8865999999999999"
"37687650","0.8766"
"37860900","0.8827999999999999"
"38034150","0.8672249999999999"
"38207400","0.87975"
"38380650","0.8915"
"38553900","0.8932749999999998"
"38727150","0.9057"
"38900400","0.901075"
"39068400","0.8907499999999999"
"39236400","0.8824749999999999"
"39404400","0.887825"
"39572400","0.87725"
"39740400","0.873625"
"39908400","0.8765999999999999"
"40076400","0.874775"
"40244400","0.8744500000000001"
"40412400","0.8857999999999999"
"40580400","0.8685999999999999"
"40742940","0.88215"
"40905480","0.903775"
"41068020","0.88975"
"41230560","0.892925"
"41393100","0.89895"
"41555640","0.90295"
"41718180","0.910575"
"41880720","0.9037"
"42043260","0.913275"
"42205800","0.8933"
"42363510","0.891825"
"42521220","0.8864"
"42678930","0.8774500000000001"
"42836640","0.8834249999999999"
"42994350","0.892675"
"43152060","0.8985"
"43309770","0.878325"
"43467480","0.869325"
"43625190","0.8697249999999999"
"43782900","0.855825"
"43935150","0.8667749999999999"
"44087400","0.861825"
