"Step","reverse_pb_eval1_final_version_seed2 - cover_rate_1step"
"60000","0.018"
"120000","0.012"
"180000","0.016"
"240000","0.014"
"300000","0.015"
"360000","0.015"
"420000","0.021"
"480000","0.014"
"540000","0.018"
"600000","0.014"
"660000","0.02"
"720000","0.015"
"780000","0.02"
"840000","0.013"
"900000","0.014"
"960000","0.014"
"1020000","0.02"
"1080000","0.026"
"1140000","0.02"
"1200000","0.016"
"1260000","0.021"
"1320000","0.024"
"1380000","0.017"
"1440000","0.013"
"1500000","0.019"
"1560000","0.008"
"1620000","0.017"
"1680000","0.013"
"1740000","0.016"
"1800000","0.015"
"1860000","0.019"
"1920000","0.014"
"1980000","0.013"
"2040000","0.009"
"2100000","0.015"
"2160000","0.025"
"2220000","0.025"
"2280000","0.024"
"2340000","0.017"
"2400000","0.01"
"2460000","0.012"
"2520000","0.018"
"2580000","0.017"
"2640000","0.022"
"2700000","0.021"
"2760000","0.014"
"2820000","0.014"
"2880000","0.017"
"2940000","0.011"
"3000000","0.025"
"3060000","0.01"
"3120000","0.011"
"3180000","0.008"
"3240000","0.016"
"3300000","0.023"
"3360000","0.017"
"3420000","0.014"
"3480000","0.018"
"3540000","0.011"
"3600000","0.013"
"3660000","0.017"
"3720000","0.017"
"3780000","0.014"
"3840000","0.016"
"3900000","0.017"
"3960000","0.017"
"4020000","0.011"
"4080000","0.015"
"4140000","0.015"
"4200000","0.011"
"4260000","0.025"
"4320000","0.015"
"4380000","0.016"
"4440000","0.013"
"4500000","0.02"
"4560000","0.018"
"4620000","0.021"
"4680000","0.019"
"4740000","0.015"
"4800000","0.016"
"4860000","0.014"
"4920000","0.014"
"4980000","0.027"
"5040000","0.011"
"5100000","0.014"
"5160000","0.016"
"5220000","0.017"
"5280000","0.015"
"5340000","0.019"
"5400000","0.019"
"5460000","0.024"
"5520000","0.014"
"5580000","0.014"
"5640000","0.016"
"5700000","0.013"
"5760000","0.023"
"5820000","0.014"
"5880000","0.012"
"5940000","0.022"
"6000000","0.016"
"6060000","0.02"
"6120000","0.023"
"6180000","0.016"
"6240000","0.02"
"6300000","0.016"
"6360000","0.019"
"6420000","0.016"
"6480000","0.022"
"6540000","0.018"
"6600000","0.015"
"6660000","0.019"
"6720000","0.016"
"6780000","0.017"
"6840000","0.02"
"6900000","0.016"
"6960000","0.016"
"7020000","0.019"
"7080000","0.015"
"7140000","0.022"
"7200000","0.015"
"7260000","0.029"
"7320000","0.015"
"7380000","0.017"
"7440000","0.016"
"7500000","0.017"
"7560000","0.016"
"7620000","0.024"
"7680000","0.018"
"7740000","0.016"
"7800000","0.031"
"7860000","0.018"
"7920000","0.019"
"7980000","0.021"
"8040000","0.014"
"8100000","0.015"
"8160000","0.012"
"8220000","0.023"
"8280000","0.023"
"8340000","0.015"
"8400000","0.019"
"8460000","0.017"
"8520000","0.019"
"8580000","0.015"
"8640000","0.018"
"8700000","0.025"
"8760000","0.017"
"8820000","0.018"
"8880000","0.019"
"8940000","0.016"
"9000000","0.021"
"9060000","0.018"
"9120000","0.02"
"9180000","0.02"
"9240000","0.021"
"9300000","0.02"
"9360000","0.021"
"9420000","0.009"
"9480000","0.013"
"9540000","0.016"
"9600000","0.015"
"9660000","0.02"
"9720000","0.019"
"9780000","0.021"
"9840000","0.024"
"9900000","0.017"
"9960000","0.015"
"10020000","0.025"
"10080000","0.019"
"10140000","0.028"
"10200000","0.022"
"10260000","0.028"
"10320000","0.031"
"10380000","0.024"
"10440000","0.014"
"10500000","0.022"
"10560000","0.024"
"10620000","0.019"
"10680000","0.016"
"10740000","0.027"
"10800000","0.022"
"10860000","0.016"
"10920000","0.028"
"10980000","0.027"
"11040000","0.014"
"11100000","0.022"
"11160000","0.022"
"11220000","0.024"
"11280000","0.016"
"11340000","0.025"
"11400000","0.019"
"11460000","0.029"
"11520000","0.02"
"11580000","0.017"
"11640000","0.014"
"11700000","0.025"
"11760000","0.025"
"11820000","0.025"
"11880000","0.029"
"11940000","0.022"
"12000000","0.021"
"12060000","0.037"
"12120000","0.025"
"12180000","0.027"
"12240000","0.019"
"12300000","0.029"
"12360000","0.031"
"12420000","0.032"
"12480000","0.028"
"12540000","0.026"
"12600000","0.027"
"12660000","0.032"
"12720000","0.025"
"12780000","0.024"
"12840000","0.033"
"12900000","0.033"
"12960000","0.025"
"13020000","0.02"
"13080000","0.034"
"13140000","0.026"
"13200000","0.021"
"13260000","0.035"
"13320000","0.03"
"13380000","0.029"
"13440000","0.034"
"13500000","0.034"
"13560000","0.028"
"13620000","0.034"
"13680000","0.032"
"13740000","0.036"
"13800000","0.018"
"13860000","0.03"
"13920000","0.034"
"13980000","0.025"
"14040000","0.04"
"14100000","0.021"
"14160000","0.032"
"14220000","0.031"
"14280000","0.034"
"14340000","0.024"
"14400000","0.042"
"14460000","0.033"
"14520000","0.028"
"14580000","0.027"
"14640000","0.03"
"14700000","0.034"
"14760000","0.024"
"14820000","0.04"
"14880000","0.034"
"14940000","0.038"
"15000000","0.04"
"15060000","0.038"
"15120000","0.044"
"15180000","0.038"
"15240000","0.043"
"15300000","0.041"
"15360000","0.041"
"15420000","0.04"
"15480000","0.027"
"15540000","0.038"
"15600000","0.047"
"15660000","0.039"
"15720000","0.049"
"15780000","0.049"
"15840000","0.055"
"15900000","0.04"
"15960000","0.044"
"16020000","0.038"
"16080000","0.055"
"16140000","0.061"
"16200000","0.051"
"16260000","0.049"
"16320000","0.059"
"16380000","0.064"
"16440000","0.051"
"16500000","0.058"
"16560000","0.051"
"16620000","0.076"
"16680000","0.064"
"16740000","0.079"
"16800000","0.067"
"16860000","0.073"
"16920000","0.081"
"16980000","0.068"
"17040000","0.081"
"17100000","0.091"
"17160000","0.081"
"17220000","0.09"
"17280000","0.077"
"17340000","0.084"
"17400000","0.088"
"17460000","0.088"
"17520000","0.09"
"17580000","0.101"
"17640000","0.109"
"17700000","0.108"
"17760000","0.106"
"17820000","0.111"
"17880000","0.104"
"17940000","0.124"
"18000000","0.123"
"18060000","0.117"
"18120000","0.11"
"18180000","0.128"
"18240000","0.116"
"18300000","0.107"
"18360000","0.099"
"18420000","0.113"
"18480000","0.118"
"18540000","0.125"
"18600000","0.124"
"18660000","0.134"
"18720000","0.113"
"18780000","0.121"
"18840000","0.136"
"18900000","0.123"
"18960000","0.141"
"19020000","0.132"
"19080000","0.13"
"19140000","0.119"
"19200000","0.118"
"19260000","0.137"
"19320000","0.133"
"19380000","0.149"
"19440000","0.126"
"19500000","0.145"
"19560000","0.144"
"19620000","0.137"
"19680000","0.138"
"19740000","0.146"
"19800000","0.169"
"19860000","0.153"
"19920000","0.167"
"19980000","0.148"
"20040000","0.15"
"20100000","0.162"
"20160000","0.135"
"20220000","0.149"
"20280000","0.147"
"20340000","0.128"
"20400000","0.152"
"20460000","0.172"
"20520000","0.155"
"20580000","0.157"
"20640000","0.163"
"20700000","0.168"
"20760000","0.141"
"20820000","0.165"
"20880000","0.151"
"20940000","0.152"
"21000000","0.135"
"21060000","0.148"
"21120000","0.169"
"21180000","0.164"
"21240000","0.166"
"21300000","0.177"
"21360000","0.171"
"21420000","0.151"
"21480000","0.168"
"21540000","0.157"
"21600000","0.17"
"21660000","0.178"
"21720000","0.158"
"21780000","0.153"
"21840000","0.187"
"21900000","0.17"
"21960000","0.168"
"22020000","0.17"
"22080000","0.181"
"22140000","0.176"
"22200000","0.168"
"22260000","0.168"
"22320000","0.152"
"22380000","0.173"
"22440000","0.187"
"22500000","0.16"
"22560000","0.175"
"22620000","0.201"
"22680000","0.181"
"22740000","0.178"
"22800000","0.184"
"22860000","0.153"
"22920000","0.179"
"22980000","0.182"
"23040000","0.179"
"23100000","0.175"
"23160000","0.162"
"23220000","0.166"
"23280000","0.178"
"23340000","0.188"
"23400000","0.206"
"23460000","0.194"
"23520000","0.196"
"23580000","0.172"
"23640000","0.176"
"23700000","0.181"
"23760000","0.193"
"23820000","0.192"
"23880000","0.186"
"23940000","0.194"
"24000000","0.2"
"24060000","0.188"
"24120000","0.201"
"24180000","0.18"
"24240000","0.203"
"24300000","0.209"
"24360000","0.18"
"24420000","0.21"
"24480000","0.208"
"24540000","0.19"
"24600000","0.2"
"24660000","0.195"
"24720000","0.171"
"24780000","0.2"
"24840000","0.201"
"24900000","0.192"
"24960000","0.205"
"25020000","0.196"
"25080000","0.177"
"25140000","0.205"
"25200000","0.189"
"25260000","0.231"
"25320000","0.207"
"25380000","0.193"
"25440000","0.201"
"25500000","0.192"
"25560000","0.184"
"25620000","0.2"
"25680000","0.204"
"25740000","0.215"
"25800000","0.208"
"25860000","0.197"
"25920000","0.196"
"25980000","0.217"
"26040000","0.202"
"26100000","0.192"
"26160000","0.192"
"26220000","0.212"
"26280000","0.202"
"26340000","0.221"
"26400000","0.224"
"26460000","0.21"
"26520000","0.209"
"26580000","0.205"
"26640000","0.228"
"26700000","0.194"
"26760000","0.236"
"26820000","0.234"
"26880000","0.224"
"26940000","0.239"
"27000000","0.226"
"27060000","0.228"
"27120000","0.248"
"27180000","0.217"
"27240000","0.221"
"27300000","0.23"
"27360000","0.242"
"27420000","0.22"
"27480000","0.231"
"27540000","0.221"
"27600000","0.23"
"27660000","0.224"
"27720000","0.215"
"27780000","0.227"
"27840000","0.269"
"27900000","0.235"
"27960000","0.234"
"28020000","0.228"
"28080000","0.245"
"28140000","0.215"
"28200000","0.229"
"28260000","0.234"
"28320000","0.25"
"28380000","0.233"
"28440000","0.246"
"28500000","0.219"
"28560000","0.242"
"28620000","0.223"
"28680000","0.24"
"28740000","0.251"
"28800000","0.252"
"28860000","0.235"
"28920000","0.225"
"28980000","0.232"
"29040000","0.224"
"29100000","0.214"
"29160000","0.246"
"29220000","0.247"
"29280000","0.238"
"29340000","0.23"
"29400000","0.236"
"29460000","0.223"
"29520000","0.228"
"29580000","0.23"
"29640000","0.235"
"29700000","0.241"
"29760000","0.249"
"29820000","0.242"
"29880000","0.236"
"29940000","0.26"
"30000000","0.242"
"30060000","0.232"
"30120000","0.238"
"30180000","0.222"
"30240000","0.228"
"30300000","0.235"
"30360000","0.245"
"30420000","0.226"
