Step,decay_fre300_pb_minibatch8_woclip_seed2 - 4cover_rate
113040000,0.8204
113328000,0.8225
113616000,0.8041
113904000,0.8026
114192000,0.8084
114480000,0.8166
114768000,0.7989
115056000,0.8193
115344000,0.8204
115632000,0.7992
115920000,0.7948
116208000,0.8029
116496000,0.8227
116784000,0.8338
117072000,0.8247
117360000,0.8247
117648000,0.8332
117936000,0.8329
118224000,0.8266
118512000,0.8336
118800000,0.8246
119088000,0.8308
119376000,0.8359
119664000,0.8425
119952000,0.8131
120240000,0.821
120528000,0.8225
120816000,0.8227
121104000,0.8429
121392000,0.8276
121680000,0.8237
121968000,0.8403
122256000,0.8272
122544000,0.8304
122832000,0.8207
123120000,0.8265
123408000,0.8526
123696000,0.839
123984000,0.8366
124272000,0.8381
124560000,0.8407
124848000,0.8424
125136000,0.8476
125424000,0.8536
125712000,0.8571
126000000,0.8602
126269640,0.8563
126539280,0.8504
126808920,0.8603
127078560,0.8497
127348200,0.865
127617840,0.8524
127887480,0.8575
128157120,0.8579
128426760,0.8528
128696400,0.8567
128966040,0.8507
129235680,0.8504
129505320,0.8578
129774960,0.8517
130044600,0.8313
130314240,0.851
130583880,0.8502
130853520,0.8361
131123160,0.8381
131392800,0.8355
131662440,0.8372
131932080,0.8313
132201720,0.8414
132471360,0.8597
132741000,0.8484
133010640,0.8487
133280280,0.8447
133549920,0.8458
133819560,0.8407
134089200,0.8452
134358840,0.8575
134628480,0.8397
134898120,0.8306
135167760,0.8468
135437400,0.8603
135707040,0.8451
135976680,0.8573
136246320,0.8536
136515960,0.8551
136785600,0.854
137055240,0.8297
137324880,0.8403
137594520,0.8393
137864160,0.8267
138133800,0.8528
138403440,0.8349
138673080,0.838
138942720,0.8263
139212360,0.8364
139482000,0.8324
139751640,0.8412
140021280,0.8544
140290920,0.838
140560560,0.8575
140830200,0.8366
141099840,0.836
141369480,0.8417
141639120,0.8585
141908760,0.8724
142178400,0.8556
142448040,0.8665
142717680,0.8548
142987320,0.8561
143256960,0.862
143526600,0.8357
143796240,0.8219
144065880,0.8227
144335520,0.8124
144605160,0.817
144874800,0.8224
145144440,0.8206
145414080,0.8288
145683720,0.8388
145953360,0.8275
146223000,0.8369
146492640,0.8272
146762280,0.8424
147031920,0.8327
147301560,0.8516
147571200,0.8544
147840840,0.8564
148110480,0.8679
148380120,0.8572
148649760,0.8469
148919400,0.854
149189040,0.854
149458680,0.855
149728320,0.8616
149997960,0.8568
150267600,0.8526
150537240,0.8523
150806880,0.8452
151076520,0.8459
151346160,0.8374
151615800,0.8367
151885440,0.8374
152155080,0.844
152424720,0.8392
152694360,0.8491
152964000,0.8357
153216000,0.8447
153468000,0.8285
153720000,0.8362
153972000,0.8396
154224000,0.8516
154476000,0.8423
154728000,0.8486
154980000,0.8426
155232000,0.8631
155484000,0.859
155736000,0.8559
155988000,0.8479
156240000,0.8512
156492000,0.8473
156744000,0.8535
156996000,0.8629
157248000,0.8556
157500000,0.8589
157752000,0.8534
158004000,0.8529
158256000,0.8574
158508000,0.8542
158760000,0.8405
159012000,0.8635
159264000,0.8683
159516000,0.874
159768000,0.8703
160020000,0.8491
160272000,0.8535
160524000,0.861
160776000,0.8454
161028000,0.8664
161280000,0.8633
161532000,0.8584
161784000,0.8593
162036000,0.8615
162288000,0.871
162540000,0.8732
162792000,0.8669
163044000,0.8569
163296000,0.851
163548000,0.8772
163800000,0.8835
164052000,0.882
164304000,0.8776
164556000,0.878
164808000,0.8831
165060000,0.8784
165312000,0.8741
165564000,0.8808
165816000,0.8692
166068000,0.881
166320000,0.8745
166572000,0.8808
166824000,0.8857
167076000,0.8886
167328000,0.8857
167580000,0.88
167832000,0.8863
168084000,0.8784
168336000,0.8837
168588000,0.8762
168840000,0.8931
169092000,0.8823
169344000,0.89
169596000,0.8919
169848000,0.8817
170100000,0.8806
170352000,0.8824
170604000,0.8829
170856000,0.8858
171108000,0.8853
171360000,0.8864
171612000,0.8824
171864000,0.8836
172116000,0.8806
172368000,0.8823
172620000,0.8681
172872000,0.8785
173124000,0.8723
173376000,0.8927
173628000,0.8842
173880000,0.8777
174132000,0.8781
174384000,0.8857
174636000,0.8866
174888000,0.8905
175140000,0.8907
175392000,0.8892
175644000,0.8863
175896000,0.9001
176148000,0.8811
176400000,0.8947
176652000,0.8974
176904000,0.8782
177156000,0.8932
177408000,0.8796
177660000,0.8944
177912000,0.8974
178164000,0.8915
178398000,0.8879
178632000,0.8964
178866000,0.8952
179100000,0.8914
179334000,0.9071
179568000,0.898
179802000,0.8925
180036000,0.8932
180270000,0.8894
180504000,0.8994
180738000,0.8735
180972000,0.8788
181206000,0.8884
181440000,0.8944
181674000,0.8913
181908000,0.8941
182142000,0.8908
182376000,0.8905
182610000,0.8882
182844000,0.8982
183078000,0.9043
183312000,0.8897
183546000,0.8971
183780000,0.9024
184014000,0.8957
184248000,0.8959
184482000,0.8921
184716000,0.8784
184950000,0.8844
185184000,0.8937
185418000,0.8995
185652000,0.8978
185886000,0.886
186120000,0.8903
186354000,0.8844
186588000,0.8941
186822000,0.8974
187056000,0.8992
187290000,0.8905
187524000,0.8931
187758000,0.8846
187992000,0.8999
188226000,0.8942
188460000,0.8966
188694000,0.8969
188928000,0.8972
189162000,0.9025
189396000,0.8982
189630000,0.8992
189864000,0.8983
190098000,0.9046
190332000,0.8966
190566000,0.8984
190800000,0.9076
191034000,0.9017
191268000,0.9115
191502000,0.899
191736000,0.9067
191970000,0.9164
192204000,0.9114
192438000,0.9178
192672000,0.9121
192906000,0.9126
193140000,0.9195
193374000,0.927
193608000,0.9251
193842000,0.9211
194076000,0.9184
194310000,0.9113
194544000,0.9068
194778000,0.9144
195012000,0.9262
195246000,0.9204
195480000,0.9219
195714000,0.9244
195948000,0.9385
196182000,0.9207
196416000,0.9222
196650000,0.9165
196884000,0.9241
197118000,0.923
197352000,0.9336
197586000,0.9417
197820000,0.9343
198054000,0.9114
198288000,0.9315
198522000,0.9369
198756000,0.932
198990000,0.9377
199224000,0.9124
199458000,0.9262
199692000,0.9254
199926000,0.9217
200160000,0.923
200394000,0.9196
200628000,0.9248
