"Step","amigo_sp_4agents_addeasycases_seed2 - cover_rate_5step"
"35000","0.0065"
"70000","0.0050999999999999995"
"105000","0.0060999999999999995"
"140000","0.0045"
"175000","0.004"
"210000","0.0032"
"245000","0.0033000000000000004"
"280000","0.0039"
"315000","0.0032"
"350000","0.0034"
"385000","0.0023"
"420000","0.0011"
"455000","0.0033"
"490000","0.0037"
"525000","0.0037"
"560000","0.0046"
"595000","0.003"
"630000","0.0050999999999999995"
"665000","0.004900000000000001"
"700000","0.0029"
"735000","0.0043"
"770000","0.0038"
"805000","0.0026"
"840000","0.0024"
"875000","0.0057"
"910000","0.0036"
"945000","0.0023"
"980000","0.0022"
"1015000","0.004"
"1050000","0.0014000000000000002"
"1085000","0.0045"
"1120000","0.0038"
"1155000","0.0033"
"1190000","0.0032"
"1225000","0.002599999999999999"
"1260000","0.003"
"1295000","0.0044"
"1330000","0.0023"
"1365000","0.0054"
"1400000","0.0039"
"1435000","0.0029"
"1470000","0.0023"
"1505000","0.0047"
"1540000","0.0038"
"1575000","0.0038"
"1610000","0.006"
"1645000","0.007"
"1680000","0.004"
"1715000","0.0033"
"1750000","0.0023"
"1785000","0.004200000000000001"
"1820000","0.004200000000000001"
"1855000","0.0032"
"1890000","0.0046"
"1925000","0.0022"
"1960000","0.0032"
"1995000","0.003"
"2030000","0.0031"
"2065000","0.003"
"2100000","0.0046"
"2135000","0.0025"
"2170000","0.0040999999999999995"
"2205000","0.0044"
"2240000","0.0019"
"2275000","0.0045"
"2310000","0.0017"
"2345000","0.004"
"2380000","0.004200000000000001"
"2415000","0.004200000000000001"
"2450000","0.0043"
"2485000","0.0033"
"2520000","0.004900000000000001"
"2555000","0.0045"
"2590000","0.0029"
"2625000","0.0032"
"2660000","0.0063"
"2695000","0.004"
"2730000","0.0039"
"2765000","0.0019"
"2800000","0.0018"
"2835000","0.0037"
"2870000","0.0035"
"2905000","0.0046"
"2940000","0.005"
"2975000","0.0046"
"3010000","0.0046"
"3045000","0.0037"
"3080000","0.0034"
"3115000","0.005199999999999999"
"3150000","0.0038"
"3185000","0.0018"
"3220000","0.0033"
"3255000","0.001"
"3290000","0.005900000000000001"
"3325000","0.0014"
"3360000","0.004200000000000001"
"3395000","0.0039"
"3430000","0.005900000000000001"
"3465000","0.0074"
"3500000","0.0044"
"3535000","0.0021999999999999997"
"3570000","0.0033000000000000004"
"3605000","0.0021000000000000003"
"3640000","0.0044"
"3675000","0.0014000000000000002"
"3710000","0.0022"
"3745000","0.0043"
"3780000","0.006300000000000001"
"3815000","0.005199999999999999"
"3850000","0.0065"
"3885000","0.0034"
"3920000","0.0035"
"3955000","0.0034"
"3990000","0.0055"
"4025000","0.0012"
"4060000","0.002099999999999999"
"4095000","0.0033"
"4130000","0.004900000000000001"
"4165000","0.0058"
"4200000","0.005699999999999999"
"4235000","0.002"
"4270000","0.0035"
"4305000","0.0028"
"4340000","0.0072"
"4375000","0.002"
"4410000","0.0039"
"4445000","0.0029"
"4480000","0.0034"
"4515000","0.0027"
"4550000","0.0040999999999999995"
"4585000","0.004399999999999999"
"4620000","0.0014"
"4655000","0.0025"
"4690000","0.0028"
"4725000","0.0045"
"4760000","0.004200000000000001"
"4795000","0.0032"
"4830000","0.0028000000000000004"
"4865000","0.0039"
"4900000","0.004200000000000001"
"4935000","0.0045"
"4970000","0.0029"
"5005000","0.0033"
"5040000","0.0028"
"5075000","0.0043"
"5110000","0.005199999999999999"
"5145000","0.0055"
"5180000","0.0035"
"5215000","0.004300000000000001"
"5250000","0.0024"
"5285000","0.006199999999999999"
"5320000","0.0055"
"5355000","0.0034"
"5390000","0.0027"
"5425000","0.0046"
"5460000","0.0059"
"5495000","0.0067"
"5530000","0.0023"
"5565000","0.005300000000000001"
"5600000","0.0055"
"5635000","0.004"
"5670000","0.001"
"5705000","0.0044"
"5740000","0.0017"
"5775000","0.0052"
"5810000","0.0035"
"5845000","0.002099999999999999"
"5880000","0.0027"
"5915000","0.0029"
"5950000","0.0018"
"5985000","0.0027"
"6020000","0.0043"
"6055000","0.004399999999999999"
"6090000","0.0016"
"6125000","0.0044"
"6160000","0.0052"
"6195000","0.0029"
"6230000","0.0033"
"6265000","0.0034"
"6300000","0.0029"
"6335000","0.0017"
"6370000","0.0060999999999999995"
"6405000","0.0034"
"6440000","0.0050999999999999995"
"6475000","0.0024"
"6510000","0.004600000000000001"
"6545000","0.0050999999999999995"
"6580000","0.0066"
"6615000","0.0050999999999999995"
"6650000","0.0035999999999999995"
"6685000","0.004"
"6720000","0.002"
"6755000","0.0016"
"6790000","0.0062"
"6825000","0.0029"
"6860000","0.0047"
"6895000","0.004200000000000001"
"6930000","0.005"
"6965000","0.0044"
"7000000","0.006300000000000001"
"7035000","0.0028"
"7070000","0.0067"
"7105000","0.0023"
"7140000","0.0035"
"7175000","0.004"
"7210000","0.0038"
"7245000","0.005"
"7280000","0.0029"
"7315000","0.0048"
"7350000","0.002"
"7385000","0.0047"
"7420000","0.0035"
"7455000","0.0028"
"7490000","0.005700000000000001"
"7525000","0.0013"
"7560000","0.0034"
"7595000","0.0039"
"7630000","0.004900000000000001"
"7665000","0.0021000000000000003"
"7700000","0.0054"
"7735000","0.0023"
"7770000","0.003"
"7805000","0.0045"
"7840000","0.0018"
"7875000","0.0038"
"7910000","0.0057"
"7945000","0.0034"
"7980000","0.0039"
"8015000","0.0028"
"8050000","0.0033000000000000004"
"8085000","0.0034"
"8120000","0.0046"
"8155000","0.0050999999999999995"
"8190000","0.007"
"8225000","0.0034"
"8260000","0.0062"
"8295000","0.0046"
"8330000","0.005"
"8365000","0.0037"
"8400000","0.0060999999999999995"
"8435000","0.0033"
"8470000","0.0029"
"8505000","0.0017"
"8540000","0.0032"
"8575000","0.0037"
"8610000","0.0032"
"8645000","0.0021000000000000003"
"8680000","0.0040999999999999995"
"8715000","0.0044"
"8750000","0.001"
"8785000","0.0024"
"8820000","0.0064"
"8855000","0.0040999999999999995"
"8890000","0.003"
"8925000","0.0019"
"8960000","0.0038"
"8995000","0.0023"
"9030000","0.0029"
"9065000","0.004"
"9100000","0.0033000000000000004"
"9135000","0.0037"
"9170000","0.0033"
"9205000","0.0032"
"9240000","0.002099999999999999"
"9275000","0.001"
"9310000","0.0056"
"9345000","0.003"
"9380000","0.0031"
"9415000","0.005199999999999999"
"9450000","0.0018"
"9485000","0.0035"
"9520000","0.0044"
"9555000","0.0048"
"9590000","0.003"
"9625000","0.0044"
"9660000","0.005900000000000001"
"9695000","0.0039"
"9730000","0.002"
"9765000","0.0029"
"9800000","0.0052"
"9835000","0.0064"
"9870000","0.004"
"9905000","0.0036"
"9940000","0.0035"
"9975000","0.0040999999999999995"
"10010000","0.0047"
"10045000","0.0046"
"10080000","0.0046"
"10115000","0.0025"
"10150000","0.0023"
"10185000","0.0021000000000000003"
"10220000","0.0057"
"10255000","0.0030999999999999995"
"10290000","0.008"
"10325000","0.0025"
"10360000","0.0066"
"10395000","0.005300000000000001"
"10430000","0.0033"
"10465000","0.0028"
"10500000","0.0063"
"10535000","0.0039"
"10570000","0.0039"
"10605000","0.0046"
"10640000","0.002"
"10675000","0.005"
"10710000","0.0045"
"10745000","0.0027"
"10780000","0.0023"
"10815000","0.0032"
"10850000","0.0060999999999999995"
"10885000","0.006"
"10920000","0.004"
"10955000","0.0040999999999999995"
"10990000","0.0052"
"11025000","0.006"
"11060000","0.0039"
"11095000","0.0043"
"11130000","0.006300000000000001"
"11165000","0.0050999999999999995"
"11200000","0.0019"
"11235000","0.0039"
"11270000","0.004900000000000001"
"11305000","0.0044"
"11340000","0.0037"
"11375000","0.0015"
"11410000","0.005300000000000001"
"11445000","0.0046"
"11480000","0.0035"
"11515000","0.0028"
"11550000","0.0033"
"11585000","0.006"
"11620000","0.0034"
"11655000","0.0034"
"11690000","0.0032"
"11725000","0.003"
"11760000","0.0063"
"11795000","0.003"
"11830000","0.0025"
"11865000","0.0034"
