"Step","gan_sp_8agents_seed2 - cover_rate_5step"
"70000","0.00595"
"140000","0.00055"
"210000","0"
"280000","0.00005"
"350000","0.0028000000000000004"
"420000","0.00415"
"490000","0.004200000000000001"
"560000","0.00375"
"630000","0.0038"
"700000","0.00145"
"770000","0.00495"
"840000","0.0009500000000000002"
"910000","0.00045"
"980000","0.0016500000000000002"
"1050000","0.00265"
"1120000","0.0043"
"1190000","0.0052"
"1260000","0.0053"
"1330000","0.004849999999999999"
"1400000","0.00495"
"1470000","0.0066"
"1540000","0.0052"
"1610000","0.00525"
"1680000","0.0055"
"1750000","0.004849999999999999"
"1820000","0.0056"
"1890000","0.0049499999999999995"
"1960000","0.00785"
"2030000","0.0076"
"2100000","0.00645"
"2170000","0.0075"
"2240000","0.00695"
"2310000","0.00305"
"2380000","0.00215"
"2450000","0.004399999999999999"
"2520000","0.00325"
"2590000","0.0026"
"2660000","0.0044"
"2730000","0.0033499999999999997"
"2800000","0.00125"
"2870000","0.00275"
"2940000","0.0015"
"3010000","0.0016"
"3080000","0.00095"
"3150000","0.0018"
"3220000","0.00195"
"3290000","0.0010500000000000002"
"3360000","0.0024500000000000004"
"3430000","0.0028"
"3500000","0.0029"
"3570000","0.0023"
"3640000","0.00305"
"3710000","0.0028499999999999997"
"3780000","0.0033"
"3850000","0.0032"
"3920000","0.004200000000000001"
"3990000","0.00415"
"4060000","0.0017"
"4130000","0.0024"
"4200000","0.00405"
"4270000","0.00595"
"4340000","0.003650000000000001"
"4410000","0.00375"
"4480000","0.0072"
"4550000","0.0073"
"4620000","0.007"
"4690000","0.0031500000000000005"
"4760000","0.00285"
"4830000","0.0050999999999999995"
"4900000","0.0103"
"4970000","0.0114"
"5040000","0.0055"
"5110000","0.00315"
"5180000","0.0096"
"5250000","0.0057"
"5320000","0.00445"
"5390000","0.006849999999999999"
"5460000","0.00755"
"5530000","0.00885"
"5600000","0.0054"
"5670000","0.0049499999999999995"
"5740000","0.00735"
"5810000","0.00695"
"5880000","0.0109"
"5950000","0.0132"
"6020000","0.00855"
"6090000","0.008700000000000001"
"6160000","0.008899999999999998"
"6230000","0.0078"
"6300000","0.0065"
"6370000","0.00305"
"6440000","0.0024"
"6510000","0.0034"
"6580000","0.00275"
"6650000","0.0058000000000000005"
"6720000","0.00435"
"6790000","0.00395"
"6860000","0.004550000000000001"
"6930000","0.00435"
"7000000","0.0054"
"7070000","0.00555"
"7140000","0.007949999999999999"
"7210000","0.0059"
"7280000","0.00885"
"7350000","0.00775"
"7420000","0.004"
"7490000","0.00515"
"7560000","0.0051"
"7630000","0.0041"
"7700000","0.0052000000000000015"
"7770000","0.0040999999999999995"
"7840000","0.0056500000000000005"
"7910000","0.0034500000000000004"
"7980000","0.00615"
"8050000","0.006900000000000001"
"8120000","0.0044"
"8190000","0.00805"
"8260000","0.0057"
"8330000","0.00525"
"8400000","0.00295"
"8470000","0.0010500000000000002"
"8540000","0.0016500000000000002"
"8610000","0.00135"
"8680000","0.0005"
"8750000","0.0006000000000000001"
"8820000","0.0006000000000000001"
"8890000","0"
"8960000","0"
"9030000","0"
"9100000","0"
"9170000","0"
"9240000","0"
"9310000","0"
"9380000","0"
"9450000","0"
"9520000","0"
"9590000","0"
"9660000","0"
"9730000","0"
"9800000","0"
"9870000","0"
"9940000","0.00025"
"10010000","0.0003"
"10080000","0.0001"
"10150000","0.00030000000000000003"
"10220000","0.0006000000000000001"
"10290000","0.00030000000000000003"
"10360000","0.0012"
"10430000","0.00115"
"10500000","0.00095"
"10570000","0.0002"
"10640000","0.00115"
"10710000","0.00145"
"10780000","0.002"
"10850000","0.00315"
"10920000","0.0017"
"10990000","0.0003"
"11060000","0.0024"
"11130000","0.00115"
"11200000","0.0008"
"11270000","0.00195"
"11340000","0.0026500000000000004"
"11410000","0.0034"
"11480000","0.0012500000000000002"
"11550000","0.00235"
"11620000","0.0033"
"11690000","0.00235"
"11760000","0.00325"
"11830000","0.0028"
"11900000","0.0034"
"11970000","0.00445"
"12040000","0.0038"
"12110000","0.00325"
"12180000","0.00265"
"12250000","0.005450000000000001"
"12320000","0.00705"
"12390000","0.0064"
"12460000","0.00875"
"12530000","0.00935"
"12600000","0.009200000000000002"
"12670000","0.00715"
"12740000","0.0075"
"12810000","0.0028"
"12880000","0.00825"
"12950000","0.00795"
"13020000","0.0056"
"13090000","0.0053"
"13160000","0.005199999999999999"
"13230000","0.0049499999999999995"
"13300000","0.004449999999999999"
"13370000","0.00535"
"13440000","0.0070999999999999995"
"13510000","0.0097"
"13580000","0.00715"
"13650000","0.011"
"13720000","0.0088"
"13790000","0.009"
"13860000","0.006200000000000001"
"13930000","0.0043"
"14000000","0.0045"
"14070000","0.005849999999999999"
"14140000","0.00645"
"14210000","0.00635"
"14280000","0.00425"
"14350000","0.0074"
"14420000","0.00615"
"14490000","0.00775"
"14560000","0.00955"
"14630000","0.008600000000000002"
"14700000","0.00925"
"14770000","0.00875"
"14840000","0.00775"
"14910000","0.0058"
"14980000","0.0074"
"15050000","0.0098"
"15120000","0.0070999999999999995"
"15190000","0.0092"
"15260000","0.0075"
"15330000","0.0081"
"15400000","0.0056500000000000005"
"15470000","0.0066"
"15540000","0.0050999999999999995"
"15610000","0.0035999999999999995"
"15680000","0.00515"
"15750000","0.0016"
"15820000","0.00135"
"15890000","0.0010500000000000002"
"15960000","0.0012999999999999995"
"16030000","0.0006499999999999999"
"16100000","0.0010500000000000002"
"16170000","0.00145"
"16240000","0.0037"
"16310000","0.0044"
"16380000","0.005950000000000001"
"16450000","0.01015"
"16520000","0.00775"
"16590000","0.00685"
"16660000","0.00765"
"16730000","0.00775"
"16800000","0.0085"
"16870000","0.00845"
"16940000","0.0082"
"17010000","0.0141"
"17080000","0.01165"
"17150000","0.0151"
"17220000","0.01005"
"17290000","0.01225"
"17360000","0.011200000000000002"
"17430000","0.01125"
"17500000","0.0085"
"17570000","0.008450000000000001"
"17640000","0.00845"
"17710000","0.00615"
"17780000","0.009100000000000002"
"17850000","0.00625"
"17920000","0.0102"
"17990000","0.0092"
"18060000","0.0074"
"18130000","0.006350000000000001"
"18200000","0.008400000000000001"
"18270000","0.005300000000000001"
"18340000","0.006050000000000001"
"18410000","0.0093"
"18480000","0.0107"
"18550000","0.0105"
"18620000","0.006"
"18690000","0.0088"
"18760000","0.0143"
"18830000","0.0154"
"18900000","0.01495"
"18970000","0.01345"
"19040000","0.0106"
"19110000","0.01225"
"19180000","0.00925"
"19250000","0.0121"
"19320000","0.012600000000000002"
"19390000","0.0136"
"19460000","0.012399999999999998"
"19530000","0.013100000000000002"
"19600000","0.01375"
"19670000","0.01155"
"19740000","0.008199999999999999"
"19810000","0.01105"
"19880000","0.01165"
"19950000","0.01355"
"20020000","0.01375"
"20090000","0.015450000000000002"
"20160000","0.01155"
"20230000","0.01025"
"20300000","0.0121"
"20370000","0.0108"
"20440000","0.006549999999999999"
"20510000","0.0113"
"20580000","0.00895"
"20650000","0.0103"
"20720000","0.0122"
"20790000","0.0083"
"20860000","0.008950000000000001"
"20930000","0.00855"
"21000000","0.0114"
"21070000","0.00985"
"21140000","0.0094"
"21210000","0.013100000000000002"
"21280000","0.008850000000000002"
"21350000","0.012899999999999998"
"21420000","0.008350000000000002"
"21490000","0.014"
"21560000","0.0116"
"21630000","0.0075"
"21700000","0.008"
"21770000","0.0132"
"21840000","0.01395"
"21910000","0.0121"
"21980000","0.0119"
"22050000","0.0116"
"22120000","0.0071"
"22190000","0.006549999999999999"
"22260000","0.01335"
"22330000","0.0057"
"22400000","0.0052"
"22470000","0.004050000000000001"
"22540000","0.0035"
"22610000","0.0029"
"22680000","0.0016"
"22750000","0.0011500000000000002"
"22820000","0.00535"
"22890000","0.00395"
"22960000","0.0044"
"23030000","0.0064"
"23100000","0.0070999999999999995"
"23170000","0.00675"
"23240000","0.006449999999999999"
"23310000","0.0079"
"23380000","0.012"
"23450000","0.01035"
"23520000","0.00695"
"23590000","0.006849999999999999"
"23660000","0.00945"
"23730000","0.0085"
"23800000","0.0096"
"23870000","0.0085"
"23940000","0.0078"
"24010000","0.0116"
"24080000","0.0129"
"24150000","0.0096"
"24220000","0.01075"
"24290000","0.0093"
"24360000","0.00965"
"24430000","0.0139"
"24500000","0.0132"
"24570000","0.0086"
"24640000","0.0144"
"24710000","0.01245"
"24780000","0.011149999999999998"
"24850000","0.0109"
"24920000","0.01335"
"24990000","0.01195"
"25060000","0.00775"
"25130000","0.01075"
"25200000","0.008450000000000001"
"25270000","0.00885"
"25340000","0.00875"
"25410000","0.01035"
"25480000","0.0083"
"25550000","0.0104"
"25620000","0.01365"
"25690000","0.01155"
"25760000","0.0089"
"25830000","0.0118"
"25900000","0.01185"
"25970000","0.0137"
"26040000","0.008600000000000002"
"26110000","0.0113"
"26180000","0.0122"
"26250000","0.013800000000000002"
"26320000","0.0085"
"26390000","0.0098"
"26460000","0.01045"
"26530000","0.01025"
"26600000","0.00875"
"26670000","0.0064"
"26740000","0.006050000000000001"
"26810000","0.0113"
"26880000","0.0098"
"26950000","0.00705"
"27020000","0.006199999999999999"
"27090000","0.00725"
"27160000","0.009100000000000002"
"27230000","0.0159"
"27300000","0.0124"
"27370000","0.0107"
"27440000","0.0145"
"27510000","0.01395"
"27580000","0.01225"
"27650000","0.0097"
"27720000","0.01175"
"27790000","0.0136"
"27860000","0.0147"
"27930000","0.01055"
"28000000","0.010049999999999998"
"28070000","0.0092"
"28140000","0.0121"
"28210000","0.01645"
"28280000","0.016050000000000002"
"28350000","0.012399999999999998"
"28420000","0.015"
"28490000","0.01305"
"28560000","0.0118"
"28630000","0.017700000000000004"
"28700000","0.0136"
"28770000","0.00355"
"28840000","0.0007"
"28910000","0.0031"
"28980000","0.0022"
"29050000","0.008450000000000001"
"29120000","0.0033"
"29190000","0.00495"
"29260000","0.00645"
"29330000","0.0118"
"29400000","0.01225"
"29470000","0.01375"
"29540000","0.0117"
"29610000","0.01385"
"29680000","0.00965"
"29750000","0.01385"
"29820000","0.01145"
"29890000","0.00915"
"29960000","0.0141"
"30030000","0.01245"
"30100000","0.01635"
"30170000","0.01655"
"30240000","0.0149"
"30310000","0.01205"
"30380000","0.0169"
"30450000","0.015799999999999998"
"30520000","0.01525"
"30590000","0.01725"
"30660000","0.01595"
"30730000","0.01525"
"30800000","0.01395"
"30870000","0.01225"
"30940000","0.01095"
"31010000","0.01315"
"31080000","0.0114"
"31150000","0.0121"
"31220000","0.01515"
"31290000","0.00995"
"31360000","0.01175"
"31430000","0.014399999999999998"
"31500000","0.0169"
"31570000","0.015899999999999997"
"31640000","0.01465"
"31710000","0.01385"
"31780000","0.009200000000000002"
"31850000","0.01305"
"31920000","0.0055"
"31990000","0.00845"
"32060000","0.00975"
"32130000","0.00355"
"32200000","0.0027"
"32270000","0.01465"
"32340000","0.00945"
"32410000","0.01165"
"32480000","0.013749999999999998"
"32550000","0.0119"
"32620000","0.0099"
"32690000","0.0091"
"32760000","0.005199999999999999"
"32830000","0.0076"
"32900000","0.00535"
"32970000","0.00435"
"33040000","0.0053"
"33110000","0.007850000000000001"
"33180000","0.01005"
"33250000","0.0072"
"33320000","0.0073"
"33390000","0.0083"
"33460000","0.01655"
"33530000","0.013100000000000002"
"33600000","0.0104"
"33670000","0.0103"
"33740000","0.01125"
"33810000","0.0142"
"33880000","0.0099"
"33950000","0.00955"
"34020000","0.00515"
"34090000","0.004449999999999999"
"34160000","0.00955"
"34230000","0.005900000000000001"
"34300000","0.0028000000000000004"
"34370000","0.002"
"34440000","0.0117"
"34510000","0.019600000000000003"
"34580000","0.01535"
"34650000","0.021"
"34720000","0.016700000000000003"
"34790000","0.02165"
"34860000","0.01585"
"34930000","0.01855"
"35000000","0.01335"
"35070000","0.0117"
"35140000","0.016300000000000002"
"35210000","0.016"
"35280000","0.0164"
"35350000","0.0143"
"35420000","0.014349999999999998"
"35490000","0.01285"
"35560000","0.01025"
"35630000","0.0101"
"35700000","0.0105"
"35770000","0.00855"
"35840000","0.0086"
"35910000","0.01225"
"35980000","0.01225"
"36050000","0.01515"
"36120000","0.00705"
"36190000","0.005550000000000001"
"36260000","0.01275"
"36330000","0.01385"
"36400000","0.0122"
"36470000","0.014600000000000002"
"36540000","0.01365"
"36610000","0.0114"
"36680000","0.01095"
"36750000","0.014250000000000002"
"36820000","0.0104"
"36890000","0.014350000000000002"
"36960000","0.0078"
"37030000","0.01275"
"37100000","0.02219999999999999"
"37170000","0.02775"
"37240000","0.027950000000000003"
"37310000","0.02815"
"37380000","0.02555"
"37450000","0.0208"
"37520000","0.01885"
"37590000","0.01495"
"37660000","0.013800000000000002"
"37730000","0.01405"
"37800000","0.0136"
"37870000","0.01265"
"37940000","0.0133"
"38010000","0.008350000000000002"
"38080000","0.0118"
"38150000","0.01145"
"38220000","0.01185"
"38290000","0.0104"
"38360000","0.014399999999999998"
"38430000","0.0143"
"38500000","0.0134"
"38570000","0.01575"
"38640000","0.01715"
"38710000","0.009"
"38780000","0.01005"
"38850000","0.0119"
"38920000","0.00755"
"38990000","0.01165"
"39060000","0.00575"
"39130000","0.0075"
"39200000","0.00715"
"39270000","0.0088"
"39340000","0.011200000000000002"
"39410000","0.0091"
"39480000","0.01135"
"39550000","0.0101"
"39620000","0.015"
"39690000","0.01255"
"39760000","0.00795"
"39830000","0.01125"
"39900000","0.0104"
"39970000","0.009149999999999998"
"40040000","0.006550000000000001"
"40110000","0.007949999999999999"
"40180000","0.00935"
"40250000","0.012"
"40320000","0.0134"
"40390000","0.01225"
"40460000","0.0111"
"40530000","0.0083"
"40600000","0.00885"
"40670000","0.008199999999999999"
"40740000","0.007"
"40810000","0.005550000000000001"
"40880000","0.008150000000000001"
"40950000","0.0048"
"41020000","0.00825"
"41090000","0.0149"
"41160000","0.01"
"41230000","0.008"
"41300000","0.0052"
"41370000","0.006900000000000001"
"41440000","0.0062"
"41510000","0.0103"
"41580000","0.0105"
"41650000","0.0066"
"41720000","0.00995"
"41790000","0.00595"
"41860000","0.00905"
"41930000","0.00505"
"42000000","0.0109"
"42070000","0.0088"
"42140000","0.00995"
"42210000","0.01285"
"42280000","0.00945"
"42350000","0.00805"
"42420000","0.0116"
"42490000","0.0086"
"42560000","0.0131"
"42630000","0.01195"
"42700000","0.00805"
"42770000","0.0083"
"42840000","0.01005"
"42910000","0.00535"
