"Step","diversified_novelty_parentsampling_sp - cover_rate_5step","diversified_novelty_parentsampling_sp_seed2 - cover_rate_5step","diversified_novelty_parentsampling_sp_seed3 - cover_rate_5step"
"11865000","0.6638","0.7826","0.7602000000000001"
"11970000","0.685","0.7886","0.7594"
"12075000","0.6771","0.7796","0.7463"
"12180000","0.6885999999999999","0.7818","0.7542000000000001"
"12285000","0.7042","0.781","0.7612000000000001"
"12390000","0.701","0.7894","0.7674"
"12495000","0.7002","0.7729000000000001","0.7835"
"12600000","0.6889","0.8077000000000001","0.7577999999999999"
"12705000","0.672","0.7958","0.7747999999999999"
"12810000","0.6942999999999999","0.792","0.7727"
"12915000","0.6850999999999999","0.8125","0.7837"
"13020000","0.7029","0.7922","0.7796"
"13125000","0.7179","0.8019000000000001","0.7883"
"13230000","0.6995","0.7671","0.7766"
"13335000","0.6945","0.8052","0.7820999999999999"
"13440000","0.7067","0.8048","0.7852"
"13545000","0.7165999999999999","0.8126","0.7855"
"13650000","0.7209000000000001","0.8038000000000001","0.7886"
"13755000","0.7218","0.7929","0.7955"
"13860000","0.7384000000000001","0.7927000000000001","0.7784000000000001"
"13965000","0.752","0.7981999999999999","0.7920999999999999"
"14070000","0.7336999999999999","0.8050999999999999","0.7806"
"14175000","0.7463","0.8192999999999999","0.7924"
"14280000","0.733","0.798","0.7811999999999999"
"14385000","0.7613","0.7846000000000001","0.8110999999999999"
"14490000","0.7613","0.794","0.78"
"14595000","0.761","0.7905","0.8162"
"14700000","0.7533","0.7865","0.7944000000000001"
"14805000","0.7644","0.7972","0.7930999999999999"
"14910000","0.7563","0.8152","0.7986"
"15015000","0.7475","0.8101","0.8008000000000001"
"15120000","0.7326","0.8092999999999999","0.7913000000000001"
"15225000","0.7338000000000001","0.7955999999999999","0.7967000000000001"
"15330000","0.7393","0.8212","0.7886"
"15435000","0.7322000000000001","0.8146","0.7958"
"15540000","0.7423","0.7992999999999999","0.8205999999999999"
"15645000","0.747","0.8295","0.7948"
"15750000","0.7485999999999999","0.8401000000000001","0.7960999999999999"
"15855000","0.7407999999999999","0.8125","0.8112"
"15960000","0.7634000000000001","0.8124","0.8097"
"16065000","0.758","0.8176","0.7783"
"16170000","0.7639000000000001","0.8199","0.7862"
