"Step","diversified_novelty_parentsampling_pb - cover_rate_5step","diversified_novelty_parentsampling_pb_seed2 - cover_rate_5step","diversified_novelty_parentsampling_pb_seed3 - cover_rate_5step"
"21420000","0.5596","0.7006","0.747"
"21600000","0.5568","0.727","0.7172"
"21780000","0.5788","0.7266","0.7434"
"21960000","0.5648","0.742","0.745"
"22140000","0.5732","0.7092","0.7352000000000001"
"22320000","0.5594","0.7246","0.7604"
"22500000","0.5566","0.7296","0.7567999999999999"
"22680000","0.5512","0.7487999999999999","0.7506"
"22860000","0.565","0.7636","0.7716000000000001"
"23040000","0.5535999999999999","0.7192000000000001","0.7938000000000001"
"23220000","0.587","0.7674000000000001","0.7754"
"23400000","0.5624000000000001","0.7587999999999999","0.7804"
"23580000","0.556","0.7646000000000001","0.793"
"23760000","0.5873999999999999","0.762","0.7846000000000001"
"23940000","0.5964","0.7646","0.8008"
"24120000","0.5992000000000001","0.7442000000000001","0.809"
"24300000","0.6008","0.7674000000000001","0.7986"
"24480000","0.6032000000000001","0.7604","0.7847999999999999"
"24660000","0.6034","0.75","0.7894000000000001"
"24840000","0.6205999999999999","0.7793999999999999","0.8214"
"25020000","0.6004","0.7898","0.7916"
"25200000","0.602","0.7854000000000001","0.7808"
"25380000","0.599","0.763","0.7657999999999999"
"25560000","0.637","0.7806000000000001","0.79"
"25740000","0.6072000000000001","0.8001999999999999","0.7746"
"25920000","0.638","0.8125999999999999","0.7737999999999999"
"26100000","0.6401999999999999","0.7811999999999999","0.7811999999999999"
"26280000","0.616","0.8004000000000001","0.7904"
"26460000","0.6427999999999999","0.8015999999999999","0.8025999999999999"
"26640000","0.6616000000000001","0.8012","0.813"
"26820000","0.6344","0.7866000000000001","0.796"
"27000000","0.6738","0.803","0.799"
"27180000","0.6521999999999999","0.7948","0.7966"
"27360000","0.6688","0.7968","0.797"
"27540000","0.6562","0.7925999999999999","0.8068"
"27720000","0.6868000000000001","0.7902","0.8184000000000001"
"27900000","0.676","0.8096","0.8174"
"28080000","0.655","0.7878","0.7956"
"28260000","0.6898","0.7966","0.8234000000000001"
"28440000","0.6645999999999999","0.7966","0.8198"
"28620000","0.689","0.8178","0.8222"
"28800000","0.6764000000000001","0.8204","0.8582000000000001"
"28980000","0.692","0.8032","0.8152"
"29160000","0.686","0.7974000000000001","0.8413999999999999"
"29340000","0.6894000000000001","0.8286","0.845"
"29520000","0.7","0.8312","0.8697999999999999"
"29700000","0.6994","0.8138","0.861"
"29880000","0.6784","0.8202","0.8646"
"30060000","0.6952","0.839","0.8466"
"30240000","0.719","0.8234000000000001","0.8652000000000001"
"30420000","0.711","0.8072","0.869"
"30600000","0.7138","0.7968","0.8572000000000001"
"30780000","0.7176","0.826","0.8694"
"30960000","0.6978","0.82","0.8756"
"31140000","0.7278","0.8475999999999999","0.8768"
"31320000","0.7082","0.8452000000000001","0.8554"
"31500000","0.7195999999999999","0.8265999999999999","0.8512000000000001"
"31680000","0.707","0.828","0.8861999999999999"
"31860000","0.739","0.822","0.8754"
"32040000","0.7262000000000001","0.8502000000000001","0.8475999999999999"
"32220000","0.7442000000000001","0.8456","0.8754"
"32400000","0.721","0.8692000000000001","0.8646"
"32580000","0.741","0.8533999999999999","0.885"
"32760000","0.762","0.8603999999999999","0.8684"
"32940000","0.7352000000000001","0.8393999999999999","0.883"
"33120000","0.7602","0.8732000000000001","0.864"
"33300000","0.7736000000000001","0.8384000000000001","0.8767999999999999"
"33480000","0.7484","0.847","0.892"
"33660000","0.7544","0.8797999999999999","0.875"
"33840000","0.742","0.867","0.8662000000000001"
"34020000","0.7706","0.8727999999999999","0.8814"
"34200000","0.76","0.878","0.8836"
"34380000","0.7774000000000001","0.8727999999999999","0.8696"
"34560000","0.7858","0.8627999999999999","0.8674"
"34740000","0.7394","0.8802","0.8752"
"34920000","0.7647999999999999","0.8764","0.8588"
"35100000","0.7908","0.8746","0.8744000000000001"
"35280000","0.7837999999999999","0.8926000000000001","0.8927999999999999"
"35460000","0.7532","0.896","0.87"
"35640000","0.7527999999999999","0.8762000000000001","0.8894"
"35820000","0.79","0.8914","0.8776"
"36000000","0.7526","0.888","0.8887999999999999"
"36180000","0.7938","0.9052","0.8754000000000001"
"36360000","0.7912","0.874","0.8984"
"36540000","0.7752","0.8908","0.9012"
"36720000","0.795","0.9046","0.906"
"36900000","0.807","0.8852000000000001","0.8882000000000001"
"37080000","0.7846000000000001","0.8797999999999999","0.9018"
"37260000","0.7882","0.908","0.9016"
"37440000","0.7882","0.8997999999999999","0.9158"
"37620000","0.794","0.891","0.9088"
"37800000","0.807","0.8962","0.8928"
"37980000","0.805","0.9006","0.9"
"38160000","0.8042","0.9038","0.9034"
"38340000","0.7978000000000001","0.9254","0.8936000000000001"
"38520000","0.7982","0.9078","0.9048"
"38700000","0.7934000000000001","0.9132","0.902"
"38880000","0.7975999999999999","0.903","0.9098"
"39060000","0.8076","0.919","0.9114"
"39240000","0.815","0.9184","0.9288"
"39420000","0.8086","0.9022","0.9114"
"39600000","0.7894","0.9078","0.91"
"39780000","0.7854","0.9234","0.909"
"39960000","0.7958000000000001","0.9246","0.9096"
"40140000","0.8232","0.9246","0.8972"
"40320000","0.8328","0.9248","0.9288"
"40500000","0.824","0.9304","0.9058"
"40680000","0.8382000000000001","0.93","0.928"
"40860000","0.813","0.911","0.9192"
"41040000","0.8204000000000001","0.913","0.9272"
"41220000","0.8154","0.9156","0.9204"
"41400000","0.8238000000000001","0.9146","0.9384"
"41580000","0.8362","0.9284","0.9336"
"41760000","0.8304","0.9382","0.9144"
"41940000","0.8108000000000001","0.9184","0.929"
"42120000","0.8208000000000001","0.9238","0.9246"
"42300000","0.8168","0.9172","0.9514"
"42480000","0.8314","0.9254","0.9406"
"42660000","0.8412","0.938","0.9572"
"42840000","0.8523999999999999","0.9366","0.9462"
"43020000","0.845","0.9304","0.9328"
"43200000","0.8503999999999999","0.9276","0.9266"
"43380000","0.8378","0.9236","0.9472"
"43560000","0.8634","0.935","0.9374"
"43740000","0.8454","0.9384","0.9398"
"43920000","0.837","0.937","0.932"
"44100000","0.8322","0.936","0.9424"
"44280000","0.839","0.9478","0.9492"
"44460000","0.8552000000000001","0.9384","0.947"
"44640000","0.8332","0.9374","0.933"
"44820000","0.857","0.9474","0.932"
"45000000","0.843","0.9234","0.945"
"45180000","0.8466","0.9378","0.947"
"45360000","0.8712","0.9352","0.9418"
"45540000","0.855","0.9432","0.9624"
"45720000","0.8523999999999999","0.9482","0.938"
"45900000","0.8715999999999999","0.9444","0.951"
"46080000","0.8342","0.9456","0.9358"
"46260000","0.8696","0.9516","0.939"
"46440000","0.8445999999999999","0.9468","0.9398"
"46620000","0.8737999999999999","0.9458","0.9574"
"46800000","0.8644","0.95","0.9548"
"46980000","0.8598","0.963","0.9494"
"47160000","0.8836","0.9384","0.953"
"47340000","0.868","0.9416","0.9396"
"47520000","0.8866","0.9508","0.964"
"47700000","0.8807999999999999","0.9488","0.9512"
"47880000","0.887","0.9468","0.9494"
"48060000","0.8857999999999999","0.9532","0.959"
"48240000","0.8676","0.9574","0.9436"
"48420000","0.901","0.951","0.955"
"48600000","0.8866","0.9612","0.9562"
"48780000","0.8864","0.971","0.9496"
"48960000","0.9006","0.9668","0.946"
"49140000","0.9068","0.9478","0.9486"
"49320000","0.876","0.9618","0.967"
"49500000","0.8936","0.9528","0.9498"
"49680000","0.9012","0.9618","0.9538"
"49860000","0.8897999999999999","0.8706","0.9564"
"50040000","0.8882000000000001","0.8855999999999999","0.9568"
"50220000","0.8884000000000001","0.8867999999999999","0.9458"
"50400000","0.922","0.879","0.94"
"50580000","0.8977999999999999","0.8892","0.955"
"50760000","0.9036","0.9038","0.9582"
"50940000","0.898","0.9194","0.9676"
"51120000","0.8922","0.899","0.9628"
"51300000","0.9232","0.9406","0.9464"
"51480000","0.9066","0.9164","0.964"
"51660000","0.9114","0.9226","0.9568"
"51840000","0.9246","0.9188","0.9598"
"52020000","0.8996","0.9134","0.9668"
"52200000","0.8944","0.9334","0.9594"
"52380000","0.8924","0.9174","0.958"
"52560000","0.9204","0.925","0.9646"
"52740000","0.9132","0.9354","0.9718"
"52920000","0.9148","0.9056","0.9508"
"53100000","0.917","0.9212","0.964"
"53280000","0.8946000000000001","0.9414","0.9572"
"53460000","0.9184","0.9224","0.9508"
"53640000","0.919","0.9346","0.9546"
"53820000","0.909","0.9164","0.9468"
"54000000","0.9074","0.9328","0.963"
"54180000","0.9096","0.9408","0.9528"
"54360000","0.9144","0.9214","0.9556"
"54540000","0.9228","0.9382","0.9516"
"54720000","0.9218","0.9476","0.9672"
"54900000","0.9168","0.9374","0.9666"
"55080000","0.9068","0.9434","0.949"
"55260000","0.912","0.9414","0.9684"
"55440000","0.929","0.9442","0.9748"
"55620000","0.9034","0.929","0.9546"
"55800000","0.9252","0.9476","0.9638"
"55980000","0.905","0.9334","0.9508"
"56160000","0.9204","0.9236","0.9564"
"56340000","0.9144","0.9334","0.9526"
"56520000","0.9204","0.9512","0.9608"
"56700000","0.928","0.933","0.9572"
"56880000","0.908","0.9506","0.9528"
"57060000","0.931","0.9392","0.95"
"57240000","0.919","0.9508","0.9694"
"57420000","0.9208","0.951","0.9614"
"57600000","0.929","0.9592","0.9544"
"57780000","0.9314","0.948","0.9552"
"57960000","0.9248","0.9484","0.9518"
"58140000","0.9162","0.9442","0.9558"
"58320000","0.9226","0.9496","0.97"
"58500000","0.9398","0.9584","0.9702"
"58680000","0.937","0.9462","0.9636"
"58860000","0.9316","0.9614","0.9708"
"59040000","0.9204","0.9394","0.9584"
"59220000","0.9282","0.9466","0.9704"
"59400000","0.9334","0.9596","0.9516"
"59580000","0.9418","0.944","0.9506"
"59760000","0.9302","0.9494","0.9642"
"59940000","0.9262","0.9572","0.9706"
"60120000","0.9312","0.956","0.962"
"60300000","0.9202","0.9606","0.9732"
"60480000","0.9394","0.9564","0.9694"
"60660000","0.934","0.9614","0.965"
"60840000","0.958","0.952","0.9656"
"61020000","0.9314","0.966","0.968"
"61200000","0.942","0.9574","0.972"
"61380000","0.9294","0.9652","0.963"
"61560000","0.9316","0.9612","0.969"
"61740000","0.9434","0.9568","0.955"
