Step,decay_fre300_pb_minibatch8_woclip_seed1 - 4cover_rate
0,0.5814
341640,0.5503
683280,0.5421
1024920,0.5679
1366560,0.5591
1708200,0.562
2049840,0.5654
2391480,0.5686
2733120,0.5331
3074760,0.5386
3416400,0.5234
3758040,0.5527
4099680,0.5252
4441320,0.5452
4782960,0.5442
5124600,0.5471
5466240,0.5478
5807880,0.5583
6149520,0.5722
6491160,0.5416
6832800,0.5672
7174440,0.5805
7516080,0.594
7857720,0.5722
8199360,0.5802
8541000,0.5885
8882640,0.5611
9224280,0.5725
9565920,0.5995
9907560,0.5815
10249200,0.5975
10590840,0.5912
10932480,0.5954
11274120,0.6137
11615760,0.5953
11957400,0.5832
12299040,0.6057
12640680,0.5737
12982320,0.5875
13323960,0.6186
13665600,0.6069
14007240,0.5905
14348880,0.5926
14690520,0.5858
15032160,0.586
15373800,0.6211
15715440,0.6197
16057080,0.6203
16398720,0.6248
16740360,0.6184
17082000,0.6219
17423640,0.6221
17765280,0.6141
18106920,0.6384
18448560,0.619
18790200,0.6218
19131840,0.6154
19473480,0.589
19815120,0.606
20156760,0.5924
20498400,0.5858
20840040,0.6238
21181680,0.6293
21523320,0.6396
21864960,0.6316
22206600,0.6013
22548240,0.6169
22889880,0.6235
23231520,0.6136
23573160,0.6113
23914800,0.5935
24256440,0.6203
24598080,0.6278
24939720,0.615
25281360,0.6214
25623000,0.6253
25964640,0.6386
26306280,0.6309
26647920,0.6223
26989560,0.637
27331200,0.6297
27672840,0.6497
28014480,0.6315
28356120,0.6463
28697760,0.6234
29039400,0.6222
29381040,0.6326
29722680,0.6433
30064320,0.6202
30405960,0.6394
30747600,0.614
31089240,0.6177
31430880,0.6289
31772520,0.6321
32114160,0.6198
32455800,0.6179
32797440,0.6017
33139080,0.6281
33480720,0.6393
33822360,0.6105
34164000,0.643
34488000,0.6269
34812000,0.62
35136000,0.6193
35460000,0.6139
35784000,0.6217
36108000,0.6233
36432000,0.6279
36756000,0.6294
37080000,0.6199
37404000,0.6316
37728000,0.6475
38052000,0.6214
38376000,0.6214
38700000,0.6044
39024000,0.6181
39348000,0.6025
39672000,0.5963
39996000,0.6068
40320000,0.5975
40644000,0.6137
40968000,0.615
41292000,0.6164
41616000,0.6214
41940000,0.6124
42264000,0.6058
42588000,0.6144
42912000,0.6186
43236000,0.6303
43560000,0.5955
43884000,0.6177
44208000,0.6188
44532000,0.6101
44856000,0.6233
45180000,0.6197
45504000,0.6233
45828000,0.637
46152000,0.6236
46476000,0.6227
46800000,0.6178
47124000,0.6244
47448000,0.632
47772000,0.6134
48096000,0.611
48420000,0.5872
48744000,0.6
49068000,0.5951
49392000,0.6143
49716000,0.6123
50040000,0.6125
50364000,0.6085
50688000,0.6331
51012000,0.6596
51336000,0.6469
51660000,0.642
51984000,0.6274
52308000,0.631
52632000,0.6194
52956000,0.6157
53280000,0.6239
53604000,0.6363
53928000,0.6386
54252000,0.6139
54576000,0.6307
54900000,0.6279
55224000,0.6299
55548000,0.6317
55872000,0.6253
56196000,0.6272
56520000,0.6294
56844000,0.6339
57168000,0.6148
57492000,0.6018
57816000,0.6288
58140000,0.6288
58464000,0.623
58788000,0.6257
59112000,0.6263
59436000,0.6436
59760000,0.6428
60084000,0.6494
60408000,0.6542
60732000,0.6539
61056000,0.6472
61380000,0.6474
61704000,0.6476
62028000,0.6442
62352000,0.6433
62676000,0.6453
63000000,0.6297
63324000,0.6226
63648000,0.6304
63972000,0.6377
64296000,0.638
64620000,0.6365
64944000,0.641
65268000,0.646
65592000,0.6507
65916000,0.6236
66240000,0.6454
66564000,0.6231
66870360,0.6334
67176720,0.6311
67483080,0.6361
67789440,0.6647
68095800,0.6475
68402160,0.6621
68708520,0.6832
69014880,0.6657
69321240,0.6791
69627600,0.6863
69933960,0.6861
70240320,0.6917
70546680,0.6676
70853040,0.6819
71159400,0.6879
71465760,0.6838
71772120,0.6911
72078480,0.6687
72384840,0.686
72691200,0.6931
72997560,0.6945
73303920,0.6761
73610280,0.6815
73916640,0.6844
74223000,0.6979
74529360,0.6795
74835720,0.6895
75142080,0.6959
75448440,0.6805
75754800,0.7041
76061160,0.6816
76367520,0.6791
76673880,0.6816
76980240,0.6865
77286600,0.6977
77592960,0.6897
77899320,0.6842
78205680,0.6759
78512040,0.7039
78818400,0.7076
79124760,0.7002
79431120,0.7046
79737480,0.6974
80043840,0.7022
80350200,0.7088
80656560,0.6939
80962920,0.7046
81269280,0.7047
81575640,0.7175
81882000,0.7026
82188360,0.7064
82494720,0.6898
82801080,0.7013
83107440,0.693
83413800,0.6881
83720160,0.6705
84026520,0.6709
84332880,0.665
84639240,0.6639
84945600,0.6584
85251960,0.6761
85558320,0.7138
85864680,0.7024
86171040,0.7122
86477400,0.6984
86783760,0.7114
87090120,0.7131
87396480,0.7123
87702840,0.7067
88009200,0.7037
88315560,0.7246
88621920,0.6987
88928280,0.7311
89234640,0.7174
89541000,0.7234
89847360,0.7102
90153720,0.6942
90460080,0.7197
90766440,0.713
91072800,0.677
91379160,0.6939
91685520,0.6964
91991880,0.6898
92298240,0.7037
92604600,0.7109
92910960,0.7072
93217320,0.6987
93523680,0.6963
93830040,0.6863
94136400,0.6783
94442760,0.6848
94749120,0.6941
95055480,0.69
95361840,0.6822
95668200,0.6708
