"Step","solved_badinit_pb_seed2 - cover_rate_5step"
"73620000","0.5002000000000001"
"73800000","0.4764"
"73980000","0.4876"
"74160000","0.5177999999999999"
"74340000","0.5004"
"74520000","0.5167999999999999"
"74700000","0.5174"
"74880000","0.5057999999999999"
"75060000","0.49040000000000006"
"75240000","0.5534"
"75420000","0.5588"
"75600000","0.5262"
"75780000","0.5495999999999999"
"75960000","0.5314000000000001"
"76140000","0.5572"
"76320000","0.5388000000000001"
"76500000","0.5372"
"76680000","0.5471999999999999"
"76860000","0.5428000000000001"
"77040000","0.5608"
"77220000","0.5432"
"77400000","0.535"
"77580000","0.5414"
"77760000","0.5636"
"77940000","0.5284"
"78120000","0.5294"
"78300000","0.5428"
"78480000","0.5808"
"78660000","0.593"
"78840000","0.5905999999999999"
"79020000","0.5828"
"79200000","0.562"
"79380000","0.5564000000000001"
"79560000","0.5648"
"79740000","0.543"
"79920000","0.5518000000000001"
