Step,transfer_0.9_load_optimizer_wogradclip_seed2 - 8cover_rate
0,0.9221
105000,0.6366
210000,0.64445
315000,0.6536
420000,0.64835
525000,0.6481
630000,0.65005
735000,0.6767
840000,0.66345
945000,0.64385
1050000,0.64165
1155000,0.65415
1260000,0.6624
1365000,0.65555
1470000,0.6508
1575000,0.64795
1680000,0.6563
1785000,0.64965
1890000,0.6589
1995000,0.6756
2100000,0.6608
2205000,0.6546
2310000,0.65555
2415000,0.65755
2520000,0.6581
2625000,0.67125
2730000,0.6775
2835000,0.6675
2940000,0.66485
3045000,0.66755
3150000,0.66835
3255000,0.6812
3360000,0.6934
3465000,0.70085
3570000,0.70315
3675000,0.6927
3780000,0.6824
3885000,0.68665
3990000,0.69195
4095000,0.69955
4200000,0.6871
4305000,0.69995
4410000,0.71545
4515000,0.72035
4620000,0.72715
4725000,0.71675
4830000,0.7057
4935000,0.69505
5040000,0.70315
5145000,0.70205
5250000,0.7027
5355000,0.7212
5460000,0.7298
5565000,0.74655
5670000,0.7384
5775000,0.74415
5880000,0.73535
5985000,0.7441
6090000,0.7471
6195000,0.75165
6300000,0.74805
6405000,0.74545
6510000,0.7484
6615000,0.75035
6720000,0.74285
6825000,0.734
6930000,0.72635
7035000,0.7317
7140000,0.73835
7245000,0.74315
7350000,0.7482
7455000,0.73645
7560000,0.7368
7665000,0.73495
7770000,0.7296
7875000,0.70585
7980000,0.71035
8085000,0.7118
8190000,0.70895
8295000,0.72305
8400000,0.72265
8505000,0.728
8610000,0.73745
8715000,0.73705
8820000,0.7558
8925000,0.7575
9030000,0.75795
9135000,0.7541
9240000,0.77415
9345000,0.77115
9450000,0.7917
9555000,0.79005
9660000,0.7753
9765000,0.7748
9870000,0.77535
9975000,0.76845
10080000,0.7693
10185000,0.77155
10290000,0.7692
10395000,0.76635
10500000,0.75985
10605000,0.75685
10710000,0.7712
10815000,0.77625
10920000,0.78145
11025000,0.7916
11130000,0.77895
11235000,0.77675
11340000,0.78605
11445000,0.7857
11550000,0.7855
11655000,0.77595
11760000,0.7911
11865000,0.7932
11970000,0.7892
12075000,0.78065
12180000,0.78025
12285000,0.7802
12390000,0.76845
12495000,0.80015
12600000,0.79195
12705000,0.78735
12810000,0.79155
12915000,0.81145
13020000,0.8179
13125000,0.81505
13230000,0.81655
13335000,0.81405
13440000,0.80985
13545000,0.81395
13650000,0.8209
13755000,0.84715
13860000,0.8459
13965000,0.851
14070000,0.85915
14175000,0.8597
14280000,0.84645
14385000,0.84745
14490000,0.8395
14595000,0.82395
14700000,0.83825
14805000,0.8206
14910000,0.8151
15015000,0.81755
15120000,0.81575
15225000,0.83365
15330000,0.726
15435000,0.72915
15540000,0.73995
15645000,0.7545
15750000,0.76855
15855000,0.7731
15960000,0.7823
16065000,0.78585
16170000,0.8123
16275000,0.8093
16380000,0.8179
16485000,0.8233
16590000,0.83515
16695000,0.84475
16800000,0.8473
16905000,0.84645
17010000,0.85815
17115000,0.8656
17220000,0.873
17325000,0.8742
17430000,0.87205
17535000,0.87825
17640000,0.87975
17745000,0.87435
17850000,0.87435
17955000,0.89035
18060000,0.88485
18165000,0.8883
18270000,0.8808
18375000,0.8763
18480000,0.88155
18585000,0.89005
18690000,0.89045
18795000,0.89055
18900000,0.89945
19005000,0.8972
19110000,0.8932
19215000,0.90105
19320000,0.9058
19425000,0.8938
19530000,0.8855
19635000,0.903
19740000,0.90665
19845000,0.90185
19950000,0.892
20055000,0.8921
20160000,0.88755
20265000,0.89575
20370000,0.89045
20475000,0.878
20580000,0.88295
20685000,0.88325
20790000,0.89145
20895000,0.88605
21000000,0.90885
21105000,0.901
21210000,0.9035
21315000,0.89925
21420000,0.8989
21525000,0.8985
21630000,0.90155
21735000,0.89695
21840000,0.9012
21945000,0.90145
22050000,0.90115
22155000,0.9146
22260000,0.9261
22365000,0.92055
22470000,0.92625
22575000,0.91895
22680000,0.92025
22785000,0.9225
22890000,0.9282
22995000,0.9244
23100000,0.931
23205000,0.9281
23310000,0.93345
23415000,0.9286
23520000,0.9217
23625000,0.92875
23730000,0.9363
23835000,0.93855
23940000,0.93535
24045000,0.92675
24150000,0.9283
24255000,0.9264
24360000,0.9133
24465000,0.9277
24570000,0.9347
24675000,0.9338
24780000,0.93155
24885000,0.934
24990000,0.93595
25095000,0.9328
25200000,0.93255
25305000,0.93235
25410000,0.93015
25515000,0.9255
25620000,0.93615
25725000,0.93335
25830000,0.94135
25935000,0.9438
26040000,0.9405
26145000,0.9396
26250000,0.93365
26355000,0.9337
26460000,0.9274
26565000,0.93075
26670000,0.92495
26775000,0.9233
26880000,0.92455
26985000,0.9332
27090000,0.91835
27195000,0.91645
27300000,0.9204
27405000,0.9255
27510000,0.9223
27615000,0.91705
27720000,0.92315
27825000,0.9236
27930000,0.929
28035000,0.9227
28140000,0.92425
28245000,0.92925
28350000,0.9236
28455000,0.9256
28560000,0.92795
28665000,0.9261
28770000,0.93105
28875000,0.93025
28980000,0.93305
29085000,0.9327
29190000,0.9273
29295000,0.926
29400000,0.9264
29505000,0.93515
29610000,0.9316
29715000,0.9304
29820000,0.9287
29925000,0.92755
30030000,0.9284
30135000,0.9283
30240000,0.92915
30345000,0.9364
30450000,0.9405
30555000,0.9446
30660000,0.9416
30765000,0.93285
30870000,0.93755
30975000,0.9488
31080000,0.94745
31185000,0.94795
31290000,0.94105
31395000,0.9377
31500000,0.93485
31605000,0.93565
31710000,0.9361
31815000,0.9359
31920000,0.9433
32025000,0.94765
32130000,0.9444
32235000,0.94685
