"Step","mixdecay2n4_adjustratio_util0.9_seed1 - 4cover_rate"
"341640","0.6509499999999999"
"683280","0.6495500000000001"
"1024920","0.6473499999999999"
"1366560","0.648"
"1708200","0.64585"
"2049840","0.6441999999999999"
"2391480","0.6525"
"2733120","0.6376499999999999"
"3074760","0.6427"
"3416400","0.6451"
"3758040","0.64215"
"4099680","0.64295"
"4441320","0.6472"
"4782960","0.6474500000000001"
"5124600","0.6490499999999999"
"5466240","0.6464"
"5807880","0.65395"
"6149520","0.667"
"6491160","0.64495"
"6832800","0.6691500000000001"
"7174440","0.6399"
"7516080","0.65335"
"7857720","0.6559499999999999"
"8199360","0.6651999999999999"
"8541000","0.6636"
"8882640","0.664"
"9224280","0.66525"
"9565920","0.6738500000000001"
"9907560","0.6590999999999999"
"10240560","0.66465"
"10573560","0.6619"
"10906560","0.6661999999999999"
"11230560","0.6533"
"11545200","0.6652"
"11859840","0.6618499999999999"
"12166200","0.67295"
"12472560","0.66595"
"12778920","0.6712"
"13085280","0.67295"
"13391640","0.6752999999999999"
"13698000","0.67165"
"14004360","0.6772"
"14310720","0.6701000000000001"
"14617080","0.6770999999999999"
"14914080","0.6881"
"15211080","0.6905999999999999"
"15508080","0.676"
"15805080","0.67545"
"16102080","0.67745"
"16390080","0.6713"
"16678080","0.66595"
"16966080","0.6822"
"17254080","0.668"
"17542080","0.6715999999999999"
"17830080","0.6738"
"18118080","0.67635"
"18406080","0.67975"
"18694080","0.6653"
"18982080","0.6655"
"19270080","0.6706500000000001"
"19558080","0.6744000000000001"
"19846080","0.65585"
"20134080","0.67425"
"20422080","0.6563"
"20710080","0.6570499999999999"
"20998080","0.646"
"21286080","0.65445"
"21574080","0.65435"
"21862080","0.6572"
"22150080","0.6478500000000001"
"22438080","0.6603"
"22726080","0.6614"
"23014080","0.6644500000000001"
"23302080","0.6514500000000001"
"23590080","0.6403"
"23878080","0.6461"
"24166080","0.641"
"24454080","0.6493"
"24742080","0.6465"
"25030080","0.6476000000000001"
"25318080","0.6582"
"25606080","0.64655"
"25894080","0.64465"
"26182080","0.6305999999999999"
"26470080","0.638"
"26758080","0.64925"
"27046080","0.6648"
"27334080","0.6667000000000001"
"27622080","0.6557999999999999"
"27910080","0.65"
"28198080","0.6494000000000001"
"28486080","0.6673499999999999"
"28774080","0.6525"
"29062080","0.6472"
"29350080","0.6518"
"29638080","0.65315"
"29926080","0.66615"
"30214080","0.6700499999999999"
"30502080","0.6596000000000001"
"30790080","0.6561"
"31078080","0.6574500000000001"
"31366080","0.6491"
"31654080","0.6506500000000001"
"31942080","0.67125"
"32230080","0.6576"
"32518080","0.66035"
"32806080","0.6533499999999999"
"33094080","0.6711"
"33382080","0.6623499999999999"
"33670080","0.6450999999999999"
"33958080","0.6440499999999999"
"34246080","0.6455"
"34534080","0.65435"
"34822080","0.6514"
"35110080","0.6525"
"35398080","0.66285"
"35686080","0.6654500000000001"
"35974080","0.6593499999999999"
"36262080","0.6546"
"36550080","0.6640499999999999"
"36838080","0.6614"
"37126080","0.6586500000000001"
"37414080","0.6584500000000001"
"37702080","0.6623"
"37990080","0.6617000000000001"
"38278080","0.6512"
"38566080","0.67145"
"38854080","0.66"
