"Step","sl_reverse_finalversion_seed2 - cover_rate_5step"
"7000","0.226"
"14000","0.21"
"21000","0.14400000000000002"
"28000","0.138"
"35000","0.208"
"42000","0.278"
"49000","0.266"
"56000","0.25"
"63000","0.182"
"70000","0.154"
"77000","0.204"
"84000","0.24"
"91000","0.234"
"98000","0.116"
"105000","0.16"
"112000","0.204"
"119000","0.234"
"126000","0.204"
"133000","0.17600000000000002"
"140000","0.19"
"147000","0.172"
"154000","0.224"
"161000","0.188"
"168000","0.236"
"175000","0.27"
"182000","0.19"
"189000","0.222"
"196000","0.306"
"203000","0.162"
"210000","0.17"
"217000","0.196"
"224000","0.136"
"231000","0.214"
"238000","0.2"
"245000","0.2"
"252000","0.094"
"259000","0.194"
"266000","0.17600000000000002"
"273000","0.226"
"280000","0.15"
"287000","0.17600000000000002"
"294000","0.14"
"301000","0.272"
"308000","0.254"
"315000","0.24"
"322000","0.254"
"329000","0.18"
"336000","0.234"
"343000","0.25"
"350000","0.16399999999999998"
"357000","0.184"
"364000","0.16"
"371000","0.13"
"378000","0.194"
"385000","0.21"
"392000","0.226"
"399000","0.14"
"406000","0.29"
"413000","0.134"
"420000","0.16"
"427000","0.12"
"434000","0.172"
"441000","0.184"
"448000","0.198"
"455000","0.13"
"462000","0.18600000000000003"
"469000","0.214"
"476000","0.21600000000000005"
"483000","0.188"
"490000","0.264"
"497000","0.128"
"504000","0.194"
"511000","0.18"
"518000","0.196"
"525000","0.158"
"532000","0.156"
"539000","0.196"
"546000","0.168"
"553000","0.16"
"560000","0.2"
"567000","0.196"
"574000","0.22"
"581000","0.232"
"588000","0.196"
"595000","0.14800000000000002"
"602000","0.184"
"609000","0.226"
"616000","0.204"
"623000","0.204"
"630000","0.18"
"637000","0.182"
"644000","0.26"
"651000","0.21600000000000005"
"658000","0.136"
"665000","0.154"
"672000","0.21"
"679000","0.16"
"686000","0.17600000000000002"
"693000","0.13"
"700000","0.182"
"707000","0.172"
"714000","0.18"
"721000","0.226"
"728000","0.234"
"735000","0.08399999999999999"
"742000","0.116"
"749000","0.196"
"756000","0.204"
"763000","0.21600000000000005"
"770000","0.246"
"777000","0.132"
"784000","0.242"
"791000","0.184"
"798000","0.126"
"805000","0.168"
"812000","0.19"
"819000","0.21600000000000005"
"826000","0.154"
"833000","0.21"
"840000","0.206"
"847000","0.17600000000000002"
"854000","0.26"
"861000","0.256"
"868000","0.134"
"875000","0.174"
"882000","0.196"
"889000","0.18"
"896000","0.174"
"903000","0.204"
"910000","0.158"
"917000","0.146"
"924000","0.232"
"931000","0.19"
"938000","0.16"
"945000","0.2"
"952000","0.17600000000000002"
"959000","0.234"
"966000","0.154"
"973000","0.22"
"980000","0.15"
"987000","0.232"
"994000","0.156"
"1001000","0.24"
"1008000","0.198"
"1015000","0.242"
"1022000","0.17"
"1029000","0.144"
"1036000","0.196"
"1043000","0.172"
"1050000","0.174"
"1057000","0.192"
"1064000","0.188"
"1071000","0.13"
"1078000","0.14800000000000002"
"1085000","0.244"
"1092000","0.188"
"1099000","0.2"
"1106000","0.232"
"1113000","0.132"
"1120000","0.206"
"1127000","0.30200000000000005"
"1134000","0.244"
"1141000","0.20200000000000004"
"1148000","0.124"
"1155000","0.16"
"1162000","0.15"
"1169000","0.184"
"1176000","0.27"
"1183000","0.214"
"1190000","0.17800000000000002"
"1197000","0.23799999999999996"
"1204000","0.202"
"1211000","0.226"
"1218000","0.21799999999999997"
"1225000","0.168"
"1232000","0.214"
"1239000","0.214"
"1246000","0.194"
"1253000","0.18600000000000003"
"1260000","0.22"
"1267000","0.134"
"1274000","0.258"
"1281000","0.234"
"1288000","0.188"
"1295000","0.146"
"1302000","0.198"
"1309000","0.166"
"1316000","0.17"
"1323000","0.192"
"1330000","0.15"
"1337000","0.206"
"1344000","0.246"
"1351000","0.158"
"1358000","0.222"
"1365000","0.262"
"1372000","0.206"
"1379000","0.206"
"1386000","0.18"
"1393000","0.184"
"1400000","0.194"
"1407000","0.11"
"1414000","0.12"
"1421000","0.22"
"1428000","0.18"
"1435000","0.132"
"1442000","0.238"
"1449000","0.29"
"1456000","0.17"
