"Step","diversified_novelty_badinit_pb_seed2 - cover_rate_5step"
"180000","0.118"
"360000","0.14980000000000002"
"540000","0.095"
"720000","0.11"
"900000","0.107"
"1080000","0.109"
"1260000","0.127"
"1440000","0.136"
"1620000","0.124"
"1800000","0.123"
"1980000","0.143"
"2160000","0.134"
"2340000","0.113"
"2520000","0.13"
"2700000","0.1218"
"2880000","0.133"
"3060000","0.1522"
"3240000","0.171"
"3420000","0.1808"
"3600000","0.172"
"3780000","0.2042"
"3960000","0.1896"
"4140000","0.18419999999999995"
"4320000","0.2238"
"4500000","0.2062"
"4680000","0.20839999999999995"
"4860000","0.2266"
"5040000","0.235"
"5220000","0.2426"
"5400000","0.231"
"5580000","0.2126"
"5760000","0.211"
"5940000","0.227"
"6120000","0.2336"
"6300000","0.2516"
"6480000","0.2114"
"6660000","0.2006"
"6840000","0.205"
"7020000","0.2456"
"7200000","0.1954"
"7380000","0.201"
"7560000","0.194"
"7740000","0.202"
"7920000","0.175"
"8100000","0.1762"
"8280000","0.18"
"8460000","0.194"
"8640000","0.1914"
"8820000","0.2"
"9000000","0.1764"
"9180000","0.208"
"9360000","0.1868"
"9540000","0.1912"
"9720000","0.191"
"9900000","0.1926"
"10080000","0.214"
"10260000","0.2168"
"10440000","0.25939999999999996"
"10620000","0.238"
"10800000","0.2332"
"10980000","0.2732"
"11160000","0.2256"
"11340000","0.2034"
"11520000","0.2408"
"11700000","0.2636"
"11880000","0.2918"
"12060000","0.26"
"12240000","0.27979999999999994"
"12420000","0.294"
"12600000","0.2694"
"12780000","0.28140000000000004"
"12960000","0.253"
"13140000","0.298"
"13320000","0.2914"
"13500000","0.2554"
"13680000","0.2484"
"13860000","0.26139999999999997"
"14040000","0.2626"
"14220000","0.276"
"14400000","0.284"
"14580000","0.29619999999999996"
"14760000","0.2734"
"14940000","0.3228"
"15120000","0.3034"
"15300000","0.2966"
"15480000","0.30979999999999996"
"15660000","0.2968"
"15840000","0.33420000000000005"
"16020000","0.3072"
"16200000","0.3306"
"16380000","0.30920000000000003"
"16560000","0.31020000000000003"
"16740000","0.3148"
"16920000","0.29819999999999997"
"17100000","0.31160000000000004"
"17280000","0.2864"
"17460000","0.32039999999999996"
"17640000","0.29579999999999995"
"17820000","0.32039999999999996"
"18000000","0.30060000000000003"
"18180000","0.3142"
"18360000","0.32280000000000003"
"18540000","0.30219999999999997"
"18720000","0.31820000000000004"
"18900000","0.3236"
"19080000","0.29879999999999995"
"19260000","0.3018"
"19440000","0.31479999999999997"
"19620000","0.31379999999999997"
"19800000","0.325"
"19980000","0.341"
"20160000","0.3346"
"20340000","0.32680000000000003"
"20520000","0.322"
"20700000","0.32139999999999996"
"20880000","0.33039999999999997"
"21060000","0.34879999999999994"
"21240000","0.303"
"21420000","0.28"
"21600000","0.29479999999999995"
"21780000","0.30260000000000004"
"21960000","0.3024"
"22140000","0.291"
"22320000","0.261"
"22500000","0.30360000000000004"
"22680000","0.287"
"22860000","0.29240000000000005"
"23040000","0.269"
"23220000","0.26680000000000004"
"23400000","0.2576"
"23580000","0.28879999999999995"
"23760000","0.25780000000000003"
"23940000","0.25339999999999996"
"24120000","0.2612"
"24300000","0.2806"
"24480000","0.25260000000000005"
"24660000","0.2368"
"24840000","0.2558"
"25020000","0.243"
"25200000","0.2456"
"25380000","0.2466"
"25560000","0.26280000000000003"
"25740000","0.2524"
"25920000","0.27220000000000005"
"26100000","0.2754"
"26280000","0.2726"
"26460000","0.2448"
"26640000","0.26480000000000004"
"26820000","0.29479999999999995"
"27000000","0.2856"
"27180000","0.3004"
"27360000","0.2928"
"27540000","0.2714"
"27720000","0.30960000000000004"
"27900000","0.2832"
"28080000","0.2854"
"28260000","0.308"
"28440000","0.2874"
"28620000","0.2836"
