"Step","diversified_novelty_badinit_pb_seed2 - cover_rate_5step"
"48420000","0.4522000000000001"
"48600000","0.4706"
"48780000","0.4578"
"48960000","0.4634"
"49140000","0.458"
"49320000","0.4632"
"49500000","0.4384"
"49680000","0.4444"
"49860000","0.4362"
"50040000","0.4466"
"50220000","0.4366"
"50400000","0.464"
"50580000","0.4308"
"50760000","0.4456"
"50940000","0.4217999999999999"
"51120000","0.4516"
"51300000","0.45679999999999993"
"51480000","0.4296"
"51660000","0.4602"
"51840000","0.47379999999999994"
"52020000","0.4726"
"52200000","0.4896"
"52380000","0.4908"
"52560000","0.48120000000000007"
"52740000","0.475"
"52920000","0.5002"
"53100000","0.48940000000000006"
"53280000","0.4988"
"53460000","0.5038"
"53640000","0.5354"
"53820000","0.5196000000000001"
"54000000","0.5356000000000002"
"54180000","0.5272"
"54360000","0.5266000000000001"
"54540000","0.5166000000000001"
"54720000","0.511"
"54900000","0.508"
"55080000","0.5322"
"55260000","0.5147999999999999"
"55440000","0.5404"
"55620000","0.5342"
"55800000","0.5434"
"55980000","0.5526"
"56160000","0.5456"
"56340000","0.5704"
"56520000","0.5788000000000001"
"56700000","0.5546"
"56880000","0.5412"
"57060000","0.5796"
"57240000","0.571"
"57420000","0.5886"
"57600000","0.594"
"57780000","0.6053999999999999"
"57960000","0.5972000000000001"
"58140000","0.5842"
"58320000","0.6058"
"58500000","0.6127999999999999"
"58680000","0.5924"
"58860000","0.6294000000000001"
"59040000","0.6002000000000001"
"59220000","0.5922000000000001"
"59400000","0.6402"
"59580000","0.6444"
"59760000","0.595"
"59940000","0.6411999999999999"
"60120000","0.6434"
"60300000","0.6537999999999999"
"60480000","0.65"
"60660000","0.6422"
"60840000","0.661"
"61020000","0.6562"
"61200000","0.6518"
"61380000","0.668"
"61560000","0.686"
"61740000","0.6873999999999999"
"61920000","0.692"
"62100000","0.6766"
"62280000","0.6931999999999999"
"62460000","0.6884000000000001"
"62640000","0.6794"
"62820000","0.7268"
"63000000","0.7104"
"63180000","0.7105999999999999"
"63360000","0.7055999999999999"
"63540000","0.714"
"63720000","0.7353999999999999"
"63900000","0.7594000000000001"
"64080000","0.7208000000000001"
"64260000","0.7208"
"64440000","0.7218"
"64620000","0.735"
"64800000","0.7264"
"64980000","0.7647999999999999"
"65160000","0.7203999999999999"
"65340000","0.7757999999999999"
"65520000","0.7637999999999999"
"65700000","0.7587999999999999"
"65880000","0.7774"
"66060000","0.7373999999999999"
"66240000","0.7552000000000001"
"66420000","0.775"
"66600000","0.7906"
"66780000","0.7958"
"66960000","0.7904"
"67140000","0.7807999999999999"
"67320000","0.8116"
"67500000","0.8146"
"67680000","0.7717999999999999"
"67860000","0.786"
"68040000","0.7686"
"68220000","0.7626000000000001"
"68400000","0.796"
"68580000","0.8042"
"68760000","0.8104"
"68940000","0.797"
"69120000","0.7956"
"69300000","0.7794"
"69480000","0.8174"
"69660000","0.8028"
"69840000","0.7807999999999999"
"70020000","0.8038"
"70200000","0.7914"
"70380000","0.8098"
"70560000","0.8228"
"70740000","0.8172"
"70920000","0.8138"
"71100000","0.8393999999999999"
"71280000","0.8124000000000001"
"71460000","0.8242"
"71640000","0.8403999999999999"
"71820000","0.8204"
"72000000","0.823"
"72180000","0.8256"
"72360000","0.8168"
"72540000","0.8344"
"72720000","0.838"
"72900000","0.8385999999999999"
"73080000","0.841"
"73260000","0.8216"
"73440000","0.8613999999999999"
"73620000","0.8603999999999999"
"73800000","0.838"
"73980000","0.8576"
"74160000","0.8365999999999999"
"74340000","0.8543999999999999"
"74520000","0.8598"
"74700000","0.8766"
"74880000","0.8476"
"75060000","0.8655999999999999"
"75240000","0.867"
"75420000","0.8887999999999999"
"75600000","0.8876000000000001"
"75780000","0.8916000000000001"
"75960000","0.8937999999999999"
"76140000","0.8752000000000001"
"76320000","0.8665999999999999"
"76500000","0.877"
"76680000","0.9084"
"76860000","0.8757999999999999"
"77040000","0.889"
"77220000","0.8797999999999999"
"77400000","0.8834000000000001"
"77580000","0.8972"
"77760000","0.8884000000000001"
"77940000","0.8882000000000001"
"78120000","0.8964"
"78300000","0.8861999999999999"
"78480000","0.8826"
"78660000","0.8847999999999999"
"78840000","0.9112"
"79020000","0.8981999999999999"
"79200000","0.8754"
"79380000","0.884"
"79560000","0.8907999999999999"
"79740000","0.9004"
"79920000","0.89"
