"Step","reverse-6floor-seed2 - test_lock_rate","reverse-6floor-seed2 - test_lock_rate__MIN","reverse-6floor-seed2 - test_lock_rate__MAX"
"5491200","0.695","0.695","0.695"
"5522400","0.722","0.722","0.722"
"5553600","0.721","0.721","0.721"
"5584800","0.724","0.724","0.724"
"5616000","0.69","0.69","0.69"
"5647200","0.69","0.69","0.69"
"5678400","0.729","0.729","0.729"
"5709600","0.71","0.71","0.71"
"5740800","0.745","0.745","0.745"
"5772000","0.724","0.724","0.724"
"5803200","0.674","0.674","0.674"
"5834400","0.805","0.805","0.805"
"5865600","0.799","0.799","0.799"
"5896800","0.774","0.774","0.774"
"5928000","0.77","0.77","0.77"
"5959200","0.763","0.763","0.763"
"5990400","0.847","0.847","0.847"
"6021600","0.791","0.791","0.791"
"6052800","0.739","0.739","0.739"
"6084000","0.774","0.774","0.774"
"6115200","0.727","0.727","0.727"
"6146400","0.72","0.72","0.72"
"6177600","0.639","0.639","0.639"
"6208800","0.725","0.725","0.725"
"6240000","0.809","0.809","0.809"
"6271200","0.78","0.78","0.78"
"6302400","0.765","0.765","0.765"
"6333600","0.795","0.795","0.795"
"6364800","0.79","0.79","0.79"
"6396000","0.768","0.768","0.768"
"6427200","0.739","0.739","0.739"
"6458400","0.745","0.745","0.745"
"6489600","0.745","0.745","0.745"
"6520800","0.735","0.735","0.735"
"6552000","0.715","0.715","0.715"
"6583200","0.64","0.64","0.64"
"6614400","0.671","0.671","0.671"
"6645600","0.754","0.754","0.754"
"6676800","0.725","0.725","0.725"
"6708000","0.762","0.762","0.762"
"6739200","0.729","0.729","0.729"
"6770400","0.703","0.703","0.703"
"6801600","0.724","0.724","0.724"
"6832800","0.732","0.732","0.732"
"6864000","0.677","0.677","0.677"
"6895200","0.745","0.745","0.745"
"6926400","0.714","0.714","0.714"
"6957600","0.716","0.716","0.716"
"6988800","0.761","0.761","0.761"
"7020000","0.79","0.79","0.79"
"7051200","0.774","0.774","0.774"
"7082400","0.79","0.79","0.79"
"7113600","0.782","0.782","0.782"
"7144800","0.69","0.69","0.69"
"7176000","0.752","0.752","0.752"
"7207200","0.687","0.687","0.687"
"7238400","0.735","0.735","0.735"
"7269600","0.75","0.75","0.75"
"7300800","0.73","0.73","0.73"
"7332000","0.715","0.715","0.715"
"7363200","0.695","0.695","0.695"
"7394400","0.71","0.71","0.71"
"7425600","0.72","0.72","0.72"
"7456800","0.781","0.781","0.781"
"7488000","0.79","0.79","0.79"
"7519200","0.887","0.887","0.887"
"7550400","0.822","0.822","0.822"
"7581600","0.88","0.88","0.88"
"7612800","0.817","0.817","0.817"
"7644000","0.815","0.815","0.815"
"7675200","0.845","0.845","0.845"
"7706400","0.807","0.807","0.807"
"7737600","0.841","0.841","0.841"
"7768800","0.806","0.806","0.806"
"7800000","0.795","0.795","0.795"
"7831200","0.824","0.824","0.824"
"7862400","0.802","0.802","0.802"
"7893600","0.88","0.88","0.88"
"7924800","0.86","0.86","0.86"
"7956000","0.881","0.881","0.881"
"7987200","0.89","0.89","0.89"
"8018400","0.862","0.862","0.862"
"8049600","0.861","0.861","0.861"
"8080800","0.865","0.865","0.865"
"8112000","0.82","0.82","0.82"
"8143200","0.825","0.825","0.825"
"8174400","0.855","0.855","0.855"
"8205600","0.85","0.85","0.85"
"8236800","0.795","0.795","0.795"
"8268000","0.816","0.816","0.816"
"8299200","0.835","0.835","0.835"
"8330400","0.798","0.798","0.798"
"8361600","0.851","0.851","0.851"
"8392800","0.874","0.874","0.874"
"8424000","0.806","0.806","0.806"
"8455200","0.85","0.85","0.85"
"8486400","0.786","0.786","0.786"
"8517600","0.82","0.82","0.82"
"8548800","0.763","0.763","0.763"
"8580000","0.82","0.82","0.82"
"8611200","0.81","0.81","0.81"
"8642400","0.828","0.828","0.828"
"8673600","0.807","0.807","0.807"
"8704800","0.79","0.79","0.79"
"8736000","0.8","0.8","0.8"
"8767200","0.811","0.811","0.811"
"8798400","0.871","0.871","0.871"
"8829600","0.866","0.866","0.866"
"8860800","0.86","0.86","0.86"
"8892000","0.819","0.819","0.819"
"8923200","0.85","0.85","0.85"
"8954400","0.829","0.829","0.829"
"8985600","0.9","0.9","0.9"
"9016800","0.905","0.905","0.905"
"9048000","0.89","0.89","0.89"
"9079200","0.82","0.82","0.82"
"9110400","0.884","0.884","0.884"
"9141600","0.865","0.865","0.865"
"9172800","0.895","0.895","0.895"
"9204000","0.899","0.899","0.899"
"9235200","0.92","0.92","0.92"
"9266400","0.888","0.888","0.888"
"9297600","0.915","0.915","0.915"
"9328800","0.94","0.94","0.94"
"9360000","0.925","0.925","0.925"
"9391200","0.943","0.943","0.943"
"9422400","0.941","0.941","0.941"
"9453600","0.893","0.893","0.893"
"9484800","0.949","0.949","0.949"
"9516000","0.934","0.934","0.934"
"9547200","0.927","0.927","0.927"
"9578400","0.95","0.95","0.95"
"9609600","0.88","0.88","0.88"
"9640800","0.926","0.926","0.926"
"9672000","0.925","0.925","0.925"
"9703200","0.911","0.911","0.911"
"9734400","0.901","0.901","0.901"
"9765600","0.925","0.925","0.925"
"9796800","0.905","0.905","0.905"
"9828000","0.905","0.905","0.905"
"9859200","0.901","0.901","0.901"
"9890400","0.915","0.915","0.915"
"9921600","0.935","0.935","0.935"
"9952800","0.872","0.872","0.872"
"9984000","0.897","0.897","0.897"
"10015200","0.896","0.896","0.896"
"10046400","0.878","0.878","0.878"
"10077600","0.948","0.948","0.948"
"10108800","0.915","0.915","0.915"
"10140000","0.875","0.875","0.875"
"10171200","0.836","0.836","0.836"
"10202400","0.835","0.835","0.835"
"10233600","0.855","0.855","0.855"
"10264800","0.82","0.82","0.82"
"10296000","0.835","0.835","0.835"
"10327200","0.826","0.826","0.826"
"10358400","0.76","0.76","0.76"
"10389600","0.756","0.756","0.756"
"10420800","0.781","0.781","0.781"
"10452000","0.777","0.777","0.777"
"10483200","0.775","0.775","0.775"
"10514400","0.762","0.762","0.762"
"10545600","0.795","0.795","0.795"
"10576800","0.799","0.799","0.799"
"10608000","0.734","0.734","0.734"
"10639200","0.694","0.694","0.694"
"10670400","0.726","0.726","0.726"
"10701600","0.738","0.738","0.738"
"10732800","0.76","0.76","0.76"
"10764000","0.716","0.716","0.716"
"10795200","0.723","0.723","0.723"
"10826400","0.73","0.73","0.73"
"10857600","0.735","0.735","0.735"
"10888800","0.708","0.708","0.708"
"10920000","0.741","0.741","0.741"
"10951200","0.732","0.732","0.732"
"10982400","0.779","0.779","0.779"
"11013600","0.784","0.784","0.784"
"11044800","0.74","0.74","0.74"
"11076000","0.675","0.675","0.675"
"11107200","0.778","0.778","0.778"
"11138400","0.679","0.679","0.679"
"11169600","0.772","0.772","0.772"
"11200800","0.845","0.845","0.845"
"11232000","0.785","0.785","0.785"
"11263200","0.73","0.73","0.73"
"11294400","0.785","0.785","0.785"
"11325600","0.751","0.751","0.751"
"11356800","0.703","0.703","0.703"
"11388000","0.801","0.801","0.801"
"11419200","0.75","0.75","0.75"
"11450400","0.82","0.82","0.82"
"11481600","0.821","0.821","0.821"
"11512800","0.818","0.818","0.818"
"11544000","0.748","0.748","0.748"
"11575200","0.77","0.77","0.77"
"11606400","0.811","0.811","0.811"
"11637600","0.766","0.766","0.766"
"11668800","0.79","0.79","0.79"
"11700000","0.85","0.85","0.85"
"11731200","0.813","0.813","0.813"
"11762400","0.83","0.83","0.83"
"11793600","0.848","0.848","0.848"
"11824800","0.83","0.83","0.83"
"11856000","0.795","0.795","0.795"
"11887200","0.815","0.815","0.815"
"11918400","0.78","0.78","0.78"
"11949600","0.825","0.825","0.825"
"11980800","0.804","0.804","0.804"
"12012000","0.775","0.775","0.775"
"12043200","0.792","0.792","0.792"
"12074400","0.796","0.796","0.796"
"12105600","0.82","0.82","0.82"
"12136800","0.816","0.816","0.816"
"12168000","0.87","0.87","0.87"
"12199200","0.804","0.804","0.804"
"12230400","0.848","0.848","0.848"
"12261600","0.815","0.815","0.815"
"12292800","0.905","0.905","0.905"
"12324000","0.824","0.824","0.824"
"12355200","0.84","0.84","0.84"
"12386400","0.871","0.871","0.871"
"12417600","0.875","0.875","0.875"
"12448800","0.898","0.898","0.898"
"12480000","0.875","0.875","0.875"
"12511200","0.874","0.874","0.874"
"12542400","0.83","0.83","0.83"
"12573600","0.92","0.92","0.92"
"12604800","0.82","0.82","0.82"
"12636000","0.871","0.871","0.871"
"12667200","0.86","0.86","0.86"
"12698400","0.82","0.82","0.82"
"12729600","0.832","0.832","0.832"
"12760800","0.874","0.874","0.874"
"12792000","0.895","0.895","0.895"
"12823200","0.785","0.785","0.785"
"12854400","0.816","0.816","0.816"
"12885600","0.895","0.895","0.895"
"12916800","0.84","0.84","0.84"
"12948000","0.854","0.854","0.854"
"12979200","0.882","0.882","0.882"
"13010400","0.88","0.88","0.88"
"13041600","0.892","0.892","0.892"
"13072800","0.902","0.902","0.902"
"13104000","0.908","0.908","0.908"
"13135200","0.865","0.865","0.865"
"13166400","0.845","0.845","0.845"
"13197600","0.875","0.875","0.875"
"13228800","0.84","0.84","0.84"
"13260000","0.905","0.905","0.905"
"13291200","0.914","0.914","0.914"
"13322400","0.886","0.886","0.886"
"13353600","0.92","0.92","0.92"
"13384800","0.935","0.935","0.935"
"13416000","0.902","0.902","0.902"
"13447200","0.935","0.935","0.935"
"13478400","0.898","0.898","0.898"
"13509600","0.901","0.901","0.901"
"13540800","0.931","0.931","0.931"
"13572000","0.965","0.965","0.965"
"13603200","0.926","0.926","0.926"
"13634400","0.903","0.903","0.903"
"13665600","0.92","0.92","0.92"
"13696800","0.953","0.953","0.953"
"13728000","0.9","0.9","0.9"
"13759200","0.904","0.904","0.904"
"13790400","0.944","0.944","0.944"
"13821600","0.951","0.951","0.951"
"13852800","0.862","0.862","0.862"
"13884000","0.91","0.91","0.91"
"13915200","0.849","0.849","0.849"
"13946400","0.86","0.86","0.86"
"13977600","0.955","0.955","0.955"
"14008800","0.86","0.86","0.86"
"14040000","0.859","0.859","0.859"
"14071200","0.844","0.844","0.844"
"14102400","0.805","0.805","0.805"
"14133600","0.89","0.89","0.89"
"14164800","0.918","0.918","0.918"
"14196000","0.879","0.879","0.879"
"14227200","0.918","0.918","0.918"
"14258400","0.955","0.955","0.955"
"14289600","0.88","0.88","0.88"
"14320800","0.91","0.91","0.91"
"14352000","0.89","0.89","0.89"
"14383200","0.88","0.88","0.88"
"14414400","0.895","0.895","0.895"
"14445600","0.86","0.86","0.86"
"14476800","0.894","0.894","0.894"
"14508000","0.885","0.885","0.885"
"14539200","0.871","0.871","0.871"
"14570400","0.865","0.865","0.865"
"14601600","0.886","0.886","0.886"
"14632800","0.82","0.82","0.82"
"14664000","0.901","0.901","0.901"
"14695200","0.855","0.855","0.855"
"14726400","0.875","0.875","0.875"
"14757600","0.878","0.878","0.878"
"14788800","0.844","0.844","0.844"
"14820000","0.86","0.86","0.86"
"14851200","0.886","0.886","0.886"
"14882400","0.865","0.865","0.865"
"14913600","0.874","0.874","0.874"
"14944800","0.86","0.86","0.86"
"14976000","0.865","0.865","0.865"
"15007200","0.941","0.941","0.941"
"15038400","0.842","0.842","0.842"
"15069600","0.869","0.869","0.869"
"15100800","0.88","0.88","0.88"
"15132000","0.88","0.88","0.88"
"15163200","0.858","0.858","0.858"
"15194400","0.895","0.895","0.895"
"15225600","0.845","0.845","0.845"
"15256800","0.894","0.894","0.894"
"15288000","0.93","0.93","0.93"
"15319200","0.884","0.884","0.884"
"15350400","0.91","0.91","0.91"
"15381600","0.865","0.865","0.865"
"15412800","0.9","0.9","0.9"
"15444000","0.865","0.865","0.865"
"15475200","0.876","0.876","0.876"
"15506400","0.778","0.778","0.778"
"15537600","0.881","0.881","0.881"
"15568800","0.879","0.879","0.879"
"15600000","0.849","0.849","0.849"
"15631200","0.904","0.904","0.904"
"15662400","0.85","0.85","0.85"
"15693600","0.84","0.84","0.84"
"15724800","0.807","0.807","0.807"
"15756000","0.845","0.845","0.845"
"15787200","0.841","0.841","0.841"
"15818400","0.85","0.85","0.85"
"15849600","0.811","0.811","0.811"
"15880800","0.835","0.835","0.835"
"15912000","0.832","0.832","0.832"
"15943200","0.854","0.854","0.854"
"15974400","0.823","0.823","0.823"
"16005600","0.774","0.774","0.774"
"16036800","0.739","0.739","0.739"
"16068000","0.836","0.836","0.836"
"16099200","0.785","0.785","0.785"
"16130400","0.853","0.853","0.853"
"16161600","0.833","0.833","0.833"
"16192800","0.784","0.784","0.784"
"16224000","0.822","0.822","0.822"
"16255200","0.772","0.772","0.772"
"16286400","0.727","0.727","0.727"
"16317600","0.78","0.78","0.78"
"16348800","0.765","0.765","0.765"
"16380000","0.813","0.813","0.813"
"16411200","0.783","0.783","0.783"
"16442400","0.762","0.762","0.762"
"16473600","0.797","0.797","0.797"
"16504800","0.763","0.763","0.763"
"16536000","0.8","0.8","0.8"
"16567200","0.704","0.704","0.704"
"16598400","0.761","0.761","0.761"
"16629600","0.846","0.846","0.846"
"16660800","0.821","0.821","0.821"
"16692000","0.765","0.765","0.765"
"16723200","0.849","0.849","0.849"
"16754400","0.758","0.758","0.758"
"16785600","0.785","0.785","0.785"
"16816800","0.78","0.78","0.78"
"16848000","0.79","0.79","0.79"
"16879200","0.724","0.724","0.724"
"16910400","0.784","0.784","0.784"
"16941600","0.785","0.785","0.785"
"16972800","0.755","0.755","0.755"
"17004000","0.748","0.748","0.748"
"17035200","0.837","0.837","0.837"
"17066400","0.845","0.845","0.845"
"17097600","0.838","0.838","0.838"
"17128800","0.753","0.753","0.753"
"17160000","0.791","0.791","0.791"
"17191200","0.791","0.791","0.791"
"17222400","0.777","0.777","0.777"
"17253600","0.778","0.778","0.778"
"17284800","0.805","0.805","0.805"
"17316000","0.775","0.775","0.775"
"17347200","0.798","0.798","0.798"
"17378400","0.815","0.815","0.815"
"17409600","0.85","0.85","0.85"
"17440800","0.711","0.711","0.711"
"17472000","0.855","0.855","0.855"
"17503200","0.825","0.825","0.825"
"17534400","0.735","0.735","0.735"
"17565600","0.815","0.815","0.815"
"17596800","0.825","0.825","0.825"
"17628000","0.78","0.78","0.78"
"17659200","0.755","0.755","0.755"
"17690400","0.779","0.779","0.779"
"17721600","0.809","0.809","0.809"
"17752800","0.746","0.746","0.746"
"17784000","0.792","0.792","0.792"
"17815200","0.858","0.858","0.858"
"17846400","0.806","0.806","0.806"
"17877600","0.817","0.817","0.817"
"17908800","0.812","0.812","0.812"
"17940000","0.865","0.865","0.865"
"17971200","0.857","0.857","0.857"
"18002400","0.802","0.802","0.802"
"18033600","0.795","0.795","0.795"
"18064800","0.818","0.818","0.818"
"18096000","0.811","0.811","0.811"
"18127200","0.839","0.839","0.839"
"18158400","0.804","0.804","0.804"
"18189600","0.783","0.783","0.783"
"18220800","0.765","0.765","0.765"
"18252000","0.851","0.851","0.851"
"18283200","0.855","0.855","0.855"
"18314400","0.855","0.855","0.855"
"18345600","0.823","0.823","0.823"
"18376800","0.801","0.801","0.801"
"18408000","0.81","0.81","0.81"
"18439200","0.726","0.726","0.726"
"18470400","0.82","0.82","0.82"
"18501600","0.73","0.73","0.73"
"18532800","0.75","0.75","0.75"
"18564000","0.734","0.734","0.734"
"18595200","0.785","0.785","0.785"
"18626400","0.726","0.726","0.726"
"18657600","0.735","0.735","0.735"
"18688800","0.764","0.764","0.764"
"18720000","0.775","0.775","0.775"
"18751200","0.72","0.72","0.72"
"18782400","0.756","0.756","0.756"
"18813600","0.67","0.67","0.67"
"18844800","0.684","0.684","0.684"
"18876000","0.715","0.715","0.715"
"18907200","0.727","0.727","0.727"
"18938400","0.706","0.706","0.706"
"18969600","0.76","0.76","0.76"
"19000800","0.699","0.699","0.699"
"19032000","0.763","0.763","0.763"
"19063200","0.655","0.655","0.655"
"19094400","0.665","0.665","0.665"
"19125600","0.665","0.665","0.665"
"19156800","0.581","0.581","0.581"
"19188000","0.65","0.65","0.65"
"19219200","0.665","0.665","0.665"
"19250400","0.715","0.715","0.715"
"19281600","0.645","0.645","0.645"
"19312800","0.605","0.605","0.605"
"19344000","0.695","0.695","0.695"
"19375200","0.657","0.657","0.657"
"19406400","0.635","0.635","0.635"
"19437600","0.623","0.623","0.623"
"19468800","0.534","0.534","0.534"
"19500000","0.635","0.635","0.635"
"19531200","0.575","0.575","0.575"
"19562400","0.565","0.565","0.565"
"19593600","0.578","0.578","0.578"
"19624800","0.596","0.596","0.596"
"19656000","0.652","0.652","0.652"
"19687200","0.66","0.66","0.66"
"19718400","0.562","0.562","0.562"
"19749600","0.668","0.668","0.668"
"19780800","0.625","0.625","0.625"
"19812000","0.643","0.643","0.643"
"19843200","0.607","0.607","0.607"
"19874400","0.65","0.65","0.65"
"19905600","0.64","0.64","0.64"
"19936800","0.597","0.597","0.597"
"19968000","0.67","0.67","0.67"
"19999200","0.56","0.56","0.56"
"20030400","0.575","0.575","0.575"
"20061600","0.604","0.604","0.604"
"20092800","0.485","0.485","0.485"
"20124000","0.57","0.57","0.57"
"20155200","0.565","0.565","0.565"
"20186400","0.575","0.575","0.575"
"20217600","0.529","0.529","0.529"
"20248800","0.595","0.595","0.595"
"20280000","0.484","0.484","0.484"
"20311200","0.55","0.55","0.55"
"20342400","0.451","0.451","0.451"
"20373600","0.542","0.542","0.542"
"20404800","0.519","0.519","0.519"
"20436000","0.53","0.53","0.53"
"20467200","0.48","0.48","0.48"
"20498400","0.53","0.53","0.53"
"20529600","0.56","0.56","0.56"
"20560800","0.505","0.505","0.505"
"20592000","0.45","0.45","0.45"
"20623200","0.485","0.485","0.485"
"20654400","0.461","0.461","0.461"
"20685600","0.475","0.475","0.475"
"20716800","0.49","0.49","0.49"
"20748000","0.474","0.474","0.474"
"20779200","0.48","0.48","0.48"
"20810400","0.46","0.46","0.46"
"20841600","0.465","0.465","0.465"
"20872800","0.461","0.461","0.461"
"20904000","0.484","0.484","0.484"
"20935200","0.545","0.545","0.545"
"20966400","0.525","0.525","0.525"
"20997600","0.41","0.41","0.41"
"21028800","0.429","0.429","0.429"
"21060000","0.485","0.485","0.485"
"21091200","0.462","0.462","0.462"
"21122400","0.495","0.495","0.495"
"21153600","0.43","0.43","0.43"
"21184800","0.445","0.445","0.445"
"21216000","0.395","0.395","0.395"
"21247200","0.446","0.446","0.446"
"21278400","0.395","0.395","0.395"
"21309600","0.406","0.406","0.406"
"21340800","0.47","0.47","0.47"
"21372000","0.494","0.494","0.494"
"21403200","0.47","0.47","0.47"
"21434400","0.475","0.475","0.475"
"21465600","0.43","0.43","0.43"
"21496800","0.395","0.395","0.395"
"21528000","0.495","0.495","0.495"
"21559200","0.5","0.5","0.5"
"21590400","0.541","0.541","0.541"
"21621600","0.5","0.5","0.5"
"21652800","0.52","0.52","0.52"
"21684000","0.545","0.545","0.545"
"21715200","0.451","0.451","0.451"
"21746400","0.462","0.462","0.462"
"21777600","0.5","0.5","0.5"
"21808800","0.575","0.575","0.575"
"21840000","0.48","0.48","0.48"
"21871200","0.54","0.54","0.54"
"21902400","0.55","0.55","0.55"
"21933600","0.48","0.48","0.48"
"21964800","0.535","0.535","0.535"
"21996000","0.56","0.56","0.56"
"22027200","0.52","0.52","0.52"
"22058400","0.524","0.524","0.524"
"22089600","0.475","0.475","0.475"
"22120800","0.53","0.53","0.53"
"22152000","0.495","0.495","0.495"
"22183200","0.47","0.47","0.47"
"22214400","0.54","0.54","0.54"
"22245600","0.461","0.461","0.461"
"22276800","0.575","0.575","0.575"
"22308000","0.495","0.495","0.495"
"22339200","0.54","0.54","0.54"
"22370400","0.435","0.435","0.435"
"22401600","0.469","0.469","0.469"
"22432800","0.5","0.5","0.5"
"22464000","0.53","0.53","0.53"
"22495200","0.542","0.542","0.542"
"22526400","0.575","0.575","0.575"
"22557600","0.55","0.55","0.55"
"22588800","0.586","0.586","0.586"
"22620000","0.57","0.57","0.57"
"22651200","0.575","0.575","0.575"
"22682400","0.617","0.617","0.617"
"22713600","0.514","0.514","0.514"
"22744800","0.44","0.44","0.44"
"22776000","0.55","0.55","0.55"
"22807200","0.45","0.45","0.45"
"22838400","0.536","0.536","0.536"
"22869600","0.552","0.552","0.552"
"22900800","0.58","0.58","0.58"
"22932000","0.485","0.485","0.485"
"22963200","0.52","0.52","0.52"
"22994400","0.58","0.58","0.58"
"23025600","0.59","0.59","0.59"
"23056800","0.572","0.572","0.572"
"23088000","0.567","0.567","0.567"
"23119200","0.6","0.6","0.6"
"23150400","0.576","0.576","0.576"
"23181600","0.568","0.568","0.568"
"23212800","0.575","0.575","0.575"
"23244000","0.574","0.574","0.574"
"23275200","0.602","0.602","0.602"
"23306400","0.545","0.545","0.545"
"23337600","0.55","0.55","0.55"
"23368800","0.625","0.625","0.625"
"23400000","0.61","0.61","0.61"
"23431200","0.601","0.601","0.601"
"23462400","0.585","0.585","0.585"
"23493600","0.636","0.636","0.636"
"23524800","0.6","0.6","0.6"
"23556000","0.529","0.529","0.529"
"23587200","0.62","0.62","0.62"
"23618400","0.587","0.587","0.587"
"23649600","0.585","0.585","0.585"
"23680800","0.6","0.6","0.6"
"23712000","0.59","0.59","0.59"
"23743200","0.555","0.555","0.555"
"23774400","0.581","0.581","0.581"
"23805600","0.595","0.595","0.595"
"23836800","0.715","0.715","0.715"
"23868000","0.62","0.62","0.62"
"23899200","0.555","0.555","0.555"
"23930400","0.616","0.616","0.616"
"23961600","0.685","0.685","0.685"
"23992800","0.606","0.606","0.606"
"24024000","0.625","0.625","0.625"
"24055200","0.58","0.58","0.58"
