"Step","ours_warmup6iter_check_true_seed1 - 8cover_rate"
"105000","0.91575"
"210000","0.9117"
"315000","0.9138"
"420000","0.9066499999999998"
"525000","0.903"
"630000","0.90295"
"735000","0.8839"
"840000","0.8744"
"945000","0.8705499999999999"
"1050000","0.8635999999999999"
"1155000","0.8539500000000001"
"1260000","0.84605"
"1365000","0.838"
"1470000","0.8538"
"1575000","0.863"
"1680000","0.86265"
"1785000","0.86585"
"1890000","0.8599000000000001"
"1995000","0.8566"
"2100000","0.86715"
"2205000","0.8566"
"2310000","0.8563"
"2415000","0.86525"
"2520000","0.8627"
"2625000","0.8529500000000001"
"2730000","0.8488999999999999"
"2835000","0.85145"
"2940000","0.8650999999999999"
"3045000","0.8543999999999999"
"3150000","0.8626999999999999"
"3255000","0.8519500000000001"
"3360000","0.83275"
"3465000","0.84125"
"3570000","0.85335"
"3675000","0.8548999999999999"
"3780000","0.8546"
"3885000","0.86405"
"3990000","0.8698499999999999"
"4095000","0.861"
"4200000","0.86215"
"4305000","0.8681500000000001"
"4410000","0.86035"
"4515000","0.8645499999999999"
"4620000","0.8652000000000001"
"4725000","0.8625999999999999"
"4830000","0.85665"
"4935000","0.86025"
"5040000","0.8588499999999999"
"5145000","0.86035"
"5250000","0.8687999999999999"
"5355000","0.85905"
"5460000","0.8627999999999999"
"5565000","0.8655"
"5670000","0.8709499999999999"
"5775000","0.87625"
"5880000","0.86415"
"5985000","0.87295"
"6090000","0.88615"
"6195000","0.8731"
"6300000","0.8748499999999999"
"6405000","0.8760999999999999"
"6510000","0.88715"
"6615000","0.8781499999999999"
"6720000","0.89215"
"6825000","0.89485"
"6930000","0.89105"
"7035000","0.90335"
"7140000","0.8990999999999999"
"7245000","0.9026"
"7350000","0.89825"
"7455000","0.90905"
"7560000","0.9082"
"7665000","0.9069"
"7770000","0.9057"
"7875000","0.9075"
"7980000","0.9063"
"8085000","0.91365"
"8190000","0.9143"
"8295000","0.9139"
"8400000","0.9108"
"8505000","0.91015"
"8610000","0.90475"
"8715000","0.91755"
"8820000","0.91735"
"8925000","0.90955"
"9030000","0.90805"
"9135000","0.91675"
"9240000","0.9135"
"9345000","0.90845"
"9450000","0.92415"
"9555000","0.90705"
"9660000","0.9162"
"9765000","0.90575"
"9870000","0.90835"
"9975000","0.9003499999999999"
"10080000","0.9089"
"10185000","0.92045"
"10290000","0.91765"
"10395000","0.91245"
"10500000","0.91255"
"10605000","0.91185"
"10710000","0.9205"
"10815000","0.92735"
"10920000","0.9227"
"11025000","0.91635"
"11130000","0.919"
"11235000","0.913"
"11340000","0.9301"
"11445000","0.91825"
"11550000","0.93585"
"11655000","0.9277"
"11760000","0.9239"
"11865000","0.93035"
"11970000","0.92835"
"12075000","0.9344"
"12180000","0.93405"
"12285000","0.94105"
"12390000","0.9279"
"12495000","0.9316"
"12600000","0.9248999999999998"
"12705000","0.92995"
"12810000","0.92175"
"12915000","0.93495"
"13020000","0.93335"
"13125000","0.93385"
"13230000","0.93155"
"13335000","0.9411"
"13440000","0.942"
"13545000","0.9321"
"13650000","0.93875"
"13755000","0.94475"
"13860000","0.946"
"13965000","0.9496"
"14070000","0.95005"
"14175000","0.94495"
"14280000","0.9464"
"14385000","0.94255"
"14490000","0.9394"
"14595000","0.94995"
"14700000","0.94535"
"14805000","0.94205"
"14910000","0.94825"
"15015000","0.9552"
"15120000","0.95315"
"15225000","0.9543"
"15330000","0.9548"
"15435000","0.95765"
"15540000","0.94715"
"15645000","0.9472"
"15750000","0.9571"
"15855000","0.94895"
"15960000","0.9604"
"16065000","0.95275"
"16170000","0.9512"
"16275000","0.95895"
"16380000","0.9571499999999998"
"16485000","0.9555"
"16590000","0.95775"
"16695000","0.96155"
"16800000","0.95875"
"16905000","0.9634"
"17010000","0.96085"
"17115000","0.9598"
"17220000","0.95705"
"17325000","0.9536"
"17430000","0.95835"
"17535000","0.9599"
"17640000","0.9652"
"17745000","0.95575"
"17850000","0.95865"
"17955000","0.94715"
"18060000","0.9489"
"18165000","0.94495"
"18270000","0.9429"
"18375000","0.94125"
"18480000","0.93885"
"18585000","0.94855"
"18690000","0.94225"
"18795000","0.9516"
"18900000","0.95715"
"19005000","0.9582"
"19110000","0.9614"
"19215000","0.9479"
"19320000","0.96555"
"19425000","0.96815"
"19530000","0.9637"
"19635000","0.96605"
"19740000","0.9619"
"19845000","0.96795"
"19950000","0.9691"
"20055000","0.98045"
"20160000","0.97045"
"20265000","0.973"
"20370000","0.97825"
"20475000","0.98"
"20580000","0.97945"
"20685000","0.9758"
"20790000","0.9752499999999998"
"20895000","0.9688"
"21000000","0.97185"
"21105000","0.9821"
"21210000","0.9818"
"21315000","0.9782"
"21420000","0.97715"
"21525000","0.9802"
"21630000","0.98275"
"21735000","0.9778"
"21840000","0.98205"
