"Step","mixdecay_sp_fre30_seed2 - 8cover_rate"
"157290","0.8874500000000001"
"314580","0.8706"
"471870","0.88205"
"629160","0.8936499999999998"
"786450","0.8939499999999999"
"943740","0.8775"
"1101030","0.8883"
"1258320","0.9107"
"1415610","0.88925"
"1572900","0.8849"
"1724940","0.88575"
"1876980","0.8820999999999999"
"2029020","0.8383999999999998"
"2181060","0.86505"
"2333100","0.8583500000000001"
"2485140","0.8513999999999998"
"2637180","0.85265"
"2789220","0.8406999999999999"
"2941260","0.8449500000000001"
"3093300","0.85775"
"3240300","0.87385"
"3387300","0.8585999999999999"
"3534300","0.8628499999999999"
"3681300","0.8685"
"3828300","0.8705"
"3975300","0.88"
"4122300","0.8760999999999999"
"4269300","0.8934"
"4416300","0.8877999999999999"
"4563300","0.88965"
"4705050","0.9054"
"4846800","0.90895"
"4988550","0.9205"
"5130300","0.91185"
"5272050","0.89075"
"5413800","0.89155"
"5555550","0.88965"
"5697300","0.8923499999999999"
"5839050","0.89345"
"5980800","0.8907999999999999"
"6117300","0.8980499999999999"
"6253800","0.9092"
"6390300","0.90545"
"6526800","0.90235"
"6663300","0.89825"
"6799800","0.9028"
"6936300","0.8712000000000001"
"7072800","0.8529000000000001"
"7209300","0.8553999999999999"
"7345800","0.8336999999999999"
"7477260","0.85545"
"7608720","0.856"
"7740180","0.8780999999999999"
"7871640","0.8871000000000001"
"8003100","0.8820999999999999"
"8134560","0.86905"
"8266020","0.8988999999999998"
"8397480","0.9015"
"8528940","0.89635"
"8660400","0.8894500000000001"
"8786400","0.9028"
"8912400","0.90545"
"9038400","0.8997999999999999"
"9164400","0.89455"
"9290400","0.8881999999999999"
"9416400","0.8991"
"9542400","0.679"
"9668400","0.67345"
"9794400","0.70325"
"9920400","0.7387"
"10041150","0.7533"
"10161900","0.76985"
"10282650","0.7770499999999999"
"10403400","0.7701999999999999"
"10524150","0.78505"
"10644900","0.7826"
"10765650","0.7862"
"10886400","0.79895"
"11007150","0.804"
"11127900","0.8090499999999999"
"11243190","0.7924"
"11358480","0.80825"
"11473770","0.79655"
"11589060","0.8097"
"11704350","0.8027000000000001"
"11819640","0.7927000000000001"
"11934930","0.8055999999999999"
"12050220","0.8184499999999999"
"12165510","0.81695"
"12280800","0.8065"
"12391260","0.8091499999999999"
"12501720","0.8139500000000001"
"12612180","0.82645"
"12722640","0.81565"
"12833100","0.82905"
"12943560","0.8329999999999999"
"13054020","0.8213499999999999"
"13164480","0.80575"
"13274940","0.8405"
"13385400","0.8492000000000001"
"13490400","0.8455"
"13595400","0.8374499999999999"
"13700400","0.8421"
"13805400","0.84785"
"13910400","0.8321000000000001"
"14015400","0.85665"
"14120400","0.86915"
"14225400","0.8457"
"14330400","0.85"
"14435400","0.8767"
"14540400","0.88445"
"14645400","0.88025"
"14750400","0.87145"
"14855400","0.86635"
"14960400","0.86775"
"15065400","0.8553"
"15170400","0.8489500000000001"
"15275400","0.86815"
"15380400","0.8593999999999998"
"15485400","0.86005"
"15590400","0.8436999999999999"
"15695400","0.8278"
"15800400","0.8495"
"15905400","0.8691499999999999"
"16010400","0.8829499999999999"
"16115400","0.8975"
"16220400","0.9032"
