"Step","sp_wo_evaluation_expandfromactive_wo_sigmamin_seed1 - cover_rate_5step"
"105000","0.0002"
"210000","0.0001"
"315000","0.0003"
"420000","0"
"525000","0.0018"
"630000","0.008400000000000001"
"735000","0.0095"
"840000","0.0014"
"945000","0.003"
"1050000","0.0002"
"1155000","0.0017"
"1260000","0.0009"
"1365000","0.0007"
"1470000","0.0005"
"1575000","0"
"1680000","0"
"1785000","0"
"1890000","0"
"1995000","0.0001"
"2100000","0"
"2205000","0.0004"
"2310000","0.0001"
"2415000","0.00030000000000000003"
"2520000","0.0019"
"2625000","0.0014"
"2730000","0.0008999999999999999"
"2835000","0.0023"
"2940000","0.0012"
"3045000","0.0055"
"3150000","0.0064"
"3255000","0.004200000000000001"
"3360000","0.0026999999999999997"
"3465000","0.0008"
"3570000","0.005199999999999999"
"3675000","0.0033"
"3780000","0.0036"
"3885000","0.0031"
"3990000","0.0029"
"4095000","0.0006000000000000001"
"4200000","0.0019"
"4305000","0.0011"
"4410000","0.0018"
"4515000","0.001"
"4620000","0.0004"
"4725000","0.0009"
"4830000","0"
"4935000","0.00030000000000000003"
"5040000","0"
"5145000","0.0008"
"5250000","0.0017"
"5355000","0"
"5460000","0.0004"
"5565000","0.0023"
"5670000","0.0014"
"5775000","0.0011"
"5880000","0.0016"
"5985000","0.0015"
"6090000","0.0031"
"6195000","0.0025"
"6300000","0.002"
"6405000","0.002"
"6510000","0.002"
"6615000","0.0015"
"6720000","0.0043"
"6825000","0.002099999999999999"
"6930000","0.0007"
"7035000","0.0016"
"7140000","0.0007"
"7245000","0.0014"
"7350000","0.0008"
"7455000","0.0018"
"7560000","0.0016"
"7665000","0.0012999999999999995"
"7770000","0.0016"
"7875000","0.0002"
"7980000","0.0022"
"8085000","0.0005"
"8190000","0.0008"
"8295000","0.0023"
"8400000","0.0027"
"8505000","0.0015"
"8610000","0.0022"
"8715000","0.0022"
"8820000","0.0013"
"8925000","0.0027"
"9030000","0.0028000000000000004"
"9135000","0.0028"
"9240000","0.0026"
"9345000","0.0003"
"9450000","0.0017"
"9555000","0.0007"
"9660000","0.001"
"9765000","0.0007"
"9870000","0.0015"
"9975000","0.0008"
"10080000","0.0011"
"10185000","0.0007"
"10290000","0.0007"
"10395000","0.0007999999999999999"
"10500000","0.0013"
"10605000","0.0025"
"10710000","0.0004"
"10815000","0.001"
"10920000","0.0011"
"11025000","0.0012"
"11130000","0.001"
"11235000","0.0031999999999999997"
"11340000","0.0007"
"11445000","0.0016"
"11550000","0.0028"
"11655000","0.0036000000000000003"
"11760000","0.0012"
"11865000","0.0014"
"11970000","0.0039"
"12075000","0.0019"
"12180000","0.0011"
"12285000","0.0015"
"12390000","0.0004"
"12495000","0.00030000000000000003"
"12600000","0"
"12705000","0"
"12810000","0"
"12915000","0"
"13020000","0"
"13125000","0.0002"
"13230000","0"
"13335000","0"
"13440000","0"
"13545000","0"
"13650000","0"
"13755000","0"
"13860000","0"
"13965000","0"
"14070000","0"
"14175000","0"
"14280000","0"
"14385000","0"
"14490000","0"
"14595000","0"
"14700000","0"
"14805000","0"
"14910000","0"
"15015000","0"
"15120000","0"
"15225000","0"
"15330000","0"
"15435000","0"
"15540000","0"
"15645000","0"
"15750000","0"
"15855000","0"
"15960000","0"
"16065000","0"
"16170000","0"
"16275000","0"
"16380000","0"
"16485000","0"
"16590000","0"
"16695000","0"
"16800000","0"
"16905000","0"
"17010000","0"
"17115000","0"
"17220000","0"
"17325000","0"
"17430000","0"
"17535000","0"
"17640000","0"
"17745000","0"
"17850000","0"
"17955000","0"
"18060000","0"
"18165000","0"
"18270000","0"
"18375000","0"
"18480000","0"
"18585000","0"
"18690000","0"
"18795000","0"
"18900000","0"
"19005000","0"
"19110000","0"
"19215000","0"
"19320000","0"
"19425000","0"
"19530000","0"
"19635000","0"
"19740000","0"
"19845000","0"
"19950000","0"
"20055000","0"
"20160000","0"
"20265000","0"
"20370000","0"
"20475000","0"
"20580000","0"
"20685000","0"
"20790000","0"
"20895000","0"
"21000000","0"
"21105000","0"
"21210000","0"
"21315000","0"
"21420000","0"
"21525000","0"
"21630000","0"
"21735000","0"
"21840000","0"
"21945000","0"
"22050000","0"
"22155000","0"
"22260000","0"
"22365000","0"
"22470000","0"
"22575000","0"
"22680000","0"
"22785000","0"
"22890000","0"
"22995000","0"
"23100000","0"
"23205000","0"
"23310000","0"
"23415000","0"
"23520000","0"
"23625000","0"
"23730000","0"
"23835000","0"
"23940000","0"
"24045000","0"
"24150000","0"
"24255000","0"
"24360000","0"
"24465000","0"
"24570000","0"
"24675000","0"
"24780000","0"
"24885000","0"
"24990000","0"
"25095000","0"
"25200000","0"
"25305000","0"
"25410000","0"
"25515000","0"
"25620000","0"
"25725000","0"
"25830000","0"
"25935000","0"
"26040000","0"
"26145000","0"
"26250000","0"
"26355000","0"
"26460000","0"
"26565000","0"
"26670000","0"
"26775000","0.0002"
"26880000","0.0002"
"26985000","0"
"27090000","0.00030000000000000003"
"27195000","0"
"27300000","0"
"27405000","0"
"27510000","0.0002"
"27615000","0"
"27720000","0"
