"Step","pb_active_expansion_seed3 - 2cover_rate_5step"
"180000","0.027"
"360000","0.026"
"540000","0.035"
"720000","0.032"
"900000","0.025"
"1080000","0.031"
"1260000","0.032"
"1440000","0.033"
"1620000","0.029"
"1800000","0.036"
"1980000","0.035"
"2160000","0.056"
"2340000","0.0366"
"2520000","0.046200000000000005"
"2700000","0.0616"
"2880000","0.057"
"3060000","0.0684"
"3240000","0.0688"
"3420000","0.08280000000000001"
"3600000","0.1012"
"3780000","0.114"
"3960000","0.1512"
"4140000","0.1952"
"4320000","0.2276"
"4500000","0.2712"
"4680000","0.2868"
"4860000","0.2848"
"5040000","0.30160000000000003"
"5220000","0.3478"
"5400000","0.348"
"5580000","0.3646"
"5760000","0.37"
"5940000","0.3976"
"6120000","0.4052"
"6300000","0.40279999999999994"
"6480000","0.42640000000000006"
"6660000","0.4192"
"6840000","0.4372"
"7020000","0.4398"
"7200000","0.4392"
"7380000","0.4622"
"7560000","0.4654"
"7740000","0.47220000000000006"
"7920000","0.481"
"8100000","0.4983999999999999"
"8280000","0.493"
"8460000","0.4976"
"8640000","0.493"
"8820000","0.4953999999999999"
"9000000","0.5078"
"9180000","0.481"
"9360000","0.511"
"9540000","0.5007999999999999"
"9720000","0.502"
"9900000","0.5097999999999999"
"10080000","0.5077999999999999"
"10260000","0.5026"
"10440000","0.4973999999999999"
"10620000","0.5276000000000001"
"10800000","0.5286"
"10980000","0.5465999999999999"
"11160000","0.5306000000000001"
"11340000","0.5464"
"11520000","0.5244"
"11700000","0.5405999999999999"
"11880000","0.5515999999999999"
"12060000","0.5544000000000001"
"12240000","0.5644"
"12420000","0.547"
"12600000","0.5716"
"12780000","0.5418"
"12960000","0.5724"
"13140000","0.5702"
"13320000","0.5784000000000001"
"13500000","0.5722"
"13680000","0.5748"
"13860000","0.5784"
"14040000","0.6034"
"14220000","0.573"
"14400000","0.5605999999999999"
"14580000","0.5844"
"14760000","0.5685999999999999"
"14940000","0.5836"
"15120000","0.5788000000000001"
"15300000","0.5824"
"15480000","0.5744"
"15660000","0.5776"
"15840000","0.5682"
"16020000","0.5794"
"16200000","0.584"
"16380000","0.5756"
"16560000","0.5796"
"16740000","0.5768000000000001"
"16920000","0.581"
"17100000","0.5836"
"17280000","0.5866"
"17460000","0.5744"
"17640000","0.6056"
"17820000","0.5878"
"18000000","0.6206"
"18180000","0.5956"
"18360000","0.6198"
"18540000","0.6144"
"18720000","0.6204"
"18900000","0.617"
"19080000","0.608"
"19260000","0.6217999999999999"
"19440000","0.6033999999999999"
"19620000","0.616"
"19800000","0.6197999999999999"
"19980000","0.6008"
"20160000","0.6266"
"20340000","0.6274"
"20520000","0.6165999999999999"
"20700000","0.6492"
"20880000","0.6108"
"21060000","0.6248"
"21240000","0.6357999999999999"
"21420000","0.6163999999999998"
"21600000","0.6144"
"21780000","0.6294000000000001"
"21960000","0.6432"
"22140000","0.6254000000000001"
"22320000","0.6217999999999999"
"22500000","0.627"
"22680000","0.6362000000000001"
"22860000","0.6334"
"23040000","0.6384000000000001"
"23220000","0.6264000000000001"
"23400000","0.6516"
"23580000","0.6317999999999999"
"23760000","0.6492"
"23940000","0.6497999999999999"
"24120000","0.667"
"24300000","0.663"
"24480000","0.6412"
"24660000","0.6614"
"24840000","0.6516"
"25020000","0.662"
"25200000","0.672"
"25380000","0.6552"
"25560000","0.6766"
"25740000","0.6714000000000001"
"25920000","0.6622"
"26100000","0.6658"
"26280000","0.681"
"26460000","0.676"
"26640000","0.6884"
"26820000","0.683"
"27000000","0.665"
"27180000","0.675"
"27360000","0.6738"
"27540000","0.6668"
"27720000","0.6894"
"27900000","0.7074"
"28080000","0.6925999999999999"
"28260000","0.6972"
"28440000","0.6984"
"28620000","0.6985999999999999"
