"Step","mix37_sp_stop0.8_seed1 - 8cover_rate"
"136500","0.8298"
"241500","0.8325"
"346500","0.8168499999999999"
"451500","0.8302"
"556500","0.8104999999999999"
"661500","0.8087000000000001"
"766500","0.8258499999999999"
"871500","0.8142999999999999"
"976500","0.8285"
"1081500","0.83125"
"1186500","0.80445"
"1291500","0.81775"
"1396500","0.84325"
"1501500","0.8245"
"1606500","0.8264499999999999"
"1711500","0.829"
"1816500","0.82885"
"1921500","0.8263499999999999"
"2026500","0.8188500000000001"
"2131500","0.8213499999999999"
"2236500","0.82145"
"2341500","0.8310000000000001"
"2446500","0.83765"
"2551500","0.84445"
"2656500","0.84115"
"2761500","0.8383999999999999"
"2866500","0.8322999999999999"
"2971500","0.8392499999999999"
"3076500","0.84175"
"3181500","0.8259500000000001"
"3286500","0.8244"
"3391500","0.8089500000000001"
"3496500","0.806"
"3601500","0.8240999999999999"
"3706500","0.8256"
"3811500","0.8109"
"3916500","0.8196"
"4021500","0.82535"
"4126500","0.83825"
"4231500","0.8318499999999999"
"4336500","0.8496999999999999"
"4441500","0.83925"
"4546500","0.8483999999999999"
"4651500","0.83215"
"4756500","0.8545"
"4861500","0.83925"
"4966500","0.8376500000000001"
"5071500","0.855"
"5176500","0.8509"
"5281500","0.8464499999999999"
"5386500","0.8492999999999999"
"5491500","0.84125"
"5596500","0.8489"
"5701500","0.8573000000000001"
"5806500","0.8591"
"5911500","0.84875"
"6016500","0.8582"
"6121500","0.8634"
"6226500","0.8613"
"6331500","0.8568499999999999"
"6436500","0.8683"
"6541500","0.8677"
"6646500","0.8773"
"6751500","0.86875"
"6856500","0.8742"
"6961500","0.85025"
"7066500","0.8695499999999999"
"7171500","0.8780999999999999"
"7276500","0.8702000000000001"
"7381500","0.87205"
"7486500","0.88025"
"7591500","0.8725999999999999"
"7696500","0.8645999999999999"
"7801500","0.8724"
"7906500","0.8635"
"8011500","0.8817999999999999"
"8116500","0.8818499999999999"
"8221500","0.87795"
"8326500","0.8750999999999999"
"8431500","0.8914"
"8536500","0.8917"
"8641500","0.88855"
"8746500","0.8885"
"8851500","0.8991500000000001"
"8956500","0.87595"
"9061500","0.8886"
"9166500","0.8727"
"9271500","0.8872000000000001"
"9376500","0.8964"
"9481500","0.9052"
"9586500","0.91375"
"9691500","0.89865"
"9796500","0.9065"
"9901500","0.90315"
"10006500","0.91075"
"10111500","0.9082"
"10216500","0.88615"
"10321500","0.88445"
