"Step","sp_4agents_seed2 - 4cover_rate"
"11410000","0.00030000000000000003"
"11445000","0"
"11480000","0"
"11515000","0.0004"
"11550000","0.0005"
"11585000","0"
"11620000","0"
"11655000","0.0001"
"11690000","0.0002"
"11725000","0.00030000000000000003"
"11760000","0.0001"
"11795000","0.0001"
"11830000","0.0001"
"11865000","0"
"11900000","0"
"11935000","0.0001"
"11970000","0"
"12005000","0"
"12040000","0.0001"
"12075000","0"
"12110000","0"
"12145000","0"
"12180000","0"
"12215000","0"
"12250000","0.0001"
"12285000","0"
"12320000","0"
"12355000","0"
"12390000","0"
"12425000","0"
"12460000","0"
"12495000","0"
"12530000","0"
"12565000","0.0001"
"12600000","0"
"12635000","0"
"12670000","0"
"12705000","0"
"12740000","0.0006"
"12775000","0"
"12810000","0"
"12845000","0"
"12880000","0.0008999999999999999"
"12915000","0"
"12950000","0"
"12985000","0.0001"
"13020000","0"
"13055000","0"
"13090000","0"
"13125000","0"
"13160000","0.00030000000000000003"
"13195000","0.0002"
"13230000","0"
"13265000","0.0001"
"13300000","0.0002"
"13335000","0"
"13370000","0"
"13405000","0.0004"
"13440000","0"
"13475000","0.0001"
"13510000","0.0001"
"13545000","0"
"13580000","0"
"13615000","0"
"13650000","0.0001"
"13685000","0"
"13720000","0"
"13755000","0"
"13790000","0"
"13825000","0.0001"
"13860000","0"
"13895000","0"
"13930000","0.0002"
"13965000","0"
"14000000","0"
"14035000","0"
"14070000","0"
"14105000","0"
"14140000","0"
"14175000","0"
"14210000","0"
"14245000","0"
"14280000","0"
"14315000","0"
"14350000","0"
"14385000","0.0003"
"14420000","0"
"14455000","0"
"14490000","0"
"14525000","0"
"14560000","0"
"14595000","0.0002"
"14630000","0"
"14665000","0"
"14700000","0.0002"
"14735000","0"
"14770000","0.0002"
"14805000","0"
"14840000","0"
"14875000","0"
"14910000","0"
"14945000","0"
"14980000","0"
"15015000","0"
"15050000","0"
"15085000","0.0001"
"15120000","0.0001"
"15155000","0"
"15190000","0"
"15225000","0.0001"
"15260000","0"
"15295000","0.0002"
"15330000","0"
"15365000","0"
"15400000","0"
"15435000","0"
"15470000","0"
"15505000","0"
"15540000","0"
"15575000","0"
"15610000","0"
"15645000","0"
"15680000","0"
"15715000","0.0001"
"15750000","0"
"15785000","0"
"15820000","0"
"15855000","0"
"15890000","0.0001"
"15925000","0"
"15960000","0"
"15995000","0"
"16030000","0"
"16065000","0"
"16100000","0"
"16135000","0.0002"
"16170000","0.0001"
"16205000","0"
"16240000","0"
"16275000","0"
"16310000","0"
"16345000","0"
"16380000","0"
"16415000","0"
"16450000","0"
"16485000","0"
"16520000","0"
"16555000","0"
"16590000","0"
"16625000","0"
"16660000","0"
"16695000","0"
"16730000","0"
"16765000","0"
"16800000","0"
"16835000","0"
"16870000","0"
"16905000","0"
"16940000","0"
"16975000","0"
"17010000","0"
"17045000","0"
"17080000","0"
"17115000","0"
"17150000","0"
"17185000","0"
"17220000","0"
"17255000","0"
"17290000","0.0001"
"17325000","0.0002"
"17360000","0.0001"
"17395000","0"
"17430000","0"
"17465000","0"
"17500000","0"
"17535000","0"
"17570000","0"
"17605000","0"
"17640000","0"
"17675000","0"
"17710000","0.0007"
"17745000","0"
"17780000","0"
"17815000","0.0006"
"17850000","0"
"17885000","0.0005"
"17920000","0"
"17955000","0"
"17990000","0.0007"
"18025000","0"
"18060000","0.0005"
"18095000","0.0006"
"18130000","0.0005"
"18165000","0.0005"
"18200000","0"
"18235000","0.0003"
"18270000","0.0008999999999999999"
"18305000","0.0006"
"18340000","0"
"18375000","0.0002"
"18410000","0.0005"
"18445000","0.001"
"18480000","0.0001"
"18515000","0"
"18550000","0.001"
"18585000","0.0002"
"18620000","0"
"18655000","0.0005"
"18690000","0.0006"
"18725000","0"
"18760000","0"
"18795000","0.0006"
"18830000","0"
"18865000","0.0007"
"18900000","0"
"18935000","0.0001"
"18970000","0.0005"
"19005000","0.0004"
"19040000","0.0005"
"19075000","0.0002"
"19110000","0.0004"
"19145000","0.0002"
"19180000","0.0001"
"19215000","0.0001"
"19250000","0"
"19285000","0.0002"
"19320000","0"
"19355000","0.00030000000000000003"
"19390000","0.0005"
"19425000","0"
"19460000","0.0003"
"19495000","0.001"
"19530000","0.0002"
"19565000","0.00030000000000000003"
"19600000","0.0009"
"19635000","0.0002"
"19670000","0.0001"
"19705000","0.0004"
"19740000","0.0001"
"19775000","0.0005"
"19810000","0.0002"
"19845000","0.0006"
"19880000","0.0002"
"19915000","0.0011"
"19950000","0.0008999999999999999"
"19985000","0.0005"
"20020000","0.0009"
"20055000","0.002"
"20090000","0.0019"
"20125000","0.0014999999999999998"
"20160000","0.0014"
"20195000","0.0011"
"20230000","0.003"
"20265000","0.0009000000000000001"
"20300000","0.0028"
"20335000","0.0007"
"20370000","0.002"
"20405000","0.0015"
"20440000","0.0007000000000000001"
"20475000","0.0008"
"20510000","0.0013"
"20545000","0.0032"
"20580000","0.0018000000000000002"
"20615000","0.0021000000000000003"
