"Step","sp_uniform_from_activeAndsolve_seed1 - cover_rate_1step"
"105000","0"
"210000","0.0015"
"315000","0.0065"
"420000","0.005"
"525000","0.0065"
"630000","0.0105"
"735000","0.008"
"840000","0.013"
"945000","0.0265"
"1050000","0.052"
"1155000","0.0755"
"1260000","0.1285"
"1365000","0.2015"
"1470000","0.252"
"1575000","0.279"
"1680000","0.293"
"1785000","0.338"
"1890000","0.3325"
"1995000","0.305"
"2100000","0.346"
"2205000","0.338"
"2310000","0.332"
"2415000","0.3385"
"2520000","0.324"
"2625000","0.308"
"2730000","0.3155"
"2835000","0.3295"
"2940000","0.3045"
"3045000","0.321"
"3150000","0.314"
"3255000","0.299"
"3360000","0.305"
"3465000","0.2885"
"3570000","0.3175"
"3675000","0.3165"
"3780000","0.338"
"3885000","0.33"
"3990000","0.311"
"4095000","0.3365"
"4200000","0.3785"
"4305000","0.363"
"4410000","0.3835"
"4515000","0.4035"
"4620000","0.379"
"4725000","0.3905"
"4830000","0.456"
"4935000","0.4285"
"5040000","0.428"
"5145000","0.422"
"5250000","0.4475"
"5355000","0.4715"
"5460000","0.462"
"5565000","0.4555"
"5670000","0.4925"
"5775000","0.484"
"5880000","0.4615"
"5985000","0.4655"
"6090000","0.461"
"6195000","0.4925"
"6300000","0.4785"
"6405000","0.4655"
"6510000","0.4785"
"6615000","0.4915"
"6720000","0.477"
"6825000","0.5175"
"6930000","0.53"
"7035000","0.513"
"7140000","0.499"
"7245000","0.52"
"7350000","0.535"
"7455000","0.54"
"7560000","0.54"
"7665000","0.5405"
"7770000","0.5355"
"7875000","0.5635"
"7980000","0.5525"
"8085000","0.557"
"8190000","0.5645"
"8295000","0.5795"
"8400000","0.5725"
"8505000","0.569"
"8610000","0.5815"
"8715000","0.578"
"8820000","0.5905"
"8925000","0.5785"
"9030000","0.559"
"9135000","0.568"
"9240000","0.5785"
"9345000","0.5915"
"9450000","0.5865"
"9555000","0.588"
"9660000","0.59"
"9765000","0.598"
"9870000","0.6055"
"9975000","0.6045"
"10080000","0.586"
"10185000","0.611"
"10290000","0.619"
"10395000","0.603"
"10500000","0.6115"
"10605000","0.616"
"10710000","0.6165"
"10815000","0.6205"
"10920000","0.6125"
"11025000","0.615"
"11130000","0.632"
"11235000","0.608"
"11340000","0.618"
"11445000","0.6505"
"11550000","0.6635"
"11655000","0.638"
"11760000","0.646"
"11865000","0.635"
"11970000","0.6615"
"12075000","0.6325"
"12180000","0.642"
"12285000","0.643"
"12390000","0.6585"
"12495000","0.6655"
"12600000","0.6555"
"12705000","0.658"
"12810000","0.6815"
"12915000","0.677"
"13020000","0.677"
"13125000","0.664"
"13230000","0.685"
"13335000","0.6735"
"13440000","0.6745"
"13545000","0.678"
"13650000","0.681"
"13755000","0.665"
"13860000","0.685"
"13965000","0.701"
"14070000","0.683"
"14175000","0.7025"
"14280000","0.6875"
"14385000","0.694"
"14490000","0.6925"
"14595000","0.703"
"14700000","0.6975"
"14805000","0.7"
"14910000","0.7095"
"15015000","0.6985"
"15120000","0.7085"
"15225000","0.7075"
"15330000","0.718"
"15435000","0.717"
"15540000","0.731"
"15645000","0.7145"
"15750000","0.7265"
"15855000","0.7155"
"15960000","0.721"
"16065000","0.7105"
"16170000","0.7205"
"16275000","0.731"
"16380000","0.7265"
"16485000","0.7405"
"16590000","0.7245"
"16695000","0.722"
"16800000","0.7355"
"16905000","0.721"
"17010000","0.7435"
"17115000","0.7575"
"17220000","0.747"
"17325000","0.7335"
"17430000","0.7295"
"17535000","0.73"
"17640000","0.7545"
"17745000","0.719"
"17850000","0.722"
"17955000","0.7485"
"18060000","0.741"
"18165000","0.7445"
"18270000","0.7375"
"18375000","0.737"
"18480000","0.7575"
"18585000","0.7435"
"18690000","0.762"
"18795000","0.7605"
"18900000","0.753"
"19005000","0.7405"
"19110000","0.766"
"19215000","0.7585"
"19320000","0.765"
"19425000","0.778"
"19530000","0.7675"
"19635000","0.7935"
"19740000","0.7905"
"19845000","0.779"
"19950000","0.7735"
"20055000","0.797"
"20160000","0.7765"
"20265000","0.7765"
"20370000","0.799"
"20475000","0.7655"
"20580000","0.782"
"20685000","0.765"
"20790000","0.7925"
"20895000","0.765"
"21000000","0.791"
"21105000","0.781"
"21210000","0.7895"
"21315000","0.7885"
"21420000","0.797"
"21525000","0.785"
"21630000","0.7955"
"21735000","0.7825"
"21840000","0.8025"
"21945000","0.7785"
"22050000","0.7815"
"22155000","0.8055"
"22260000","0.7915"
"22365000","0.8035"
"22470000","0.7985"
"22575000","0.7945"
"22680000","0.8025"
"22785000","0.7975"
"22890000","0.7775"
"22995000","0.808"
"23100000","0.8155"
"23205000","0.8055"
"23310000","0.8225"
"23415000","0.826"
"23520000","0.8175"
"23625000","0.8045"
"23730000","0.805"
"23835000","0.806"
"23940000","0.822"
"24045000","0.822"
"24150000","0.828"
"24255000","0.819"
"24360000","0.8265"
"24465000","0.837"
"24570000","0.827"
"24675000","0.821"
"24780000","0.8165"
"24885000","0.8355"
"24990000","0.8225"
"25095000","0.832"
"25200000","0.842"
"25305000","0.83"
"25410000","0.846"
"25515000","0.8495"
"25620000","0.8505"
"25725000","0.8585"
"25830000","0.856"
"25935000","0.8375"
"26040000","0.859"
"26145000","0.8535"
"26250000","0.861"
"26355000","0.8685"
"26460000","0.8775"
"26565000","0.873"
"26670000","0.87"
"26775000","0.862"
"26880000","0.86"
"26985000","0.8445"
"27090000","0.856"
"27195000","0.863"
"27300000","0.869"
"27405000","0.8535"
"27510000","0.875"
"27615000","0.8685"
"27720000","0.8785"
"27825000","0.867"
"27930000","0.88"
"28035000","0.8815"
"28140000","0.8685"
"28245000","0.8655"
"28350000","0.886"
"28455000","0.878"
"28560000","0.8805"
"28665000","0.8795"
"28770000","0.906"
"28875000","0.883"
"28980000","0.8965"
"29085000","0.9135"
"29190000","0.8915"
"29295000","0.9015"
"29400000","0.89"
"29505000","0.906"
"29610000","0.8935"
"29715000","0.8905"
"29820000","0.8955"
"29925000","0.89"
"30030000","0.9"
"30135000","0.905"
"30240000","0.903"
"30345000","0.9055"
"30450000","0.9175"
"30555000","0.9005"
"30660000","0.915"
"30765000","0.9105"
"30870000","0.925"
"30975000","0.923"
"31080000","0.936"
"31185000","0.92"
"31290000","0.926"
"31395000","0.9295"
"31500000","0.9265"
"31605000","0.9295"
"31710000","0.931"
"31815000","0.942"
"31920000","0.928"
"32025000","0.93"
"32130000","0.9345"
"32235000","0.939"
"32340000","0.929"
"32445000","0.945"
"32550000","0.936"
"32655000","0.938"
"32760000","0.9315"
"32865000","0.932"
"32970000","0.941"
"33075000","0.94"
"33180000","0.9445"
"33285000","0.941"
"33390000","0.946"
"33495000","0.949"
"33600000","0.951"
"33705000","0.948"
"33810000","0.946"
"33915000","0.94"
"34020000","0.9455"
"34125000","0.9565"
"34230000","0.955"
"34335000","0.959"
"34440000","0.948"
"34545000","0.9595"
"34650000","0.959"
"34755000","0.9565"
"34860000","0.961"
"34965000","0.9555"
"35070000","0.96"
"35175000","0.965"
"35280000","0.9655"
"35385000","0.9645"
"35490000","0.961"
"35595000","0.9525"
"35700000","0.9655"
"35805000","0.966"
"35910000","0.9645"
"36015000","0.959"
"36120000","0.958"
"36225000","0.9675"
"36330000","0.97"
"36435000","0.968"
"36540000","0.9715"
"36645000","0.9665"
"36750000","0.9665"
"36855000","0.9675"
"36960000","0.9655"
"37065000","0.974"
"37170000","0.97"
"37275000","0.9735"
"37380000","0.973"
"37485000","0.9685"
"37590000","0.9685"
"37695000","0.9695"
"37800000","0.971"
"37905000","0.9745"
"38010000","0.9745"
"38115000","0.9775"
"38220000","0.984"
"38325000","0.971"
"38430000","0.984"
"38535000","0.9795"
"38640000","0.977"
"38745000","0.98"
"38850000","0.9895"
"38955000","0.9795"
"39060000","0.9855"
"39165000","0.973"
"39270000","0.976"
"39375000","0.9855"
"39480000","0.9765"
"39585000","0.9825"
"39690000","0.9825"
"39795000","0.979"
"39900000","0.985"
