"Step","mixdecay2n4_adaptivestyle_seed2 - 4cover_rate"
"216000","0.64465"
"432000","0.64985"
"648000","0.6443499999999999"
"864000","0.6576"
"1080000","0.6566000000000001"
"1296000","0.64585"
"1512000","0.6376"
"1728000","0.6678499999999999"
"1944000","0.6533"
"2160000","0.6633000000000001"
"2376000","0.64615"
"2592000","0.6580999999999999"
"2808000","0.6504000000000001"
"3024000","0.6527999999999999"
"3240000","0.65555"
"3456000","0.6441999999999999"
"3672000","0.64585"
"3888000","0.64905"
"4104000","0.6493499999999999"
"4320000","0.65905"
"4536000","0.65575"
"4752000","0.6588999999999999"
"4968000","0.6331"
"5184000","0.64675"
"5400000","0.6469"
"5616000","0.6473499999999999"
"5832000","0.6514000000000001"
"6048000","0.6417"
"6264000","0.6490499999999999"
"6480000","0.6490499999999999"
"6696000","0.6460999999999999"
"6912000","0.64195"
"7128000","0.6454500000000001"
"7344000","0.6567000000000001"
"7560000","0.6546000000000001"
"7776000","0.6447"
"7992000","0.6502"
"8208000","0.6493499999999999"
"8424000","0.66835"
"8640000","0.6483"
"8856000","0.64055"
"9072000","0.6474"
"9288000","0.63475"
"9504000","0.6368499999999999"
"9720000","0.6436000000000001"
"9936000","0.6375"
"10152000","0.6409000000000001"
"10368000","0.6417999999999999"
"10584000","0.6393000000000001"
"10800000","0.64975"
"11016000","0.6404500000000001"
"11232000","0.65955"
"11448000","0.6504500000000001"
"11664000","0.64915"
"11880000","0.66425"
"12096000","0.66155"
"12312000","0.6484500000000001"
"12528000","0.6550499999999999"
"12744000","0.6573499999999999"
"12960000","0.6583"
"13176000","0.6549999999999999"
"13392000","0.638"
"13608000","0.6648999999999999"
"13824000","0.6598999999999998"
"14040000","0.6386"
"14256000","0.64155"
"14472000","0.6525"
"14688000","0.6486000000000001"
"14904000","0.64925"
"15120000","0.64555"
"15336000","0.6526"
"15552000","0.6648499999999999"
"15768000","0.63875"
"15984000","0.6503499999999999"
"16200000","0.6401"
"16416000","0.6446"
"16632000","0.6493"
"16848000","0.6291"
"17064000","0.6286499999999999"
"17280000","0.6389499999999999"
"17496000","0.64795"
"17712000","0.6450999999999999"
"17928000","0.64205"
"18144000","0.63835"
"18360000","0.6435"
"18576000","0.6487999999999999"
"18792000","0.6401500000000001"
"19008000","0.6333999999999999"
"19224000","0.63875"
"19440000","0.65315"
"19656000","0.64375"
"19872000","0.65145"
"20088000","0.6536"
"20304000","0.6406000000000001"
"20520000","0.6499000000000001"
"20736000","0.6542"
"20952000","0.6722"
"21168000","0.6595"
"21384000","0.683"
"21600000","0.6741500000000001"
"21816000","0.6787000000000001"
"22032000","0.6852999999999999"
"22248000","0.66875"
