"Step","mixdecay2n4_decayfre60_seed3 - 4cover_rate"
"341640","0.69375"
"683280","0.68775"
"1024920","0.69755"
"1366560","0.69055"
"1708200","0.70605"
"2049840","0.69805"
"2391480","0.6887"
"2733120","0.71515"
"3074760","0.7102"
"3416400","0.7125499999999999"
"3758040","0.71825"
"4099680","0.70875"
"4441320","0.71535"
"4782960","0.71675"
"5124600","0.7165499999999999"
"5466240","0.7127"
"5807880","0.72485"
"6149520","0.7142999999999999"
"6491160","0.73065"
"6832800","0.7303000000000001"
"7165800","0.7218"
"7498800","0.7285499999999999"
"7831800","0.723"
"8164800","0.7396500000000001"
"8497800","0.73565"
"8830800","0.7323500000000001"
"9163800","0.7262000000000001"
"9496800","0.7253499999999999"
"9829800","0.7405"
"10162800","0.7259500000000001"
"10495800","0.7302000000000001"
"10828800","0.72675"
"11161800","0.7318"
"11494800","0.73525"
"11827800","0.7473500000000001"
"12160800","0.73725"
"12493800","0.7352"
"12826800","0.733"
"13159800","0.7213999999999999"
"13492800","0.7292000000000001"
"13816800","0.7219500000000001"
"14140800","0.71725"
"14464800","0.7248"
"14788800","0.7288"
"15112800","0.7290999999999999"
"15436800","0.73025"
"15760800","0.7358"
"16084800","0.72115"
"16408800","0.71545"
"16732800","0.7284499999999999"
"17056800","0.72015"
"17380800","0.71925"
"17704800","0.728"
"18028800","0.7325"
"18352800","0.73805"
"18676800","0.7355"
"19000800","0.7383"
"19324800","0.74425"
"19648800","0.7387"
"19972800","0.716"
"20287440","0.7262000000000001"
"20602080","0.74125"
"20916720","0.73795"
"21231360","0.7380500000000001"
"21546000","0.74515"
"21860640","0.7430500000000001"
"22175280","0.7348499999999999"
"22489920","0.74615"
"22804560","0.7547999999999999"
"23119200","0.76755"
"23433840","0.7685"
"23748480","0.76275"
"24063120","0.7627"
"24377760","0.76375"
"24692400","0.7638"
"25007040","0.76625"
"25321680","0.7556499999999999"
"25636320","0.7563"
"25950960","0.7594500000000001"
"26265600","0.7459"
"26571960","0.75415"
