"Step","mix37_nostop_seed3 - 8cover_rate"
"136500","0.8281499999999999"
"273000","0.8259500000000001"
"404040","0.81275"
"535080","0.8085"
"661080","0.82125"
"787080","0.80415"
"908040","0.80635"
"1029000","0.7981"
"1144290","0.7757999999999999"
"1259580","0.7882"
"1370040","0.79855"
"1480500","0.7908999999999999"
"1585500","0.7844"
"1690500","0.7972"
"1795500","0.78275"
"1900500","0.7952"
"2005500","0.78135"
"2110500","0.7824"
"2215500","0.7803499999999999"
"2320500","0.7943499999999999"
"2425500","0.79695"
"2530500","0.7976"
"2635500","0.7917000000000001"
"2740500","0.7826"
"2845500","0.7854"
"2950500","0.7910499999999999"
"3055500","0.7877000000000001"
"3160500","0.7796499999999998"
"3265500","0.7842"
"3370500","0.80165"
"3475500","0.7984"
"3580500","0.7931"
"3685500","0.8051"
"3790500","0.81875"
"3895500","0.80975"
"4000500","0.8308999999999999"
"4105500","0.82605"
"4210500","0.8449500000000001"
"4315500","0.8386"
"4420500","0.8259500000000001"
"4525500","0.83175"
"4630500","0.8249500000000001"
"4735500","0.83305"
"4840500","0.82005"
"4945500","0.81325"
"5050500","0.8136"
"5155500","0.8236500000000001"
"5260500","0.8131499999999999"
"5365500","0.8122999999999999"
"5470500","0.808"
"5575500","0.8169"
"5680500","0.81795"
"5785500","0.808"
"5890500","0.7968999999999999"
"5995500","0.8028500000000001"
"6100500","0.8097"
"6205500","0.8174000000000001"
"6310500","0.8246"
"6415500","0.8229"
"6520500","0.8128"
"6625500","0.8163499999999999"
"6730500","0.8089500000000001"
"6835500","0.8313999999999999"
"6940500","0.8170999999999999"
"7045500","0.82605"
"7150500","0.8060999999999999"
"7255500","0.80975"
"7360500","0.8165"
"7465500","0.8209500000000001"
"7570500","0.81855"
"7675500","0.8278"
"7780500","0.8205500000000001"
"7885500","0.817"
"7990500","0.8277"
"8095500","0.8267"
"8200500","0.8288"
"8305500","0.8295"
"8410500","0.82255"
"8515500","0.83475"
"8620500","0.83205"
"8725500","0.8281"
"8830500","0.8449500000000001"
"8935500","0.8348999999999999"
"9040500","0.8478"
"9145500","0.8498"
"9250500","0.8583999999999999"
"9355500","0.8533499999999999"
"9460500","0.85475"
"9565500","0.8530500000000001"
"9670500","0.8595"
"9775500","0.84125"
"9880500","0.829"
"9985500","0.83315"
"10090500","0.7734500000000001"
"10195500","0.7595999999999999"
"10300500","0.7713499999999999"
"10405500","0.7557999999999999"
"10510500","0.7565999999999999"
"10615500","0.7505499999999999"
"10720500","0.7415499999999999"
"10825500","0.7464"
"10930500","0.7677999999999999"
"11035500","0.7737999999999999"
"11140500","0.77175"
"11245500","0.78195"
"11350500","0.7947000000000001"
"11455500","0.7908"
"11560500","0.7824500000000001"
"11665500","0.78375"
"11770500","0.79325"
"11875500","0.791"
"11980500","0.7870499999999999"
"12085500","0.8062999999999999"
"12190500","0.79615"
"12295500","0.7978999999999999"
"12400500","0.80475"
