"Step","pb_uniform_noise_seed3 - 2cover_rate_5step"
"48960000","0.6808"
"49140000","0.7268"
"49320000","0.7275999999999999"
"49500000","0.704"
"49680000","0.7153999999999999"
"49860000","0.7128"
"50040000","0.6884000000000001"
"50220000","0.7158"
"50400000","0.6985999999999999"
"50580000","0.7495999999999999"
"50760000","0.7304"
"50940000","0.734"
"51120000","0.719"
"51300000","0.703"
"51480000","0.738"
"51660000","0.7615999999999999"
"51840000","0.732"
"52020000","0.7552000000000001"
"52200000","0.7584000000000001"
"52380000","0.7444"
"52560000","0.7356"
"52740000","0.7344"
"52920000","0.7594000000000001"
"53100000","0.7532000000000001"
"53280000","0.7574000000000001"
"53460000","0.7686"
"53640000","0.7824000000000001"
"53820000","0.7542000000000001"
"54000000","0.7628"
"54180000","0.7827999999999999"
"54360000","0.7668"
"54540000","0.7562000000000001"
"54720000","0.7764000000000001"
"54900000","0.7547999999999999"
"55080000","0.768"
"55260000","0.764"
"55440000","0.7774"
"55620000","0.7554"
"55800000","0.7757999999999999"
"55980000","0.7682"
"56160000","0.755"
"56340000","0.7838"
"56520000","0.7565999999999999"
"56700000","0.7552000000000001"
"56880000","0.7707999999999999"
"57060000","0.7368000000000001"
"57240000","0.7814"
"57420000","0.7548"
"57600000","0.7817999999999999"
"57780000","0.7243999999999999"
"57960000","0.78"
"58140000","0.7594000000000001"
"58320000","0.7894"
"58500000","0.7607999999999999"
"58680000","0.7902"
"58860000","0.8104"
"59040000","0.7864"
"59220000","0.8082"
"59400000","0.7925999999999999"
"59580000","0.789"
"59760000","0.8216"
"59940000","0.7905999999999999"
"60120000","0.7904"
"60300000","0.8205999999999999"
"60480000","0.7954000000000001"
"60660000","0.7984000000000001"
"60840000","0.8098"
"61020000","0.8145999999999999"
"61200000","0.7975999999999999"
"61380000","0.815"
"61560000","0.8084"
"61740000","0.7988"
"61920000","0.8195999999999999"
"62100000","0.8048"
"62280000","0.8282"
"62460000","0.8098"
"62640000","0.8"
"62820000","0.8118"
"63000000","0.8108"
"63180000","0.787"
"63360000","0.7956"
"63540000","0.827"
"63720000","0.8298"
"63900000","0.8225999999999999"
"64080000","0.8274"
"64260000","0.8112"
"64440000","0.8276"
"64620000","0.825"
"64800000","0.8262"
"64980000","0.837"
"65160000","0.8453999999999999"
"65340000","0.8446"
"65520000","0.8432000000000001"
"65700000","0.856"
"65880000","0.8332"
"66060000","0.8538"
"66240000","0.8384000000000001"
"66420000","0.8443999999999999"
"66600000","0.8615999999999999"
"66780000","0.8647999999999999"
"66960000","0.8595999999999999"
"67140000","0.8572000000000001"
"67320000","0.8426"
"67500000","0.8677999999999999"
"67680000","0.8614"
"67860000","0.87"
"68040000","0.877"
"68220000","0.8824"
"68400000","0.8707999999999999"
"68580000","0.843"
"68760000","0.8613999999999999"
"68940000","0.8676"
"69120000","0.8822000000000001"
"69300000","0.8747999999999999"
"69480000","0.8782000000000001"
"69660000","0.872"
"69840000","0.8752000000000001"
"70020000","0.885"
"70200000","0.8814"
"70380000","0.8684"
"70560000","0.8734"
"70740000","0.8712000000000001"
"70920000","0.8735999999999999"
"71100000","0.8716"
"71280000","0.88"
"71460000","0.8756"
"71640000","0.897"
"71820000","0.856"
"72000000","0.8744000000000001"
"72180000","0.892"
"72360000","0.8812"
"72540000","0.8738"
"72720000","0.8961999999999999"
"72900000","0.8838"
"73080000","0.8874"
"73260000","0.8774000000000001"
"73440000","0.8902"
"73620000","0.889"
"73800000","0.8898"
"73980000","0.9056"
"74160000","0.8881999999999999"
"74340000","0.903"
"74520000","0.8844000000000001"
"74700000","0.8838"
"74880000","0.8964"
"75060000","0.9166"
"75240000","0.9046"
"75420000","0.9046"
"75600000","0.9092"
"75780000","0.903"
"75960000","0.904"
"76140000","0.9134"
"76320000","0.9176"
"76500000","0.9038"
"76680000","0.906"
"76860000","0.906"
"77040000","0.92"
"77220000","0.8984000000000001"
"77400000","0.9104"
"77580000","0.9224"
"77760000","0.9246"
"77940000","0.9066"
"78120000","0.9132"
"78300000","0.9078"
"78480000","0.9184"
"78660000","0.9172"
"78840000","0.9164"
"79020000","0.9126"
"79200000","0.9278"
"79380000","0.911"
"79560000","0.9192"
"79740000","0.9222"
"79920000","0.9174"
