"Step","amigo_pb_teacherhorizon10_seed3 - 4cover_rate_5step"
"60000","0.06"
"120000","0.069"
"180000","0.0635"
"240000","0.068"
"300000","0.062"
"360000","0.0595"
"420000","0.0605"
"480000","0.062"
"540000","0.0645"
"600000","0.0585"
"660000","0.063"
"720000","0.0745"
"780000","0.072"
"840000","0.0615"
"900000","0.064"
"960000","0.0665"
"1020000","0.064"
"1080000","0.058"
"1140000","0.0685"
"1200000","0.0605"
"1260000","0.0655"
"1320000","0.061"
"1380000","0.061"
"1440000","0.0765"
"1500000","0.063"
"1560000","0.0595"
"1620000","0.0785"
"1680000","0.0535"
"1740000","0.0655"
"1800000","0.062"
"1860000","0.065"
"1920000","0.0645"
"1980000","0.0625"
"2040000","0.066"
"2100000","0.063"
"2160000","0.0735"
"2220000","0.065"
"2280000","0.062"
"2340000","0.058"
"2400000","0.074"
"2460000","0.067"
"2520000","0.062200000000000005"
"2580000","0.069"
"2640000","0.061"
"2700000","0.068"
"2760000","0.071"
"2820000","0.06670000000000001"
"2880000","0.068"
"2940000","0.06"
"3000000","0.0675"
"3060000","0.0635"
"3120000","0.0635"
"3180000","0.0625"
"3240000","0.06"
"3300000","0.0629"
"3360000","0.0535"
"3420000","0.0635"
"3480000","0.0765"
"3540000","0.065"
"3600000","0.063"
"3660000","0.0575"
"3720000","0.071"
"3780000","0.061"
"3840000","0.0845"
"3900000","0.058"
"3960000","0.0705"
"4020000","0.069"
"4080000","0.06"
"4140000","0.0625"
"4200000","0.068"
"4260000","0.065"
"4320000","0.054"
"4380000","0.0575"
"4440000","0.0505"
"4500000","0.063"
"4560000","0.061"
"4620000","0.0675"
"4680000","0.061"
"4740000","0.0625"
"4800000","0.0708"
"4860000","0.061"
"4920000","0.0605"
"4980000","0.062"
"5040000","0.0635"
"5100000","0.0665"
"5160000","0.066"
"5220000","0.0695"
"5280000","0.055"
"5340000","0.069"
"5400000","0.069"
"5460000","0.074"
"5520000","0.0705"
"5580000","0.063"
"5640000","0.0615"
"5700000","0.061"
"5760000","0.0645"
"5820000","0.0607"
"5880000","0.0756"
"5940000","0.06570000000000001"
"6000000","0.0625"
"6060000","0.063"
"6120000","0.0679"
"6180000","0.0715"
"6240000","0.0664"
"6300000","0.0725"
"6360000","0.0685"
"6420000","0.071"
"6480000","0.062"
"6540000","0.06509999999999999"
"6600000","0.068"
"6660000","0.0758"
"6720000","0.0669"
"6780000","0.058"
