"Step","gan_sp_4agents_seed1 - 4cover_rate_1step"
"70000","0.0005"
"140000","0.0015"
"210000","0"
"280000","0.0005"
"350000","0.0005"
"420000","0"
"490000","0.0005"
"560000","0.0015"
"630000","0.0025"
"700000","0.001"
"770000","0.0005"
"840000","0.0005"
"910000","0.0005"
"980000","0"
"1050000","0"
"1120000","0"
"1190000","0.0005"
"1260000","0.0005"
"1330000","0"
"1400000","0"
"1470000","0.0005"
"1540000","0"
"1610000","0"
"1680000","0"
"1750000","0"
"1820000","0"
"1890000","0.0005"
"1960000","0.0005"
"2030000","0.0005"
"2100000","0.0005"
"2170000","0"
"2240000","0"
"2310000","0"
"2380000","0"
"2450000","0"
"2520000","0"
"2590000","0"
"2660000","0"
"2730000","0"
"2800000","0"
"2870000","0"
"2940000","0"
"3010000","0"
"3080000","0"
"3150000","0"
"3220000","0"
"3290000","0"
"3360000","0"
"3430000","0"
"3500000","0"
"3570000","0"
"3640000","0"
"3710000","0"
"3780000","0"
"3850000","0"
"3920000","0"
"3990000","0"
"4060000","0"
"4130000","0"
"4200000","0"
"4270000","0"
"4340000","0"
"4410000","0.0005"
"4480000","0"
"4550000","0"
"4620000","0"
"4690000","0"
"4760000","0.0005"
"4830000","0"
"4900000","0.0005"
"4970000","0"
"5040000","0.0005"
"5110000","0"
"5180000","0"
"5250000","0"
"5320000","0"
"5390000","0"
"5460000","0"
"5530000","0.0005"
"5600000","0"
"5670000","0"
"5740000","0"
"5810000","0"
"5880000","0"
"5950000","0"
"6020000","0"
"6090000","0"
"6160000","0.0005"
"6230000","0"
"6300000","0"
"6370000","0.0005"
"6440000","0"
"6510000","0.0005"
"6580000","0.0005"
"6650000","0.0025"
"6720000","0.0005"
"6790000","0.003"
"6860000","0.001"
"6930000","0.0025"
"7000000","0.0005"
"7070000","0.0015"
"7140000","0.001"
"7210000","0"
"7280000","0.0005"
"7350000","0.001"
"7420000","0"
"7490000","0.0015"
"7560000","0.0025"
"7630000","0.0005"
"7700000","0.001"
"7770000","0"
"7840000","0.0005"
"7910000","0"
"7980000","0.0015"
"8050000","0.004"
"8120000","0.002"
"8190000","0.0035"
"8260000","0.004"
"8330000","0.0035"
"8400000","0.004"
"8470000","0.003"
"8540000","0.0035"
"8610000","0.0035"
"8680000","0.003"
"8750000","0.0025"
"8820000","0.0025"
"8890000","0.004"
