"Step","unif_pb_2agents_seed1 - 2cover_rate"
"19140000","0.031"
"19200000","0.026"
"19260000","0.036"
"19320000","0.039"
"19380000","0.032"
"19440000","0.028"
"19500000","0.0182"
"19560000","0.032799999999999996"
"19620000","0.032"
"19680000","0.031"
"19740000","0.03"
"19800000","0.036"
"19860000","0.034"
"19920000","0.024"
"19980000","0.033"
"20040000","0.03"
"20100000","0.032"
"20160000","0.026"
"20220000","0.026"
"20280000","0.032"
"20340000","0.02"
"20400000","0.038"
"20460000","0.028"
"20520000","0.044"
"20580000","0.028"
"20640000","0.028"
"20700000","0.029"
"20760000","0.042"
"20820000","0.028"
"20880000","0.04"
"20940000","0.042"
"21000000","0.041"
"21060000","0.035"
"21120000","0.036"
"21180000","0.038"
"21240000","0.029"
"21300000","0.0306"
"21360000","0.028"
"21420000","0.042"
"21480000","0.043"
"21540000","0.045"
"21600000","0.042"
"21660000","0.03"
"21720000","0.035"
"21780000","0.041"
"21840000","0.045"
"21900000","0.039"
"21960000","0.048"
"22020000","0.0438"
"22080000","0.0348"
"22140000","0.047"
"22200000","0.032600000000000004"
"22260000","0.04"
"22320000","0.042"
"22380000","0.032"
"22440000","0.036"
"22500000","0.038"
"22560000","0.033"
"22620000","0.029"
"22680000","0.051"
"22740000","0.0414"
"22800000","0.0374"
"22860000","0.029"
"22920000","0.04"
"22980000","0.042"
"23040000","0.053"
"23100000","0.035"
"23160000","0.037"
"23220000","0.041"
"23280000","0.036"
"23340000","0.039"
"23400000","0.035"
"23460000","0.035"
"23520000","0.0424"
"23580000","0.0394"
"23640000","0.037"
"23700000","0.0496"
"23760000","0.0402"
"23820000","0.036"
"23880000","0.043"
"23940000","0.038"
"24000000","0.0362"
"24060000","0.047"
"24120000","0.047"
"24180000","0.0436"
"24240000","0.047"
"24300000","0.043"
"24360000","0.036"
"24420000","0.048"
"24480000","0.0434"
"24540000","0.039"
"24600000","0.035"
"24660000","0.039"
"24720000","0.038"
"24780000","0.0376"
"24840000","0.06"
"24900000","0.056"
"24960000","0.045"
"25020000","0.054799999999999995"
"25080000","0.0428"
"25140000","0.054"
"25200000","0.0648"
"25260000","0.051"
"25320000","0.046200000000000005"
"25380000","0.05"
"25440000","0.0368"
"25500000","0.058"
"25560000","0.06"
"25620000","0.0692"
"25680000","0.0734"
"25740000","0.0616"
"25800000","0.05740000000000001"
"25860000","0.057"
"25920000","0.07219999999999999"
