"Step","reverse_sp_8agents_seed1 - cover_rate_5step"
"35000","0.00075"
"70000","0"
"105000","0"
"140000","0"
"175000","0.00005"
"210000","0.0004"
"245000","0.00045"
"280000","0.00135"
"315000","0.0005"
"350000","0.00055"
"385000","0.0014"
"420000","0.00225"
"455000","0.00115"
"490000","0.0013"
"525000","0.00185"
"560000","0.0022"
"595000","0.0034500000000000004"
"630000","0.005849999999999999"
"665000","0.0095"
"700000","0.008150000000000001"
"735000","0.007"
"770000","0.006549999999999999"
"805000","0.00715"
"840000","0.00875"
"875000","0.0081"
"910000","0.0062"
"945000","0.01055"
"980000","0.0078"
"1015000","0.01035"
"1050000","0.00985"
"1085000","0.00825"
"1120000","0.01295"
"1155000","0.01195"
"1190000","0.01105"
"1225000","0.01275"
"1260000","0.01465"
"1295000","0.0114"
"1330000","0.0143"
"1365000","0.0122"
"1400000","0.01305"
"1435000","0.0115"
"1470000","0.014649999999999998"
"1505000","0.010399999999999998"
"1540000","0.0201"
"1575000","0.01905"
"1610000","0.01595"
"1645000","0.0132"
"1680000","0.0211"
"1715000","0.0197"
"1750000","0.02165"
"1785000","0.021799999999999996"
"1820000","0.02275"
"1855000","0.021299999999999996"
"1890000","0.0204"
"1925000","0.02565"
"1960000","0.0322"
"1995000","0.0338"
"2030000","0.03414999999999999"
"2065000","0.0246"
"2100000","0.02345"
"2135000","0.02455"
"2170000","0.0222"
"2205000","0.032"
"2240000","0.032850000000000004"
"2275000","0.045950000000000005"
"2310000","0.025050000000000003"
"2345000","0.038"
"2380000","0.0292"
"2415000","0.022900000000000004"
"2450000","0.02055"
"2485000","0.0191"
"2520000","0.038"
"2555000","0.03575"
"2590000","0.030300000000000004"
"2625000","0.0283"
"2660000","0.035149999999999994"
"2695000","0.03095"
"2730000","0.029450000000000004"
"2765000","0.0296"
"2800000","0.03515"
"2835000","0.03275"
"2870000","0.039450000000000006"
"2905000","0.0444"
"2940000","0.05275"
"2975000","0.0417"
"3010000","0.0593"
"3045000","0.06025"
"3080000","0.05915"
"3115000","0.0528"
"3150000","0.06885"
"3185000","0.06565"
"3220000","0.08209999999999999"
"3255000","0.07995"
"3290000","0.08115"
"3325000","0.0911"
"3360000","0.0971"
"3395000","0.10055"
"3430000","0.099"
"3465000","0.09475"
"3500000","0.1048"
"3535000","0.10355"
"3570000","0.10945"
"3605000","0.114"
"3640000","0.1181"
"3675000","0.12585"
"3710000","0.1183"
"3745000","0.11895"
"3780000","0.12595"
"3815000","0.12744999999999998"
"3850000","0.12445"
"3885000","0.12915"
"3920000","0.13415000000000002"
"3955000","0.1507"
"3990000","0.1627"
"4025000","0.1684"
"4060000","0.1849"
"4095000","0.19405"
"4130000","0.1959"
"4165000","0.1975"
"4200000","0.2044"
"4235000","0.1953"
"4270000","0.20795"
"4305000","0.23855"
"4340000","0.23925"
"4375000","0.25425000000000003"
"4410000","0.251"
"4445000","0.24815000000000004"
"4480000","0.26530000000000004"
"4515000","0.25475"
"4550000","0.26175"
"4585000","0.2676"
"4620000","0.26755"
"4655000","0.26555000000000006"
"4690000","0.2648"
"4725000","0.25989999999999996"
"4760000","0.2586"
"4795000","0.25"
"4830000","0.25835"
"4865000","0.26439999999999997"
"4900000","0.28414999999999996"
"4935000","0.28470000000000006"
"4970000","0.28075"
"5005000","0.27545"
"5040000","0.27675"
"5075000","0.28370000000000006"
"5110000","0.2791"
"5145000","0.2736"
"5180000","0.28704999999999997"
"5215000","0.2808"
"5250000","0.2754"
"5285000","0.27105"
"5320000","0.2666"
"5355000","0.2646"
"5390000","0.26170000000000004"
"5425000","0.26165"
"5460000","0.26815"
"5495000","0.24905"
"5530000","0.25215"
"5565000","0.2587"
"5600000","0.2572"
"5635000","0.24795"
"5670000","0.24385"
"5705000","0.2295"
"5740000","0.23905"
"5775000","0.22675"
"5810000","0.22275"
"5845000","0.228"
"5880000","0.244"
"5915000","0.21635"
"5950000","0.21955"
"5985000","0.23565000000000005"
"6020000","0.23125"
"6055000","0.2224"
"6090000","0.2254"
"6125000","0.22465"
"6160000","0.20145"
"6195000","0.2103"
"6230000","0.2198"
"6265000","0.1957"
"6300000","0.208"
"6335000","0.211"
"6370000","0.21195"
"6405000","0.20625"
"6440000","0.20545"
"6475000","0.1957"
"6510000","0.19105"
"6545000","0.1935"
"6580000","0.2072"
"6615000","0.2087"
"6650000","0.20490000000000003"
"6685000","0.2087"
"6720000","0.1966"
"6755000","0.20665"
"6790000","0.21195"
"6825000","0.20414999999999997"
"6860000","0.2067"
"6895000","0.20415"
"6930000","0.2138"
"6965000","0.20765"
"7000000","0.2187"
"7035000","0.2248"
"7070000","0.2223"
"7105000","0.21555"
"7140000","0.2214"
"7175000","0.21285"
"7210000","0.21945"
"7245000","0.217"
"7280000","0.1951"
"7315000","0.21965"
"7350000","0.2247"
"7385000","0.22675"
"7420000","0.22705"
"7455000","0.2258"
"7490000","0.22985000000000003"
"7525000","0.24455"
"7560000","0.24295"
"7595000","0.23110000000000003"
"7630000","0.24445"
"7665000","0.2355"
"7700000","0.24220000000000003"
"7735000","0.2333"
"7770000","0.22855"
"7805000","0.22155"
"7840000","0.2237"
"7875000","0.2217"
"7910000","0.2268"
"7945000","0.23755"
"7980000","0.23105"
"8015000","0.2211"
"8050000","0.22735"
"8085000","0.23085000000000003"
"8120000","0.2389"
"8155000","0.23145"
"8190000","0.22805"
"8225000","0.2268"
"8260000","0.23560000000000003"
"8295000","0.21795"
"8330000","0.24145"
"8365000","0.2437"
"8400000","0.229"
"8435000","0.224"
"8470000","0.23045"
"8505000","0.23050000000000004"
"8540000","0.21175"
"8575000","0.21605"
"8610000","0.2165"
"8645000","0.21195"
"8680000","0.21395000000000003"
"8715000","0.2272"
"8750000","0.2242"
"8785000","0.2385"
"8820000","0.2488"
"8855000","0.24615"
"8890000","0.25925"
"8925000","0.25775"
"8960000","0.2669"
"8995000","0.2502"
"9030000","0.24005"
"9065000","0.2499"
"9100000","0.25920000000000004"
"9135000","0.26039999999999996"
"9170000","0.27040000000000003"
"9205000","0.27125"
"9240000","0.25695000000000007"
"9275000","0.27344999999999997"
"9310000","0.273"
"9345000","0.25725"
"9380000","0.26125"
"9415000","0.26265"
"9450000","0.27525"
"9485000","0.26230000000000003"
"9520000","0.26185"
"9555000","0.25845"
"9590000","0.27525"
"9625000","0.27685000000000004"
"9660000","0.26785000000000003"
"9695000","0.27235000000000004"
"9730000","0.26530000000000004"
"9765000","0.2671"
"9800000","0.2586"
"9835000","0.2494"
"9870000","0.2595"
"9905000","0.25465"
"9940000","0.26085"
"9975000","0.2565"
"10010000","0.2671"
"10045000","0.26965"
"10080000","0.254"
"10115000","0.26139999999999997"
"10150000","0.26985000000000003"
"10185000","0.2654"
"10220000","0.28114999999999996"
"10255000","0.25579999999999997"
"10290000","0.25395"
"10325000","0.2581"
"10360000","0.24325"
"10395000","0.2478"
"10430000","0.247"
"10465000","0.2498"
"10500000","0.25955"
"10535000","0.24879999999999997"
"10570000","0.23885"
"10605000","0.23860000000000003"
"10640000","0.241"
"10675000","0.2575"
"10710000","0.25930000000000003"
"10745000","0.2476"
"10780000","0.25089999999999996"
"10815000","0.25315"
"10850000","0.26095"
"10885000","0.239"
"10920000","0.2513"
"10955000","0.2555"
"10990000","0.25399999999999995"
"11025000","0.2491"
"11060000","0.2332"
"11095000","0.2448"
"11130000","0.242"
"11165000","0.2528"
"11200000","0.2606"
"11235000","0.27464999999999995"
"11270000","0.2741"
"11305000","0.27585000000000004"
"11340000","0.2745"
"11375000","0.2821"
"11410000","0.28345"
"11445000","0.2745"
"11480000","0.2837"
"11515000","0.27854999999999996"
"11550000","0.26854999999999996"
"11585000","0.27335000000000004"
"11620000","0.27085000000000004"
"11655000","0.27275"
"11690000","0.27725"
"11725000","0.27575"
"11760000","0.26815"
"11795000","0.26894999999999997"
"11830000","0.2778"
"11865000","0.27775"
"11900000","0.27535"
"11935000","0.27564999999999995"
"11970000","0.28835"
"12005000","0.27755"
"12040000","0.26735"
"12075000","0.2615"
"12110000","0.24390000000000003"
"12145000","0.24375"
"12180000","0.257"
"12215000","0.24950000000000003"
"12250000","0.26185"
"12285000","0.2546"
"12320000","0.27635"
"12355000","0.2681"
"12390000","0.26739999999999997"
"12425000","0.2821"
"12460000","0.2984"
"12495000","0.30589999999999995"
"12530000","0.29829999999999995"
"12565000","0.29935"
"12600000","0.2998"
"12635000","0.29145"
"12670000","0.291"
"12705000","0.293"
"12740000","0.30015"
"12775000","0.2734"
"12810000","0.2816"
"12845000","0.2797"
"12880000","0.2687"
"12915000","0.2892"
"12950000","0.27209999999999995"
"12985000","0.28725"
"13020000","0.3017"
"13055000","0.3004"
"13090000","0.30685"
"13125000","0.30860000000000004"
"13160000","0.30475"
"13195000","0.30779999999999996"
"13230000","0.32375"
"13265000","0.31375"
"13300000","0.322"
"13335000","0.30690000000000006"
"13370000","0.30815"
"13405000","0.2922"
"13440000","0.30639999999999995"
"13475000","0.3286"
"13510000","0.3105"
"13545000","0.31220000000000003"
"13580000","0.31675"
"13615000","0.3178"
"13650000","0.3212"
"13685000","0.30395000000000005"
"13720000","0.31"
"13755000","0.30754999999999993"
"13790000","0.31204999999999994"
"13825000","0.32225"
"13860000","0.32775"
"13895000","0.33035000000000003"
"13930000","0.33535000000000004"
"13965000","0.3255"
"14000000","0.3196"
"14035000","0.31570000000000004"
"14070000","0.30804999999999993"
"14105000","0.3293"
"14140000","0.3355"
"14175000","0.33020000000000005"
"14210000","0.332"
"14245000","0.33895000000000003"
"14280000","0.34145"
"14315000","0.3559"
"14350000","0.3507"
"14385000","0.3663"
"14420000","0.36295"
"14455000","0.363"
"14490000","0.35595000000000004"
"14525000","0.34470000000000006"
"14560000","0.31835"
"14595000","0.32205"
"14630000","0.32780000000000004"
"14665000","0.34135000000000004"
"14700000","0.35029999999999994"
"14735000","0.3544"
"14770000","0.3534"
"14805000","0.35225"
"14840000","0.36365"
"14875000","0.36595000000000005"
"14910000","0.367"
"14945000","0.35810000000000003"
"14980000","0.34114999999999995"
"15015000","0.32935000000000003"
"15050000","0.34495"
"15085000","0.3326"
"15120000","0.34725"
"15155000","0.32859999999999995"
"15190000","0.35295"
"15225000","0.34914999999999996"
"15260000","0.3432"
"15295000","0.3428"
"15330000","0.34764999999999996"
"15365000","0.344"
"15400000","0.32289999999999996"
"15435000","0.3295"
"15470000","0.3429"
"15505000","0.33215"
"15540000","0.31460000000000005"
"15575000","0.34364999999999996"
"15610000","0.3491"
"15645000","0.35860000000000003"
"15680000","0.36785"
"15715000","0.3788"
"15750000","0.3563"
"15785000","0.3651"
"15820000","0.36665"
"15855000","0.3647"
"15890000","0.3609500000000001"
"15925000","0.35164999999999996"
"15960000","0.3716"
"15995000","0.3737"
"16030000","0.3620499999999999"
"16065000","0.35545"
"16100000","0.3546"
"16135000","0.35695"
"16170000","0.3568"
"16205000","0.34075"
"16240000","0.3349"
"16275000","0.34685000000000005"
"16310000","0.3865"
"16345000","0.38325"
"16380000","0.36705"
"16415000","0.37425"
"16450000","0.38055"
"16485000","0.38015"
"16520000","0.38315"
