"Step","reverse_eval1_novelty_sp_seed2 - cover_rate_1step"
"35000","0.0025"
"70000","0"
"105000","0"
"140000","0.0005"
"175000","0"
"210000","0.0005"
"245000","0.0005"
"280000","0.0025"
"315000","0.0015"
"350000","0.0005"
"385000","0.0005"
"420000","0.0055"
"455000","0.006"
"490000","0.009"
"525000","0.012"
"560000","0.0095"
"595000","0.018"
"630000","0.027"
"665000","0.033"
"700000","0.036"
"735000","0.0335"
"770000","0.0425"
"805000","0.0825"
"840000","0.1355"
"875000","0.152"
"910000","0.2015"
"945000","0.1905"
"980000","0.2015"
"1015000","0.253"
"1050000","0.2635"
"1085000","0.278"
"1120000","0.261"
"1155000","0.284"
"1190000","0.296"
"1225000","0.3115"
"1260000","0.3155"
"1295000","0.337"
"1330000","0.344"
"1365000","0.3385"
"1400000","0.3475"
"1435000","0.358"
"1470000","0.362"
"1505000","0.3635"
"1540000","0.369"
"1575000","0.3645"
"1610000","0.3845"
"1645000","0.374"
"1680000","0.374"
"1715000","0.3905"
"1750000","0.4015"
"1785000","0.4005"
"1820000","0.3975"
"1855000","0.3795"
"1890000","0.399"
"1925000","0.403"
"1960000","0.3895"
"1995000","0.407"
"2030000","0.415"
"2065000","0.4145"
"2100000","0.4285"
"2135000","0.439"
"2170000","0.4385"
"2205000","0.4415"
"2240000","0.4325"
"2275000","0.4545"
"2310000","0.437"
"2345000","0.45"
"2380000","0.4785"
"2415000","0.464"
"2450000","0.4735"
"2485000","0.4475"
"2520000","0.4555"
"2555000","0.453"
"2590000","0.4435"
"2625000","0.469"
"2660000","0.4755"
"2695000","0.474"
"2730000","0.4885"
"2765000","0.463"
"2800000","0.4765"
"2835000","0.473"
"2870000","0.5"
"2905000","0.47"
"2940000","0.5055"
"2975000","0.5015"
"3010000","0.496"
"3045000","0.493"
"3080000","0.485"
"3115000","0.5065"
"3150000","0.508"
"3185000","0.505"
"3220000","0.522"
"3255000","0.5105"
"3290000","0.518"
"3325000","0.508"
"3360000","0.5085"
"3395000","0.5205"
"3430000","0.523"
"3465000","0.5205"
"3500000","0.508"
"3535000","0.5145"
"3570000","0.5155"
"3605000","0.5075"
"3640000","0.5095"
"3675000","0.5145"
"3710000","0.5025"
"3745000","0.5195"
