"Step","sp_min0.75_seed1 - cover_rate_1step"
"105000","0"
"210000","0.0015"
"315000","0.0065"
"420000","0.005"
"525000","0.0065"
"630000","0.0105"
"735000","0.008"
"840000","0.013"
"945000","0.0275"
"1050000","0.0405"
"1155000","0.06"
"1260000","0.0625"
"1365000","0.1335"
"1470000","0.212"
"1575000","0.2835"
"1680000","0.293"
"1785000","0.3345"
"1890000","0.327"
"1995000","0.313"
"2100000","0.33"
"2205000","0.3125"
"2310000","0.3085"
"2415000","0.3165"
"2520000","0.346"
"2625000","0.3375"
"2730000","0.3455"
"2835000","0.343"
"2940000","0.3505"
"3045000","0.3555"
"3150000","0.353"
"3255000","0.344"
"3360000","0.326"
"3465000","0.3355"
"3570000","0.317"
"3675000","0.344"
"3780000","0.3105"
"3885000","0.34"
"3990000","0.3495"
"4095000","0.3465"
"4200000","0.377"
"4305000","0.378"
"4410000","0.3925"
"4515000","0.4025"
"4620000","0.404"
"4725000","0.3815"
"4830000","0.4"
"4935000","0.4045"
"5040000","0.427"
"5145000","0.43"
"5250000","0.43"
"5355000","0.4685"
"5460000","0.448"
"5565000","0.431"
"5670000","0.4575"
"5775000","0.4475"
"5880000","0.4475"
"5985000","0.442"
"6090000","0.48"
"6195000","0.495"
"6300000","0.4845"
"6405000","0.4805"
"6510000","0.4755"
"6615000","0.506"
"6720000","0.5055"
"6825000","0.496"
"6930000","0.507"
"7035000","0.509"
"7140000","0.5245"
"7245000","0.5255"
"7350000","0.538"
"7455000","0.5495"
"7560000","0.5595"
"7665000","0.5505"
"7770000","0.559"
"7875000","0.568"
"7980000","0.558"
"8085000","0.55"
"8190000","0.553"
"8295000","0.5745"
"8400000","0.5575"
"8505000","0.59"
"8610000","0.58"
"8715000","0.607"
"8820000","0.6035"
"8925000","0.595"
"9030000","0.6055"
"9135000","0.596"
"9240000","0.6235"
"9345000","0.618"
"9450000","0.6165"
"9555000","0.6225"
"9660000","0.629"
"9765000","0.637"
"9870000","0.65"
"9975000","0.6205"
"10080000","0.6265"
"10185000","0.6565"
"10290000","0.667"
"10395000","0.671"
"10500000","0.666"
"10605000","0.667"
"10710000","0.6705"
"10815000","0.6755"
"10920000","0.6945"
"11025000","0.6715"
"11130000","0.689"
"11235000","0.6645"
"11340000","0.677"
"11445000","0.689"
"11550000","0.7"
"11655000","0.7025"
"11760000","0.699"
"11865000","0.682"
"11970000","0.7145"
"12075000","0.694"
"12180000","0.7145"
"12285000","0.716"
"12390000","0.735"
"12495000","0.7095"
"12600000","0.7065"
"12705000","0.713"
"12810000","0.7395"
"12915000","0.7355"
"13020000","0.7465"
"13125000","0.738"
"13230000","0.7365"
"13335000","0.7335"
"13440000","0.7405"
"13545000","0.745"
"13650000","0.7445"
"13755000","0.755"
"13860000","0.7675"
"13965000","0.7575"
"14070000","0.769"
"14175000","0.7625"
"14280000","0.7805"
"14385000","0.7765"
"14490000","0.788"
"14595000","0.7835"
"14700000","0.772"
"14805000","0.802"
"14910000","0.8"
"15015000","0.801"
"15120000","0.7955"
"15225000","0.7945"
"15330000","0.8105"
"15435000","0.805"
"15540000","0.816"
"15645000","0.8"
"15750000","0.8235"
"15855000","0.814"
"15960000","0.8135"
"16065000","0.813"
"16170000","0.8035"
"16275000","0.8135"
"16380000","0.8175"
"16485000","0.813"
"16590000","0.8145"
"16695000","0.8185"
"16800000","0.835"
"16905000","0.8005"
"17010000","0.8095"
"17115000","0.8435"
"17220000","0.844"
"17325000","0.8315"
"17430000","0.8225"
"17535000","0.8175"
"17640000","0.8425"
"17745000","0.8275"
"17850000","0.829"
"17955000","0.8465"
"18060000","0.834"
"18165000","0.8385"
"18270000","0.8345"
"18375000","0.842"
"18480000","0.847"
"18585000","0.8605"
"18690000","0.87"
"18795000","0.8705"
"18900000","0.8565"
"19005000","0.855"
"19110000","0.8565"
"19215000","0.8595"
"19320000","0.8645"
"19425000","0.863"
"19530000","0.8765"
"19635000","0.871"
"19740000","0.8835"
"19845000","0.8765"
"19950000","0.8825"
"20055000","0.8965"
"20160000","0.8915"
"20265000","0.8955"
"20370000","0.89"
"20475000","0.894"
"20580000","0.8895"
"20685000","0.893"
"20790000","0.909"
"20895000","0.893"
"21000000","0.916"
"21105000","0.912"
"21210000","0.921"
"21315000","0.897"
"21420000","0.9085"
"21525000","0.901"
"21630000","0.905"
"21735000","0.9055"
"21840000","0.9115"
"21945000","0.922"
"22050000","0.9185"
"22155000","0.9245"
"22260000","0.9235"
"22365000","0.919"
"22470000","0.9195"
"22575000","0.923"
"22680000","0.9245"
"22785000","0.9215"
"22890000","0.935"
"22995000","0.913"
"23100000","0.917"
"23205000","0.923"
"23310000","0.932"
"23415000","0.9335"
"23520000","0.924"
"23625000","0.927"
"23730000","0.92"
"23835000","0.9355"
"23940000","0.9365"
"24045000","0.9185"
"24150000","0.922"
"24255000","0.931"
"24360000","0.9365"
"24465000","0.9475"
"24570000","0.9475"
"24675000","0.943"
"24780000","0.9415"
"24885000","0.939"
"24990000","0.9365"
"25095000","0.9285"
"25200000","0.9395"
"25305000","0.9375"
"25410000","0.9295"
"25515000","0.94"
"25620000","0.937"
"25725000","0.942"
"25830000","0.9475"
"25935000","0.9365"
"26040000","0.936"
"26145000","0.9435"
"26250000","0.9385"
"26355000","0.9505"
"26460000","0.955"
"26565000","0.9405"
"26670000","0.954"
"26775000","0.962"
"26880000","0.953"
"26985000","0.953"
"27090000","0.947"
"27195000","0.964"
"27300000","0.96"
"27405000","0.962"
"27510000","0.9655"
"27615000","0.9605"
"27720000","0.9695"
"27825000","0.9635"
"27930000","0.967"
"28035000","0.976"
"28140000","0.9595"
"28245000","0.964"
"28350000","0.9745"
"28455000","0.969"
"28560000","0.97"
"28665000","0.971"
"28770000","0.976"
"28875000","0.97"
"28980000","0.964"
"29085000","0.972"
"29190000","0.966"
"29295000","0.9725"
"29400000","0.969"
"29505000","0.9655"
"29610000","0.963"
"29715000","0.961"
"29820000","0.968"
"29925000","0.966"
"30030000","0.974"
"30135000","0.97"
"30240000","0.9725"
"30345000","0.978"
"30450000","0.968"
"30555000","0.978"
"30660000","0.979"
"30765000","0.977"
"30870000","0.9745"
"30975000","0.974"
"31080000","0.9795"
"31185000","0.974"
"31290000","0.981"
"31395000","0.9815"
"31500000","0.9785"
"31605000","0.9805"
"31710000","0.9795"
"31815000","0.983"
"31920000","0.974"
"32025000","0.977"
"32130000","0.972"
"32235000","0.9815"
"32340000","0.9825"
"32445000","0.981"
"32550000","0.975"
"32655000","0.9755"
"32760000","0.9775"
"32865000","0.974"
"32970000","0.9685"
"33075000","0.9715"
"33180000","0.9705"
"33285000","0.973"
"33390000","0.967"
"33495000","0.976"
"33600000","0.978"
"33705000","0.9715"
"33810000","0.9705"
"33915000","0.9735"
"34020000","0.9765"
"34125000","0.968"
"34230000","0.974"
"34335000","0.9735"
"34440000","0.978"
"34545000","0.971"
"34650000","0.969"
"34755000","0.9685"
"34860000","0.9615"
"34965000","0.9545"
"35070000","0.9475"
"35175000","0.952"
"35280000","0.955"
"35385000","0.96"
"35490000","0.9615"
"35595000","0.961"
"35700000","0.959"
"35805000","0.9605"
"35910000","0.971"
"36015000","0.9765"
"36120000","0.9675"
"36225000","0.967"
"36330000","0.9785"
"36435000","0.984"
"36540000","0.9865"
"36645000","0.992"
"36750000","0.985"
"36855000","0.9855"
"36960000","0.9815"
"37065000","0.9845"
"37170000","0.9795"
"37275000","0.979"
"37380000","0.9835"
"37485000","0.9835"
"37590000","0.971"
"37695000","0.9815"
"37800000","0.9785"
"37905000","0.982"
"38010000","0.981"
"38115000","0.9845"
"38220000","0.9825"
"38325000","0.986"
"38430000","0.983"
"38535000","0.984"
"38640000","0.9805"
"38745000","0.981"
"38850000","0.977"
"38955000","0.989"
"39060000","0.983"
"39165000","0.988"
"39270000","0.9845"
"39375000","0.988"
"39480000","0.979"
"39585000","0.981"
"39690000","0.984"
"39795000","0.984"
"39900000","0.982"
