"Step","tech3_sp3_small_asym_seed3 - cover_rate_5step"
"105000","0"
"210000","0"
"315000","0"
"420000","0"
"525000","0"
"630000","0"
"735000","0"
"840000","0"
"945000","0"
"1050000","0"
"1155000","0"
"1260000","0"
"1365000","0"
"1470000","0"
"1575000","0"
"1680000","0"
"1785000","0"
"1890000","0"
"1995000","0"
"2100000","0"
"2205000","0"
"2310000","0"
"2415000","0"
"2520000","0"
"2625000","0"
"2730000","0"
"2835000","0"
"2940000","0"
"3045000","0"
"3150000","0"
"3255000","0"
"3360000","0"
"3465000","0.0005"
"3570000","0.0022"
"3675000","0.0016"
"3780000","0.0037"
"3885000","0.0033"
"3990000","0.006199999999999999"
"4095000","0.0051"
"4200000","0.0035"
"4305000","0.0033"
"4410000","0.0073"
"4515000","0.0030999999999999995"
"4620000","0.0026999999999999997"
"4725000","0.0031"
"4830000","0.0016"
"4935000","0.0015"
"5040000","0.0052"
"5145000","0.0028"
"5250000","0.0024"
"5355000","0.005"
"5460000","0.0029"
"5565000","0.0037"
"5670000","0.0030999999999999995"
"5775000","0.004"
"5880000","0.004300000000000001"
"5985000","0.0064"
"6090000","0.008199999999999999"
"6195000","0.006199999999999999"
"6300000","0.0054"
"6405000","0.0072"
"6510000","0.0060999999999999995"
"6615000","0.0076"
"6720000","0.0051"
"6825000","0.004"
"6930000","0.0035"
"7035000","0.005"
"7140000","0.0044"
"7245000","0.0037"
"7350000","0.0044"
"7455000","0.008"
"7560000","0.0119"
"7665000","0.005900000000000001"
"7770000","0.007200000000000001"
"7875000","0.007300000000000001"
"7980000","0.007699999999999999"
"8085000","0.0058000000000000005"
"8190000","0.0086"
"8295000","0.0114"
"8400000","0.006"
"8505000","0.009"
"8610000","0.01"
"8715000","0.0106"
"8820000","0.0089"
"8925000","0.0066"
"9030000","0.0063"
"9135000","0.0086"
"9240000","0.007799999999999999"
"9345000","0.0077"
"9450000","0.0095"
"9555000","0.0079"
"9660000","0.007699999999999999"
"9765000","0.0075"
"9870000","0.005"
"9975000","0.006600000000000001"
"10080000","0.0056"
"10185000","0.006900000000000001"
"10290000","0.008"
"10395000","0.008399999999999998"
"10500000","0.0045"
"10605000","0.002"
"10710000","0.005300000000000001"
"10815000","0.0056"
"10920000","0.0065"
"11025000","0.0078"
"11130000","0.004"
"11235000","0.0065"
"11340000","0.007699999999999999"
"11445000","0.0094"
"11550000","0.009"
"11655000","0.011"
"11760000","0.0093"
"11865000","0.007"
"11970000","0.0068000000000000005"
"12075000","0.009100000000000002"
"12180000","0.0127"
"12285000","0.016"
"12390000","0.0099"
"12495000","0.0127"
"12600000","0.0124"
"12705000","0.0207"
"12810000","0.0205"
"12915000","0.0167"
"13020000","0.0191"
"13125000","0.0124"
"13230000","0.0115"
"13335000","0.014600000000000002"
"13440000","0.013"
"13545000","0.0145"
"13650000","0.0075"
"13755000","0.011"
"13860000","0.015"
"13965000","0.014399999999999998"
"14070000","0.0114"
"14175000","0.0083"
"14280000","0.0147"
"14385000","0.015200000000000002"
"14490000","0.0128"
"14595000","0.0116"
"14700000","0.0167"
"14805000","0.013800000000000002"
"14910000","0.0098"
"15015000","0.0075"
"15120000","0.0147"
"15225000","0.0081"
"15330000","0.017"
"15435000","0.0124"
"15540000","0.014"
"15645000","0.0166"
"15750000","0.0196"
"15855000","0.0339"
"15960000","0.0482"
"16065000","0.0462"
"16170000","0.045599999999999995"
"16275000","0.058600000000000006"
"16380000","0.06539999999999999"
"16485000","0.0933"
"16590000","0.1069"
"16695000","0.1061"
"16800000","0.1101"
"16905000","0.124"
"17010000","0.1284"
"17115000","0.1355"
"17220000","0.136"
"17325000","0.1878"
"17430000","0.1829"
"17535000","0.1926"
"17640000","0.2139"
"17745000","0.2431"
"17850000","0.2486"
"17955000","0.2394"
"18060000","0.25239999999999996"
"18165000","0.2447"
"18270000","0.2655"
"18375000","0.28120000000000006"
"18480000","0.2367"
"18585000","0.2552"
"18690000","0.23610000000000003"
"18795000","0.2342"
"18900000","0.2456"
"19005000","0.2229"
"19110000","0.2325"
"19215000","0.2339"
"19320000","0.2409"
"19425000","0.2754"
"19530000","0.30310000000000004"
"19635000","0.2926"
"19740000","0.31570000000000004"
"19845000","0.337"
"19950000","0.32580000000000003"
"20055000","0.3442"
"20160000","0.3558"
"20265000","0.3521"
"20370000","0.3626"
"20475000","0.349"
