"Step","diversified_novelty_parentsampling_badinit_pb_seed2 - cover_rate_5step"
"49680000","0.5494000000000001"
"49860000","0.6008"
"50040000","0.5615999999999999"
"50220000","0.5744"
"50400000","0.602"
"50580000","0.5858"
"50760000","0.5494"
"50940000","0.6088"
"51120000","0.5824"
"51300000","0.6272000000000001"
"51480000","0.6152000000000001"
"51660000","0.5978"
"51840000","0.6063999999999999"
"52020000","0.6484"
"52200000","0.6335999999999999"
"52380000","0.644"
"52560000","0.596"
"52740000","0.6437999999999999"
"52920000","0.656"
"53100000","0.6922"
"53280000","0.6698"
"53460000","0.6836"
"53640000","0.6882"
"53820000","0.652"
"54000000","0.688"
"54180000","0.6946"
"54360000","0.6972"
"54540000","0.6992"
"54720000","0.7253999999999999"
"54900000","0.6904"
"55080000","0.698"
"55260000","0.6944000000000001"
"55440000","0.7342000000000001"
"55620000","0.7436"
"55800000","0.7106"
"55980000","0.727"
"56160000","0.7186"
"56340000","0.72"
"56520000","0.7386"
"56700000","0.7044"
"56880000","0.7075999999999999"
"57060000","0.7205999999999999"
"57240000","0.6954000000000001"
"57420000","0.744"
"57600000","0.7392000000000001"
"57780000","0.7118000000000001"
"57960000","0.7432"
"58140000","0.7298"
"58320000","0.7088"
"58500000","0.749"
"58680000","0.7293999999999999"
"58860000","0.7082"
"59040000","0.7002"
"59220000","0.7544"
"59400000","0.7694000000000001"
"59580000","0.7567999999999999"
"59760000","0.7464000000000001"
"59940000","0.7774000000000001"
"60120000","0.7995999999999999"
"60300000","0.7597999999999999"
"60480000","0.7954"
"60660000","0.7942"
"60840000","0.7793999999999999"
"61020000","0.8144"
"61200000","0.7696000000000001"
"61380000","0.7846000000000001"
"61560000","0.7958"
"61740000","0.8022"
"61920000","0.8118"
"62100000","0.804"
"62280000","0.806"
"62460000","0.827"
"62640000","0.7871999999999999"
"62820000","0.8364"
"63000000","0.8"
"63180000","0.8012"
"63360000","0.8238000000000001"
"63540000","0.824"
"63720000","0.8374000000000001"
"63900000","0.8082"
"64080000","0.8084000000000001"
"64260000","0.8192"
"64440000","0.8128"
"64620000","0.8298"
"64800000","0.8104000000000001"
"64980000","0.8435999999999999"
"65160000","0.8192"
"65340000","0.8274"
"65520000","0.8482000000000001"
"65700000","0.8238"
"65880000","0.8383999999999999"
"66060000","0.8352"
"66240000","0.844"
"66420000","0.8425999999999999"
"66600000","0.8442000000000001"
"66780000","0.8463999999999999"
"66960000","0.835"
"67140000","0.8428000000000001"
"67320000","0.8678"
"67500000","0.8505999999999999"
"67680000","0.855"
"67860000","0.8455999999999999"
"68040000","0.8336"
"68220000","0.8613999999999999"
"68400000","0.862"
"68580000","0.8684"
"68760000","0.8842000000000001"
"68940000","0.883"
"69120000","0.8682000000000001"
"69300000","0.8623999999999999"
"69480000","0.843"
"69660000","0.875"
"69840000","0.8792000000000001"
"70020000","0.9002"
"70200000","0.8636"
"70380000","0.8997999999999999"
"70560000","0.8866"
"70740000","0.8752000000000001"
"70920000","0.8887999999999999"
"71100000","0.8947999999999999"
"71280000","0.885"
"71460000","0.9014"
"71640000","0.8764000000000001"
"71820000","0.8824"
"72000000","0.861"
"72180000","0.8705999999999999"
"72360000","0.8642000000000001"
"72540000","0.8685999999999999"
"72720000","0.8847999999999999"
"72900000","0.8744000000000001"
"73080000","0.8724000000000001"
"73260000","0.8798"
"73440000","0.886"
"73620000","0.9012"
"73800000","0.8644000000000001"
"73980000","0.8752000000000001"
"74160000","0.8902"
"74340000","0.8766"
"74520000","0.869"
"74700000","0.8736"
"74880000","0.8774"
"75060000","0.893"
"75240000","0.8872000000000001"
"75420000","0.895"
"75600000","0.9032"
"75780000","0.8902"
"75960000","0.907"
"76140000","0.9036"
"76320000","0.9088"
"76500000","0.9284"
"76680000","0.9192"
"76860000","0.9008"
"77040000","0.915"
"77220000","0.9344"
"77400000","0.9256"
"77580000","0.9338"
"77760000","0.9096"
"77940000","0.9264"
"78120000","0.922"
"78300000","0.9038"
"78480000","0.9084"
"78660000","0.922"
"78840000","0.9132"
"79020000","0.9098"
"79200000","0.9118"
"79380000","0.9104"
"79560000","0.9076"
"79740000","0.9194"
"79920000","0.9054"
