"Step","gan_pb_2agents_seed2 - cover_rate_5step"
"35160000","0.0814"
"35280000","0.1014"
"35400000","0.08159999999999999"
"35520000","0.082"
"35640000","0.1036"
"35760000","0.099"
"35880000","0.0934"
"36000000","0.07859999999999999"
"36120000","0.1042"
"36240000","0.0944"
"36360000","0.1284"
"36480000","0.099"
"36600000","0.099"
"36720000","0.1058"
"36840000","0.108"
"36960000","0.1024"
"37080000","0.1088"
"37200000","0.1"
"37320000","0.118"
"37440000","0.096"
"37560000","0.106"
"37680000","0.1116"
"37800000","0.0962"
"37920000","0.101"
"38040000","0.1022"
"38160000","0.1104"
"38280000","0.1036"
"38400000","0.0982"
"38520000","0.0972"
"38640000","0.1014"
"38760000","0.1098"
"38880000","0.113"
"39000000","0.1068"
"39120000","0.1044"
"39240000","0.1126"
"39360000","0.1128"
"39480000","0.1172"
"39600000","0.1126"
"39720000","0.1176"
"39840000","0.097"
"39960000","0.1186"
"40080000","0.1306"
"40200000","0.1004"
"40320000","0.1132"
"40440000","0.1324"
"40560000","0.111"
"40680000","0.1394"
"40800000","0.1202"
"40920000","0.128"
"41040000","0.124"
"41160000","0.1248"
"41280000","0.1316"
"41400000","0.1144"
"41520000","0.13539999999999996"
"41640000","0.1328"
"41760000","0.1054"
"41880000","0.1198"
"42000000","0.1332"
"42120000","0.121"
"42240000","0.1206"
"42360000","0.1246"
"42480000","0.119"
"42600000","0.12919999999999998"
"42720000","0.1278"
"42840000","0.1288"
"42960000","0.1238"
"43080000","0.1236"
"43200000","0.123"
"43320000","0.15380000000000002"
"43440000","0.135"
"43560000","0.13660000000000003"
"43680000","0.1468"
"43800000","0.1298"
"43920000","0.1526"
"44040000","0.1388"
"44160000","0.1384"
"44280000","0.1338"
"44400000","0.14"
"44520000","0.1342"
"44640000","0.1242"
"44760000","0.131"
"44880000","0.1446"
"45000000","0.139"
"45120000","0.13340000000000002"
"45240000","0.12"
"45360000","0.122"
"45480000","0.13160000000000002"
"45600000","0.145"
"45720000","0.1252"
"45840000","0.12"
"45960000","0.1278"
"46080000","0.129"
"46200000","0.14439999999999997"
"46320000","0.1328"
"46440000","0.126"
"46560000","0.14980000000000002"
"46680000","0.1352"
"46800000","0.1378"
"46920000","0.1392"
"47040000","0.1146"
"47160000","0.1316"
"47280000","0.13440000000000002"
"47400000","0.1214"
"47520000","0.1576"
"47640000","0.15080000000000002"
"47760000","0.1422"
"47880000","0.1566"
"48000000","0.156"
"48120000","0.15460000000000002"
"48240000","0.1366"
"48360000","0.1236"
"48480000","0.1424"
"48600000","0.142"
"48720000","0.121"
"48840000","0.1316"
"48960000","0.1436"
"49080000","0.1372"
"49200000","0.1252"
"49320000","0.129"
"49440000","0.15159999999999998"
"49560000","0.15159999999999998"
"49680000","0.1168"
"49800000","0.14039999999999997"
"49920000","0.1254"
"50040000","0.1554"
"50160000","0.12819999999999998"
"50280000","0.1502"
"50400000","0.149"
"50520000","0.1342"
"50640000","0.13360000000000002"
"50760000","0.1458"
"50880000","0.14859999999999998"
"51000000","0.15819999999999998"
"51120000","0.1368"
"51240000","0.1472"
"51360000","0.1484"
"51480000","0.1368"
"51600000","0.1526"
"51720000","0.1436"
"51840000","0.145"
"51960000","0.1342"
"52080000","0.1436"
"52200000","0.1428"
"52320000","0.1182"
"52440000","0.14759999999999998"
"52560000","0.164"
"52680000","0.14739999999999998"
"52800000","0.1358"
"52920000","0.1286"
"53040000","0.15519999999999998"
"53160000","0.1214"
"53280000","0.1366"
"53400000","0.1376"
"53520000","0.14"
"53640000","0.137"
"53760000","0.14560000000000003"
"53880000","0.1484"
"54000000","0.15919999999999998"
"54120000","0.1242"
"54240000","0.13440000000000002"
"54360000","0.14759999999999998"
"54480000","0.147"
"54600000","0.151"
"54720000","0.1364"
"54840000","0.1624"
"54960000","0.144"
"55080000","0.1318"
"55200000","0.1566"
"55320000","0.137"
"55440000","0.147"
"55560000","0.1256"
"55680000","0.134"
"55800000","0.1474"
"55920000","0.1342"
"56040000","0.1208"
"56160000","0.12860000000000002"
"56280000","0.1382"
"56400000","0.123"
"56520000","0.129"
"56640000","0.136"
"56760000","0.1142"
"56880000","0.15080000000000002"
"57000000","0.1244"
"57120000","0.1376"
"57240000","0.1432"
"57360000","0.1108"
"57480000","0.13639999999999997"
"57600000","0.1382"
"57720000","0.131"
"57840000","0.1168"
"57960000","0.14980000000000002"
"58080000","0.1378"
"58200000","0.123"
"58320000","0.1338"
"58440000","0.134"
"58560000","0.12819999999999998"
"58680000","0.1332"
"58800000","0.121"
"58920000","0.1124"
"59040000","0.1338"
"59160000","0.12819999999999998"
"59280000","0.1274"
"59400000","0.1342"
"59520000","0.156"
"59640000","0.14339999999999997"
"59760000","0.1274"
"59880000","0.1316"
"60000000","0.134"
"60120000","0.129"
"60240000","0.15439999999999998"
"60360000","0.1364"
"60480000","0.1398"
"60600000","0.1466"
"60720000","0.1606"
"60840000","0.13360000000000002"
"60960000","0.124"
"61080000","0.1384"
"61200000","0.14"
"61320000","0.144"
"61440000","0.13379999999999995"
"61560000","0.1502"
"61680000","0.1272"
"61800000","0.1414"
"61920000","0.1378"
"62040000","0.13440000000000002"
"62160000","0.15380000000000002"
"62280000","0.15319999999999998"
"62400000","0.15059999999999998"
"62520000","0.138"
"62640000","0.126"
"62760000","0.138"
"62880000","0.1366"
"63000000","0.1304"
"63120000","0.13140000000000002"
"63240000","0.1432"
"63360000","0.1376"
"63480000","0.13"
"63600000","0.149"
"63720000","0.1392"
"63840000","0.1496"
"63960000","0.165"
"64080000","0.154"
"64200000","0.1444"
"64320000","0.15480000000000002"
"64440000","0.14980000000000002"
"64560000","0.1696"
"64680000","0.145"
"64800000","0.1502"
"64920000","0.128"
"65040000","0.155"
"65160000","0.1522"
"65280000","0.1634"
"65400000","0.15419999999999998"
"65520000","0.13660000000000003"
"65640000","0.15080000000000002"
"65760000","0.1246"
"65880000","0.126"
"66000000","0.153"
"66120000","0.15519999999999998"
"66240000","0.1402"
"66360000","0.155"
"66480000","0.1364"
"66600000","0.15139999999999998"
"66720000","0.1306"
"66840000","0.15"
"66960000","0.1564"
"67080000","0.1434"
"67200000","0.1658"
"67320000","0.144"
"67440000","0.136"
"67560000","0.15619999999999998"
"67680000","0.1244"
"67800000","0.15380000000000002"
"67920000","0.156"
"68040000","0.16460000000000002"
"68160000","0.1262"
"68280000","0.15880000000000002"
"68400000","0.155"
"68520000","0.152"
"68640000","0.1688"
"68760000","0.166"
"68880000","0.159"
"69000000","0.1674"
"69120000","0.156"
"69240000","0.1346"
"69360000","0.1454"
"69480000","0.16419999999999998"
"69600000","0.1836"
"69720000","0.14360000000000003"
"69840000","0.15"
"69960000","0.174"
"70080000","0.16319999999999998"
"70200000","0.146"
"70320000","0.1764"
"70440000","0.16319999999999998"
"70560000","0.1396"
"70680000","0.15919999999999998"
"70800000","0.15880000000000002"
"70920000","0.16"
"71040000","0.175"
"71160000","0.1646"
"71280000","0.17539999999999997"
"71400000","0.165"
"71520000","0.152"
"71640000","0.1478"
"71760000","0.15580000000000002"
"71880000","0.1472"
"72000000","0.149"
"72120000","0.17139999999999997"
"72240000","0.1608"
"72360000","0.1694"
"72480000","0.1784"
"72600000","0.15860000000000002"
"72720000","0.1804"
"72840000","0.14759999999999998"
"72960000","0.16019999999999998"
"73080000","0.161"
"73200000","0.173"
"73320000","0.1544"
"73440000","0.1628"
"73560000","0.13240000000000002"
"73680000","0.1694"
"73800000","0.153"
"73920000","0.15139999999999998"
"74040000","0.152"
"74160000","0.164"
"74280000","0.15419999999999998"
"74400000","0.1586"
"74520000","0.15719999999999998"
"74640000","0.15919999999999998"
"74760000","0.14859999999999998"
"74880000","0.1716"
"75000000","0.147"
"75120000","0.15139999999999998"
"75240000","0.138"
"75360000","0.1454"
"75480000","0.168"
"75600000","0.15619999999999998"
"75720000","0.1494"
"75840000","0.1604"
"75960000","0.1414"
"76080000","0.1502"
"76200000","0.16140000000000002"
"76320000","0.15519999999999998"
"76440000","0.1598"
"76560000","0.139"
"76680000","0.15319999999999998"
"76800000","0.1618"
"76920000","0.15480000000000002"
"77040000","0.1492"
"77160000","0.1504"
"77280000","0.1586"
"77400000","0.1544"
"77520000","0.139"
"77640000","0.162"
"77760000","0.1574"
"77880000","0.166"
"78000000","0.1606"
"78120000","0.162"
"78240000","0.149"
"78360000","0.15919999999999998"
"78480000","0.154"
"78600000","0.1762"
"78720000","0.1822"
"78840000","0.1442"
"78960000","0.1768"
"79080000","0.1526"
"79200000","0.1436"
"79320000","0.16340000000000002"
"79440000","0.1722"
"79560000","0.1412"
"79680000","0.15719999999999998"
"79800000","0.1846"
"79920000","0.1494"
