"Step","sp_uniform_from_activeAndsolve_seed3 - cover_rate_1step"
"31815000","0.8645"
"31920000","0.8545"
"32025000","0.8585"
"32130000","0.8695"
"32235000","0.8665"
"32340000","0.872"
"32445000","0.8725"
"32550000","0.8755"
"32655000","0.8835"
"32760000","0.876"
"32865000","0.8695"
"32970000","0.8855"
"33075000","0.873"
"33180000","0.888"
"33285000","0.876"
"33390000","0.885"
"33495000","0.8785"
"33600000","0.887"
"33705000","0.881"
"33810000","0.8685"
"33915000","0.8825"
"34020000","0.871"
"34125000","0.874"
"34230000","0.8665"
"34335000","0.8755"
"34440000","0.877"
"34545000","0.876"
"34650000","0.867"
"34755000","0.883"
"34860000","0.8965"
"34965000","0.881"
"35070000","0.8855"
"35175000","0.8915"
"35280000","0.8815"
"35385000","0.895"
"35490000","0.894"
"35595000","0.8865"
"35700000","0.89"
"35805000","0.888"
"35910000","0.891"
"36015000","0.888"
"36120000","0.896"
"36225000","0.8895"
"36330000","0.8945"
"36435000","0.899"
"36540000","0.899"
"36645000","0.8895"
"36750000","0.905"
"36855000","0.8925"
"36960000","0.9085"
"37065000","0.9"
"37170000","0.89"
"37275000","0.903"
"37380000","0.907"
"37485000","0.89"
"37590000","0.8735"
"37695000","0.895"
"37800000","0.872"
"37905000","0.901"
"38010000","0.887"
"38115000","0.882"
"38220000","0.8845"
"38325000","0.8935"
"38430000","0.88"
"38535000","0.8865"
"38640000","0.8895"
"38745000","0.876"
"38850000","0.909"
"38955000","0.905"
"39060000","0.8865"
"39165000","0.892"
"39270000","0.893"
"39375000","0.899"
"39480000","0.9065"
"39585000","0.9015"
"39690000","0.9065"
"39795000","0.9005"
"39900000","0.8865"
