"Step","reverse_parentsampling_sp_seed1 - cover_rate_1step"
"10615220","0.3795"
"10650220","0.3965"
"10685220","0.3975"
"10720220","0.388"
"10755220","0.3865"
"10790220","0.3765"
"10825220","0.386"
"10860220","0.3565"
"10895220","0.393"
"10930220","0.3865"
"10965220","0.3945"
"11000220","0.379"
"11035220","0.3895"
"11070220","0.3695"
"11105220","0.38"
"11140220","0.4085"
"11175220","0.402"
"11210220","0.3995"
"11245220","0.363"
"11280220","0.384"
"11315220","0.398"
"11350220","0.385"
"11385220","0.401"
"11420220","0.387"
"11455220","0.384"
"11490220","0.387"
"11525220","0.408"
"11560220","0.3875"
"11595220","0.3865"
"11630220","0.3835"
"11665220","0.3685"
"11700220","0.386"
"11735220","0.372"
"11770220","0.397"
"11805220","0.3695"
"11840220","0.4045"
"11875220","0.373"
"11910220","0.3755"
"11945220","0.381"
"11980220","0.379"
"12015220","0.376"
"12050220","0.388"
"12085220","0.3965"
"12120220","0.3965"
"12155220","0.3975"
"12190220","0.4035"
"12225220","0.3855"
"12260220","0.395"
"12295220","0.3785"
"12330220","0.3915"
"12365220","0.4035"
"12400220","0.421"
"12435220","0.4215"
"12470220","0.3945"
"12505220","0.3935"
"12540220","0.407"
"12575220","0.394"
"12610220","0.402"
"12645220","0.411"
"12680220","0.383"
"12715220","0.4125"
"12750220","0.4055"
"12785220","0.4015"
"12820220","0.393"
"12855220","0.421"
"12890220","0.3885"
"12925220","0.4065"
"12960220","0.4075"
"12995220","0.4145"
"13030220","0.4265"
"13065220","0.4185"
"13100220","0.4125"
"13135220","0.4215"
"13170220","0.408"
"13205220","0.4085"
"13240220","0.431"
"13275220","0.4115"
"13310220","0.41"
"13345220","0.435"
"13380220","0.4055"
"13415220","0.425"
"13450220","0.4255"
"13485220","0.4095"
"13520220","0.3985"
"13555220","0.429"
"13590220","0.43"
"13625220","0.4315"
"13660220","0.404"
"13695220","0.4045"
"13730220","0.422"
"13765220","0.4345"
"13800220","0.4135"
"13835220","0.397"
"13870220","0.4235"
"13905220","0.424"
"13940220","0.416"
"13975220","0.424"
"14010220","0.4385"
"14045220","0.427"
"14080220","0.4245"
"14115220","0.416"
"14150220","0.42"
"14185220","0.429"
"14220220","0.418"
"14255220","0.3955"
"14290220","0.403"
"14325220","0.4245"
"14360220","0.4355"
"14395220","0.407"
"14430220","0.4225"
"14465220","0.4265"
"14500220","0.4395"
"14535220","0.421"
"14570220","0.435"
"14605220","0.4225"
"14640220","0.4395"
"14675220","0.4225"
"14710220","0.4335"
"14745220","0.416"
"14780220","0.426"
"14815220","0.417"
"14850220","0.4265"
"14885220","0.428"
"14920220","0.415"
"14955220","0.427"
"14990220","0.431"
"15025220","0.4255"
"15060220","0.451"
"15095220","0.4195"
"15130220","0.437"
"15165220","0.426"
"15200220","0.4075"
"15235220","0.445"
"15270220","0.436"
"15305220","0.44"
"15340220","0.4515"
"15375220","0.428"
"15410220","0.4555"
"15445220","0.418"
"15480220","0.445"
"15515220","0.442"
"15550220","0.44"
"15585220","0.4305"
"15620220","0.4545"
"15655220","0.4555"
"15690220","0.435"
"15725220","0.444"
"15760220","0.4475"
"15795220","0.4225"
"15830220","0.427"
"15865220","0.4495"
"15900220","0.415"
"15935220","0.4535"
"15970220","0.4545"
"16005220","0.4425"
"16040220","0.429"
"16075220","0.4415"
"16110220","0.4285"
"16145220","0.438"
"16180220","0.4525"
"16215220","0.4315"
"16250220","0.461"
"16285220","0.4475"
"16320220","0.41"
"16355220","0.4385"
"16390220","0.456"
"16425220","0.4315"
"16460220","0.444"
"16495220","0.4435"
"16530220","0.453"
"16565220","0.454"
"16600220","0.4555"
"16635220","0.4325"
"16670220","0.4435"
"16705220","0.43"
"16740220","0.43"
"16775220","0.427"
"16810220","0.451"
"16845220","0.4525"
"16880220","0.449"
"16915220","0.432"
"16950220","0.4565"
"16985220","0.4365"
"17020220","0.441"
"17055220","0.433"
"17090220","0.4575"
"17125220","0.445"
"17160220","0.4405"
"17195220","0.426"
"17230220","0.419"
"17265220","0.42"
"17300220","0.431"
"17335220","0.4265"
"17370220","0.428"
"17405220","0.4465"
"17440220","0.4225"
"17475220","0.4245"
"17510220","0.427"
"17545220","0.4335"
"17580220","0.438"
"17615220","0.4405"
"17650220","0.4485"
"17685220","0.438"
"17720220","0.449"
"17755220","0.4385"
"17790220","0.4495"
"17825220","0.4635"
"17860220","0.459"
"17895220","0.452"
"17930220","0.4735"
"17965220","0.476"
"18000220","0.4515"
"18035220","0.466"
"18070220","0.4635"
"18105220","0.473"
"18140220","0.4515"
"18175220","0.4895"
"18210220","0.4675"
"18245220","0.4595"
"18280220","0.4345"
"18315220","0.4615"
"18350220","0.4725"
"18385220","0.4575"
"18420220","0.4735"
"18455220","0.4655"
"18490220","0.472"
"18525220","0.4355"
"18560220","0.461"
"18595220","0.466"
"18630220","0.436"
"18665220","0.459"
"18700220","0.486"
"18735220","0.4675"
"18770220","0.4685"
"18805220","0.4565"
"18840220","0.4595"
"18875220","0.467"
"18910220","0.4645"
"18945220","0.479"
"18980220","0.4665"
"19015220","0.477"
"19050220","0.4625"
"19085220","0.4665"
"19120220","0.4455"
"19155220","0.4455"
"19190220","0.47"
"19225220","0.4835"
"19260220","0.468"
"19295220","0.4825"
"19330220","0.4855"
"19365220","0.4615"
"19400220","0.458"
"19435220","0.483"
"19470220","0.4925"
"19505220","0.4905"
"19540220","0.487"
"19575220","0.489"
"19610220","0.488"
"19645220","0.4995"
"19680220","0.486"
"19715220","0.4825"
"19750220","0.499"
"19785220","0.497"
"19820220","0.4795"
"19855220","0.467"
"19890220","0.4885"
"19925220","0.501"
"19960220","0.4865"
"19995220","0.4905"
"20030220","0.491"
"20065220","0.4865"
"20100220","0.4755"
"20135220","0.472"
"20170220","0.4915"
"20205220","0.48"
"20240220","0.476"
"20275220","0.49"
"20310220","0.4765"
"20345220","0.4875"
"20380220","0.4665"
"20415220","0.4745"
"20450220","0.474"
"20485220","0.482"
"20520220","0.4735"
"20555220","0.4815"
"20590220","0.4695"
"20625220","0.501"
"20660220","0.486"
"20695220","0.484"
"20730220","0.5"
"20765220","0.4665"
"20800220","0.4955"
"20835220","0.4995"
"20870220","0.501"
"20905220","0.489"
"20940220","0.491"
"20975220","0.4855"
"21010220","0.481"
"21045220","0.4955"
"21080220","0.4915"
"21115220","0.4935"
"21150220","0.486"
"21185220","0.4805"
"21220220","0.4775"
"21255220","0.4865"
"21290220","0.487"
"21325220","0.4905"
"21360220","0.4885"
"21395220","0.4945"
"21430220","0.492"
"21465220","0.504"
"21500220","0.497"
"21535220","0.4895"
"21570220","0.488"
"21605220","0.4775"
"21640220","0.5125"
"21675220","0.4815"
"21710220","0.496"
"21745220","0.4985"
"21780220","0.4885"
"21815220","0.482"
"21850220","0.4815"
"21885220","0.5105"
"21920220","0.486"
"21955220","0.446"
"21990220","0.4775"
"22025220","0.4855"
"22060220","0.491"
"22095220","0.4885"
"22130220","0.4905"
"22165220","0.4725"
"22200220","0.4765"
"22235220","0.4715"
"22270220","0.4845"
"22305220","0.4725"
"22340220","0.476"
"22375220","0.483"
"22410220","0.4785"
"22445220","0.4765"
"22480220","0.464"
"22515220","0.467"
"22550220","0.4935"
"22585220","0.4775"
"22620220","0.498"
"22655220","0.4845"
"22690220","0.505"
"22725220","0.4825"
"22760220","0.505"
"22795220","0.5065"
"22830220","0.5035"
"22865220","0.521"
"22900220","0.4915"
"22935220","0.5255"
"22970220","0.5145"
"23005220","0.5345"
"23040220","0.525"
"23075220","0.5305"
"23110220","0.528"
"23145220","0.527"
"23180220","0.5175"
"23215220","0.5335"
"23250220","0.488"
"23285220","0.4955"
"23320220","0.5005"
"23355220","0.4945"
"23390220","0.4995"
"23425220","0.502"
"23460220","0.5055"
"23495220","0.507"
"23530220","0.4995"
"23565220","0.496"
"23600220","0.4975"
"23635220","0.4735"
"23670220","0.4925"
"23705220","0.517"
"23740220","0.5035"
"23775220","0.5005"
"23810220","0.498"
"23845220","0.522"
"23880220","0.508"
"23915220","0.4995"
"23950220","0.5255"
"23985220","0.5185"
"24020220","0.505"
"24055220","0.5075"
"24090220","0.5185"
"24125220","0.5175"
"24160220","0.529"
"24195220","0.519"
"24230220","0.527"
"24265220","0.4935"
"24300220","0.5065"
"24335220","0.5185"
"24370220","0.5055"
"24405220","0.472"
"24440220","0.502"
"24475220","0.508"
"24510220","0.517"
"24545220","0.507"
"24580220","0.4825"
"24615220","0.5105"
"24650220","0.4935"
"24685220","0.521"
"24720220","0.498"
"24755220","0.5135"
"24790220","0.5025"
"24825220","0.497"
"24860220","0.5"
"24895220","0.4945"
"24930220","0.514"
"24965220","0.54"
"25000220","0.531"
"25035220","0.5005"
"25070220","0.505"
"25105220","0.541"
"25140220","0.515"
"25175220","0.519"
"25210220","0.509"
"25245220","0.497"
"25280220","0.5185"
"25315220","0.514"
"25350220","0.519"
"25385220","0.5235"
"25420220","0.5185"
"25455220","0.5025"
"25490220","0.5165"
"25525220","0.5155"
"25560220","0.512"
"25595220","0.5035"
"25630220","0.522"
"25665220","0.5115"
"25700220","0.525"
"25735220","0.5225"
"25770220","0.52"
"25805220","0.5125"
"25840220","0.519"
"25875220","0.54"
"25910220","0.5185"
"25945220","0.523"
"25980220","0.517"
"26015220","0.536"
"26050220","0.537"
"26085220","0.523"
"26120220","0.5315"
"26155220","0.4985"
"26190220","0.524"
"26225220","0.539"
"26260220","0.517"
"26295220","0.544"
"26330220","0.538"
"26365220","0.5485"
"26400220","0.553"
"26435220","0.514"
"26470220","0.5305"
"26505220","0.5515"
"26540220","0.5315"
"26575220","0.535"
"26610220","0.5205"
"26645220","0.521"
"26680220","0.5325"
"26715220","0.5405"
"26750220","0.538"
"26785220","0.5205"
"26820220","0.5335"
"26855220","0.512"
"26890220","0.5435"
"26925220","0.51"
"26960220","0.5325"
"26995220","0.5345"
"27030220","0.54"
"27065220","0.524"
"27100220","0.512"
"27135220","0.4975"
"27170220","0.532"
"27205220","0.535"
"27240220","0.531"
"27275220","0.5535"
"27310220","0.5385"
"27345220","0.5495"
"27380220","0.52"
"27415220","0.5215"
"27450220","0.527"
"27485220","0.53"
"27520220","0.512"
"27555220","0.543"
"27590220","0.509"
"27625220","0.536"
"27660220","0.5465"
"27695220","0.529"
"27730220","0.5385"
"27765220","0.536"
"27800220","0.5605"
"27835220","0.542"
"27870220","0.544"
"27905220","0.547"
"27940220","0.541"
"27975220","0.547"
"28010220","0.55"
"28045220","0.548"
"28080220","0.5325"
"28115220","0.557"
"28150220","0.543"
"28185220","0.5365"
"28220220","0.562"
"28255220","0.545"
"28290220","0.552"
"28325220","0.5515"
"28360220","0.549"
"28395220","0.5485"
"28430220","0.5525"
"28465220","0.56"
"28500220","0.572"
"28535220","0.5415"
"28570220","0.5405"
"28605220","0.5305"
"28640220","0.541"
"28675220","0.551"
"28710220","0.5435"
"28745220","0.519"
"28780220","0.553"
"28815220","0.5375"
