"Step","reverse_eval1_novelty_sp_seed1 - cover_rate_1step"
"10675000","0.2415"
"10710000","0.243"
"10745000","0.2445"
"10780000","0.231"
"10815000","0.219"
"10850000","0.227"
"10885000","0.2345"
"10920000","0.2385"
"10955000","0.231"
"10990000","0.216"
"11025000","0.2175"
"11060000","0.2575"
"11095000","0.243"
"11130000","0.2595"
"11165000","0.2445"
"11200000","0.246"
"11235000","0.244"
"11270000","0.267"
"11305000","0.2625"
"11340000","0.2585"
"11375000","0.2735"
"11410000","0.2435"
"11445000","0.25"
"11480000","0.2225"
"11515000","0.276"
"11550000","0.2445"
"11585000","0.2465"
"11620000","0.2265"
"11655000","0.265"
"11690000","0.2695"
"11725000","0.253"
"11760000","0.2405"
"11795000","0.2585"
"11830000","0.2765"
"11865000","0.258"
"11900000","0.246"
"11935000","0.28"
"11970000","0.252"
"12005000","0.2615"
"12040000","0.2705"
"12075000","0.286"
"12110000","0.24"
"12145000","0.27"
"12180000","0.2605"
"12215000","0.2735"
"12250000","0.2805"
"12285000","0.2765"
"12320000","0.2595"
"12355000","0.283"
"12390000","0.2895"
"12425000","0.266"
"12460000","0.2755"
"12495000","0.2585"
"12530000","0.255"
"12565000","0.2795"
"12600000","0.2835"
"12635000","0.2875"
"12670000","0.273"
"12705000","0.289"
"12740000","0.265"
"12775000","0.277"
"12810000","0.2985"
"12845000","0.2705"
"12880000","0.282"
"12915000","0.3015"
"12950000","0.3165"
"12985000","0.298"
"13020000","0.2965"
"13055000","0.2775"
"13090000","0.304"
"13125000","0.3035"
"13160000","0.311"
"13195000","0.274"
"13230000","0.2815"
"13265000","0.305"
"13300000","0.3265"
"13335000","0.2915"
"13370000","0.3"
"13405000","0.3115"
"13440000","0.3175"
"13475000","0.301"
"13510000","0.317"
"13545000","0.307"
"13580000","0.291"
"13615000","0.294"
"13650000","0.28"
"13685000","0.298"
"13720000","0.301"
"13755000","0.3135"
"13790000","0.3145"
"13825000","0.2885"
"13860000","0.2935"
"13895000","0.301"
"13930000","0.2945"
"13965000","0.2935"
"14000000","0.3"
"14035000","0.2925"
"14070000","0.292"
"14105000","0.312"
"14140000","0.3075"
"14175000","0.3385"
"14210000","0.326"
"14245000","0.285"
"14280000","0.315"
"14315000","0.316"
"14350000","0.339"
"14385000","0.347"
"14420000","0.325"
"14455000","0.3165"
"14490000","0.3365"
"14525000","0.3205"
"14560000","0.305"
"14595000","0.3115"
"14630000","0.3195"
"14665000","0.32"
"14700000","0.314"
"14735000","0.3185"
"14770000","0.3135"
"14805000","0.295"
"14840000","0.311"
"14875000","0.3035"
"14910000","0.2875"
"14945000","0.3145"
"14980000","0.327"
"15015000","0.318"
"15050000","0.316"
"15085000","0.3295"
"15120000","0.316"
"15155000","0.3105"
"15190000","0.315"
"15225000","0.288"
"15260000","0.326"
"15295000","0.334"
"15330000","0.311"
"15365000","0.3155"
"15400000","0.2885"
"15435000","0.3145"
"15470000","0.2955"
