"Step","ours_withoutwarmup_check_true_seed2 - 8cover_rate"
"105000","0.8347"
"210000","0.83445"
"315000","0.8155"
"420000","0.82625"
"525000","0.81095"
"630000","0.8232"
"735000","0.8334"
"840000","0.8276499999999999"
"945000","0.82425"
"1050000","0.8262999999999999"
"1155000","0.82215"
"1260000","0.8139500000000001"
"1365000","0.8198499999999999"
"1470000","0.8276500000000001"
"1575000","0.8368"
"1680000","0.82855"
"1785000","0.8392999999999999"
"1890000","0.8425999999999999"
"1995000","0.83905"
"2100000","0.8395499999999999"
"2205000","0.8335"
"2310000","0.8384000000000001"
"2415000","0.8461499999999998"
"2520000","0.8425499999999999"
"2625000","0.8466999999999999"
"2730000","0.8511499999999999"
"2835000","0.85325"
"2940000","0.86915"
"3045000","0.86295"
"3150000","0.873"
"3255000","0.8637"
"3360000","0.87"
"3465000","0.85365"
"3570000","0.8538999999999999"
"3675000","0.8661500000000001"
"3780000","0.8587"
"3885000","0.87535"
"3990000","0.8685499999999999"
"4095000","0.8674000000000001"
"4200000","0.8754500000000001"
"4305000","0.8665"
"4410000","0.87425"
"4515000","0.8782000000000001"
"4620000","0.87505"
"4725000","0.872"
"4830000","0.8483499999999999"
"4935000","0.85605"
"5040000","0.8704000000000001"
"5145000","0.8692000000000001"
"5250000","0.87495"
"5355000","0.87595"
"5460000","0.89125"
"5565000","0.8764500000000001"
"5670000","0.8804"
"5775000","0.88405"
"5880000","0.8773999999999998"
"5985000","0.88625"
"6090000","0.8980499999999999"
"6195000","0.8817999999999999"
"6300000","0.8825999999999999"
"6405000","0.8822"
"6510000","0.8945"
"6615000","0.8935"
"6720000","0.8775499999999999"
"6825000","0.89"
"6930000","0.8897999999999999"
"7035000","0.8994000000000001"
"7140000","0.904"
"7245000","0.9035"
"7350000","0.90085"
"7455000","0.92205"
"7560000","0.9188"
"7665000","0.9082"
"7770000","0.9028"
"7875000","0.9065"
"7980000","0.9075"
"8085000","0.91445"
"8190000","0.90495"
"8295000","0.919"
"8400000","0.91945"
"8505000","0.92835"
"8610000","0.927"
"8715000","0.9063"
"8820000","0.8999499999999999"
"8925000","0.8984500000000001"
"9030000","0.8913"
"9135000","0.8774500000000001"
"9240000","0.8755"
"9345000","0.8974"
"9450000","0.9034"
"9555000","0.9147"
"9660000","0.92235"
"9765000","0.9314"
"9870000","0.91485"
"9975000","0.9041"
"10080000","0.90655"
"10185000","0.9046"
"10290000","0.9121"
"10395000","0.9091"
"10500000","0.90815"
"10605000","0.8961999999999999"
"10710000","0.90705"
"10815000","0.8986"
"10920000","0.90465"
"11025000","0.89125"
"11130000","0.89695"
"11235000","0.89355"
"11340000","0.9159"
"11445000","0.91955"
"11550000","0.93255"
"11655000","0.91805"
"11760000","0.9243"
"11865000","0.9266"
"11970000","0.9228"
"12075000","0.91955"
"12180000","0.92315"
"12285000","0.90725"
"12390000","0.9151"
"12495000","0.9186"
"12600000","0.9284"
"12705000","0.91595"
"12810000","0.9218"
"12915000","0.92465"
"13020000","0.91545"
"13125000","0.92825"
"13230000","0.9234"
"13335000","0.92275"
"13440000","0.9283"
"13545000","0.9226"
"13650000","0.9173"
"13755000","0.9097"
"13860000","0.9203"
"13965000","0.91585"
"14070000","0.9339"
"14175000","0.9131"
"14280000","0.93005"
"14385000","0.9221"
"14490000","0.94165"
"14595000","0.9439999999999998"
"14700000","0.9538"
"14805000","0.95425"
"14910000","0.94625"
"15015000","0.95235"
"15120000","0.94235"
"15225000","0.9417"
"15330000","0.94575"
"15435000","0.9629"
"15540000","0.95885"
"15645000","0.95625"
"15750000","0.95955"
"15855000","0.9651499999999998"
"15960000","0.95755"
"16065000","0.9503"
"16170000","0.95985"
"16275000","0.9503"
"16380000","0.9439"
"16485000","0.9487"
"16590000","0.9562"
"16695000","0.94885"
"16800000","0.9565"
"16905000","0.9417"
"17010000","0.94635"
"17115000","0.9461"
"17220000","0.9459"
"17325000","0.9406"
"17430000","0.9476"
"17535000","0.9459"
"17640000","0.94715"
"17745000","0.9502"
"17850000","0.95895"
"17955000","0.9599"
"18060000","0.9602"
"18165000","0.96565"
"18270000","0.96075"
"18375000","0.96815"
"18480000","0.9709"
"18585000","0.97455"
"18690000","0.96835"
"18795000","0.9705"
"18900000","0.9641"
"19005000","0.95935"
"19110000","0.96775"
"19215000","0.96665"
"19320000","0.9625"
"19425000","0.96535"
"19530000","0.96575"
"19635000","0.9653"
"19740000","0.9593"
"19845000","0.96585"
"19950000","0.9645"
"20055000","0.9722"
"20160000","0.96055"
"20265000","0.96375"
"20370000","0.96875"
"20475000","0.9644"
"20580000","0.9668"
"20685000","0.9673"
"20790000","0.97415"
"20895000","0.9758"
"21000000","0.97405"
"21105000","0.97045"
"21210000","0.97095"
"21315000","0.97075"
"21420000","0.9716"
"21525000","0.97365"
"21630000","0.9676"
"21735000","0.97005"
"21840000","0.9769"
"21945000","0.97305"
"22050000","0.9742499999999998"
"22155000","0.9767"
"22260000","0.97825"
"22365000","0.97705"
"22470000","0.97775"
"22575000","0.97285"
"22680000","0.9707"
"22785000","0.96815"
"22890000","0.9737"
"22995000","0.9729"
"23100000","0.98205"
"23205000","0.97775"
"23310000","0.9817"
"23415000","0.978"
"23520000","0.97695"
"23625000","0.96985"
"23730000","0.96975"
"23835000","0.9683"
"23940000","0.96835"
"24045000","0.9687"
"24150000","0.9798"
"24255000","0.97655"
"24360000","0.98225"
"24465000","0.9797"
"24570000","0.97565"
"24675000","0.9703999999999998"
"24780000","0.9737"
"24885000","0.9743"
"24990000","0.9777"
"25095000","0.97675"
"25200000","0.9605"
"25305000","0.9734"
"25410000","0.97255"
"25515000","0.9718"
"25620000","0.9717"
"25725000","0.9769"
"25830000","0.97075"
"25935000","0.9643"
"26040000","0.972"
"26145000","0.9777"
"26250000","0.9733"
"26355000","0.97345"
"26460000","0.971"
"26565000","0.96625"
"26670000","0.972"
"26775000","0.9729"
"26880000","0.97125"
"26985000","0.9673"
"27090000","0.9709"
"27195000","0.9675"
"27300000","0.9643999999999998"
"27405000","0.97185"
"27510000","0.9785"
"27615000","0.9805"
"27720000","0.9777"
"27825000","0.9775"
"27930000","0.976"
"28035000","0.9738"
"28140000","0.96985"
"28245000","0.97035"
"28350000","0.97315"
"28455000","0.97055"
"28560000","0.95885"
"28665000","0.97655"
"28770000","0.96855"
"28875000","0.98285"
"28980000","0.98545"
"29085000","0.9851"
"29190000","0.9847"
"29295000","0.9866"
"29400000","0.9884"
"29505000","0.9867"
"29610000","0.9835"
"29715000","0.9797"
"29820000","0.9823999999999998"
"29925000","0.9853"
"30030000","0.9861"
"30135000","0.9853"
"30240000","0.9842"
"30345000","0.9801"
"30450000","0.98275"
"30555000","0.98345"
"30660000","0.97725"
"30765000","0.9716"
"30870000","0.973"
"30975000","0.9745"
"31080000","0.97225"
"31185000","0.9772499999999998"
"31290000","0.9721"
"31395000","0.98085"
"31500000","0.9844"
"31605000","0.9834"
"31710000","0.9788"
"31815000","0.98405"
"31920000","0.9788"
"32025000","0.97305"
"32130000","0.97805"
"32235000","0.9731"
"32340000","0.97615"
"32445000","0.972"
"32550000","0.9678"
"32655000","0.9661499999999998"
"32760000","0.9724"
"32865000","0.9756"
"32970000","0.9655"
"33075000","0.969"
"33180000","0.97185"
"33285000","0.96315"
"33390000","0.9683"
"33495000","0.96615"
"33600000","0.9571"
"33705000","0.95945"
"33810000","0.9608"
"33915000","0.95945"
"34020000","0.97265"
"34125000","0.97575"
"34230000","0.98235"
"34335000","0.97305"
"34440000","0.9795"
"34545000","0.9765"
"34650000","0.9808"
"34755000","0.97905"
"34860000","0.97045"
"34965000","0.9798"
"35070000","0.98015"
"35175000","0.983"
"35280000","0.9832"
"35385000","0.9863"
"35490000","0.98755"
"35595000","0.98345"
"35700000","0.9837"
"35805000","0.9698"
"35910000","0.9676"
"36015000","0.9646"
"36120000","0.96855"
"36225000","0.96875"
"36330000","0.9805"
"36435000","0.97875"
"36540000","0.98215"
"36645000","0.9787"
"36750000","0.9801"
"36855000","0.97885"
"36960000","0.98195"
"37065000","0.98165"
"37170000","0.98"
"37275000","0.9754"
"37380000","0.97285"
"37485000","0.9777"
"37590000","0.9819"
"37695000","0.98435"
"37800000","0.98705"
"37905000","0.98475"
"38010000","0.9835"
"38115000","0.98875"
"38220000","0.9895"
"38325000","0.98635"
"38430000","0.9863"
"38535000","0.98875"
"38639580","0.98275"
"38744160","0.98305"
"38846640","0.98705"
"38949120","0.99"
"39054120","0.98745"
"39154290","0.9853"
"39254040","0.98465"
"39352320","0.9865"
"39445980","0.98605"
"39543630","0.98685"
"39642960","0.98065"
"39743130","0.98455"
"39843090","0.98265"
