"Step","pc_pb_seed3 - 4cover_rate"
"60000","0.0625"
"120000","0.0605"
"180000","0.06659999999999999"
"240000","0.0605"
"300000","0.0615"
"360000","0.053"
"420000","0.059"
"480000","0.0585"
"540000","0.0585"
"600000","0.0515"
"660000","0.05"
"720000","0.0585"
"780000","0.055"
"840000","0.065"
"900000","0.057"
"960000","0.066"
"1020000","0.066"
"1080000","0.05740000000000001"
"1140000","0.0515"
"1200000","0.0565"
"1260000","0.0645"
"1320000","0.0635"
"1380000","0.0505"
"1440000","0.052"
"1500000","0.068"
"1560000","0.0645"
"1620000","0.0625"
"1680000","0.06"
"1740000","0.06"
"1800000","0.06"
"1860000","0.066"
"1920000","0.07"
"1980000","0.061"
"2040000","0.068"
"2100000","0.063"
"2160000","0.0715"
"2220000","0.066"
"2280000","0.0615"
"2340000","0.0625"
"2400000","0.061"
"2460000","0.068"
"2520000","0.066"
"2580000","0.0605"
"2640000","0.0635"
"2700000","0.065"
"2760000","0.065"
"2820000","0.07"
"2880000","0.071"
"2940000","0.072"
"3000000","0.0695"
"3060000","0.057"
"3120000","0.061"
"3180000","0.064"
"3240000","0.076"
"3300000","0.067"
"3360000","0.066"
"3420000","0.058"
"3480000","0.058"
"3540000","0.0725"
"3600000","0.0655"
"3660000","0.0698"
"3720000","0.06"
"3780000","0.061"
"3840000","0.0565"
"3900000","0.066"
"3960000","0.0705"
"4020000","0.0746"
"4080000","0.079"
"4140000","0.075"
"4200000","0.0725"
"4260000","0.0695"
"4320000","0.0605"
"4380000","0.0755"
"4440000","0.069"
"4500000","0.0578"
"4560000","0.0775"
"4620000","0.0725"
"4680000","0.07"
"4740000","0.075"
"4800000","0.0675"
"4860000","0.066"
"4920000","0.068"
"4980000","0.062"
"5040000","0.0575"
"5100000","0.069"
"5160000","0.0715"
"5220000","0.0735"
"5280000","0.0705"
"5340000","0.064"
"5400000","0.063"
"5460000","0.0745"
"5520000","0.0715"
"5580000","0.0675"
"5640000","0.064"
"5700000","0.079"
"5760000","0.0685"
"5820000","0.0655"
"5880000","0.0685"
"5940000","0.0645"
"6000000","0.073"
"6060000","0.0702"
"6120000","0.0705"
"6180000","0.0805"
"6240000","0.0755"
"6300000","0.0755"
"6360000","0.0844"
"6420000","0.077"
"6480000","0.07709999999999999"
"6540000","0.0745"
"6600000","0.066"
"6660000","0.0745"
"6720000","0.0685"
"6780000","0.0795"
"6840000","0.0684"
"6900000","0.08059999999999999"
"6960000","0.072"
"7020000","0.08"
"7080000","0.073"
"7140000","0.0725"
"7200000","0.077"
"7260000","0.0835"
"7320000","0.084"
"7380000","0.079"
"7440000","0.0725"
"7500000","0.078"
"7560000","0.09"
"7620000","0.07479999999999999"
"7680000","0.081"
"7740000","0.0831"
"7800000","0.081"
"7860000","0.084"
"7920000","0.0825"
"7980000","0.0855"
"8040000","0.078"
"8100000","0.079"
"8160000","0.085"
"8220000","0.089"
"8280000","0.0865"
"8340000","0.0945"
"8400000","0.0945"
"8460000","0.1006"
"8520000","0.0864"
"8580000","0.0936"
"8640000","0.089"
"8700000","0.1064"
"8760000","0.109"
"8820000","0.1004"
"8880000","0.1119"
"8940000","0.095"
"9000000","0.0938"
"9060000","0.0915"
"9120000","0.1105"
"9180000","0.114"
"9240000","0.1088"
"9300000","0.1222"
"9360000","0.1132"
"9420000","0.132"
"9480000","0.1261"
"9540000","0.1254"
"9600000","0.1328"
"9660000","0.1365"
"9720000","0.13"
"9780000","0.12830000000000005"
"9840000","0.1269"
"9900000","0.1427"
"9960000","0.12969999999999998"
"10020000","0.1225"
"10080000","0.142"
"10140000","0.1267"
"10200000","0.1228"
"10260000","0.13269999999999998"
"10320000","0.138"
"10380000","0.124"
"10440000","0.15009999999999998"
"10500000","0.1388"
"10560000","0.145"
"10620000","0.1531"
"10680000","0.1489"
"10740000","0.157"
"10800000","0.1438"
"10860000","0.165"
"10920000","0.15280000000000002"
"10980000","0.16140000000000002"
"11040000","0.1669"
"11100000","0.16419999999999998"
"11160000","0.1693"
"11220000","0.177"
"11280000","0.148"
"11340000","0.1795"
"11400000","0.168"
"11460000","0.1805"
"11520000","0.1833"
"11580000","0.1724"
"11640000","0.1715"
"11700000","0.18"
"11760000","0.1848"
"11820000","0.1838"
"11880000","0.1806"
"11940000","0.17939999999999998"
"12000000","0.1779"
"12060000","0.19"
"12120000","0.177"
"12180000","0.1924"
"12240000","0.1766"
"12300000","0.1823"
"12360000","0.1857"
"12420000","0.186"
"12480000","0.18"
"12540000","0.1809"
"12600000","0.1741"
"12660000","0.1678"
"12720000","0.1797"
"12780000","0.186"
"12840000","0.1822"
"12900000","0.1821"
"12960000","0.1835"
"13020000","0.187"
"13080000","0.1909"
"13140000","0.204"
"13200000","0.1893"
"13260000","0.1977"
"13320000","0.2058"
"13380000","0.1982"
"13440000","0.2088"
"13500000","0.1973"
"13560000","0.205"
"13620000","0.197"
"13680000","0.2124"
"13740000","0.2064"
"13800000","0.2131"
"13860000","0.2005"
"13920000","0.2092"
"13980000","0.2153"
"14040000","0.2113"
"14100000","0.2131"
"14160000","0.2178"
"14220000","0.2192"
"14280000","0.223"
"14340000","0.215"
"14400000","0.2292"
"14460000","0.2255"
"14520000","0.2291"
"14580000","0.2415"
"14640000","0.2238"
"14700000","0.236"
"14760000","0.2383"
"14820000","0.2239"
"14880000","0.2376"
"14940000","0.2206"
"15000000","0.2376"
"15060000","0.2397"
"15120000","0.228"
"15180000","0.2305"
"15240000","0.228"
"15300000","0.2456"
"15360000","0.2315"
"15420000","0.2444"
"15480000","0.2468"
"15540000","0.2424"
"15600000","0.2469"
"15660000","0.2403"
"15720000","0.2395"
"15780000","0.256"
"15840000","0.2477"
"15900000","0.25460000000000005"
"15960000","0.26039999999999996"
"16020000","0.2468"
"16080000","0.2412"
"16140000","0.2465"
"16200000","0.2453"
"16260000","0.2445"
"16320000","0.25089999999999996"
"16380000","0.2394"
"16440000","0.253"
"16500000","0.27270000000000005"
"16560000","0.25589999999999996"
"16620000","0.26"
"16680000","0.268"
"16740000","0.2432"
"16800000","0.2518"
"16860000","0.2623"
"16920000","0.256"
"16980000","0.2515"
"17040000","0.255"
"17100000","0.2673"
"17160000","0.258"
"17220000","0.26139999999999997"
"17280000","0.2743"
"17340000","0.269"
"17400000","0.2526"
"17460000","0.2682"
"17520000","0.2854"
"17580000","0.2878"
"17640000","0.2932"
"17700000","0.2781"
"17760000","0.26539999999999997"
"17820000","0.2975"
"17880000","0.2938"
"17940000","0.30060000000000003"
"18000000","0.2845"
"18060000","0.2989"
"18120000","0.2994"
"18180000","0.292"
"18240000","0.2935"
"18300000","0.29810000000000003"
"18360000","0.2907"
"18420000","0.2851"
"18480000","0.2947000000000001"
"18540000","0.29919999999999997"
"18600000","0.2979"
"18660000","0.31189999999999996"
"18720000","0.2952"
"18780000","0.2763"
"18840000","0.30540000000000006"
"18900000","0.296"
"18960000","0.3047"
"19020000","0.2964"
"19080000","0.2979"
"19140000","0.2983"
"19200000","0.29429999999999995"
"19260000","0.2978"
"19320000","0.3054"
"19380000","0.3158"
"19440000","0.3029"
"19500000","0.315"
"19560000","0.30260000000000004"
"19620000","0.3095"
"19680000","0.2982"
"19740000","0.2988"
"19800000","0.2983"
"19860000","0.29560000000000003"
"19920000","0.29220000000000007"
