"Step","transfer_warmup150iter_seed1 - 8cover_rate"
"105000","0.83225"
"210000","0.83225"
"315000","0.83225"
"420000","0.83225"
"525000","0.83225"
"630000","0.83225"
"735000","0.83225"
"840000","0.83225"
"945000","0.83225"
"1050000","0.83225"
"1155000","0.83225"
"1260000","0.83225"
"1365000","0.83225"
"1470000","0.83225"
"1575000","0.83225"
"1680000","0.83225"
"1785000","0.83225"
"1890000","0.83225"
"1995000","0.83225"
"2100000","0.83225"
"2205000","0.83225"
"2310000","0.83225"
"2415000","0.83225"
"2520000","0.83225"
"2625000","0.83225"
"2730000","0.83225"
"2835000","0.83225"
"2940000","0.83225"
"3045000","0.83225"
"3150000","0.83225"
"3255000","0.83225"
"3360000","0.83225"
"3465000","0.83225"
"3570000","0.83225"
"3675000","0.83225"
"3780000","0.83225"
"3885000","0.83225"
"3990000","0.83225"
"4095000","0.83225"
"4200000","0.83225"
"4305000","0.83225"
"4410000","0.83225"
"4515000","0.83225"
"4620000","0.83225"
"4725000","0.83225"
"4830000","0.83225"
"4935000","0.83225"
"5040000","0.83225"
"5145000","0.83225"
"5250000","0.83225"
"5355000","0.8285999999999999"
"5460000","0.83565"
"5565000","0.8434"
"5670000","0.82775"
"5775000","0.8188499999999999"
"5880000","0.8238499999999999"
"5985000","0.8265"
"6090000","0.8211"
"6195000","0.8249500000000001"
"6300000","0.8272999999999999"
"6405000","0.8214499999999999"
"6510000","0.8075"
"6615000","0.8024"
"6720000","0.8166"
"6825000","0.8005999999999999"
"6930000","0.7965"
"7035000","0.8165999999999999"
"7140000","0.8125999999999999"
"7245000","0.8182999999999999"
"7350000","0.8217000000000001"
"7455000","0.82275"
"7560000","0.8186500000000001"
"7665000","0.8192999999999999"
"7770000","0.8183499999999999"
"7875000","0.8331999999999999"
"7980000","0.8296"
"8085000","0.8359500000000001"
"8190000","0.8344"
"8295000","0.82465"
"8400000","0.83315"
"8505000","0.8425"
"8610000","0.83225"
"8715000","0.8407499999999999"
"8820000","0.8463499999999999"
"8925000","0.8435499999999999"
"9030000","0.85015"
"9135000","0.85475"
"9240000","0.851"
"9345000","0.8434499999999999"
"9450000","0.8371000000000001"
"9555000","0.847"
"9660000","0.8566999999999999"
"9765000","0.8565"
"9870000","0.855"
"9975000","0.8540999999999999"
"10080000","0.8553"
"10185000","0.85705"
"10290000","0.85725"
"10395000","0.8533999999999998"
"10500000","0.86065"
"10605000","0.85255"
"10710000","0.8482999999999999"
"10815000","0.8478499999999999"
"10920000","0.85365"
"11025000","0.8423999999999999"
"11130000","0.8378"
"11235000","0.8446999999999999"
"11340000","0.8452000000000001"
"11445000","0.8198"
"11550000","0.8232999999999999"
"11655000","0.8441000000000001"
"11760000","0.8529500000000001"
"11865000","0.8609499999999999"
"11970000","0.8402999999999999"
"12075000","0.833"
"12180000","0.843"
"12285000","0.8472"
"12390000","0.8365"
"12495000","0.84605"
"12600000","0.8378"
"12705000","0.83845"
"12810000","0.84065"
"12915000","0.8517"
"13020000","0.87525"
"13125000","0.86245"
"13230000","0.8553499999999999"
"13335000","0.85805"
"13440000","0.8632000000000001"
"13545000","0.8675"
"13650000","0.8703500000000001"
"13755000","0.8727999999999999"
"13860000","0.88975"
"13965000","0.89075"
"14070000","0.8885"
"14175000","0.9018"
"14280000","0.8910500000000001"
"14385000","0.8995"
"14490000","0.90135"
"14595000","0.887"
"14700000","0.8883"
"14805000","0.8913"
"14910000","0.8812"
"15015000","0.8915"
"15120000","0.8946"
"15225000","0.88175"
"15330000","0.8795499999999999"
"15435000","0.8826999999999999"
"15540000","0.8659"
"15645000","0.8766499999999998"
"15750000","0.8892"
"15855000","0.8855999999999999"
"15960000","0.88575"
"16065000","0.8931499999999999"
"16170000","0.8804500000000001"
"16275000","0.90505"
"16380000","0.91575"
"16485000","0.9102"
"16590000","0.9259"
"16695000","0.93175"
"16800000","0.92895"
"16905000","0.9258"
"17010000","0.91545"
"17115000","0.93005"
"17220000","0.9262"
"17325000","0.93795"
"17430000","0.93995"
"17535000","0.9375"
"17640000","0.92475"
"17745000","0.91235"
"17850000","0.91635"
"17955000","0.8878499999999999"
"18060000","0.8805999999999999"
"18165000","0.88255"
"18270000","0.8874"
"18375000","0.9085"
"18480000","0.90575"
"18585000","0.9096"
"18690000","0.9068"
