"Step","pb_gradient_sampling_h1_epsilon0.4_seed1 - 2cover_rate_5step"
"180000","0.029"
"360000","0.036"
"540000","0.029"
"720000","0.029"
"900000","0.03"
"1080000","0.026"
"1260000","0.039"
"1440000","0.034"
"1620000","0.03"
"1800000","0.038"
"1980000","0.0396"
"2160000","0.041"
"2340000","0.028"
"2520000","0.037"
"2700000","0.049"
"2880000","0.055"
"3060000","0.055"
"3240000","0.0454"
"3420000","0.0482"
"3600000","0.0728"
"3780000","0.077"
"3960000","0.08120000000000001"
"4140000","0.064"
"4320000","0.08120000000000001"
"4500000","0.0966"
"4680000","0.1062"
"4860000","0.097"
"5040000","0.1138"
"5220000","0.16140000000000002"
"5400000","0.15719999999999998"
"5580000","0.1874"
"5760000","0.185"
"5940000","0.1924"
"6120000","0.212"
"6300000","0.2282"
"6480000","0.28779999999999994"
"6660000","0.266"
"6840000","0.2744"
"7020000","0.26080000000000003"
"7200000","0.28079999999999994"
"7380000","0.2916"
"7560000","0.2716"
"7740000","0.2536"
"7920000","0.31139999999999995"
"8100000","0.29460000000000003"
"8280000","0.32739999999999997"
"8460000","0.327"
"8640000","0.31060000000000004"
"8820000","0.3512"
"9000000","0.34680000000000005"
"9180000","0.33259999999999995"
"9360000","0.356"
"9540000","0.3556"
"9720000","0.3762"
"9900000","0.4064"
"10080000","0.3908"
"10260000","0.3758"
"10440000","0.3774"
"10620000","0.4041999999999999"
"10800000","0.3922"
"10980000","0.4202"
"11160000","0.4486"
"11340000","0.413"
"11520000","0.4326"
"11700000","0.4264"
"11880000","0.427"
"12060000","0.4353999999999999"
"12240000","0.46279999999999993"
"12420000","0.4386000000000001"
"12600000","0.462"
"12780000","0.4506"
"12960000","0.4678"
"13140000","0.481"
"13320000","0.4874"
"13500000","0.4936"
"13680000","0.499"
"13860000","0.4762"
"14040000","0.5097999999999999"
"14220000","0.5097999999999999"
"14400000","0.4804"
"14580000","0.49"
"14760000","0.5147999999999999"
"14940000","0.5124"
"15120000","0.5272"
"15300000","0.504"
"15480000","0.5132000000000001"
"15660000","0.5184"
"15840000","0.5386"
"16020000","0.5137999999999999"
"16200000","0.551"
"16380000","0.5445999999999999"
"16560000","0.5544"
"16740000","0.5317999999999999"
"16920000","0.5448"
"17100000","0.5562"
"17280000","0.5418000000000001"
"17460000","0.5568"
"17640000","0.5372"
"17820000","0.5372"
"18000000","0.5456000000000001"
"18180000","0.5681999999999999"
"18360000","0.5918"
"18540000","0.5674"
"18720000","0.5798"
"18900000","0.5684000000000001"
"19080000","0.576"
"19260000","0.5798"
"19440000","0.5814"
"19620000","0.566"
"19800000","0.6093999999999998"
"19980000","0.5852"
"20160000","0.5962000000000001"
"20340000","0.6015999999999999"
"20520000","0.6274"
"20700000","0.623"
"20880000","0.6212000000000001"
"21060000","0.6302000000000001"
"21240000","0.6411999999999999"
"21420000","0.6093999999999999"
"21600000","0.6184"
"21780000","0.6484000000000001"
"21960000","0.65"
"22140000","0.6204000000000001"
"22320000","0.6472"
"22500000","0.648"
"22680000","0.6412"
"22860000","0.6831999999999999"
"23040000","0.6426000000000001"
"23220000","0.6526000000000001"
"23400000","0.6417999999999999"
"23580000","0.6604"
"23760000","0.6728000000000001"
"23940000","0.6808"
"24120000","0.6672"
"24300000","0.6892"
"24480000","0.6742"
"24660000","0.6487999999999999"
"24840000","0.697"
"25020000","0.6955999999999999"
"25200000","0.6694"
"25380000","0.6715999999999999"
"25560000","0.6952"
"25740000","0.7002"
"25920000","0.6856"
"26100000","0.7075999999999999"
"26280000","0.6856"
"26460000","0.6971999999999999"
"26640000","0.7195999999999999"
"26820000","0.7132000000000001"
"27000000","0.7174"
"27180000","0.7001999999999999"
"27360000","0.7206"
"27540000","0.7068000000000001"
"27720000","0.7486"
"27900000","0.6952"
"28080000","0.6978"
"28260000","0.7223999999999999"
"28440000","0.6925999999999999"
"28620000","0.7308"
"28800000","0.7148000000000001"
"28980000","0.7102"
"29160000","0.7346000000000001"
"29340000","0.7486"
"29520000","0.7497999999999999"
"29700000","0.7514"
"29880000","0.7215999999999999"
"30060000","0.7562000000000001"
"30240000","0.7266"
"30420000","0.747"
"30600000","0.7492000000000001"
"30780000","0.7504"
"30960000","0.7577999999999999"
"31140000","0.7832"
"31320000","0.753"
"31500000","0.7384"
"31680000","0.7507999999999999"
"31860000","0.7592000000000001"
"32040000","0.7302000000000001"
"32220000","0.7666000000000001"
"32400000","0.78"
"32580000","0.7694000000000001"
"32760000","0.762"
"32940000","0.7533999999999998"
"33120000","0.744"
"33300000","0.7686000000000001"
"33480000","0.7996"
"33660000","0.7647999999999999"
"33840000","0.7487999999999999"
"34020000","0.7888"
"34200000","0.7774"
"34380000","0.7816000000000001"
"34560000","0.8024000000000001"
"34740000","0.804"
"34920000","0.7627999999999999"
"35100000","0.7821999999999999"
"35280000","0.8264"
"35460000","0.8"
"35640000","0.7944"
"35820000","0.8204"
"36000000","0.8096"
"36180000","0.815"
"36360000","0.811"
"36540000","0.8114000000000001"
"36720000","0.8332"
"36900000","0.817"
"37080000","0.8144"
"37260000","0.8226"
"37440000","0.8202"
"37620000","0.7986"
"37800000","0.831"
"37980000","0.7982"
"38160000","0.8082"
"38340000","0.8292"
"38520000","0.8255999999999999"
"38700000","0.8134000000000001"
"38880000","0.798"
"39060000","0.8248"
"39240000","0.8248"
"39420000","0.8178"
"39600000","0.7985999999999999"
"39780000","0.8162"
"39960000","0.8372"
"40140000","0.8394000000000001"
"40320000","0.8234"
"40500000","0.814"
"40680000","0.8306"
"40860000","0.8065999999999999"
"41040000","0.8334"
"41220000","0.8205999999999999"
"41400000","0.8316"
"41580000","0.8298"
"41760000","0.826"
"41940000","0.842"
"42120000","0.8082"
"42300000","0.8284000000000001"
"42480000","0.8304"
"42660000","0.8382000000000001"
"42840000","0.834"
"43020000","0.8344"
"43200000","0.8376"
"43380000","0.807"
"43560000","0.8271999999999999"
"43740000","0.8452000000000001"
"43920000","0.8318"
"44100000","0.8336"
"44280000","0.8306"
"44460000","0.847"
"44640000","0.8472000000000001"
"44820000","0.844"
"45000000","0.848"
"45180000","0.858"
"45360000","0.8478"
"45540000","0.8486"
