"Step","phase_sp_true_seed1 - 8cover_rate"
"105000","0.83805"
"210000","0.8361000000000001"
"315000","0.8269"
"420000","0.82265"
"525000","0.7959499999999999"
"630000","0.78555"
"735000","0.7594999999999998"
"840000","0.7676"
"945000","0.7484500000000001"
"1050000","0.7445499999999999"
"1155000","0.7655"
"1260000","0.76625"
"1365000","0.75765"
"1470000","0.75705"
"1575000","0.7865999999999999"
"1680000","0.7983000000000001"
"1785000","0.79925"
"1890000","0.8124"
"1995000","0.8038500000000001"
"2100000","0.8099000000000001"
"2205000","0.81835"
"2310000","0.8271499999999999"
"2415000","0.8231499999999998"
"2520000","0.8471"
"2625000","0.837"
"2730000","0.8336500000000001"
"2835000","0.8262999999999999"
"2940000","0.843"
"3045000","0.8316"
"3150000","0.8522000000000001"
"3255000","0.81585"
"3360000","0.81195"
"3465000","0.83705"
"3570000","0.8385999999999999"
"3675000","0.8339000000000001"
"3780000","0.8285"
"3885000","0.829"
"3990000","0.82725"
"4095000","0.6303499999999999"
"4200000","0.63885"
"4305000","0.6576"
"4410000","0.67775"
"4515000","0.7059500000000001"
"4620000","0.71795"
"4725000","0.719"
"4830000","0.7255499999999999"
"4935000","0.74305"
"5040000","0.73945"
"5145000","0.76875"
"5250000","0.7633"
"5355000","0.7693000000000001"
"5460000","0.7656499999999999"
"5565000","0.77075"
"5670000","0.7813"
"5775000","0.8012999999999999"
"5880000","0.7685"
"5985000","0.74405"
"6090000","0.73725"
"6195000","0.73885"
"6300000","0.7490999999999999"
"6405000","0.76995"
"6510000","0.78725"
"6615000","0.77675"
"6720000","0.7574500000000001"
"6825000","0.7566999999999999"
"6930000","0.744"
"7035000","0.7630999999999999"
"7140000","0.7820999999999999"
"7245000","0.7858499999999999"
"7350000","0.7808999999999999"
"7455000","0.8141999999999998"
"7560000","0.8024"
"7665000","0.8185500000000001"
"7770000","0.8067000000000001"
"7875000","0.8039499999999999"
"7980000","0.83165"
"8085000","0.8369500000000001"
"8190000","0.8091"
"8295000","0.79675"
"8400000","0.8303999999999999"
"8505000","0.8271499999999998"
"8610000","0.805"
"8715000","0.8304"
"8820000","0.84975"
"8925000","0.8528"
"9030000","0.8735499999999999"
"9135000","0.84215"
"9240000","0.84455"
"9345000","0.8353999999999998"
"9450000","0.84065"
"9555000","0.85505"
"9660000","0.872"
"9765000","0.8839"
"9870000","0.8813000000000001"
"9975000","0.8903500000000001"
"10080000","0.9077"
"10185000","0.90255"
"10290000","0.89715"
"10395000","0.90185"
"10500000","0.8971"
"10605000","0.88175"
"10710000","0.8996"
"10815000","0.89755"
"10920000","0.8870999999999999"
"11025000","0.8887"
"11130000","0.88085"
"11235000","0.883"
"11340000","0.8863499999999999"
"11445000","0.8927999999999999"
"11550000","0.8979"
"11655000","0.8903"
"11760000","0.90025"
"11865000","0.88905"
"11970000","0.8888499999999999"
"12075000","0.8876000000000001"
"12180000","0.90585"
"12285000","0.90105"
"12390000","0.9234"
"12495000","0.9192"
"12600000","0.92845"
"12705000","0.92525"
"12810000","0.90625"
"12915000","0.8944000000000001"
"13020000","0.90955"
"13125000","0.9202"
"13230000","0.8921999999999999"
"13335000","0.88485"
"13440000","0.90255"
"13545000","0.8907"
"13650000","0.89965"
"13755000","0.88545"
"13860000","0.8867999999999999"
"13965000","0.8906"
"14070000","0.90855"
"14175000","0.91795"
"14280000","0.91935"
"14385000","0.92545"
"14490000","0.914"
"14595000","0.9294"
"14700000","0.9266"
"14805000","0.92865"
"14910000","0.91955"
"15015000","0.9292"
"15120000","0.9319"
"15225000","0.9324"
"15330000","0.9425"
"15435000","0.927"
"15540000","0.92605"
"15645000","0.9321"
"15750000","0.935"
"15855000","0.9355"
"15960000","0.9398"
"16065000","0.9304"
"16170000","0.93205"
"16275000","0.9318"
"16380000","0.9238"
"16485000","0.9219"
"16590000","0.91405"
"16695000","0.93355"
"16800000","0.9322"
"16905000","0.9536"
"17010000","0.9569"
"17115000","0.968"
"17220000","0.97345"
"17325000","0.96015"
"17430000","0.95795"
"17535000","0.96515"
"17640000","0.9638"
"17745000","0.9572"
"17850000","0.9716"
"17955000","0.97165"
"18060000","0.96425"
"18165000","0.9546"
"18270000","0.9511"
"18375000","0.95755"
"18480000","0.95885"
"18585000","0.9649"
"18690000","0.96215"
"18795000","0.97365"
"18900000","0.897"
"19005000","0.90285"
"19110000","0.9122"
"19215000","0.9261"
"19320000","0.923"
"19425000","0.92755"
"19530000","0.93005"
"19635000","0.93525"
"19740000","0.92195"
"19845000","0.92465"
"19950000","0.91935"
"20055000","0.9246"
"20160000","0.92935"
"20265000","0.9392"
"20370000","0.93815"
"20475000","0.9166"
"20580000","0.9295"
"20685000","0.93405"
"20790000","0.93585"
"20895000","0.9351"
"21000000","0.93635"
"21105000","0.91825"
"21210000","0.9224"
"21315000","0.9302"
"21420000","0.93295"
"21525000","0.92985"
"21630000","0.93175"
"21735000","0.9484"
"21840000","0.9281"
"21945000","0.94025"
"22050000","0.94525"
"22155000","0.9437"
"22260000","0.94485"
"22365000","0.9473"
"22470000","0.94675"
"22575000","0.95175"
"22680000","0.94755"
"22785000","0.95065"
"22890000","0.95545"
"22995000","0.94025"
"23100000","0.9436"
"23205000","0.94805"
"23310000","0.95635"
"23415000","0.9491"
"23520000","0.96525"
"23625000","0.9586"
"23730000","0.9611"
"23835000","0.9604"
"23940000","0.95585"
"24045000","0.96665"
"24150000","0.9719"
"24255000","0.96885"
"24360000","0.96825"
"24465000","0.975"
"24570000","0.97565"
"24675000","0.9727"
"24780000","0.9752"
"24885000","0.97065"
"24990000","0.97325"
"25095000","0.97095"
"25200000","0.97665"
"25305000","0.9689"
"25410000","0.9737"
"25515000","0.96865"
"25620000","0.95895"
"25725000","0.97075"
"25830000","0.9635"
"25935000","0.9658"
"26040000","0.97205"
"26145000","0.97425"
"26250000","0.97325"
"26355000","0.97645"
"26460000","0.9781"
"26565000","0.98035"
"26670000","0.9812"
"26775000","0.97955"
"26880000","0.98175"
"26985000","0.97965"
"27090000","0.97545"
"27195000","0.9781"
"27300000","0.9861"
"27405000","0.96835"
"27510000","0.97695"
"27615000","0.96765"
"27720000","0.97215"
"27825000","0.9737"
"27930000","0.973"
"28035000","0.97"
"28140000","0.97615"
"28245000","0.9781"
"28350000","0.979"
"28455000","0.9799"
"28560000","0.94595"
"28665000","0.9392"
"28770000","0.9416"
"28875000","0.94165"
"28980000","0.93765"
"29085000","0.947"
"29190000","0.9495"
"29295000","0.95105"
"29400000","0.9311"
"29505000","0.9367"
"29610000","0.9393"
"29715000","0.9411"
"29820000","0.9418"
"29925000","0.94305"
"30030000","0.9348"
"30135000","0.93315"
"30240000","0.94665"
"30345000","0.9467"
"30450000","0.9354"
"30555000","0.93875"
"30660000","0.93615"
"30765000","0.9273"
"30870000","0.93325"
"30975000","0.93495"
"31080000","0.9435"
"31185000","0.94505"
"31290000","0.9469"
"31395000","0.9537"
"31500000","0.9445"
"31605000","0.95045"
