"Step","diversified_sp3_leftup_rightdown_seed2 - cover_rate_5step"
"105000","0.0033"
"210000","0.0054"
"315000","0.0070999999999999995"
"420000","0.0134"
"525000","0.0114"
"630000","0.0128"
"735000","0.0145"
"840000","0.0122"
"945000","0.0114"
"1050000","0.015"
"1155000","0.0184"
"1260000","0.0214"
"1365000","0.022900000000000004"
"1470000","0.0295"
"1575000","0.038200000000000005"
"1680000","0.0442"
"1785000","0.0707"
"1890000","0.0891"
"1995000","0.0847"
"2100000","0.1054"
"2205000","0.1096"
"2310000","0.1238"
"2415000","0.1355"
"2520000","0.1362"
"2625000","0.1817"
"2730000","0.198"
"2835000","0.2053"
"2940000","0.2146"
"3045000","0.2262"
"3150000","0.2199"
"3255000","0.2238"
"3360000","0.2072"
"3465000","0.2315"
"3570000","0.2231"
"3675000","0.2418"
"3780000","0.23810000000000003"
"3885000","0.2251"
"3990000","0.2324"
"4095000","0.2469"
"4200000","0.2597"
"4305000","0.23789999999999997"
"4410000","0.2394"
"4515000","0.2192"
"4620000","0.2195"
"4725000","0.2222"
"4830000","0.2398"
"4935000","0.221"
"5040000","0.2648"
"5145000","0.2273"
"5250000","0.26530000000000004"
"5355000","0.2477"
"5460000","0.2448"
"5565000","0.2547"
"5670000","0.26339999999999997"
"5775000","0.2435"
"5880000","0.2418"
"5985000","0.2479"
"6090000","0.25560000000000005"
"6195000","0.23789999999999997"
"6300000","0.2351"
"6405000","0.2557"
"6510000","0.2515"
"6615000","0.2385"
"6720000","0.2675"
"6825000","0.2523"
"6930000","0.2462"
"7035000","0.2535"
"7140000","0.2458"
"7245000","0.25470000000000004"
"7350000","0.273"
"7455000","0.2383"
"7560000","0.2485"
"7665000","0.2352"
"7770000","0.2277"
"7875000","0.25789999999999996"
"7980000","0.241"
"8085000","0.2528"
"8190000","0.2529"
"8295000","0.2485"
"8400000","0.252"
"8505000","0.2476"
"8610000","0.2466"
"8715000","0.23989999999999995"
"8820000","0.24120000000000005"
"8925000","0.2264"
"9030000","0.2235"
"9135000","0.2288"
"9240000","0.2391"
"9345000","0.2428"
"9450000","0.2335"
"9555000","0.2248"
"9660000","0.2304"
"9765000","0.23660000000000003"
"9870000","0.2631"
"9975000","0.2429"
"10080000","0.26480000000000004"
"10185000","0.2463"
"10290000","0.26880000000000004"
"10395000","0.2422"
"10500000","0.24490000000000003"
"10605000","0.2368"
"10710000","0.2435"
"10815000","0.23639999999999997"
"10920000","0.25570000000000004"
"11025000","0.24110000000000004"
"11130000","0.2288"
"11235000","0.2475"
"11340000","0.2544"
"11445000","0.2736"
