"Step","sl_reverse_finalversion_seed3 - cover_rate_5step"
"7000","0.25"
"14000","0.19"
"21000","0.25"
"28000","0.24"
"35000","0.232"
"42000","0.14800000000000002"
"49000","0.166"
"56000","0.252"
"63000","0.27399999999999997"
"70000","0.18600000000000003"
"77000","0.13"
"84000","0.208"
"91000","0.166"
"98000","0.156"
"105000","0.158"
"112000","0.236"
"119000","0.16399999999999998"
"126000","0.202"
"133000","0.118"
"140000","0.2"
"147000","0.168"
"154000","0.16"
"161000","0.17800000000000002"
"168000","0.17"
"175000","0.16"
"182000","0.15"
"189000","0.18"
"196000","0.15"
"203000","0.184"
"210000","0.19"
"217000","0.106"
"224000","0.19"
"231000","0.182"
"238000","0.18"
"245000","0.204"
"252000","0.27"
"259000","0.212"
"266000","0.226"
"273000","0.14"
"280000","0.22"
"287000","0.2"
"294000","0.17600000000000002"
"301000","0.142"
"308000","0.136"
"315000","0.196"
"322000","0.158"
"329000","0.2"
"336000","0.226"
"343000","0.24"
"350000","0.162"
"357000","0.18600000000000003"
"364000","0.114"
"371000","0.17600000000000002"
"378000","0.24"
"385000","0.204"
"392000","0.19"
"399000","0.144"
"406000","0.15600000000000003"
"413000","0.18600000000000003"
"420000","0.12"
"427000","0.234"
"434000","0.254"
"441000","0.19"
"448000","0.214"
"455000","0.18"
"462000","0.206"
"469000","0.108"
"476000","0.158"
"483000","0.14400000000000002"
"490000","0.238"
"497000","0.14"
"504000","0.194"
"511000","0.2"
"518000","0.2"
"525000","0.156"
"532000","0.206"
"539000","0.174"
"546000","0.14"
"553000","0.204"
"560000","0.172"
"567000","0.25"
"574000","0.18600000000000003"
"581000","0.158"
"588000","0.198"
"595000","0.106"
"602000","0.22"
"609000","0.21600000000000005"
"616000","0.18600000000000003"
"623000","0.174"
"630000","0.234"
"637000","0.14800000000000002"
"644000","0.2"
"651000","0.214"
"658000","0.16"
"665000","0.17"
"672000","0.194"
"679000","0.132"
"686000","0.14"
"693000","0.14400000000000002"
"700000","0.16"
"707000","0.17"
"714000","0.112"
"721000","0.134"
"728000","0.174"
"735000","0.18600000000000003"
"742000","0.174"
"749000","0.13"
"756000","0.13"
"763000","0.11"
"770000","0.126"
"777000","0.15200000000000002"
"784000","0.228"
"791000","0.17600000000000002"
"798000","0.146"
"805000","0.18600000000000003"
"812000","0.14800000000000002"
"819000","0.16"
"826000","0.05800000000000001"
"833000","0.16"
"840000","0.17"
"847000","0.13"
"854000","0.126"
"861000","0.21600000000000005"
"868000","0.168"
"875000","0.18"
"882000","0.13"
"889000","0.22"
"896000","0.154"
"903000","0.21"
"910000","0.194"
"917000","0.154"
"924000","0.15"
"931000","0.18"
"938000","0.214"
"945000","0.21"
"952000","0.09"
"959000","0.17"
"966000","0.196"
"973000","0.14"
"980000","0.13"
"987000","0.17600000000000002"
"994000","0.242"
"1001000","0.236"
"1008000","0.16"
"1015000","0.17"
"1022000","0.134"
"1029000","0.212"
