"Step","mix4n8_bound90_seed2 - 8cover_rate"
"25200000","0.695"
"25410000","0.61225"
"25620000","0.613"
"25830000","0.63175"
"26040000","0.65475"
"26250000","0.6625"
"26460000","0.62175"
"26670000","0.6385"
"26880000","0.62525"
"27090000","0.65525"
"27300000","0.65175"
"27510000","0.6665"
"27720000","0.67975"
"27930000","0.6905"
"28140000","0.70925"
"28350000","0.71275"
"28560000","0.697"
"28770000","0.7205"
"28980000","0.70825"
"29190000","0.69725"
"29400000","0.6795"
"29610000","0.664"
"29820000","0.6645"
"30030000","0.712"
"30240000","0.7145"
"30450000","0.72425"
"30660000","0.729"
"30870000","0.7335"
"31080000","0.7385"
"31290000","0.737"
"31500000","0.74025"
"31710000","0.76125"
"31920000","0.74975"
"32130000","0.74325"
"32340000","0.732"
"32550000","0.737"
"32760000","0.69125"
"32970000","0.70275"
"33180000","0.70275"
"33390000","0.725"
"33600000","0.73525"
"33810000","0.7525"
"34020000","0.7375"
"34230000","0.6545"
"34440000","0.66475"
"34650000","0.6815"
"34860000","0.69"
"35070000","0.67075"
"35280000","0.69725"
"35490000","0.68825"
"35700000","0.70025"
"35910000","0.732"
"36120000","0.72075"
"36330000","0.694"
"36540000","0.69575"
"36750000","0.7145"
"36960000","0.732"
"37170000","0.7345"
"37380000","0.7455"
"37590000","0.7385"
"37800000","0.74975"
"38010000","0.739"
"38220000","0.72775"
"38430000","0.74075"
"38640000","0.7535"
"38850000","0.7605"
"39060000","0.757"
"39270000","0.73225"
"39480000","0.728"
"39690000","0.7295"
"39900000","0.744"
"40110000","0.72675"
"40320000","0.75"
"40530000","0.76075"
"40740000","0.78525"
"40950000","0.755"
"41160000","0.75325"
"41370000","0.767"
"41580000","0.7745"
"41790000","0.77925"
"42000000","0.75125"
"42210000","0.72625"
"42420000","0.72825"
"42630000","0.73275"
"42840000","0.7295"
"43050000","0.717"
"43260000","0.74125"
"43470000","0.70825"
"43680000","0.6935"
"43890000","0.6615"
"44100000","0.6815"
"44310000","0.713"
"44520000","0.744"
"44730000","0.7335"
"44940000","0.7455"
"45150000","0.72125"
"45360000","0.76"
"45570000","0.7455"
"45780000","0.7335"
"45990000","0.7145"
"46200000","0.73175"
"46410000","0.73"
"46620000","0.7355"
"46830000","0.75225"
"47040000","0.72725"
"47250000","0.73175"
"47460000","0.73325"
"47670000","0.737"
"47880000","0.75075"
"48090000","0.76925"
"48300000","0.74"
"48510000","0.73825"
"48720000","0.74075"
"48930000","0.7055"
"49140000","0.6865"
"49350000","0.68575"
"49560000","0.69525"
"49770000","0.70125"
"49980000","0.7225"
"50190000","0.7135"
"50400000","0.70925"
"50610000","0.694"
"50820000","0.73175"
"51030000","0.70275"
"51240000","0.738"
"51450000","0.72175"
"51660000","0.7295"
"51870000","0.7235"
"52080000","0.72125"
"52290000","0.71175"
"52500000","0.70875"
"52710000","0.70875"
"52920000","0.6985"
"53130000","0.72825"
"53340000","0.7305"
"53550000","0.74725"
"53760000","0.732"
"53970000","0.724"
"54180000","0.753"
"54390000","0.73875"
