Step,decay_fre300_pb_minibatch8_woclip_seed3 - 4cover_rate
0,0.6652
341640,0.5934
683280,0.5886
1024920,0.5943
1366560,0.5947
1708200,0.5796
2049840,0.6192
2391480,0.6145
2733120,0.5964
3074760,0.5826
3416400,0.5855
3758040,0.6094
4099680,0.6141
4441320,0.617
4782960,0.626
5124600,0.6249
5466240,0.595
5807880,0.6417
6149520,0.6162
6491160,0.6281
6832800,0.6112
7174440,0.6297
7516080,0.6215
7857720,0.6302
8199360,0.6382
8541000,0.6425
8882640,0.6425
9224280,0.6229
9565920,0.6234
9907560,0.614
10249200,0.6296
10590840,0.6172
10932480,0.634
11274120,0.6556
11615760,0.6499
11957400,0.6519
12299040,0.6488
12640680,0.6579
12982320,0.6557
13323960,0.6592
13665600,0.6515
14007240,0.6638
14348880,0.6701
14690520,0.6606
15032160,0.657
15373800,0.6535
15715440,0.6609
16057080,0.6836
16398720,0.6659
16740360,0.6745
17082000,0.6698
17423640,0.6755
17765280,0.6642
18106920,0.6439
18448560,0.6687
18790200,0.6792
19131840,0.6787
19473480,0.6716
19815120,0.6862
20156760,0.7088
20498400,0.7086
20840040,0.7352
21181680,0.686
21523320,0.7096
21864960,0.7027
22206600,0.691
22548240,0.7056
22889880,0.6982
23231520,0.6861
23573160,0.6792
23914800,0.6734
24256440,0.7104
24598080,0.7214
24939720,0.7332
25281360,0.7209
25623000,0.7413
25964640,0.7405
26306280,0.7287
26647920,0.7083
26989560,0.7305
27331200,0.725
27672840,0.7291
28014480,0.7464
28356120,0.7483
28697760,0.7426
29039400,0.7369
29381040,0.7357
29722680,0.7455
30064320,0.7333
30405960,0.7367
30747600,0.7518
31089240,0.7292
31430880,0.7453
31772520,0.7309
32114160,0.7503
32455800,0.7619
32797440,0.7637
33139080,0.7567
33480720,0.7678
33822360,0.7626
34164000,0.7471
34488000,0.7595
34812000,0.7462
35136000,0.7416
35460000,0.7368
35784000,0.7305
36108000,0.7327
36432000,0.7528
36756000,0.7455
37080000,0.7725
37404000,0.7584
37728000,0.7824
38052000,0.7516
38376000,0.759
38700000,0.7737
39024000,0.7635
39348000,0.7761
39672000,0.7631
39996000,0.7768
40320000,0.7781
40644000,0.7756
40968000,0.7925
41292000,0.7867
41616000,0.7859
41940000,0.788
42264000,0.7943
42588000,0.7949
42912000,0.7968
43236000,0.7898
43560000,0.7958
43884000,0.7907
44208000,0.7919
44532000,0.7878
44856000,0.7941
45180000,0.7943
45504000,0.7886
45828000,0.793
46152000,0.7984
46476000,0.7824
46800000,0.7785
47124000,0.7938
47448000,0.7944
47772000,0.8051
48096000,0.7892
48420000,0.7931
48744000,0.7953
49068000,0.8005
49392000,0.8033
49716000,0.8038
50040000,0.8177
50364000,0.7967
50688000,0.8195
51012000,0.7908
51336000,0.7964
51660000,0.8006
51984000,0.8055
52308000,0.8119
52632000,0.7973
52956000,0.7894
53280000,0.803
53604000,0.8033
53928000,0.7944
54252000,0.8009
54576000,0.8018
54900000,0.7979
55224000,0.803
55548000,0.8244
55872000,0.8415
56196000,0.8243
56520000,0.8158
56844000,0.8073
57168000,0.82
57492000,0.8236
57816000,0.8277
58140000,0.8174
58464000,0.8083
58788000,0.8107
59112000,0.832
59436000,0.8245
59760000,0.8428
60084000,0.8286
60408000,0.8198
60732000,0.8159
61056000,0.8342
61380000,0.8257
61704000,0.8241
62028000,0.8235
62352000,0.8302
62676000,0.8159
63000000,0.8364
63324000,0.8233
63648000,0.8193
63972000,0.8251
64296000,0.8186
64620000,0.8124
64944000,0.8369
65268000,0.8165
65592000,0.8187
65916000,0.8206
66240000,0.8156
66564000,0.8183
66870360,0.8073
67176720,0.8132
67483080,0.8282
67789440,0.8106
68095800,0.8319
68402160,0.826
68708520,0.8261
69014880,0.8278
69321240,0.8259
69627600,0.836
69933960,0.8267
70240320,0.8332
70546680,0.8343
70853040,0.8283
71159400,0.8181
71465760,0.8313
71772120,0.8108
72078480,0.8201
72384840,0.8178
72691200,0.8261
72997560,0.8246
73303920,0.8272
73610280,0.8159
73916640,0.8032
74223000,0.8131
74529360,0.8132
74835720,0.8088
75142080,0.8075
75448440,0.7979
75754800,0.7919
76061160,0.8121
76367520,0.8214
