"Step","reverse_pb_eval1_parentsampling_seed1 - cover_rate_5step","reverse_pb_eval1_parentsampling_seed2 - cover_rate_5step","reverse_pb_eval1_parentsampling_seed3 - cover_rate_5step"
"10380000","0.022","0.018","0.018"
"10440000","0.011","0.007","0.015"
"10500000","0.0176","0.017","0.016"
"10560000","0.013","0.017","0.016"
"10620000","0.011","0.015","0.02"
"10680000","0.016","0.011","0.011"
"10740000","0.023","0.021","0.014"
"10800000","0.017","0.02","0.026"
"10860000","0.015","0.012","0.01"
"10920000","0.015","0.016","0.013"
"10980000","0.022","0.021","0.02"
"11040000","0.014","0.011","0.014"
"11100000","0.017","0.014","0.027"
"11160000","0.012","0.012","0.006"
"11220000","0.017","0.014","0.019"
"11280000","0.016","0.012","0.012"
"11340000","0.013","0.015","0.008"
"11400000","0.023","0.016","0.007"
"11460000","0.015","0.021","0.013"
"11520000","0.015","0.02","0.012"
"11580000","0.022","0.009","0.008"
"11640000","0.015","0.011","0.0156"
"11700000","0.012","0.019","0.017"
"11760000","0.012","0.016","0.012"
"11820000","0.022","0.017","0.015"
"11880000","0.013","0.019","0.013"
"11940000","0.02","0.016","0.013"
"12000000","0.014","0.017","0.016"
"12060000","0.016","0.026","0.018"
"12120000","0.024","0.023","0.018"
"12180000","0.016","0.019","0.015"
"12240000","0.019600000000000003","0.013","0.02"
"12300000","0.011","0.023","0.015"
"12360000","0.018","0.018","0.008"
"12420000","0.012","0.023","0.014"
"12480000","0.018","0.017","0.021"
"12540000","0.018","0.011","0.019"
"12600000","0.014","0.017","0.017"
"12660000","0.019","0.018","0.016"
"12720000","0.014","0.017","0.018"
"12780000","0.014","0.019","0.012"
"12840000","0.014","0.021","0.014"
"12900000","0.013","0.021","0.028"
"12960000","0.016","0.014","0.011"
"13020000","0.01","0.014","0.018"
"13080000","0.008","0.016","0.018"
"13140000","0.018","0.017","0.016"
"13200000","0.015","0.016","0.021"
"13260000","0.017","0.025","0.016"
"13320000","0.021","0.019","0.015"
"13380000","0.009","0.021","0.017"
"13440000","0.02","0.023","0.016"
"13500000","0.02","0.022","0.016"
"13560000","0.0228","0.016","0.018"
"13620000","0.017","0.016","0.013"
"13680000","0.017","0.017","0.02"
"13740000","0.028","0.021","0.025"
"13800000","0.021","0.014","0.02"
"13860000","0.013","0.018","0.019"
"13920000","0.017","0.012","0.016"
"13980000","0.019","0.017","0.02"
"14040000","0.025","0.02","0.014"
"14100000","0.022","0.015","0.021"
"14160000","0.011","0.017","0.017"
"14220000","0.014","0.016","0.015"
"14280000","0.027","0.012","0.02"
"14340000","0.014","0.01","0.013"
"14400000","0.018","0.022","0.024"
"14460000","0.0152","0.017","0.015"
"14520000","0.017","0.008","0.014"
"14580000","0.014","0.011","0.016"
"14640000","0.021","0.014","0.018"
"14700000","0.016","0.019","0.027"
"14760000","0.016","0.012","0.013"
"14820000","0.012","0.015","0.012"
"14880000","0.021","0.015","0.022"
"14940000","0.017","0.015","0.015"
"15000000","0.017","0.016","0.017"
"15060000","0.0188","0.016","0.011"
"15120000","0.024","0.017","0.028"
"15180000","0.02","0.018","0.015"
"15240000","0.013","0.019","0.013"
"15300000","0.014","0.016","0.012"
"15360000","0.02","0.019","0.02"
"15420000","0.014","0.014","0.023"
"15480000","0.02","0.011","0.026"
"15540000","0.011","0.017","0.012"
"15600000","0.012","0.017","0.017"
"15660000","0.012","0.011","0.021"
"15720000","0.022","0.014","0.011"
"15780000","0.017","0.024","0.012"
"15840000","0.02","0.026","0.02"
"15900000","0.018","0.016","0.012"
"15960000","0.02","0.011","0.0178"
"16020000","0.018","0.008","0.023"
"16080000","0.02","0.015","0.018"
"16140000","0.017","0.023","0.023"
"16200000","0.015","0.012","0.019"
"16260000","0.013","0.012","0.019"
"16320000","0.018","0.017","0.016"
"16380000","0.014","0.018","0.017"
"16440000","0.022","0.018","0.014"
"16500000","0.015","0.015","0.016"
"16560000","0.014","0.018","0.017"
"16620000","0.02","0.021","0.02"
"16680000","0.026","0.017","0.024"
"16740000","0.018","0.025","0.021"
"16800000","0.018","0.015","0.026"
"16860000","0.022","0.019","0.026"
"16920000","0.02","0.009","0.02"
"16980000","0.021","0.013","0.022"
"17040000","0.026","0.021","0.01"
"17100000","0.024","0.017","0.023"
"17160000","0.025","0.016","0.014"
"17220000","0.021","0.018","0.02"
"17280000","0.019","0.024","0.015"
"17340000","0.008","0.016","0.023"
"17400000","0.012","0.013","0.02"
"17460000","0.015","0.013","0.008"
"17520000","0.018","0.011","0.021"
"17580000","0.023","0.018","0.018"
"17640000","0.019","0.013","0.016"
"17700000","0.024","0.026","0.009"
"17760000","0.021","0.022","0.016"
"17820000","0.017","0.011","0.026"
"17880000","0.023","0.012","0.017"
"17940000","0.019","0.026","0.017"
"18000000","0.014","0.0166","0.013"
"18060000","0.009","0.021","0.013"
"18120000","0.01","0.02","0.021"
"18180000","0.015","0.023","0.012"
"18240000","0.017","0.013","0.018"
"18300000","0.013","0.015","0.017"
"18360000","0.01","0.015","0.019"
"18420000","0.013","0.018","0.015"
"18480000","0.011","0.016","0.014"
"18540000","0.02","0.019","0.01"
"18600000","0.014","0.016","0.014"
"18660000","0.02","0.019","0.014"
"18720000","0.012","0.016","0.017"
"18780000","0.017","0.02","0.017"
"18840000","0.008","0.019","0.01"
"18900000","0.018","0.017","0.016"
"18960000","0.019","0.018","0.012"
"19020000","0.007","0.024","0.02"
"19080000","0.019","0.014","0.014"
"19140000","0.014","0.01","0.024"
"19200000","0.017","0.01","0.013"
"19260000","0.025","0.009","0.014"
"19320000","0.017","0.017","0.018"
"19380000","0.014","0.022","0.016"
"19440000","0.017","0.021","0.012"
"19500000","0.013","0.013","0.015"
"19560000","0.016","0.014","0.015"
"19620000","0.017","0.021","0.018"
"19680000","0.017","0.016","0.018"
"19740000","0.013","0.013","0.021"
"19800000","0.021","0.023","0.024"
"19860000","0.016","0.018","0.014"
"19920000","0.012","0.018","0.019"
"19980000","0.022","0.023","0.016"
"20040000","0.01","0.016","0.02"
"20100000","0.012","0.018","0.018"
"20160000","0.013","0.016","0.015"
"20220000","0.017","0.016","0.014"
"20280000","0.016","0.015","0.016"
"20340000","0.011","0.013","0.021"
"20400000","0.024","0.015","0.02"
"20460000","0.014","0.018","0.016"
"20520000","0.023","0.02","0.027"
"20580000","0.013","0.021","0.025"
"20640000","0.02","0.019","0.009"
"20700000","0.011","0.013","0.016"
"20760000","0.022","0.0128","0.017"
"20820000","0.013","0.023","0.017"
"20880000","0.018","0.024","0.012"
"20940000","0.023","0.013","0.017"
"21000000","0.031","0.024","0.019"
"21060000","0.021","0.019","0.017"
"21120000","0.02","0.017","0.015"
"21180000","0.015","0.021","0.02"
"21240000","0.015","0.019","0.014"
"21300000","0.011","0.02","0.018"
"21360000","0.015","0.024","0.016"
"21420000","0.02","0.013","0.019"
"21480000","0.02","0.021","0.015"
"21540000","0.031","0.017","0.029"
"21600000","0.022","0.018","0.016"
"21660000","0.019","0.017","0.018"
"21720000","0.016","0.015","0.014"
"21780000","0.019","0.011","0.018"
"21840000","0.022","0.021","0.016"
"21900000","0.018","0.014","0.019"
"21960000","0.032","0.018","0.018"
"22020000","0.027","0.018","0.018"
"22080000","0.016","0.024","0.018"
"22140000","0.022","0.027","0.026"
"22200000","0.025","0.019","0.014"
"22260000","0.023","0.012","0.019"
"22320000","0.0182","0.022","0.017"
"22380000","0.0166","0.025","0.011"
"22440000","0.023","0.018","0.0214"
"22500000","0.0238","0.017","0.013"
"22560000","0.02","0.02","0.011"
"22620000","0.017","0.027","0.02"
"22680000","0.023","0.019","0.017"
"22740000","0.022","0.019","0.022"
"22800000","0.024","0.018","0.01"
"22860000","0.013","0.02","0.023"
"22920000","0.029","0.016","0.022"
"22980000","0.0242","0.016","0.023"
"23040000","0.027","0.022","0.017"
"23100000","0.021","0.018","0.019"
"23160000","0.014","0.017","0.017"
"23220000","0.028","0.015","0.014"
"23280000","0.021","0.023","0.021"
"23340000","0.022","0.02","0.017"
"23400000","0.021","0.017","0.018"
"23460000","0.023","0.022","0.021"
"23520000","0.0264","0.013","0.024"
"23580000","0.024","0.018","0.016"
"23640000","0.021","0.018","0.015"
"23700000","0.024","0.024","0.03"
"23760000","0.0244","0.024","0.023"
"23820000","0.031","0.016","0.013"
"23880000","0.032","0.029","0.028"
"23940000","0.0356","0.023","0.018"
"24000000","0.0286","0.011","0.021"
"24060000","0.0402","0.021","0.022"
"24120000","0.033","0.017","0.016"
"24180000","0.041","0.02","0.024"
"24240000","0.0416","0.0224","0.017"
"24300000","0.031","0.014","0.014"
"24360000","0.038","0.014","0.019"
"24420000","0.0364","0.018","0.02"
"24480000","0.036","0.022","0.015"
"24540000","0.0452","0.018","0.022"
"24600000","0.0402","0.033","0.016"
"24660000","0.0352","0.017","0.018"
"24720000","0.0456","0.015","0.024"
"24780000","0.0308","0.017","0.016"
"24840000","0.056","0.017","0.019"
"24900000","0.0538","0.013","0.019"
"24960000","0.054799999999999995","0.023","0.017"
"25020000","0.0434","0.0254","0.01"
"25080000","0.0504","0.009","0.021"
"25140000","0.0546","0.021","0.018"
"25200000","0.069","0.021","0.027"
"25260000","0.045","0.024","0.016"
"25320000","0.061","0.023","0.028"
"25380000","0.05","0.023","0.016"
"25440000","0.061","0.024","0.019"
"25500000","0.0546","0.011","0.013"
"25560000","0.0562","0.014","0.017"
"25620000","0.0674","0.034","0.014"
"25680000","0.064","0.01","0.019"
"25740000","0.05859999999999999","0.023","0.015"
"25800000","0.0594","0.023","0.022"
"25860000","0.06620000000000001","0.01","0.019"
"25920000","0.0692","0.018","0.022"
"25980000","0.068","0.029","0.023"
"26040000","0.0596","0.018","0.024"
"26100000","0.0718","0.022","0.016"
"26160000","0.063","0.024","0.021"
"26220000","0.0752","0.016","0.013"
"26280000","0.0638","0.0204","0.014"
"26340000","0.06620000000000001","0.019","0.023"
"26400000","0.0594","0.022","0.027"
"26460000","0.0746","0.029","0.017"
"26520000","0.07959999999999999","0.025","0.027"
"26580000","0.063","0.022","0.022"
"26640000","0.07","0.018","0.017"
"26700000","0.0716","0.021","0.031"
"26760000","0.07619999999999999","0.022","0.026"
"26820000","0.078","0.025","0.026"
"26880000","0.0846","0.019","0.038"
"26940000","0.0658","0.018","0.02"
"27000000","0.0788","0.0198","0.028"
"27060000","0.0874","0.0258","0.03"
"27120000","0.105","0.023","0.021"
"27180000","0.0856","0.018","0.03"
"27240000","0.0866","0.021","0.02"
"27300000","0.0884","0.035","0.035"
"27360000","0.0876","0.028","0.03"
"27420000","0.088","0.025","0.036"
"27480000","0.0904","0.028","0.037"
"27540000","0.0904","0.03","0.034"
"27600000","0.108","0.032","0.029"
"27660000","0.0922","0.023","0.029"
"27720000","0.099","0.025","0.0282"
"27780000","0.084","0.031","0.036"
"27840000","0.09","0.034","0.0312"
"27900000","0.0912","0.0366","0.031"
"27960000","0.0952","0.032","0.038"
"28020000","0.1","0.039200000000000006","0.0502"
"28080000","0.102","0.0358","0.032"
"28140000","0.097","0.0294","0.0446"
"28200000","0.0954","0.0286","0.032"
"28260000","0.13","0.0304","0.046"
"28320000","0.1072","0.04","0.044"
"28380000","0.108","0.039","0.049"
"28440000","0.1154","0.029","0.046200000000000005"
"28500000","0.1138","0.0264","0.052"
"28560000","0.115","0.037","0.042"
"28620000","0.0926","0.036","0.034"
"28680000","0.123","0.0346","0.038"
"28740000","0.1124","0.033","0.0476"
"28800000","0.1136","0.028","0.043"
"28860000","0.1204","0.034","0.047"
"28920000","0.1156","0.039200000000000006","0.042"
"28980000","0.1174","0.038","0.059"
"29040000","0.116","0.0362","0.053"
"29100000","0.1222","0.0354","0.059800000000000006"
"29160000","0.1246","0.0408","0.0492"
"29220000","0.1244","0.038200000000000005","0.0572"
"29280000","0.1068","0.0416","0.059"
"29340000","0.1216","0.036","0.052399999999999995"
"29400000","0.123","0.0396","0.051"
"29460000","0.1078","0.047","0.049"
"29520000","0.109","0.042","0.0506"
"29580000","0.1204","0.0356","0.056"
"29640000","0.1334","0.0464","0.0564"
"29700000","0.1156","0.0356","0.062"
"29760000","0.1194","0.037","0.065"
"29820000","0.1096","0.045","0.057"
"29880000","0.1336","0.0452","0.066"
"29940000","0.1222","0.043","0.046"
"30000000","0.1288","0.047200000000000006","0.055"
"30060000","0.12819999999999998","0.039","0.0698"
"30120000","0.1222","0.0516","0.07440000000000001"
"30180000","0.1372","0.0442","0.082"
"30240000","0.1248","0.0526","0.05940000000000001"
"30300000","0.1166","0.0594","0.068"
"30360000","0.1166","0.06","0.077"
"30420000","0.1412","0.053","0.073"
"30480000","0.1342","0.0544","0.067"
"30540000","0.1574","0.0492","0.057"
"30600000","0.1468","0.0662","0.06720000000000001"
"30660000","0.1454","0.05140000000000001","0.066"
"30720000","0.1192","0.0696","0.07940000000000001"
"30780000","0.1258","0.071","0.079"
"30840000","0.1362","0.0718","0.107"
"30900000","0.118","0.0702","0.07880000000000001"
"30960000","0.1402","0.078","0.075"
"31020000","0.15280000000000002","0.062","0.071"
"31080000","0.152","0.0702","0.104"
"31140000","0.1452","0.0712","0.0976"
"31200000","0.1446","0.076","0.096"
"31260000","0.155","0.0718","0.0942"
"31320000","0.14820000000000003","0.0624","0.091"
"31380000","0.1362","0.0658","0.098"
"31440000","0.14","0.0704","0.094"
"31500000","0.1266","0.0732","0.0974"
"31560000","0.1232","0.0746","0.1052"
"31620000","0.142","0.0818","0.09"
"31680000","0.159","0.07680000000000001","0.103"
"31740000","0.142","0.06880000000000001","0.0836"
"31800000","0.142","0.08020000000000001","0.1072"
"31860000","0.1406","0.0822","0.0828"
"31920000","0.134","0.06720000000000001","0.1038"
"31980000","0.1628","0.07940000000000001","0.1052"
"32040000","0.15239999999999998","0.0836","0.0996"
"32100000","0.16660000000000005","0.0722","0.092"
"32160000","0.1652","0.0668","0.1014"
"32220000","0.1474","0.0762","0.088"
"32280000","0.1618","0.0896","0.087"
"32340000","0.1664","0.0914","0.103"
"32400000","0.158","0.089","0.094"
"32460000","0.15419999999999998","0.0668","0.093"
"32520000","0.165","0.0944","0.1272"
"32580000","0.1462","0.085","0.1078"
"32640000","0.153","0.0866","0.099"
"32700000","0.169","0.0866","0.0962"
"32760000","0.1452","0.097","0.1018"
"32820000","0.15319999999999998","0.084","0.0952"
"32880000","0.165","0.11619999999999998","0.095"
"32940000","0.1594","0.1096","0.1"
"33000000","0.1662","0.0992","0.1232"
"33060000","0.1772","0.0986","0.104"
"33120000","0.154","0.0762","0.095"
"33180000","0.169","0.0988","0.0814"
"33240000","0.1554","0.1046","0.0962"
"33300000","0.15","0.115","0.097"
"33360000","0.14660000000000004","0.0964","0.107"
"33420000","0.16119999999999998","0.1036","0.0902"
"33480000","0.15660000000000002","0.1068","0.1098"
"33540000","0.167","0.135","0.0874"
"33600000","0.1668","0.1006","0.124"
"33660000","0.17020000000000002","0.0948","0.0916"
"33720000","0.1638","0.1098","0.1126"
"33780000","0.159","0.0876","0.0922"
"33840000","0.171","0.0898","0.1076"
"33900000","0.18320000000000003","0.1106","0.1054"
"33960000","0.1732","0.0896","0.1156"
"34020000","0.1738","0.1056","0.1138"
"34080000","0.1822","0.12519999999999998","0.1084"
"34140000","0.176","0.1162","0.124"
"34200000","0.1792","0.1204","0.1004"
"34260000","0.1802","0.118","0.1084"
"34320000","0.1868","0.0998","0.114"
"34380000","0.17039999999999997","0.1112","0.117"
"34440000","0.1638","0.1204","0.1264"
"34500000","0.1816","0.1336","0.1092"
"34560000","0.1778","0.108","0.1174"
"34620000","0.1854","0.12760000000000002","0.1196"
"34680000","0.2006","0.1444","0.11"
"34740000","0.168","0.1254","0.109"
"34800000","0.1994","0.1222","0.1084"
"34860000","0.1888","0.115","0.1058"
"34920000","0.1808","0.1182","0.123"
"34980000","0.16419999999999998","0.1332","0.1024"
"35040000","0.1862","0.132","0.1254"
"35100000","0.1782","0.125","0.107"
"35160000","0.1838","0.1244","0.113"
"35220000","0.191","0.13019999999999998","0.118"
"35280000","0.1742","0.10480000000000002","0.1288"
"35340000","0.17279999999999998","0.1296","0.1248"
"35400000","0.16739999999999997","0.1156","0.1384"
"35460000","0.15319999999999998","0.1278","0.1262"
"35520000","0.1912","0.1338","0.121"
"35580000","0.168","0.1212","0.1264"
"35640000","0.179","0.13240000000000002","0.1218"
"35700000","0.1872","0.1248","0.1176"
"35760000","0.2046","0.1342","0.133"
"35820000","0.2118","0.1124","0.13119999999999998"
"35880000","0.2056","0.1038","0.124"
"35940000","0.197","0.118","0.1256"
"36000000","0.185","0.13440000000000002","0.1354"
"36060000","0.1802","0.1386","0.1272"
"36120000","0.1858","0.11719999999999998","0.1398"
"36180000","0.2042","0.1204","0.138"
"36240000","0.1992","0.1366","0.136"
"36300000","0.2136","0.15819999999999998","0.138"
"36360000","0.203","0.12360000000000002","0.1208"
"36420000","0.2022","0.1258","0.1446"
"36480000","0.2058","0.1154","0.1222"
"36540000","0.1946","0.1406","0.15039999999999998"
"36600000","0.1918","0.1224","0.124"
"36660000","0.194","0.1392","0.12919999999999998"
"36720000","0.1926","0.1146","0.153"
"36780000","0.212","0.135","0.13240000000000002"
"36840000","0.1924","0.12940000000000002","0.133"
"36900000","0.2176","0.1406","0.1432"
"36960000","0.2162","0.1186","0.1484"
"37020000","0.2056","0.1164","0.1354"
"37080000","0.2042","0.13739999999999997","0.133"
"37140000","0.1776","0.1362","0.1404"
"37200000","0.20239999999999997","0.1144","0.124"
"37260000","0.1722","0.11619999999999998","0.1378"
"37320000","0.2116","0.1426","0.134"
"37380000","0.2038","0.1284","0.157"
"37440000","0.1992","0.1248","0.155"
"37500000","0.1984","0.1334","0.167"
"37560000","0.2046","0.138","0.146"
"37620000","0.1954","0.1384","0.1424"
"37680000","0.2096","0.15619999999999998","0.15880000000000002"
"37740000","0.198","0.15319999999999998","0.144"
"37800000","0.211","0.1204","0.1396"
"37860000","0.1954","0.1432","0.14"
"37920000","0.188","0.1478","0.1272"
"37980000","0.1938","0.1434","0.1364"
"38040000","0.199","0.1354","0.1526"
"38100000","0.2098","0.12860000000000002","0.1464"
"38160000","0.188","0.15880000000000002","0.16"
"38220000","0.2046","0.1514","0.14759999999999998"
"38280000","0.2012","0.14759999999999998","0.15580000000000002"
"38340000","0.2058","0.13219999999999998","0.16939999999999997"
"38400000","0.2036","0.1376","0.12960000000000002"
"38460000","0.2038","0.1382","0.174"
"38520000","0.2024","0.1346","0.172"
"38580000","0.1738","0.1446","0.15480000000000002"
"38640000","0.2122","0.1324","0.1636"
"38700000","0.192","0.1664","0.15480000000000002"
"38760000","0.2004","0.1462","0.15819999999999998"
"38820000","0.2192","0.132","0.161"
"38880000","0.2096","0.1402","0.169"
"38940000","0.198","0.1432","0.1852"
"39000000","0.2026","0.1512","0.1748"
"39060000","0.2402","0.1422","0.1728"
"39120000","0.1988","0.14759999999999998","0.1874"
"39180000","0.2132","0.1412","0.183"
"39240000","0.2018","0.15919999999999998","0.156"
"39300000","0.2124","0.129","0.179"
"39360000","0.203","0.1546","0.175"
"39420000","0.2052","0.1388","0.1636"
"39480000","0.217","0.15480000000000002","0.1838"
"39540000","0.1952","0.1192","0.164"
"39600000","0.2066","0.1596","0.1462"
"39660000","0.20160000000000003","0.137","0.1712"
"39720000","0.2086","0.1512","0.176"
"39780000","0.2038","0.164","0.1696"
"39840000","0.2374","0.1444","0.1848"
"39900000","0.223","0.1228","0.2038"
"39960000","0.2092","0.1396","0.155"
"40020000","0.2164","0.15539999999999998","0.1694"
"40080000","0.2036","0.1414","0.1932"
"40140000","0.2028","0.1406","0.19860000000000003"
"40200000","0.2456","0.1514","0.181"
"40260000","0.1992","0.14820000000000003","0.1604"
"40320000","0.2234","0.1256","0.1998"
"40380000","0.2424","0.1544","0.1868"
"40440000","0.228","0.1298","0.17"
"40500000","0.224","0.1354","0.188"
"40560000","0.2438","0.1366","0.174"
"40620000","0.2236","0.1474","0.1884"
"40680000","0.2228","0.1484","0.1778"
"40740000","0.2154","0.167","0.1714"
"40800000","0.226","0.1398","0.1714"
"40860000","0.2154","0.1358","0.1664"
"40920000","0.2226","0.1418","0.189"
"40980000","0.2338","0.1362","0.1838"
"41040000","0.2318","0.134","0.147"
"41100000","0.2418","0.1214","0.1778"
"41160000","0.2288","0.15380000000000002","0.14759999999999998"
"41220000","0.2334","0.127","0.1422"
"41280000","0.25620000000000004","0.154","0.162"
"41340000","0.2244","0.139","0.1638"
"41400000","0.2144","0.149","0.1672"
"41460000","0.243","0.1422","0.1682"
"41520000","0.227","0.15419999999999998","0.1722"
"41580000","0.2302","0.1564","0.1456"
"41640000","0.234","0.14439999999999997","0.167"
"41700000","0.2424","0.1608","0.1652"
"41760000","0.227","0.15480000000000002","0.147"
"41820000","0.2234","0.1672","0.1216"
"41880000","0.2178","0.16679999999999998","0.148"
"41940000","0.24","0.16019999999999998","0.1388"
"42000000","0.2266","0.162","0.1216"
"42060000","0.2128","0.1446","0.129"
"42120000","0.2218","0.14759999999999998","0.1224"
"42180000","0.24720000000000003","0.1636","0.129"
"42240000","0.1994","0.18","0.1512"
"42300000","0.2118","0.1676","0.139"
"42360000","0.2106","0.157","0.1372"
"42420000","0.219","0.1742","0.1174"
"42480000","0.228","0.1636","0.159"
"42540000","0.218","0.1826","0.128"
