"Step","reverse_pb_4agents_seed2 - 4cover_rate_5step"
"60000","0.068"
"120000","0.0575"
"180000","0.0655"
"240000","0.065"
"300000","0.0635"
"360000","0.0555"
"420000","0.074"
"480000","0.0585"
"540000","0.0605"
"600000","0.0665"
"660000","0.063"
"720000","0.0695"
"780000","0.058"
"840000","0.0615"
"900000","0.056"
"960000","0.06420000000000001"
"1020000","0.0635"
"1080000","0.062"
"1140000","0.067"
"1200000","0.065"
"1260000","0.0635"
"1320000","0.0625"
"1380000","0.0735"
"1440000","0.0765"
"1500000","0.0655"
"1560000","0.069"
"1620000","0.061"
"1680000","0.0635"
"1740000","0.0595"
"1800000","0.0665"
"1860000","0.063"
"1920000","0.072"
"1980000","0.0725"
"2040000","0.064"
"2100000","0.072"
"2160000","0.0635"
"2220000","0.064"
"2280000","0.0525"
"2340000","0.0685"
"2400000","0.0585"
"2460000","0.058"
"2520000","0.073"
"2580000","0.0775"
"2640000","0.065"
"2700000","0.068"
"2760000","0.0675"
"2820000","0.075"
"2880000","0.066"
"2940000","0.0605"
"3000000","0.0702"
"3060000","0.075"
"3120000","0.071"
"3180000","0.0655"
"3240000","0.0714"
"3300000","0.065"
"3360000","0.0615"
"3420000","0.061"
"3480000","0.0655"
"3540000","0.0675"
"3600000","0.0685"
"3660000","0.0735"
"3720000","0.0723"
"3780000","0.062299999999999994"
"3840000","0.0675"
"3900000","0.065"
"3960000","0.0589"
"4020000","0.0605"
"4080000","0.054"
"4140000","0.074"
"4200000","0.07959999999999999"
"4260000","0.061700000000000005"
"4320000","0.0687"
"4380000","0.0655"
"4440000","0.0785"
"4500000","0.0745"
"4560000","0.0725"
"4620000","0.066"
"4680000","0.069"
"4740000","0.0675"
"4800000","0.0775"
"4860000","0.0725"
"4920000","0.0655"
"4980000","0.073"
"5040000","0.07379999999999999"
"5100000","0.059"
"5160000","0.0727"
"5220000","0.069"
"5280000","0.0674"
"5340000","0.074"
"5400000","0.06520000000000001"
"5460000","0.064"
"5520000","0.0585"
"5580000","0.0645"
"5640000","0.0685"
"5700000","0.068"
"5760000","0.0725"
"5820000","0.0675"
"5880000","0.0755"
"5940000","0.0706"
"6000000","0.07"
