"Step","sp_min0.75_seed3 - cover_rate_1step"
"105000","0"
"210000","0"
"315000","0.0005"
"420000","0.002"
"525000","0.0025"
"630000","0.004"
"735000","0.0055"
"840000","0.0095"
"945000","0.0095"
"1050000","0.0155"
"1155000","0.0895"
"1260000","0.1495"
"1365000","0.183"
"1470000","0.28"
"1575000","0.353"
"1680000","0.3755"
"1785000","0.3985"
"1890000","0.4035"
"1995000","0.424"
"2100000","0.377"
"2205000","0.4"
"2310000","0.3855"
"2415000","0.3795"
"2520000","0.393"
"2625000","0.394"
"2730000","0.3855"
"2835000","0.3715"
"2940000","0.385"
"3045000","0.391"
"3150000","0.3815"
"3255000","0.3935"
"3360000","0.3845"
"3465000","0.416"
"3570000","0.392"
"3675000","0.4295"
"3780000","0.3925"
"3885000","0.428"
"3990000","0.4155"
"4095000","0.443"
"4200000","0.451"
"4305000","0.4675"
"4410000","0.476"
"4515000","0.4915"
"4620000","0.502"
"4725000","0.522"
"4830000","0.511"
"4935000","0.5155"
"5040000","0.5315"
"5145000","0.534"
"5250000","0.535"
"5355000","0.5465"
"5460000","0.5485"
"5565000","0.574"
"5670000","0.5725"
"5775000","0.5785"
"5880000","0.587"
"5985000","0.5805"
"6090000","0.574"
"6195000","0.5835"
"6300000","0.583"
"6405000","0.6075"
"6510000","0.5915"
"6615000","0.579"
"6720000","0.5825"
"6825000","0.6155"
"6930000","0.603"
"7035000","0.636"
"7140000","0.626"
"7245000","0.6185"
"7350000","0.6205"
"7455000","0.639"
"7560000","0.6335"
"7665000","0.6475"
"7770000","0.637"
"7875000","0.634"
"7980000","0.663"
"8085000","0.6595"
"8190000","0.662"
"8295000","0.6535"
"8400000","0.6775"
"8505000","0.674"
"8610000","0.681"
"8715000","0.6705"
"8820000","0.672"
"8925000","0.672"
"9030000","0.6715"
"9135000","0.674"
"9240000","0.667"
"9345000","0.664"
"9450000","0.659"
"9555000","0.6935"
"9660000","0.6905"
"9765000","0.7145"
"9870000","0.7015"
"9975000","0.7135"
"10080000","0.716"
"10185000","0.703"
"10290000","0.7235"
"10395000","0.724"
"10500000","0.724"
"10605000","0.7335"
"10710000","0.7285"
"10815000","0.7235"
"10920000","0.7345"
"11025000","0.737"
"11130000","0.735"
"11235000","0.735"
"11340000","0.742"
"11445000","0.717"
"11550000","0.722"
"11655000","0.7475"
"11760000","0.7345"
"11865000","0.7315"
"11970000","0.7315"
"12075000","0.7335"
"12180000","0.736"
"12285000","0.747"
"12390000","0.7525"
"12495000","0.758"
"12600000","0.758"
"12705000","0.7565"
"12810000","0.7515"
"12915000","0.7665"
"13020000","0.7465"
"13125000","0.756"
"13230000","0.758"
"13335000","0.7655"
"13440000","0.771"
"13545000","0.769"
"13650000","0.7665"
"13755000","0.7855"
"13860000","0.7695"
"13965000","0.7795"
"14070000","0.783"
"14175000","0.784"
"14280000","0.7905"
"14385000","0.7945"
"14490000","0.7805"
"14595000","0.7935"
"14700000","0.7765"
"14805000","0.7735"
"14910000","0.7805"
"15015000","0.796"
"15120000","0.7955"
"15225000","0.796"
"15330000","0.77"
"15435000","0.789"
"15540000","0.813"
"15645000","0.8185"
"15750000","0.8"
"15855000","0.815"
"15960000","0.822"
"16065000","0.814"
"16170000","0.82"
"16275000","0.8035"
"16380000","0.8155"
"16485000","0.8205"
"16590000","0.817"
"16695000","0.8255"
"16800000","0.825"
"16905000","0.829"
"17010000","0.8295"
"17115000","0.816"
"17220000","0.823"
"17325000","0.8255"
"17430000","0.8285"
"17535000","0.8175"
"17640000","0.8305"
"17745000","0.838"
"17850000","0.8405"
"17955000","0.8435"
"18060000","0.8285"
"18165000","0.824"
"18270000","0.833"
"18375000","0.8395"
"18480000","0.845"
"18585000","0.8525"
"18690000","0.8345"
"18795000","0.8565"
"18900000","0.8535"
"19005000","0.8585"
"19110000","0.853"
"19215000","0.839"
"19320000","0.857"
"19425000","0.857"
"19530000","0.8565"
"19635000","0.867"
"19740000","0.853"
"19845000","0.881"
"19950000","0.868"
"20055000","0.8705"
"20160000","0.8725"
"20265000","0.8765"
"20370000","0.867"
"20475000","0.8765"
"20580000","0.889"
"20685000","0.8555"
"20790000","0.88"
"20895000","0.871"
"21000000","0.8835"
"21105000","0.872"
"21210000","0.866"
"21315000","0.87"
"21420000","0.8705"
"21525000","0.881"
"21630000","0.888"
"21735000","0.8765"
