Step,decay_fre30iter_add0.1_load_optimizer_wogradclip_seed1 - 8cover_rate
0,0.83225
199290,0.8169
398580,0.81815
597870,0.8278
797160,0.834
996450,0.84275
1195740,0.84185
1395030,0.8501
1594320,0.844
1793610,0.8476
1992900,0.86205
2181900,0.8639
2370900,0.86755
2559900,0.8713
2748900,0.86895
2937900,0.87555
3126900,0.88575
3315900,0.88745
3504900,0.88505
3693900,0.89205
3882900,0.8946
4061610,0.8937
4240320,0.88995
4419030,0.89635
4597740,0.88955
4776450,0.89775
4955160,0.90205
5133870,0.90115
5312580,0.90515
5491290,0.90635
5670000,0.91
5838000,0.91465
6006000,0.90835
6174000,0.9074
6342000,0.9175
6510000,0.9081
6678000,0.91215
6846000,0.91825
7014000,0.9257
7182000,0.9238
7350000,0.93235
7507290,0.9312
7664580,0.9211
7821870,0.93385
7979160,0.93455
8136450,0.9333
8293740,0.9335
8451030,0.9361
8608320,0.9378
8765610,0.94395
8922900,0.9348
9069900,0.93735
9216900,0.9371
9363900,0.9437
9510900,0.93385
9657900,0.9407
9804900,0.94145
9951900,0.94635
10098900,0.9491
10245900,0.95415
10392900,0.95285
10529400,0.95425
10665900,0.95735
10802400,0.95885
10938900,0.95725
11075400,0.9504
11211900,0.9589
11348400,0.95965
11484900,0.959
11621400,0.95915
11757900,0.9602
11883900,0.96345
12009900,0.95705
12135900,0.9599
12261900,0.9616
12387900,0.9641
12513900,0.96385
12639900,0.96065
12765900,0.96275
12891900,0.9616
13017900,0.96365
13133190,0.96055
13248480,0.96155
13363770,0.96605
13479060,0.9632
13594350,0.9618
13709640,0.96495
13824930,0.96335
13940220,0.9622
14055510,0.9601
14170800,0.95955
14275800,0.9557
14380800,0.95325
14485800,0.95695
14590800,0.95775
14695800,0.9555
14800800,0.94905
14905800,0.95515
15010800,0.9503
15115800,0.9482
15220800,0.95375
15325800,0.9455
15430800,0.9556
15535800,0.9541
15640800,0.95215
15745800,0.9531
15850800,0.95705
15955800,0.95525
16060800,0.95635
16165800,0.96155
16270800,0.9619
16375800,0.95975
16480800,0.968
16585800,0.9618
16690800,0.9656
16795800,0.96205
16900800,0.9659
17005800,0.966
17110800,0.96365
17215800,0.96025
17320800,0.9536
17425800,0.96105
17530800,0.96285
17635800,0.9567
17740800,0.95305
17845800,0.95025
17950800,0.94405
18055800,0.9377
18160800,0.9363
18265800,0.9392
18370800,0.9435
18475800,0.94915
18580800,0.9531
18685800,0.9539
18790800,0.9573
18895800,0.95795
19000800,0.95555
19105800,0.96045
19210800,0.95385
19315800,0.9538
19420800,0.95385
19525800,0.96005
19630800,0.96175
19735800,0.95635
19840800,0.95605
19945800,0.95905
20050800,0.9575
20155800,0.96145
20260800,0.9625
20365800,0.9553
20470800,0.94725
20575800,0.95215
20680800,0.95375
20785800,0.9545
20890800,0.95875
20995800,0.9612
21100800,0.9592
21205800,0.96305
21310800,0.9607
21415800,0.9641
21520800,0.9617
21625800,0.9658
21730800,0.9676
21835800,0.96675
21940800,0.96595
22045800,0.969
22150800,0.96175
22255800,0.96805
22360800,0.96725
22465800,0.9657
22570800,0.97145
22675800,0.96535
22780800,0.9654
22885800,0.9682
22990800,0.95755
23095800,0.9651
23200800,0.96145
23305800,0.9622
23410800,0.96675
23515800,0.96905
23620800,0.9654
23725800,0.96605
23830800,0.96685
23935800,0.9669
24040800,0.96855
24145800,0.965
24250800,0.971
24355800,0.96705
24460800,0.9664
24565800,0.96635
24670800,0.97125
24775800,0.96895
24880800,0.9697
24985800,0.97185
25090800,0.97815
25195800,0.9738
25300800,0.9757
25405800,0.9774
25510800,0.973
25615800,0.97195
25720800,0.97295
25825800,0.97835
25930800,0.9777
26035800,0.97235
26140800,0.96775
26245800,0.96925
26350800,0.9698
26455800,0.9714
26560800,0.96835
26665800,0.9619
26770800,0.9696
26875800,0.97415
26980800,0.9723
27085800,0.9714
27190800,0.9759
27295800,0.9723
27400800,0.97375
27505800,0.97015
27610800,0.9703
27715800,0.97225
27820800,0.97265
27925800,0.97
28030800,0.9672
28135800,0.975
28240800,0.975
28345800,0.97785
28450800,0.97615
28555800,0.9788
28660800,0.97875
28765800,0.9795
28870800,0.97555
28975800,0.97475
29080800,0.97505
29185800,0.9734
29290800,0.97785
29395800,0.9764
29500800,0.97425
29605800,0.96995
29710800,0.9749
29815800,0.97015
29920800,0.9666
30025800,0.96805
30130800,0.9721
30235800,0.97855
30340800,0.9741
30445800,0.97925
30550800,0.9794
30655800,0.98085
30760800,0.9764
30865800,0.96725
30970800,0.96715
31075800,0.9635
31180800,0.96705
31285800,0.96965
31390800,0.9652
31495800,0.97085
31600800,0.9668
31705800,0.96375
31810800,0.96205
31915800,0.9614
32020800,0.96705
32125800,0.96465
32230800,0.96065
32335800,0.9663
32440800,0.9714
32545800,0.97145
32650800,0.97015
32755800,0.9661
32860800,0.9719
32965800,0.97265
33070800,0.9681
33175800,0.97
33280800,0.974
33385800,0.9729
33490800,0.974
33595800,0.97775
33700800,0.97465
33805800,0.97285
33910800,0.9724
34015800,0.97765
34120800,0.9771
34225800,0.97705
34330800,0.9766
34435800,0.9739
34540800,0.97875
34645800,0.97785
34750800,0.97775
34855800,0.9739
34960800,0.9771
35065800,0.9724
35170800,0.9722
35275800,0.9752
35380800,0.9712
35485800,0.968
35590800,0.97075
35695800,0.96475
35800800,0.96485
35905800,0.964
36010800,0.96085
36115800,0.9658
36220800,0.9702
36325800,0.96385
36430800,0.9605
36535800,0.9628
36640800,0.95795
36745800,0.95855
36850800,0.968
36955800,0.9702
37060800,0.96575
37165800,0.96915
37270800,0.97615
37375800,0.97215
37480800,0.96335
37585800,0.96675
37690800,0.96425
37795800,0.9638
37900800,0.9674
38005800,0.96625
38110800,0.97445
38215800,0.9747
38320800,0.9847
38425800,0.97935
38530800,0.9867
38635800,0.98695
38740800,0.98605
38845800,0.98235
38950800,0.98735
39055800,0.9873
39160800,0.9838
39265800,0.9843
39370800,0.98445
39475800,0.98785
39580800,0.9913
39685800,0.99085
39790800,0.9895
39895800,0.9894
40000800,0.9869
40105800,0.98375
40210800,0.98505
40315800,0.98535
40420800,0.985
40525800,0.9871
40630800,0.98675
40735800,0.9847
40840800,0.9876
40945800,0.9831
41050800,0.98515
41155800,0.9809
41260800,0.97915
41365800,0.9719
41470800,0.97615
41575800,0.97095
41680800,0.9712
41785800,0.9744
41890800,0.9766
41995800,0.9776
42100800,0.9778
42205800,0.9703
42310800,0.9744
42415800,0.97815
42520800,0.9771
42625800,0.9806
42730800,0.97765
42835800,0.96205
42940800,0.963
43045800,0.96025
43150800,0.9659
43255800,0.97755
43360800,0.97845
43465800,0.9751
43570800,0.981
43675800,0.98025
43780800,0.98615
