"Step","sl_unif_seed1 - 2cover_rate"
"7000","0.04"
"14000","0.02"
"21000","0.02"
"28000","0.06"
"35000","0.13"
"42000","0.154"
"49000","0.126"
"56000","0.112"
"63000","0.174"
"70000","0.148"
"77000","0.17"
"84000","0.13"
"91000","0.2"
"98000","0.14"
"105000","0.14"
"112000","0.11"
"119000","0.12"
"126000","0.13"
"133000","0.154"
"140000","0.246"
"147000","0.21"
"154000","0.116"
"161000","0.13"
"168000","0.214"
"175000","0.28"
"182000","0.174"
"189000","0.154"
"196000","0.238"
"203000","0.154"
"210000","0.214"
"217000","0.21600000000000005"
"224000","0.218"
"231000","0.252"
"238000","0.27399999999999997"
"245000","0.246"
"252000","0.234"
"259000","0.242"
"266000","0.282"
"273000","0.26"
"280000","0.28600000000000003"
"287000","0.408"
"294000","0.454"
"301000","0.4"
"308000","0.35"
"315000","0.37"
"322000","0.336"
"329000","0.396"
"336000","0.37799999999999995"
"343000","0.31"
"350000","0.29"
"357000","0.434"
"364000","0.322"
"371000","0.47"
"378000","0.464"
"385000","0.43"
"392000","0.376"
"399000","0.284"
"406000","0.332"
"413000","0.41"
"420000","0.436"
"427000","0.376"
"434000","0.34"
"441000","0.496"
"448000","0.43"
"455000","0.47"
"462000","0.418"
"469000","0.44"
"476000","0.348"
"483000","0.382"
"490000","0.46"
"497000","0.5"
"504000","0.4"
"511000","0.43"
"518000","0.374"
"525000","0.416"
"532000","0.4"
"539000","0.38"
"546000","0.38"
"553000","0.402"
"560000","0.402"
"567000","0.39"
"574000","0.41"
"581000","0.382"
"588000","0.324"
"595000","0.376"
"602000","0.33"
"609000","0.316"
"616000","0.43"
"623000","0.35"
"630000","0.4"
"637000","0.44"
"644000","0.32"
"651000","0.39"
"658000","0.31"
"665000","0.45"
"672000","0.34"
"679000","0.484"
"686000","0.27"
"693000","0.41"
"700000","0.4"
"707000","0.362"
"714000","0.35"
"721000","0.518"
"728000","0.35200000000000004"
"735000","0.452"
"742000","0.416"
"749000","0.34"
"756000","0.42"
"763000","0.43"
"770000","0.35"
"777000","0.34"
"784000","0.428"
"791000","0.28600000000000003"
"798000","0.4"
"805000","0.47"
"812000","0.34"
"819000","0.37"
"826000","0.39"
"833000","0.43"
"840000","0.31"
"847000","0.37"
"854000","0.37"
"861000","0.36"
"868000","0.4"
"875000","0.28"
"882000","0.4"
"889000","0.39"
"896000","0.32"
"903000","0.42"
"910000","0.46"
"917000","0.33"
"924000","0.47"
"931000","0.32"
"938000","0.42"
"945000","0.4"
"952000","0.45"
"959000","0.37"
"966000","0.45"
"973000","0.4"
"980000","0.3"
"987000","0.3"
"994000","0.428"
"1001000","0.442"
"1008000","0.36"
"1015000","0.386"
"1022000","0.44"
"1029000","0.382"
"1036000","0.39"
"1043000","0.34"
"1050000","0.342"
"1057000","0.456"
"1064000","0.4059999999999999"
"1071000","0.48"
"1078000","0.494"
"1085000","0.41"
"1092000","0.36"
"1099000","0.32"
"1106000","0.38"
"1113000","0.41"
"1120000","0.326"
"1127000","0.452"
"1134000","0.38"
"1141000","0.34600000000000003"
"1148000","0.46"
"1155000","0.396"
"1162000","0.47"
"1169000","0.34"
"1176000","0.5"
"1183000","0.37"
"1190000","0.39"
"1197000","0.41"
"1204000","0.43"
"1211000","0.4"
"1218000","0.37"
"1225000","0.47"
"1232000","0.42"
"1239000","0.3"
"1246000","0.454"
"1253000","0.312"
"1260000","0.368"
"1267000","0.436"
"1274000","0.362"
"1281000","0.37"
"1288000","0.434"
"1295000","0.42"
"1302000","0.37"
"1309000","0.44"
"1316000","0.344"
"1323000","0.38"
"1330000","0.42"
"1337000","0.39"
"1344000","0.37"
"1351000","0.41"
"1358000","0.4"
"1365000","0.312"
"1372000","0.32"
"1379000","0.38"
"1386000","0.348"
"1393000","0.38"
"1400000","0.31"
"1407000","0.422"
"1414000","0.35"
"1421000","0.436"
"1428000","0.408"
"1435000","0.36"
"1442000","0.41"
"1449000","0.4320000000000001"
"1456000","0.472"
"1463000","0.42"
"1470000","0.37200000000000005"
"1477000","0.37"
"1484000","0.412"
"1491000","0.37799999999999995"
"1498000","0.326"
"1505000","0.34"
"1512000","0.26"
"1519000","0.35600000000000004"
"1526000","0.37799999999999995"
"1533000","0.35"
"1540000","0.43"
"1547000","0.406"
"1554000","0.29"
"1561000","0.36"
"1568000","0.35"
"1575000","0.35"
"1582000","0.4"
"1589000","0.42"
"1596000","0.316"
"1603000","0.33"
"1610000","0.36"
"1617000","0.32"
"1624000","0.39"
"1631000","0.39"
"1638000","0.39"
"1645000","0.4"
"1652000","0.38"
"1659000","0.43"
"1666000","0.318"
"1673000","0.396"
"1680000","0.39"
"1687000","0.364"
"1694000","0.33"
"1701000","0.392"
"1708000","0.28200000000000003"
"1715000","0.376"
"1722000","0.466"
"1729000","0.46"
"1736000","0.36"
"1743000","0.4"
"1750000","0.4"
"1757000","0.38"
"1764000","0.39"
"1771000","0.404"
"1778000","0.4459999999999999"
"1785000","0.466"
"1792000","0.472"
"1799000","0.35"
"1806000","0.41"
"1813000","0.38"
"1820000","0.44"
"1827000","0.42"
"1834000","0.38"
"1841000","0.454"
"1848000","0.33"
"1855000","0.35600000000000004"
"1862000","0.428"
"1869000","0.404"
"1876000","0.43"
"1883000","0.374"
"1890000","0.404"
"1897000","0.38"
"1904000","0.42"
"1911000","0.37"
"1918000","0.454"
"1925000","0.386"
"1932000","0.408"
"1939000","0.34"
"1946000","0.34"
"1953000","0.45"
"1960000","0.43"
"1967000","0.46"
"1974000","0.376"
"1981000","0.38"
"1988000","0.42"
"1995000","0.4059999999999999"
"2002000","0.35200000000000004"
"2009000","0.37"
"2016000","0.37"
"2023000","0.37"
"2030000","0.462"
"2037000","0.41"
"2044000","0.368"
"2051000","0.412"
"2058000","0.37"
"2065000","0.324"
"2072000","0.43400000000000005"
"2079000","0.376"
"2086000","0.41"
"2093000","0.354"
"2100000","0.51"
"2107000","0.324"
"2114000","0.4920000000000001"
"2121000","0.392"
"2128000","0.33"
"2135000","0.34"
"2142000","0.37"
"2149000","0.44"
"2156000","0.35"
"2163000","0.276"
"2170000","0.418"
"2177000","0.33"
"2184000","0.28200000000000003"
"2191000","0.418"
"2198000","0.386"
"2205000","0.416"
"2212000","0.37"
"2219000","0.32"
"2226000","0.43"
"2233000","0.49"
"2240000","0.47"
"2247000","0.36"
"2254000","0.398"
"2261000","0.404"
"2268000","0.33"
"2275000","0.4"
"2282000","0.47"
"2289000","0.38"
"2296000","0.47"
"2303000","0.43"
"2310000","0.374"
"2317000","0.44"
