"Step","mix4n8_bound90_seed1 - 8cover_rate"
"28665000","0.82975"
"28875000","0.841"
"29085000","0.83025"
"29295000","0.829"
"29505000","0.831"
"29715000","0.84375"
"29925000","0.836"
"30135000","0.84825"
"30345000","0.84475"
"30555000","0.84525"
"30765000","0.85325"
"30975000","0.85325"
"31185000","0.85375"
"31395000","0.85625"
"31605000","0.8525"
"31815000","0.867"
"32025000","0.86925"
"32235000","0.8675"
"32445000","0.8715"
"32655000","0.8625"
"32865000","0.879"
"33075000","0.8685"
"33285000","0.887"
"33495000","0.87825"
"33705000","0.88175"
"33915000","0.8805"
"34125000","0.883"
"34335000","0.88875"
"34545000","0.87975"
"34755000","0.886"
"34965000","0.8805"
"35175000","0.8855"
"35385000","0.87875"
"35595000","0.8885"
"35805000","0.886"
"36015000","0.878"
"36225000","0.87825"
"36435000","0.87525"
"36645000","0.88675"
"36855000","0.89475"
"37065000","0.8735"
"37275000","0.88125"
"37485000","0.8955"
"37695000","0.8975"
"37905000","0.90775"
"38115000","0.89875"
"38325000","0.89625"
"38535000","0.90325"
"38745000","0.91325"
"38955000","0.9065"
"39165000","0.90075"
"39375000","0.908"
"39585000","0.903"
"39795000","0.91125"
"40005000","0.918"
"40215000","0.9215"
"40425000","0.916"
"40635000","0.91875"
"40845000","0.9235"
"41055000","0.91875"
"41265000","0.9255"
"41475000","0.91925"
"41685000","0.9175"
"41895000","0.916"
"42105000","0.9195"
"42315000","0.92125"
"42525000","0.92225"
"42735000","0.92925"
"42945000","0.9275"
"43155000","0.93175"
"43365000","0.93075"
"43575000","0.93375"
"43785000","0.94175"
"43995000","0.93375"
"44205000","0.9375"
"44415000","0.94325"
"44625000","0.9365"
"44835000","0.9485"
"45045000","0.945"
"45255000","0.94275"
"45465000","0.9445"
"45675000","0.94325"
"45885000","0.94825"
"46095000","0.94875"
"46305000","0.95475"
"46515000","0.96175"
"46725000","0.9535"
"46935000","0.9585"
"47145000","0.95125"
"47355000","0.9485"
"47565000","0.94675"
"47775000","0.9425"
"47985000","0.94325"
"48195000","0.9455"
"48405000","0.942"
"48615000","0.951"
"48825000","0.9495"
"49035000","0.9495"
"49245000","0.9535"
"49455000","0.94775"
"49665000","0.94825"
"49875000","0.95725"
"50085000","0.9455"
"50295000","0.9475"
"50505000","0.9535"
"50715000","0.948"
"50925000","0.954"
"51135000","0.96175"
"51345000","0.96625"
"51555000","0.95725"
"51765000","0.95325"
"51975000","0.95625"
"52185000","0.959"
"52395000","0.95725"
"52605000","0.96275"
"52815000","0.9625"
"53025000","0.965"
"53235000","0.95775"
"53445000","0.95225"
"53655000","0.95625"
"53865000","0.94825"
"54075000","0.95275"
"54285000","0.95475"
