"Step","gan_sp_4agents_addeasycase_seed3 - 4cover_rate_5step"
"70000","0.001"
"140000","0.0007"
"210000","0.0004"
"280000","0"
"350000","0"
"420000","0.0001"
"490000","0.0024"
"560000","0.0025"
"630000","0.0006"
"700000","0.0019"
"770000","0.0028"
"840000","0.0022"
"910000","0.0052"
"980000","0.0067"
"1050000","0.0087"
"1120000","0.029200000000000004"
"1190000","0.0481"
"1260000","0.05809999999999999"
"1330000","0.07390000000000001"
"1400000","0.07080000000000002"
"1470000","0.07669999999999999"
"1540000","0.0999"
"1610000","0.0959"
"1680000","0.0945"
"1750000","0.1166"
"1820000","0.1094"
"1890000","0.111"
"1960000","0.1576"
"2030000","0.182"
"2100000","0.2297"
"2170000","0.2536"
"2240000","0.265"
"2310000","0.25520000000000004"
"2380000","0.25870000000000004"
"2450000","0.2639"
"2520000","0.2977"
"2590000","0.2979"
"2660000","0.28429999999999994"
"2730000","0.3129"
"2800000","0.29669999999999996"
"2870000","0.31279999999999997"
"2940000","0.30460000000000004"
"3010000","0.3182"
"3080000","0.3206"
"3150000","0.308"
"3220000","0.32139999999999996"
"3290000","0.3319"
"3360000","0.32520000000000004"
"3430000","0.32830000000000004"
"3500000","0.3123"
"3570000","0.31020000000000003"
"3640000","0.30889999999999995"
"3710000","0.30839999999999995"
"3780000","0.2798"
"3850000","0.2864"
"3920000","0.2754"
"3990000","0.28070000000000006"
"4060000","0.2883"
"4130000","0.30860000000000004"
"4200000","0.3022"
"4270000","0.2948"
"4340000","0.30779999999999996"
"4410000","0.2986"
"4480000","0.31880000000000003"
"4550000","0.3124"
"4620000","0.3146"
"4690000","0.32"
"4760000","0.312"
"4830000","0.3123"
"4900000","0.3201"
"4970000","0.31139999999999995"
"5040000","0.30789999999999995"
"5110000","0.30690000000000006"
"5180000","0.32889999999999997"
"5250000","0.324"
"5320000","0.32330000000000003"
"5390000","0.33920000000000006"
"5460000","0.3192"
"5530000","0.3271"
"5600000","0.3316"
"5670000","0.353"
"5740000","0.3632"
"5810000","0.36390000000000006"
"5880000","0.3663"
"5950000","0.3662"
"6020000","0.3737"
"6090000","0.3605"
"6160000","0.3663"
"6230000","0.36690000000000006"
"6300000","0.3748"
"6370000","0.3823"
"6440000","0.3642"
"6510000","0.3762"
"6580000","0.3622"
"6650000","0.3749"
"6720000","0.3659"
"6790000","0.3738"
"6860000","0.3676"
"6930000","0.36010000000000003"
"7000000","0.3625"
"7070000","0.3708"
"7140000","0.3705"
"7210000","0.3744"
"7280000","0.3791999999999999"
"7350000","0.3767"
"7420000","0.3812"
"7490000","0.3771000000000001"
"7560000","0.378"
"7630000","0.371"
"7700000","0.3693"
"7770000","0.3755"
"7840000","0.35279999999999995"
"7910000","0.3612"
"7980000","0.3788"
"8050000","0.382"
"8120000","0.3618"
"8190000","0.3683999999999999"
"8260000","0.38"
"8330000","0.3895"
"8400000","0.3815"
"8470000","0.3908"
"8540000","0.3766000000000001"
"8610000","0.3702"
"8680000","0.3865"
"8750000","0.3765"
"8820000","0.3735"
"8890000","0.3738999999999999"
"8960000","0.3585"
"9030000","0.3817"
"9100000","0.3784"
"9170000","0.3895"
"9240000","0.3961"
"9310000","0.3922000000000001"
"9380000","0.3853000000000001"
"9450000","0.36680000000000007"
"9520000","0.3833"
"9590000","0.3751"
"9660000","0.3863"
"9730000","0.3726"
"9800000","0.3853"
"9870000","0.3836"
"9940000","0.3745"
"10010000","0.3728"
"10080000","0.3786000000000001"
"10150000","0.3678"
"10220000","0.3693999999999999"
"10290000","0.3741"
"10360000","0.3775"
"10430000","0.3687"
"10500000","0.383"
"10570000","0.3764"
"10640000","0.3778"
"10710000","0.3691"
"10780000","0.3954"
"10850000","0.3873"
"10920000","0.3865"
"10990000","0.3981"
"11060000","0.3941"
"11130000","0.3802"
"11200000","0.3818"
"11270000","0.4004"
"11340000","0.3778"
"11410000","0.4062"
"11480000","0.4237"
"11550000","0.4111"
"11620000","0.3935"
"11690000","0.4132"
"11760000","0.4016"
"11830000","0.40979999999999994"
"11900000","0.4064"
"11970000","0.4176"
"12040000","0.3917000000000001"
"12110000","0.3933"
"12180000","0.39"
"12250000","0.3942000000000001"
"12320000","0.3877"
"12390000","0.3971"
"12460000","0.3664"
"12530000","0.3948"
"12600000","0.3815"
"12670000","0.3545"
"12740000","0.3674"
"12810000","0.3615"
"12880000","0.3696999999999999"
"12950000","0.3796000000000001"
"13020000","0.398"
"13090000","0.3614"
"13160000","0.3897000000000001"
"13230000","0.4031"
"13300000","0.3995"
"13370000","0.4211"
"13440000","0.4177999999999999"
"13510000","0.4258"
"13580000","0.4555999999999999"
"13650000","0.4301"
"13720000","0.4213"
"13790000","0.4179"
"13860000","0.4211"
"13930000","0.4195"
"14000000","0.4174"
"14070000","0.3961"
"14140000","0.4055"
"14210000","0.3958"
"14280000","0.4174"
"14350000","0.398"
"14420000","0.4335"
"14490000","0.4118"
"14560000","0.4295"
