"Step","reverse_pb_4agents_seed1 - 4cover_rate_5step"
"60000","0.0695"
"120000","0.057"
"180000","0.065"
"240000","0.064"
"300000","0.059"
"360000","0.06"
"420000","0.0675"
"480000","0.0535"
"540000","0.0675"
"600000","0.065"
"660000","0.058"
"720000","0.069"
"780000","0.0705"
"840000","0.068"
"900000","0.0585"
"960000","0.063"
"1020000","0.058"
"1080000","0.067"
"1140000","0.061"
"1200000","0.065"
"1260000","0.0705"
"1320000","0.0735"
"1380000","0.069"
"1440000","0.061"
"1500000","0.066"
"1560000","0.066"
"1620000","0.0645"
"1680000","0.0665"
"1740000","0.067"
"1800000","0.065"
"1860000","0.0625"
"1920000","0.061"
"1980000","0.07"
"2040000","0.065"
"2100000","0.0755"
"2160000","0.0685"
"2220000","0.0695"
"2280000","0.068"
"2340000","0.074"
"2400000","0.057"
"2460000","0.0592"
"2520000","0.0645"
"2580000","0.0635"
"2640000","0.0675"
"2700000","0.0645"
"2760000","0.07690000000000001"
"2820000","0.066"
"2880000","0.0632"
"2940000","0.0795"
"3000000","0.0804"
"3060000","0.0687"
"3120000","0.0605"
"3180000","0.0712"
"3240000","0.06559999999999999"
"3300000","0.0665"
"3360000","0.0775"
"3420000","0.069"
"3480000","0.0737"
"3540000","0.06670000000000001"
"3600000","0.07"
"3660000","0.0695"
"3720000","0.0695"
"3780000","0.0721"
"3840000","0.0615"
"3900000","0.0605"
"3960000","0.0723"
"4020000","0.0699"
"4080000","0.0659"
"4140000","0.071"
"4200000","0.062"
"4260000","0.0756"
"4320000","0.0685"
"4380000","0.0625"
"4440000","0.0719"
"4500000","0.07"
"4560000","0.0665"
"4620000","0.068"
"4680000","0.0665"
"4740000","0.0725"
"4800000","0.076"
"4860000","0.068"
"4920000","0.0775"
"4980000","0.0654"
"5040000","0.0715"
"5100000","0.0673"
"5160000","0.0798"
"5220000","0.067"
"5280000","0.0745"
"5340000","0.07540000000000001"
"5400000","0.064"
"5460000","0.0701"
"5520000","0.065"
"5580000","0.0689"
"5640000","0.0675"
"5700000","0.066"
"5760000","0.0735"
"5820000","0.0823"
"5880000","0.0735"
"5940000","0.0709"
"6000000","0.0729"
"6060000","0.0732"
"6120000","0.069"
"6180000","0.065"
"6240000","0.081"
"6300000","0.0745"
"6360000","0.0686"
"6420000","0.0761"
"6480000","0.0707"
"6540000","0.0725"
"6600000","0.07"
"6660000","0.0745"
"6720000","0.07690000000000001"
"6780000","0.0605"
"6840000","0.0749"
"6900000","0.0752"
"6960000","0.0696"
"7020000","0.07959999999999999"
"7080000","0.0819"
"7140000","0.06659999999999999"
"7200000","0.07490000000000001"
"7260000","0.0775"
"7320000","0.0942"
"7380000","0.0833"
"7440000","0.07809999999999999"
"7500000","0.0662"
"7560000","0.07479999999999999"
"7620000","0.07269999999999999"
"7680000","0.0852"
"7740000","0.0818"
"7800000","0.0808"
"7860000","0.0793"
"7920000","0.07709999999999999"
"7980000","0.081"
"8040000","0.0818"
"8100000","0.08070000000000001"
"8160000","0.07429999999999999"
"8220000","0.0804"
"8280000","0.0795"
"8340000","0.0783"
"8400000","0.07769999999999999"
"8460000","0.07579999999999999"
"8520000","0.0858"
"8580000","0.079"
"8640000","0.0861"
"8700000","0.0799"
"8760000","0.0803"
"8820000","0.07940000000000001"
"8880000","0.0813"
"8940000","0.0719"
"9000000","0.08120000000000001"
"9060000","0.0832"
"9120000","0.0815"
"9180000","0.07640000000000001"
"9240000","0.0904"
"9300000","0.06570000000000001"
"9360000","0.07669999999999999"
"9420000","0.0915"
"9480000","0.072"
"9540000","0.0719"
"9600000","0.074"
"9660000","0.0732"
"9720000","0.0838"
"9780000","0.07669999999999999"
"9840000","0.085"
"9900000","0.08209999999999999"
"9960000","0.07909999999999999"
"10020000","0.08159999999999999"
"10080000","0.0855"
"10140000","0.0836"
"10200000","0.0808"
"10260000","0.08519999999999998"
"10320000","0.0782"
"10380000","0.0841"
"10440000","0.07840000000000001"
"10500000","0.0736"
"10560000","0.0814"
"10620000","0.07569999999999999"
"10680000","0.0743"
"10740000","0.0726"
"10800000","0.07"
"10860000","0.08189999999999999"
"10920000","0.084"
"10980000","0.0844"
"11040000","0.0901"
"11100000","0.0775"
"11160000","0.083"
"11220000","0.082"
"11280000","0.0849"
"11340000","0.08280000000000001"
"11400000","0.0781"
"11460000","0.0987"
"11520000","0.081"
"11580000","0.08170000000000001"
"11640000","0.0787"
