"Step","sp_wo_evaluation_seed1 - cover_rate_1step"
"105000","0"
"210000","0.0015"
"315000","0.0065"
"420000","0.005"
"525000","0.0065"
"630000","0.0105"
"735000","0.008"
"840000","0.013"
"945000","0.0265"
"1050000","0.052"
"1155000","0.0715"
"1260000","0.1255"
"1365000","0.229"
"1470000","0.228"
"1575000","0.275"
"1680000","0.2935"
"1785000","0.324"
"1890000","0.311"
"1995000","0.3135"
"2100000","0.3325"
"2205000","0.3255"
"2310000","0.333"
"2415000","0.3495"
"2520000","0.3415"
"2625000","0.3125"
"2730000","0.345"
"2835000","0.352"
"2940000","0.339"
"3045000","0.344"
"3150000","0.3435"
"3255000","0.362"
"3360000","0.375"
"3465000","0.3715"
"3570000","0.388"
"3675000","0.414"
"3780000","0.403"
"3885000","0.395"
"3990000","0.403"
"4095000","0.3855"
"4200000","0.392"
"4305000","0.3985"
"4410000","0.405"
"4515000","0.4275"
"4620000","0.4385"
"4725000","0.4575"
"4830000","0.472"
"4935000","0.48"
"5040000","0.467"
"5145000","0.4575"
"5250000","0.4655"
"5355000","0.4815"
"5460000","0.4925"
"5565000","0.464"
"5670000","0.504"
"5775000","0.5045"
"5880000","0.517"
"5985000","0.531"
"6090000","0.5485"
"6195000","0.5605"
"6300000","0.561"
"6405000","0.5615"
"6510000","0.568"
"6615000","0.5785"
"6720000","0.588"
"6825000","0.601"
"6930000","0.5915"
"7035000","0.5825"
"7140000","0.6005"
"7245000","0.5985"
"7350000","0.615"
"7455000","0.603"
"7560000","0.637"
"7665000","0.6485"
"7770000","0.6215"
"7875000","0.6365"
"7980000","0.618"
"8085000","0.6485"
"8190000","0.647"
"8295000","0.6615"
"8400000","0.644"
"8505000","0.666"
"8610000","0.6645"
"8715000","0.673"
"8820000","0.6715"
"8925000","0.683"
"9030000","0.699"
"9135000","0.6945"
"9240000","0.6855"
"9345000","0.7035"
"9450000","0.7095"
"9555000","0.736"
"9660000","0.715"
"9765000","0.731"
"9870000","0.741"
"9975000","0.7315"
"10080000","0.7415"
"10185000","0.73"
"10290000","0.7365"
"10395000","0.726"
"10500000","0.749"
"10605000","0.756"
"10710000","0.756"
"10815000","0.7445"
"10920000","0.749"
"11025000","0.7535"
"11130000","0.7645"
"11235000","0.765"
"11340000","0.7685"
"11445000","0.788"
"11550000","0.781"
"11655000","0.7815"
"11760000","0.783"
"11865000","0.7745"
"11970000","0.776"
"12075000","0.7765"
"12180000","0.794"
"12285000","0.784"
"12390000","0.8025"
"12495000","0.8005"
"12600000","0.8165"
"12705000","0.803"
"12810000","0.815"
"12915000","0.8245"
"13020000","0.7955"
"13125000","0.812"
"13230000","0.8115"
"13335000","0.8075"
"13440000","0.807"
"13545000","0.8205"
"13650000","0.8305"
"13755000","0.8305"
"13860000","0.844"
"13965000","0.8405"
"14070000","0.8425"
"14175000","0.837"
"14280000","0.8465"
"14385000","0.8445"
"14490000","0.84"
"14595000","0.853"
"14700000","0.8385"
"14805000","0.8605"
"14910000","0.851"
"15015000","0.884"
"15120000","0.8705"
"15225000","0.8625"
"15330000","0.8885"
"15435000","0.887"
"15540000","0.861"
"15645000","0.889"
"15750000","0.8945"
"15855000","0.89"
"15960000","0.878"
"16065000","0.889"
"16170000","0.889"
"16275000","0.892"
"16380000","0.8975"
"16485000","0.8875"
"16590000","0.8985"
"16695000","0.891"
"16800000","0.8825"
"16905000","0.9015"
"17010000","0.9055"
"17115000","0.902"
"17220000","0.903"
"17325000","0.909"
"17430000","0.915"
"17535000","0.914"
"17640000","0.928"
"17745000","0.9235"
"17850000","0.915"
"17955000","0.9245"
"18060000","0.9195"
"18165000","0.9225"
"18270000","0.9165"
"18375000","0.913"
"18480000","0.9275"
"18585000","0.933"
"18690000","0.942"
"18795000","0.9455"
"18900000","0.9335"
"19005000","0.939"
"19110000","0.9305"
"19215000","0.9475"
"19320000","0.945"
"19425000","0.934"
"19530000","0.9405"
"19635000","0.952"
"19740000","0.9395"
"19845000","0.9405"
"19950000","0.9475"
"20055000","0.9545"
"20160000","0.9465"
"20265000","0.946"
"20370000","0.9545"
"20475000","0.954"
"20580000","0.94"
"20685000","0.942"
"20790000","0.951"
"20895000","0.9545"
"21000000","0.9505"
"21105000","0.9585"
"21210000","0.9495"
"21315000","0.9405"
"21420000","0.9545"
"21525000","0.9465"
"21630000","0.9495"
"21735000","0.9435"
"21840000","0.952"
"21945000","0.9455"
"22050000","0.9305"
"22155000","0.9465"
"22260000","0.9555"
"22365000","0.9555"
"22470000","0.9565"
"22575000","0.962"
"22680000","0.952"
"22785000","0.948"
"22890000","0.954"
"22995000","0.936"
"23100000","0.9565"
"23205000","0.9445"
"23310000","0.952"
"23415000","0.944"
"23520000","0.9335"
"23625000","0.9345"
"23730000","0.9405"
"23835000","0.945"
"23940000","0.94"
"24045000","0.9395"
"24150000","0.9465"
"24255000","0.948"
"24360000","0.945"
"24465000","0.9515"
"24570000","0.961"
"24675000","0.959"
"24780000","0.966"
"24885000","0.954"
"24990000","0.9555"
"25095000","0.967"
"25200000","0.9685"
"25305000","0.9635"
"25410000","0.9715"
"25515000","0.9685"
"25620000","0.9695"
"25725000","0.9685"
"25830000","0.965"
"25935000","0.9685"
"26040000","0.973"
"26145000","0.9685"
"26250000","0.9605"
"26355000","0.974"
"26460000","0.975"
"26565000","0.968"
"26670000","0.978"
"26775000","0.9655"
"26880000","0.9715"
"26985000","0.9755"
"27090000","0.974"
"27195000","0.9745"
"27300000","0.967"
"27405000","0.9765"
"27510000","0.974"
"27615000","0.97"
"27720000","0.9705"
"27825000","0.973"
"27930000","0.973"
"28035000","0.9705"
"28140000","0.97"
"28245000","0.9695"
"28350000","0.9665"
"28455000","0.9655"
"28560000","0.974"
"28665000","0.975"
"28770000","0.969"
"28875000","0.9745"
"28980000","0.9835"
"29085000","0.9825"
"29190000","0.9725"
"29295000","0.976"
"29400000","0.977"
"29505000","0.98"
"29610000","0.977"
"29715000","0.97"
"29820000","0.9775"
"29925000","0.97"
"30030000","0.9825"
"30135000","0.9665"
"30240000","0.975"
"30345000","0.9715"
"30450000","0.9715"
"30555000","0.9745"
"30660000","0.9735"
"30765000","0.974"
"30870000","0.9805"
"30975000","0.976"
"31080000","0.978"
"31185000","0.9795"
"31290000","0.986"
"31395000","0.987"
"31500000","0.974"
"31605000","0.9795"
"31710000","0.9785"
"31815000","0.9765"
"31920000","0.9755"
"32025000","0.9765"
"32130000","0.971"
"32235000","0.9775"
"32340000","0.982"
"32445000","0.9875"
"32550000","0.9795"
"32655000","0.97"
"32760000","0.9825"
"32865000","0.9765"
"32970000","0.9735"
"33075000","0.9795"
"33180000","0.9775"
"33285000","0.9695"
"33390000","0.98"
"33495000","0.9835"
"33600000","0.9755"
"33705000","0.9785"
"33810000","0.976"
"33915000","0.9795"
"34020000","0.99"
"34125000","0.985"
"34230000","0.9775"
"34335000","0.974"
"34440000","0.9785"
"34545000","0.976"
"34650000","0.976"
"34755000","0.974"
"34860000","0.9705"
"34965000","0.9725"
"35070000","0.971"
"35175000","0.968"
"35280000","0.9695"
"35385000","0.968"
"35490000","0.98"
"35595000","0.974"
"35700000","0.974"
"35805000","0.9715"
"35910000","0.963"
"36015000","0.9645"
"36120000","0.9715"
"36225000","0.9745"
"36330000","0.9765"
"36435000","0.9715"
"36540000","0.9765"
"36645000","0.9725"
"36750000","0.9715"
"36855000","0.964"
"36960000","0.9705"
"37065000","0.96"
"37170000","0.9635"
"37275000","0.972"
"37380000","0.9705"
"37485000","0.9725"
"37590000","0.982"
"37695000","0.978"
"37800000","0.9725"
"37905000","0.967"
"38010000","0.9745"
"38115000","0.975"
"38220000","0.9815"
"38325000","0.984"
"38430000","0.978"
"38535000","0.9785"
"38640000","0.9805"
"38745000","0.977"
"38850000","0.9845"
"38955000","0.982"
"39060000","0.9795"
"39165000","0.9805"
"39270000","0.9795"
"39375000","0.9745"
"39480000","0.9755"
"39585000","0.979"
"39690000","0.973"
"39795000","0.9815"
"39900000","0.979"
