"Step","tech2_sp3_small_asym_seed1 - cover_rate_5step"
"105000","0"
"210000","0"
"315000","0"
"420000","0"
"525000","0"
"630000","0"
"735000","0"
"840000","0"
"945000","0"
"1050000","0"
"1155000","0"
"1260000","0"
"1365000","0"
"1470000","0"
"1575000","0"
"1680000","0"
"1785000","0"
"1890000","0"
"1995000","0"
"2100000","0"
"2205000","0.0008"
"2310000","0"
"2415000","0.0011"
"2520000","0.0003"
"2625000","0.0013"
"2730000","0"
"2835000","0.0006"
"2940000","0.0012"
"3045000","0.0007"
"3150000","0.0011"
"3255000","0.0008"
"3360000","0.0012"
"3465000","0.0008"
"3570000","0.0012"
"3675000","0.0011"
"3780000","0.0006"
"3885000","0.0017"
"3990000","0.0003"
"4095000","0.0003"
"4200000","0"
"4305000","0.0005"
"4410000","0"
"4515000","0"
"4620000","0.0001"
"4725000","0"
"4830000","0"
"4935000","0.0002"
"5040000","0.0004"
"5145000","0.0005"
"5250000","0"
"5355000","0.0004"
"5460000","0.0002"
"5565000","0.001"
"5670000","0.0002"
"5775000","0.0014"
"5880000","0.0008"
"5985000","0.0003"
"6090000","0.0006000000000000001"
"6195000","0.0007"
"6300000","0.0016"
"6405000","0.0014"
"6510000","0"
"6615000","0.0012"
"6720000","0.0014000000000000002"
"6825000","0.0002"
"6930000","0.0008"
"7035000","0.0014"
"7140000","0.0014"
"7245000","0.0018"
"7350000","0.0005"
"7455000","0.00030000000000000003"
"7560000","0.0012"
"7665000","0.0012"
"7770000","0.0011"
"7875000","0.001"
"7980000","0.0008"
"8085000","0.002599999999999999"
"8190000","0.0005"
"8295000","0.0009"
"8400000","0"
"8505000","0.002099999999999999"
"8610000","0.0011"
"8715000","0.0016"
"8820000","0.0021000000000000003"
"8925000","0.0014000000000000002"
"9030000","0.0024"
"9135000","0.0004"
"9240000","0.001"
"9345000","0.0040999999999999995"
"9450000","0.0029"
"9555000","0.0036"
"9660000","0.0018"
"9765000","0.0044"
"9870000","0.0024"
"9975000","0.0060999999999999995"
"10080000","0.0065"
"10185000","0.0056"
"10290000","0.004900000000000001"
"10395000","0.008100000000000001"
"10500000","0.0046"
"10605000","0.0063999999999999994"
"10710000","0.008"
"10815000","0.0063999999999999994"
"10920000","0.0098"
"11025000","0.0088"
"11130000","0.0133"
"11235000","0.0195"
"11340000","0.0137"
"11445000","0.013"
"11550000","0.0212"
"11655000","0.0154"
"11760000","0.0213"
"11865000","0.0187"
"11970000","0.0218"
"12075000","0.027399999999999997"
"12180000","0.036"
"12285000","0.0281"
"12390000","0.0369"
"12495000","0.027"
"12600000","0.0221"
"12705000","0.03559999999999999"
"12810000","0.032"
"12915000","0.032900000000000006"
"13020000","0.033299999999999996"
"13125000","0.03490000000000001"
"13230000","0.0368"
"13335000","0.0307"
"13440000","0.0385"
"13545000","0.0358"
"13650000","0.0488"
"13755000","0.0407"
"13860000","0.0443"
"13965000","0.0483"
"14070000","0.0488"
"14175000","0.0472"
"14280000","0.0605"
"14385000","0.0408"
"14490000","0.0476"
"14595000","0.06299999999999999"
"14700000","0.0564"
"14805000","0.06589999999999999"
"14910000","0.047900000000000005"
"15015000","0.0525"
"15120000","0.045099999999999994"
"15225000","0.041699999999999994"
"15330000","0.0409"
"15435000","0.0433"
"15540000","0.0378"
"15645000","0.03830000000000001"
"15750000","0.0475"
"15855000","0.048"
"15960000","0.0402"
"16065000","0.04530000000000001"
"16170000","0.0561"
"16275000","0.0516"
"16380000","0.046200000000000005"
"16485000","0.059"
"16590000","0.0614"
"16695000","0.0505"
"16800000","0.0647"
"16905000","0.0588"
"17010000","0.06110000000000001"
"17115000","0.0835"
"17220000","0.0987"
"17325000","0.1333"
"17430000","0.0883"
"17535000","0.114"
"17640000","0.1104"
"17745000","0.1241"
"17850000","0.11730000000000002"
"17955000","0.1014"
"18060000","0.109"
"18165000","0.1159"
"18270000","0.1085"
"18375000","0.1244"
"18480000","0.1458"
"18585000","0.1242"
"18690000","0.1385"
"18795000","0.181"
"18900000","0.1822"
"19005000","0.1702"
"19110000","0.1645"
"19215000","0.1812"
"19320000","0.16160000000000002"
"19425000","0.2027"
"19530000","0.1804"
"19635000","0.1745"
"19740000","0.1713"
"19845000","0.16310000000000002"
"19950000","0.1577"
"20055000","0.1915"
"20160000","0.1834"
"20265000","0.2155"
"20370000","0.1777"
